country,survey_date,,,round,,,,,site_id,,,,,,,,,site_latitude,site_longitude,,,site_urban,,,,,,,n_family,n_total,n_male,n_female,,n_pregnant_youth,n_pregnant_adult,n_lactating,n_pwpd_m,n_pwpd_w,n_pwmd_m,n_pwmd_w,n_chron_m,n_chron_w,n_ethnicmin_m,n_ethnicmin_w,n_elder_male,n_elder_female,n_elder_m_alone,n_elder_f_alone,n_boy_unacc,n_girl_unacc,n_boy_sep,n_girl_sep,n_orphan_b,n_orphan_g,n_single_mothers,n_single_fathers,n_hoh_boy,n_hoh_girl,,,,,,,,,,,,,,,,,,,water_source_p,,,,,,latrine_gender,,,,,,,,,,,,,,,edu_access,,,,,per_hh_income,,,,sec_provided,,,,,,,,,,,,,,,,,,,,,,,food_access,,,,,,,,,,,,,,,,,travel_info,,,,,
,Fecha de encuesta,Nombre entrevistador,Sexo entrevistador,Ronda,Provincia,Canton,Parroquia,Ciudad o pueblo mas cercano,SSID,Nombre,Nombre Alterno,Clasificacion,Uso antes del desplazamiento,Estatus,Fecha inicio,Fecha cierre,Comentarios,Latitud,Longitud,Altitud,Precision,Tipo de area,SMA,Comparten techo,Comentarios en la definicion del sitio,SMC,Por que no hay SMC?,Comentarios en detalles del sitio,Hogares,Individuos,Masculino,Femenino,Comentarios poblacion demografica,Embarazadas menores 18,Embarazadas mayores 18,Madres lactantes,Hombres con discapacidad fisica,Mujeres con discapacidad fisica,Hombres con discapacidades mentales,Mujeres con discapacidades mentales,Hombres con enfermedades cronicas,Mujeres con enfermedades cronicas,Hombres minorias etnicas,Mujeres minorias etnicas,Ancianos,Ancianas,Ancianos no acompanados,Ancianas no acompanadas,Ninos no acompanados,Ninas no acompanadas,Ninos separados,Ninas separadas,Ninos huerfanos,Ninas huerfanas,Mujeres cabeza de hogar,Hombres cabeza de hogar,Ninos cabeza de hogar,Ninas cabeza de hogar,Refugiados y solicitantes de asilo masculinos,Refugiados y solicitantes de asilo femeninos,Personas LGBTI Masculinas,Personas LGBTI Femeninas,Los IDPs viven en el lugar de desplazamiento?,Area prevista de retorno,Provincia de retorno,Canton de retorno,Parroquia de retorno,Tipo de techo mas comun,Se necesitan materiales de reparacion?,Se necesita asistencia en vivienda temporal?,Hay distribucion de articulos no alimentarios?,Cual es articulo no alimentario de mayor distribucion?,Articulo no alimentario de mayor necesidad,Ubicacion de la principal fuente de agua del sitio,Tipo de almacenamiento de agua,_Hay distribucion diaria de agua por persona?,Fuente de agua para beber,_Hay distribucion de agua para uso domestico por persona?,Fuente de agua para uso domestico,Numero de inodoros totales,Numero de Inodoros funcionando,Personas por letrina,Inodoros separados,Duchas separadas,Inodoros se pueden cerrar desde dentro?,Duchas se pueden cerrar desde dentro,Productos de higiene femenina,Frecuencia de distribucion de alimentos,Alimentacion suplementaria para mujeres,Alimentacion suplementaria para ninos,Problemas de salud mas prevalentes,Segundo problema de salud mas prevalente,Personas tratadas por ETS,Acceso a medicinas,Ubicacion de instalacion/servicios de salud,Horario de disponibilidad de servicios de salud,Proveedor de servicios de salud,Educacion,Distancia a instalacion educativa,Porcentaje de ninos yendo a la escuela,Ocupacion de la mayoria de hombres,Ocupacion de la mayoria de mujeres,Porcentaje de hogares con acceso a ingresos,Acceso a ingresos,Ganado,Tierra para cultivo,Seguridad disponble?,Incidentes de seguridad reportados?,Tipos de incidentes de seguridad,Proveedor de seguridad,Areas que mujeres y ninas tienden a evitar,Que areas tienden a evitar las mujeres y las ninas?,Servicios de proteccion a infantes,Numero de espacios seguros para ninos,Numero de espacios seguros para mujeres,El lider del sitio conoce el mecanismo de remision para sobrevivientes de VBG,Las mujeres se sienten seguras,Los hombres se sienten seguros,Los ninos se sienten seguros,Relacion entre los desplazados,Relacion entre los desplazados y la comunidad,La mayoria de gente tiene documento ID,Numero de personas sin ID,Iluminacion adecuada en areas comunales,Areas donde hay problemas para acceder a servicios,Problemas para acceder a vivienda temporal,Problemas para acceeder a NFI,Problemas para acceder a WASH,Problemas para acceder a salud,Problemas para acceder a alimentacion,Problemas para acceder a educacion,Problemas para acceder a medios de vida,Nigun problema de acceso,No sabe que problemas de acceso,Factores de riesgo para acceder a servicios,Distancia es factor de riesgo,Diseno es factor de riesgo,Escombros/danos son factor de riesgo,Falta de iluminacion es factor de riesgo,Falta de acceso segregado es factor de riesgo,Seguridad es factor de riesgo,Otros factores de riesgo,Barreras para que grupos vulnerables accedan a servicios,Comentarios,Fuente de informacion,Tema adicional que seria util para el sitio,Informacion de viajes al exterior,Tipo de destino,Lugares de destino,Medio de difusion de oportunidades de viaje,Hora de envio,_index
Ecuador,2016-05-19,,Femenino,2,Esmeraldas,MUISNE,SAN FRANCISCO,Bunche,ESM_003,El parque,Parque de bunche,Espontaneo,Parque o plaza,abierto,2016-04-16,,.,0.637109767,-80.04416113,28.2800723,10,rural,ninguno,no,,si,,,36,180,80,100,,,,4,,1,,,,,,,3,7,1,4,,,,,,,7,1,,,,,,,si,pueblo mas cercano,,,,techo improvisado,si,no,no,,kits cocina,fuera del sitio mayor 20 minutos,poma,si menos de 2L,tanquero,no,pozo,1,1,180,no,no,no,no,si,irregular,no,no,IRA,diarrea,0,no,fuera del sitio menor 3 km,dia,gobierno,no,entre 1 km y 2 km,menor 25%,pesca,recoleccion de concha,menor 25%,si,no,no,si,no,,policia,no,,identificacion de MNA,0,0,no,si,si,si,bueno,bueno,si,1,"si, adecuada",vivienda temporal bienes no alimentarios agua saneamiento higiene comida educacion medios de vida,si,si,si,no,si,si,si,no,no,distancia,si,no,no,no,no,no,no,"si, algunos",,lider local,distribuciones,no,,,,2016-05-19T13:46:49,124
Ecuador,2016-05-19,,Masculino,2,Esmeraldas,MUISNE,MUISNE,Pueblo Nuevo,ESM_004,Muisne 2,Pueblo nuevo,Albergue planificado,Lote abierto,abierto,2016-04-18,,,0.637484,-79.9999783,97.90000153,6,rural,mae,si,,si,,2 familias por carpas,140,500,150,350,,10,15,18,5,2,2,1,0,0,2,2,8,12,0,0,0,0,0,0,0,0,16,9,3,0,0,0,1,1,si,lugar de origen,,,,carpas,si,si,no,,kits cocina,en el sitio menor 20 minutos,4 tanques de 10000 mil litros,si mas de 2L,agua embotellada,si mas de 15L,tanquero,10,10,50,si,si,si,si,si,cada dos semanas,no,no,diarrea,IRA,0,no,en el sitio mayor 3 km,dia,gobierno,no,menor a 1 km,menor 25%,pesca,,menor 50%,no,no,no,si,no,,policia,si,duchas,ninguno,0,0,si,si,si,si,excelente,bueno,no sabe,,"si, pero no adecuada",agua saneamiento higiene,no,no,si,no,no,no,no,no,no,diseno,no,si,no,no,no,no,no,"si, todos",Todo lo que dar los alvergues,radio noticias,Necesita informacion a ma poblacion,no,,,,2016-05-19T13:45:31,123
Ecuador,2016-05-19,,Masculino,2,Esmeraldas,MUISNE,SAN FRANCISCO,,ESM_005,La cancha,,Campamento,Lote abierto,abierto,2016-04-17,,La misma cancha cuenta con dos sitios separados con distintos coordinadores,0.6367882,-80.0426626,19.29999924,5,urban,ninguno,si,.,si,,.,8,35,19,16,.,1,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,si,lugar de origen,,,,techo improvisado,si,no,si,kits cocina,kits cocina,en el sitio menor 20 minutos,barril tanque 200L,si menos de 2L,agua embotellada,si menos de 15L,pozo,0,0,no hay letrinas,no,no,no,no,si,una vez por semana,no,no,IRA,Alergia,0,si,en el sitio mayor 3 km,dia,gobierno,si,menor a 1 km,menor 50%,pesca,,menor 25%,si,no,si,no,no,,comunidad auto organizada,no,,ninguno,0,0,no,si,si,si,bueno,bueno,no,,"si, pero no adecuada",salud,no,no,no,si,no,no,no,no,no,falta iluminacion seguridad,no,no,no,si,no,si,no,"si, algunos",.,familias amigos,accesso asistencia,no,,,,2016-05-19T13:47:44,127
Ecuador,2016-05-18,,Masculino,2,Esmeraldas,MUISNE,MUISNE,El Salto,ESM_007,Escuela 20 de Julio,,Albergue planificado,Escuela,abierto,2016-05-18,,,0.65836511,-79.91765529,73,4,rural,mies,no,,si,,,14,63,34,29,Perdio la casa Juan Garces y el hijo,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,si,lugar de origen,,,,infraestructura preexistente,si,no,no,,Colchon,en el sitio menor 20 minutos,barril tanque 200L,si mas de 2L,agua embotellada,si mas de 15L,tanquero,2,0,no hay letrinas,no,no,no,no,no,dos veces por semana,si,no,Dolor en el cuerpo,ninguno,0,no,fuera del sitio mayor 3 km,noche,ninguno,no,menor a 1 km,menor 25%,jornalero,ama de casa,menor 25%,no,no,no,no,no,,ninguno,si,Area de oscuridad,ninguno,0,1,no,si,si,si,bueno,bueno,no,,"si, pero no adecuada",vivienda temporal bienes no alimentarios comida medios de vida,si,si,no,no,si,no,si,no,no,otro,no,no,no,no,no,no,no se ha priorizado,ninguno,,telefonos celular,seguridad,no,,,,2016-05-19T05:39:59,122
Ecuador,2016-05-18,,Masculino,2,Esmeraldas,MUISNE,MUISNE,Muisne,ESM_008,Escuela Delia Perdomo,,Albergue planificado,Escuela,abierto,2016-04-16,,,0.63717604,-80.00191995,79,4,rural,mies,si,,si,,,45,175,98,77,,1,0,7,2,2,0,1,,,0,1,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,si,lugar de origen,,,,carpas,si,si,no,,mosquiteros,en el sitio mayor 20 minutos,barril tanque 200L,si menos de 2L,agua embotellada,si mas de 15L,tanquero,9,6,29.16666667,no,no,si,no responde,no,dos veces por semana,no,no,Crisis hipertensiva,IRA,0,si,en el sitio menor 3 km,24 horas,gobierno,no,menor a 1 km,menor 25%,pesca,,menor 50%,si,no,no,si,si,Problemas intrafamiliar,policia,no,,ninguno,1,0,si,si,si,si,excelente,bueno,no,,"si, adecuada",vivienda temporal bienes no alimentarios agua saneamiento higiene comida,si,si,si,no,si,no,no,no,no,otro,no,no,no,no,no,no,Flujo de informacion,ninguno,,familias amigos,Prediccion movimientos de tierra,no,,,,2016-05-19T05:39:58,121
Ecuador,2016-05-18,,Masculino,2,Esmeraldas,MUISNE,SAN FRANCISCO,Estero ancho,ESM_013,La y el salto,Albergue la cancha,Albergue planificado,Lote abierto,abierto,2016-05-16,,,0.6565881,-79.918958,101.9000015,5,rural,mies,si,Hay 3 carpas cruz rojo 5 improvizada,si,,Hay 3 familia en carpa,27,96,45,51,Hay 9 discapasitados,0,0,4,4,5,1,3,1,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,lugar de origen,,,,techo improvisado,si,no,si,ropa,kits dignidad,fuera del sitio mayor 20 minutos,barril tanque 200L,si menos de 2L,agua embotellada,si menos de 15L,tanquero,2,2,48,no,no,si,no,si,una vez por semana,no,no,IRA,diarrea,0,no,en el sitio mayor 3 km,24 horas,gobierno,no,menor a 1 km,menor 25%,jornalero,ama de casa,menor 25%,no,no,no,si,no,,policia,si,letrinas banos,ninguno,1,0,no,si,si,si,excelente,bueno,no,,no hay,comida,no,no,no,no,si,no,no,no,no,falta iluminacion,no,no,no,si,no,no,no,"si, todos",,autoridades,accesso asistencia,no,,,,2016-05-19T00:26:18,87
Ecuador,2016-05-18,,Femenino,2,Esmeraldas,MUISNE,MUISNE,Muisney,ESM_015,Nuestra senora de guadalupe,Iglesia Nuestra senora de guadalupe,Espontaneo,Parque o plaza,abierto,2015-04-17,,,0.637294913,-80.00056421,52.73475218,15,rural,mies,no,.,si,,,25,66,30,36,,,,1,1,,1,,,1,,,10,10,,,,,,,,,5,,,,,4,1,,si,pueblo mas cercano,,,,infraestructura preexistente,si,si,si,kits cocina,kits herramientas,fuera del sitio mayor 20 minutos,barril tanque 200L,si menos de 2L,agua embotellada,si menos de 15L,tanquero,4,4,16.5,no,no,no,no,no,todos los dias,no,no,Problemas con la presion,IRA,0,si,en el sitio menor 3 km,dia,gobierno,si,entre 2 km y 5 km,menor 75%,pesca,,menor 50%,si,no,no,si,no,,policia,si,Carretera,busqueda familias,0,0,no,si,si,no,bueno,bueno,no,,"si, adecuada",vivienda temporal bienes no alimentarios medios de vida,si,si,no,no,no,no,si,no,no,distancia,si,no,no,no,no,no,no,"si, algunos",,lider local,ninguno,no,,,,2016-05-19T00:24:22,81
Ecuador,2016-05-18,,Masculino,2,Esmeraldas,MUISNE,SAN FRANCISCO,Nuevo Muisne,ESM_020,Pueblo Nuevo,Pueblo Nuevo,Albergue planificado,Lote abierto,abierto,2016-04-16,,,0.6383711,-79.994442,69.5,4.5,rural,ninguno,si,Estan en construccion,si,,,11,45,21,24,,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,si,lugar de origen,,,,techo improvisado,si,no,no,,kits cocina,en el sitio mayor 20 minutos,barril tanque 200L,no,tanquero,no,tanquero,1,1,45,no,no,si,no,no,irregular,no,no,IRA,diarrea,0,no,en el sitio mayor 3 km,dia,gobierno,no,menor a 1 km,menor 25%,agricultura,,menor 25%,si,no,no,si,no,,combinado policia militares,no,,ninguno,0,0,no,si,si,si,excelente,bueno,si,0,no hay,agua saneamiento higiene,no,no,si,no,no,no,no,no,no,falta iluminacion,no,no,no,si,no,no,no,"si, algunos",Faltan construir,lider local,albergues,no,,,,2016-05-19T00:26:10,86
Ecuador,2016-05-17,,Masculino,2,Esmeraldas,MUISNE,SAN JOSE DE CHAMANGA,Chamanga,ESM_022,Las papayas,Barrio 30 de enero,Espontaneo,Lote abierto,abierto,2016-04-17,,.,0.27258883,-79.95525109,22,5,rural,ninguno,no,,si,,.,54,174,74,100,.,1,,2,1,1,1,,,,,,2,3,2,,,,1,2,,,4,3,,,,,,,si,pueblo mas cercano,,,,techo improvisado,si,no,si,ropa,mosquiteros,fuera del sitio mayor 20 minutos,barril tanque 200L,si mas de 2L,agua embotellada,si mas de 15L,tanquero,1,1,174,no,no,no,no,si,una vez por semana,no,no,IRA,Alergias,0,si,en el sitio menor 3 km,dia,gobierno,si,menor a 1 km,menor 75%,pesca,,menor 50%,si,si,si,si,no,,policia,no,,identificacion de MNA,0,0,no,si,si,si,bueno,bueno,no,,"si, pero no adecuada",vivienda temporal agua saneamiento higiene comida medios de vida,si,no,si,no,si,no,si,no,no,distancia falta iluminacion,si,no,no,si,no,no,no,ninguno,,lider local,albergues,no,,,,2016-05-18T14:25:37,67
