country,round,site_id,site_name,,survey_date,site_zone,site_district,site_municipality,site_latitude,site_longitude,site_open,site_date_close,site_class,site_type,,site_date_open,site_date_close_exp,site_access,site_owner,site_shelter,,smc_exist,smc_per_female,site_community,,,sma_exist,sma_type,,sma_name,,,regist_activity,,,,,,,,,,,,,,,origin_zone,origin_district,origin_municipality,,,,,,n_family,n_infants_male,n_child_male,n_youth_male,n_adult_male,n_elder_male,n_male,n_infants_female,n_infants,n_child_female,n_child,n_youth_female,n_youth,n_adult_female,n_adult,n_elder_female,n_elder,n_female,n_total,n_pregnant,n_lactating,n_pwd,n_chronic_ill,n_hoh_female,n_hoh_child,n_hoh_elder,n_min_ethnic,,site_idp_last,return_area,prev_displaced,return_prevent,,per_sleep_site,,per_hh_outside,per_hh_tents,per_hh_makeshift,per_hh_indoors,per_hh_electricity,per_hh_safecook,,,nfi_a,,nfi_b,,nfi_c,,,,water_location,water_source_np,,water_source_p,,water_avg,,,latrine_cond,n_latrine,latrine_lock,,latrine_gender,bathing_gender,hyg_waste,,hyg_open_def,hyg_station,hyg_evidence,food_access,food_market,food_source,,,food_sup_lac,food_sup_child,health_issue,,health_issue_b,,health_issue_c,,health_center,,health_center_dist,health_provider,,health_medicine,edu_access,edu_distance,per_sch_female,per_sch_male,,job_main,,per_hh_income,job_access,,job_cattle_site,food_land,job_recruit,,sec_provided,,sec_provider,,,,sec_reported,support_problem,,n_space_child,n_space_female,,,sec_mens_seg,,sec_min_discriminate,safe_male,safe_child,safe_female,site_lighting,info_src,,info_complaint,,info_main,,info_free,
Nepal,2,1,Tribhuwan University,,21-May-2015,Bagmati,Kathmandu ,Kathmandu Municipality ,27.6811000,85.2906000,Yes,,Pre identified site / Open Space,Collective Settlement / Centre,,25/04/2015,Unknown,Yes,Public / Government,Tents / Temporary shelter,,No,,,,,No,,,,,,No,No,,No,,No,,No,,No,,No,,No,,Bagmati,Kathmandu,Kathmandu Municipality ,,Bagmati,Kathmandu,Kirtipur Municipality,,37,21,0,64,143,43,271,0,21,12,12,12,76,123,266,32,75,179,450,0,2,0,0,0,0,0,0,25/04/2015,25/04/2015,Place of origin,No,House damaged / destroyed,,Unknown,No,< 75%,< 25%,Unknown,None,Unknown,< 25%,Unknown,Unknown,Mosquito nets,,Blankets,,Kitchen sets,,No,No,Off-site (>20 minutes),None,,None,,Unknown,None,,No latrines,0,No,No,No,No,No waste disposal,,No,None,No,"Yes, off-site",Yes,Cultivated,,No,No,Yes,None,,None,,None,,Unknown,,Unknown,Unknown,,No,No,Unknown,,,,None,,0.00%,No,No,No,No,Unknown,,Yes,Unknown,Self organized,,None,,No,Assistance did not respond,,0,0,No,No,Unknown,,Unknown,Yes,Yes,Yes,Unknown,Radio / News,,No,,Recovery plans,,No,Site
Nepal,2,2,Balambu,,21-May-2015,Bagmati,Kathmandu ,Balambu,27.4121000,85.1436000,Yes,,Pre identified site / Open Space,Host Community,,25/04/2015,Unknown,Yes,Public / Government,Tents / Temporary shelter,,Yes,<25%,No,,,No,Government,,,,,Yes,No,,No,,Yes,Government,Yes,Vdc,No,,No,,No,,Bagmati,Kathmandu,Balambu,17,,,,,30,0,10,44,50,0,104,7,7,0,10,19,63,70,120,0,0,96,200,4,9,0,0,0,0,0,0,25/04/2015,19/05/2015,Place of origin,Yes,House damaged / destroyed,,Unknown,Yes,None,More than 75%,< 25%,None,None,More than 75%,None,None,Mosquito nets,,None,,None,,Yes,Yes,On-site (<20 minutes),Spring,,Spring,,Unknown,None,,Non usable,3,No,Yes,No,No,No waste disposal,,Yes,Unknown,No,"Yes, off-site",Yes,Cash,,No,No,No,None,,None,,None,,Yes,Unknown,On-site (<3 km),Government,,Yes,No,Unknown,,,,Agro-pastoralism,,0.00%,No,No,No,Yes,No,,Yes,No,Self organized,,None,,,Not enough assistance for all entitled,,0,0,No,Unknown,No,,No,Yes,Yes,Yes,No lighting,Site management,,No,,Other relief assistance,,Unknown,Site
Nepal,2,4,Ratna Park,,30-May-2015,Bagmati,Kathmandu ,Kathmandu Municipality ,27.7029000,85.3152000,Yes,,Pre identified site / Open Space,Transitional Centre,,29/04/2015,Unknown,Yes,Public / Government,Tents / Temporary shelter,,No,,,,,No,,,,,,No,No,,No,,No,,No,,No,,No,,Yes,NGO,Bagmati,Kathmandu,Kathmandu Municipality ,,Bagmati,Kathmandu,Kathmandu Municipality ,,33,1,1,10,34,8,54,1,2,5,6,8,18,34,68,10,18,58,112,0,0,0,0,0,0,0,0,29/04/2015,13/05/2015,Place of origin,No,Accessibility,,< 75%,No,< 50%,More than 75%,< 50%,More than 75%,< 50%,More than 75%,More than 75%,Unknown,Mosquito nets,,Mosquito nets,,Mosquito nets,,Yes,No,On-site (>20 minutes),Piped water supply,,None,,10-15 liters,None,,Good,2,Yes,No,Yes,No,No waste disposal,,Yes,None,No,"Yes, off-site",Yes,Distribution,,Yes,No,Unknown,Malaria,,Diarrhea,,None,,Yes,No female doctors,None,NGOs,,Yes,Yes,On-site (>20 minutes),<75%,<75%,None,Agro-pastoralism,,50.00%,Yes,No,Yes,No,No,,No,No,,,,,No,Unknown,,2,1,No,No,No,,No,No,No,No,"Yes, there is lighting but it is not adequate",Local leader,,Unknown,,Distribution,,No,Site
Nepal,2,5,Dasrath stadium,,21-May-2015,Bagmati,Kathmandu ,Kathmandu Municipality ,27.6950000,85.3150000,Yes,,Pre identified site / Open Space,Host Community,,25/04/2015,Unknown,Yes,Public / Government,Tents / Temporary shelter,,No,,,,,No,Armed Forces,,Signal directorate,Signal directorate,,No,Yes,Municipalities,Yes,Army,Yes,"NRC, Save, LWF, China Government, Nepal Army",No,,Yes,Nepal army,Yes,ICRI Day care facility,No,,Bagmati,Kathmandu,Kathmandu Municipality ,,Bagmati,Kathmandu,Kathmandu Municipality ,,130,0,2,5,9,0,16,0,0,1,3,2,7,13,22,0,0,16,650,0,10,0,0,1,0,25,0,12/5/15,19/05/2015,Place of origin,Unknown,Basic infrastructures damage,,> 75%,Unknown,None,More than 75%,< 25%,None,None,< 75%,More than 75%,None,None,,Other,,None,,No,No,On-site (<20 minutes),Water truck,,Bottled water,,<5 liters,None,,Good,2,Yes,Yes,Yes,No,Garbage pit,,No,Unknown,No,No,Yes,Distribution,,No,No,No,None,,None,,None,,Yes,No female doctors,On-site (<3 km),Government,,Unknown,No,Unknown,,,,Unknown,,0.00%,No,No,No,No,No,,Yes,No,Military,,,,No,Not enough assistance for all entitled,,2,0,No,Unknown,Unknown,,Yes,Yes,Yes,Yes,"Yes, there is lighting and it is adequate",Radio / News,,Yes,,None,,Unknown,Priority site
Nepal,2,7,Narayanchour,,25-May-2015,Bagmati,Kathmandu ,Kathmandu Municipality ,27.7147000,85.3256000,Yes,,Pre identified site / Open Space,Transitional Centre,,13/05/2015,Unknown,Yes,Public / Government,Tents / Temporary shelter,,Yes,<25%,Yes,,,No,Armed Forces,,,,,Yes,No,,Yes,Nadal medical team,Yes,NGO,No,,Yes,Armed force,No,,No,,Bagmati,Kathmandu,Kathmandu Municipality ,"Nadal , Jamalpokhari , bhatbhateni",Bagmati,Kathmandu,Kathmandu Municipality ,,188,4,18,36,114,16,188,12,16,22,40,40,76,114,228,12,28,200,388,2,8,10,0,5,0,5,0,28/04/2015,13/05/2015,Nearest village,Unknown,House damaged / destroyed,,> 75%,No,None,More than 75%,None,None,None,< 25%,More than 75%,<25%,Mosquito nets,,None,,Mosquito nets,,No,No,Off-site (>20 minutes),None,,None,,>15 liters,None,,Good,0,Yes,Yes,Yes,No,Garbage pit,,No,Yes,Yes,No,Yes,Cash,,No,No,Yes,None,,None,,None,,No,,Unknown,Unknown,,No,No,Unknown,,,,Other,One private jobs,100.00%,No,No,No,No,No,,Yes,No,Police,,,,No,None,,1,1,Yes,Yes,No,,No,Yes,Yes,Yes,"Yes, there is lighting and it is adequate",Social media,,No,,Situation in areas of origin,,Yes,Site
Nepal,2,10,Halchowk (APF HQ),,25-May-2015,Bagmati,Kathmandu ,Ichangunarayan,27.7214170,85.2867530,Yes,,Spontaneous,Host Community,,25/04/2015,Unknown,No physical access,Public / Government,Tents / Temporary shelter,,No,,,,,No,,,,,,Yes,Yes,Police,Yes,Police,Yes,Police,Yes,Police,Yes,Police,Yes,Police,Yes,Police,Bagmati,Sindhupalchok,Tatopani,,Bagmati,Kathmandu,Kathmandu Municipality ,Kathmadnu,136,16,16,16,30,48,126,96,112,200,216,272,288,16,46,32,80,616,750,1,7,2,0,0,0,0,0,2/5/15,25/05/2015,"Other, in the country",No,House damaged / destroyed,,< 75%,No,None,< 75%,< 75%,< 75%,< 75%,< 75%,< 50%,None,Kitchen sets,,Mosquito nets,,None,,No,No,On-site (>20 minutes),Water truck,,Water truck,,>15 liters,None,,Good,8,No,No,Yes,No,Garbage pit,,No,Unknown,Yes,"Yes, on-site",Yes,Cultivated,,No,Yes,Yes,None,,cholera,,None,,Yes,Yes,On-site (>3 km),Other,Armed Police Force,Yes,No,Unknown,,,,None,,0.00%,No,No,Yes,No,Unknown,,Yes,Unknown,Other,Armed Police Force,,,Unknown,None,,0,0,Yes,Yes,Yes,Toilet,No,Yes,Yes,Yes,"Yes, there is lighting and it is adequate",Families & friends,,No,,Recovery plans,,No,Site
Nepal,2,11,Airport Golf 1,,21-May-2015,Bagmati,Kathmandu ,Kathmandu Municipality ,27.7028000,85.3542000,Yes,,Pre identified site / Open Space,Collective Settlement / Centre,,25/04/2015,Unknown,Yes,Public / Government,Tents / Temporary shelter,,No,,,,,No,Individual / Private,,,,,Yes,Yes,Self,No,,Yes,Self,No,,No,,No,,No,,Bagmati,Kathmandu,Kathmandu Municipality ,8,,,,,156,16,23,47,391,31,508,23,39,16,39,86,133,446,837,86,117,657,1165,5,5,4,3,5,1,3,117,25/04/2015,20/05/2015,Place of origin,No,House damaged / destroyed,,> 75%,No,None,< 25%,More than 75%,None,More than 75%,< 25%,None,None,Plastic sheeting,,Blankets,,Mosquito nets,,No,No,On-site (<20 minutes),Water truck,,Piped water supply,,5-10 liters,Other,Oily water,Not so good,3,No,No,No,No,Other,Managed by the municipality.,No,None,No,No,Yes,Cash,,No,No,No,None,,None,,None,,Yes,Yes,Off-site (<3 km),Local clinic,,Yes,No,Unknown,,,,Other,Driving,90.00%,Yes,No,No,No,No,,No,Yes,,,Others,Verbal abuse to Madhesi,No,Not enough assistance for all entitled,,2,0,No,No,No,,No,Yes,Unknown,Unknown,"Yes, there is lighting and it is adequate",Mobile phone,,No,,Shelter,,Yes,Site
Nepal,2,13,Hyatt Regency Hotel,,21-May-2015,Bagmati,Kathmandu ,Kathmandu Municipality ,27.7201000,85.3541000,Yes,,Planned,Collective Settlement / Centre,,25/04/2015,Unknown,Yes,Private,Tents / Temporary shelter,,No,,,,,No,,,,,,No,Yes,Hyatt hotel,No,,No,,No,,Yes,Hyatt hotel,No,,No,,Janakpur,Dolakha,,,Sagarmatha,Solukhumbu,,,192,0,0,8,413,29,450,0,0,38,38,163,171,365,778,38,67,604,1054,0,2,1,0,1,0,0,140,25/04/2015,25/04/2015,Habitual resident,No,House damaged / destroyed,,> 75%,No,None,< 25%,More than 75%,Unknown,More than 75%,More than 75%,< 75%,None,Plastic sheeting,,Mosquito nets,,None,,Unknown,Unknown,On-site (<20 minutes),Piped water supply,,Bottled water,,>15 liters,None,,No latrines,0,No,Yes,No,No,Other,Hotel management,No,None,No,"Yes, off-site",Yes,Cash,,No,No,No,None,,None,,None,,Yes,Yes,Off-site (>3 km),Local clinic,,Yes,No,Unknown,,,,Employed,,10.00%,No,No,No,No,No,,Yes,Yes,Other,Hyatt staff,Alcohol / Drug-related disturb,,Unknown,None,,0,0,No,No,No,,No,Yes,Yes,Yes,"Yes, there is lighting and it is adequate",Families & friends,,No,,Distribution,,Yes,Site
Nepal,2,14,Gokarna Golf Club Site,,21-May-2015,Bagmati,Kathmandu ,Gokarneshwar,27.7272000,85.3953000,Yes,,Pre identified site / Open Space,Collective Settlement / Centre,,13/01/2015,Unknown,Yes,Private,Tents / Temporary shelter,,No,,,,,No,,,,,,Yes,Yes,Rented homes,No,,No,,No,,Yes,Army,No,,No,,Narayani,Makwanpur,Hetauda Municipality,Na,Bagmati,Sindhupalchok,Chautara,Na,38,2,7,21,42,4,76,4,6,6,13,30,51,41,83,6,10,87,163,2,0,4,0,1,0,1,80,25/04/2015,18/05/2015,Habitual resident,No,Lack of safety,,> 75%,No,None,None,< 75%,None,None,None,None,None,Plastic sheeting,,Blankets,,Other,Matress,No,No,On-site (<20 minutes),Surface water,,Surface water,,5-10 liters,suspended solids,,No latrines,0,No,No,No,No,Other,Municipality,Yes,None,No,No,Yes,Cash,,No,No,No,None,,None,,None,,Yes,Yes,On-site (<3 km),Other,Private hospital,Yes,No,Unknown,,,,Employed,,75.00%,No,No,No,No,No,,Yes,Yes,Military,,Theft,,Unknown,Fighting between recipients,,0,0,No,No,No,,No,Yes,Yes,Yes,No lighting,Families & friends,,No,,Shelter,,Unknown,Site
Nepal,2,15,Balmiki Vidyapith,,21-May-2015,Bagmati,Kathmandu ,Kathmandu Municipality ,27.7025000,85.3207000,Yes,,Pre identified site / Open Space,Transitional Centre,,25/04/2015,Unknown,Yes,Public / Government,Tents / Temporary shelter,,No,,,,,No,,,,,,Unknown,No,,No,,No,,No,,Unknown,,No,,No,,Bagmati,Kathmandu,Kathmandu Municipality ,31,Bagmati,Kathmandu,Kathmandu Municipality ,Ward no.31,20,1,1,10,66,0,78,0,1,2,3,5,15,30,96,0,0,37,115,0,0,0,0,0,0,0,0,25/04/2015,12/5/15,Place of origin,No,House damaged / destroyed,,> 75%,No,None,< 75%,Unknown,Unknown,None,< 50%,Unknown,None,Plastic sheeting,,None,,None,,Unknown,Unknown,Unknown,Other,Self,Other,Self,Unknown,None,,No latrines,0,No,Yes,No,No,Burning,,No,Unknown,No,"Yes, on-site",Yes,Cultivated,,No,No,Unknown,None,,None,,None,,Unknown,,Unknown,Unknown,,No,Unknown,Unknown,,,,Unknown,,0.00%,No,No,No,No,Unknown,,No,No,,,,,No,None,,0,0,No,No,No,,Unknown,Yes,Yes,Yes,No lighting,None,,Unknown,,Unknown,,Unknown,Site
