country,round,site_id,survey_date,,site_name,,site_open,site_date_open,site_date_close,site_region,site_zone,site_district,site_munipality,,site_latitude,site_longitude,,,site_class,site_type,,,site_owner,,site_date_close_exp,site_access,site_shelter,,smc_exist,smc_per_female,site_community,,,sma_exist,sma_type,,sma_name,,,regist_activity,origin_region,origin_zone,origin_district,origin_municipality,,,,,,n_family,n_total,n_infants_male,n_child_male,n_youth_male,n_adult_male,n_elder_male,n_male,n_infants_female,n_infants,n_child_female,n_child,n_youth_female,n_youth,n_adult_female,n_adult,n_elder_female,n_elder,n_female,n_pregnant,n_lactating,n_pwd,n_chronic_ill,n_hoh_elder,site_dist_origin,site_idp_last,return_area,prev_displaced,return_prevent,,per_sleep_site,,prev_own,per_hh_outside,per_hh_tents,per_hh_makeshift,per_hh_indoors,per_hh_electricity,per_hh_safecook,nfi_a,,nfi_b,,nfi_c,,water_location,water_source_np,,water_source_p,,,water_cons,,,latrine_cond,,n_latrine,latrine_gender,latrine_install,,latrine_light,latrine_site,latrine_lock,bathing_gender,hyg_waste,,hyg_open_def,hyg_station,hyg_evidence,food_access,food_market,food_source,,,,food_sup_lac,food_sup_child,health_issue,,health_issue_b,,health_issue_c,,,,,health_center_dist,,health_provider,,health_psych,,edu_access,edu_distance,,per_sch_female,per_sch_male,job_main,,per_hh_income,job_access,job_cattle_site,job_offer,job_offer_how,,job_offer_to,,food_land,sec_provided,sec_provider,,,sec_mens_seg,,site_lighting,info_src,,info_complaint,,info_main,,info_free,
Nepal,3,2,29-Jun-2015,,Balambu,,Yes,25-Apr-2015,,Central Development Region,Bagmati,Kathmandu,Kathmandu Municipality ,6,27.68897,85.24316,,,Spontaneous,"Open ground (park, playground, sports ground, other)",,,Public/Government,Yes,Unknown,Yes,Makeshift/tarpaulin shelter,,No,,,,,Yes,None,,,,,No,Central Development Region,Bagmati,Kathmandu,Balambu,6,,,,,100,550,8,22,117,129,8,284,8,16,29,51,50,167,150,279,29,37,266,6,5,0,0,0,< 30 mins,12/5/15,Place of Habitual residence,No,House damaged/destroyed,,> 75%,No,Unknown,None,None,< 75%,None,None,None,Plastic sheeting,,Mosquito nets,,Other,Mattress,On-site (<20 minutes),Piped water (taps),,Piped water (taps),,,10-15 ltr,None,,No latrines,Yes,,,,,,Off-site,,No,No Waste Disposal System,,Yes,None,No,No,Yes,Own cash,,,No,No,No,Skin infections,,RTI,,None,,No,No,,Off-site (< 30 minutes) ,,None,,No,,No,,,,,Agriculture/Livestock,,75,Yes,Yes,No,,,,No,Yes,Yes,Police,,Yes,No,,No lighting,Families & friends,,Yes,Police,Access to services ,,Yes,"Toilets needed, medical service"
Nepal,3,4,29-Jun-2015,,Ratna park,Khullamanch,Yes,25-Apr-2015,,Central Development Region,Bagmati,Kathmandu,Kathmandu Municipality ,O,27.7029,85.3152,,,Spontaneous,"Open ground (park, playground, sports ground, other)",,,Public/Government,No,Unknown,Yes,Makeshift/tarpaulin shelter,,Yes,None,No,,,No,,,,,,No,Central Development Region,Bagmati,Kathmandu,Kathmandu municipality,,,,,,25,150,4,10,15,41,8,78,2,6,8,18,12,27,45,86,5,13,72,1,1,0,0,25,< 30 mins,29/06/2015,Place of Habitual residence,Unknown,Other,No room available,> 75%,No,Rent,None,None,more than 75%,None,more than 75%,None,Mosquito nets,,Plastic sheeting,,None,,Off-site (>20 minutes),Bottled water,,Water truck,,Nepali police,<5 ltr,None,,Not so good (not hygienic),No,2,"Yes, separate entrance/Hand Washing Station",Provided / Installed,Local club,No,Unknown,No,No,No Waste Disposal System,,No,None,No,No,Yes,Own cash,,,No,No,No,Skin infections,,None,,None,,No,No,,Off-site (< 30 minutes) ,,None,,No,,No,,,,,Other,Small business,100,No,Yes,Yes,,,,No,No,Yes,Police,,Yes,No,,No lighting,Families & friends,,Yes,Local police,Other relief assistance,,Yes,Water is mostly needed
Nepal,3,11,29-Jun-2015,,Airport Golf 1,,Yes,26-Apr-2015,,Central Development Region,Bagmati,Kathmandu,Sinamangal,8,27.7032,85.3523,,,Spontaneous,"Open ground (park, playground, sports ground, other)",,,Private,Yes,<2 weeks,Yes,Tent,,Yes,None,Yes,,,No,,,,,,Yes,Central Development Region,Bagmati,Kathmandu,Sinamangal,8,,,,,185,1000,9,46,111,352,28,546,3,12,74,120,111,222,220,572,46,74,454,3,2,1,0,0,< 10 mins,12/5/15,Place of Habitual residence,No,House damaged/destroyed,,> 75%,Yes,Own,None,more than 75%,None,None,None,None,CGIs,,Tools,,Other,"Tensts, children play toys",On-site (<20 minutes),Piped water (taps),,Water truck,,Royal Nepal Golf course,>15 ltr,None,,Good (Hygienic),No,6,No,Already on site,,No,On-site,Yes,No,Other,Collections,No,None,Yes,No,Yes,Own cash,,,No,No,No,None,,None,,None,,No,Yes,,Off-site (< 30 minutes) ,,Local Clinic/med practitioners,,No,,Yes,Off-site (>20 minutes) ,,<75%,<75%,Employed,,50,Yes,No,No,,,,Yes,No,Yes,None,,Yes,No,,"Yes, there is lighting but it is NOT adequate",Local leader,,Yes,Police,Other relief assistance,,Yes,It's a golf course; SMC made up of 2 members
Nepal,3,17,29-Jun-2015,,Election Commision Office,,Yes,26-Apr-2015,,Central Development Region,Bagmati,Kathmandu,Kathmandu Municipality ,,27.7121,85.3145,,,Spontaneous,"Collective Centre  (schools, offices, religious, hospital, other)",,Offices,Public/Government,No,Unknown,Yes,Makeshift/tarpaulin shelter,,No,,,,,No,,,,,,Yes,Central Development Region,Bagmati,Kathmandu,,,,,,,34,217,2,12,16,68,11,109,2,4,9,21,15,31,73,141,9,20,108,0,5,0,0,0,< 30 mins,12/6/15,Place of Habitual residence,No,House damaged/destroyed,,< 25%,No,Own,None,< 75%,< 50%,None,None,None,Blankets,,Mosquito nets,,None,,On-site (<20 minutes),Water truck,,Water truck,,Ktm municipality,5-10 ltr,None,,Not so good (not hygienic),No,4,"Yes, separate entrance/Hand Washing Station",Provided / Installed,Intl medical corps,No,On-site,Yes,No,Garbage pit,,No,Yes but no soap/water inside ,No,No,Yes,Own cash,,,No,Unknown,No,RTI,,None,,None,,No,No,Not available,Off-site (< 30 minutes) ,,None,,No,,No,,,,,Trade,,80,Yes,No,No,,,,No,No,Yes,Police,,Yes,No,,"Yes, there is lighting and it is adequate",Mobile Phone,,Yes,Local police,None,,Yes,Tents being resent to offices
Nepal,3,21,29-Jun-2015,,Padma high school,,Yes,25-Apr-2015,,Central Development Region,Bagmati,Bhaktapur,Kathmandu Municipality ,15,27.6721,85.4284,,,Spontaneous,"Collective Centre  (schools, offices, religious, hospital, other)",,Schools,Public/Government,No,Unknown,Yes,Tent,,Yes,None,Yes,,,Yes,Local NGO,,Indraini shahakari sanraj,,,Yes,Central Development Region,Bagmati,Bhaktapur,Kathmandu Municipality ,13,Bagmati,Bhaktapur,Kathmandu Municipality ,15,80,400,2,52,25,120,12,211,5,7,20,72,55,80,101,221,8,20,189,0,9,4,2,1,< 10 mins,15/05/2015,Place of origin,No,House damaged/destroyed,,> 75%,No,Own,None,more than 75%,< 25%,None,< 25%,< 25%,Other,Toilet cleaner,None,,None,,On-site (<20 minutes),Water truck,,Water truck,,Municipality,Unknown,None,,Good (Hygienic),Yes,2,No,Provided / Installed,Indareni sharakar samaj,Yes,On-site,Yes,Yes,Other,Municipality collects,No,Yes,No,"Yes, On-Site",Yes,Own cash,,,No,No,No,Diarrhea,,None,,None,,Yes,Yes,,Off-site (< 30 minutes) ,,None,,No,,Yes,Off-site (>20 minutes) ,,>75%,>75%,Agriculture/Livestock,,35,Yes,No,No,,,,No,No,No,,,Yes,No,,"Yes, there is lighting and it is adequate",Mobile Phone,,No,,None,,Yes,
Nepal,3,25,29-Jun-2015,,Bhaktapur Bahumukhi Campus,,Yes,12-May-2015,,Central Development Region,Bagmati,Bhaktapur,Nagarkot,17,27.67,85.4217,,,Spontaneous,Other,Near Pokhari,,Public/Government,No,Unknown,Yes,Tent,,Yes,<25%,Yes,,,Yes,Armed Forces,,Ram Hari Kc,,,Yes,Central Development Region,Bagmati,Bhaktapur,Nagarkot,17,Bagmati,Bhaktapur,Nagarkot,16,110,550,0,0,92,166,28,286,9,9,15,15,30,122,192,358,18,46,264,1,3,2,3,0,< 10 mins,17/05/2015,None (Stay here),No,House damaged/destroyed,,> 75%,No,Own,None,more than 75%,Unknown,None,None,more than 75%,CGIs,,Other,Medicines,None,,On-site (<20 minutes),Water truck,,Water truck,,Bhaktapur Municipality,>15 ltr,None,,Not so good (not hygienic),Yes,0,No,Already on site,,Yes,Off-site,Yes,No,Other,Municipality,No,Yes but no soap/water inside ,Yes,"Yes, On-Site",Yes,Own cash,,,No,No,No,Diarrhea,,Conjunctivitis,,Skin infections,,Yes,No,No any health fscilities provided,Off-site (< 30 minutes) ,,None,,No,,Yes,Off-site (>20 minutes) ,,>75%,>75%,None,,0,No,No,No,,,,No,No,Yes,Police,,Yes,No,,No lighting,Radio / News,,No,,Shelter,,No,
Nepal,3,26,29-Jun-2015,,Bhelukhel,,Yes,25-Apr-2015,,Central Development Region,Bagmati,Bhaktapur,Kathmandu Municipality ,11,27.6688,85.43015,,,Spontaneous,"Collective Centre  (schools, offices, religious, hospital, other)",,Religious,Public/Government,No,Unknown,Yes,Tent,,Yes,None,Yes,,,No,,,,,,Yes,Central Development Region,Bagmati,Bhaktapur,Kathmandu Municipality ,11,Bagmati,Bhaktapur,Bhaktapur municipality bhelukhel,12,190,1000,0,47,28,356,38,469,19,19,60,107,114,142,300,656,38,76,531,1,1,1,0,0,< 10 mins,12/6/15,Place of origin,No,House damaged/destroyed,,> 75%,No,Own,None,more than 75%,< 25%,< 25%,more than 75%,Unknown,CGIs,,Blankets,,None,,On-site (<20 minutes),Water truck,,Water truck,,Municipality,10-15 ltr,None,,Not so good (not hygienic),Yes,2,"Yes, separate entrance/Hand Washing Station",Provided / Installed,Municipality,No,Off-site,Yes,Yes,Other,Municipality collection,No,None,No,"Yes, On-Site",Yes,Own cash,,,No,Unknown,Unknown,Diarrhea,,None,,None,,No,Yes,,Off-site (< 30 minutes) ,,Local Clinic/med practitioners,,No,,Yes,Off-site (>20 minutes) ,,Unknown,Unknown,Agriculture/Livestock,,90,No,No,Unknown,,,,No,Yes,Yes,Police,,No,No,,"Yes, there is lighting but it is NOT adequate",Local leader,,No,,Other relief assistance,,Yes,
Nepal,3,29,29-Jun-2015,,Khwopa Engineering College,,Yes,25-Apr-2015,,Central Development Region,Bagmati,Bhaktapur,Kathmandu Municipality ,2,27.67051,85.44025,,,Spontaneous,"Open ground (park, playground, sports ground, other)",,,Public/Government,Yes,<2 months,Yes,Tent,,Yes,<50%,Yes,,,No,,,,,,Yes,Central Development Region,Bagmati,Bhaktapur,Kathmandu Municipality ,2,Bagmati,Bhaktapur,Kathmandu Municipality ,1,65,300,9,9,18,88,16,140,9,18,5,14,22,40,95,183,29,45,160,1,4,6,4,0,< 10 mins,20/05/2015,Place of origin,No,House damaged/destroyed,,> 75%,Yes,Own,None,< 50%,< 25%,None,None,more than 75%,Mosquito nets,,Kitchen sets,,Other,Clothes,On-site (<20 minutes),Spring/River,,Water truck,,Municipality,<5 ltr,Suspended solids,,Not so good (not hygienic),No,2,"Yes, separate entrance/Hand Washing Station",Already on site,,Yes,On-site,Yes,Yes,Garbage pit,,No,Yes but no soap/water inside ,No,"Yes, On-Site",Yes,Own cash,,,No,No,No,Diarrhea,,Skin infections,,Conjunctivitis,,Yes,Yes,,Off-site (< 30 minutes) ,,Government,,No,,Yes,Off-site (>20 minutes) ,,>75%,>75%,Agriculture/Livestock,,20,No,No,Unknown,,,,No,Yes,No,,,Yes,No,,No lighting,Mobile Phone,,No,,Recovery plans,,Yes,"Rellocation is necessary.
College administration is acting strictly for removing the camps."
Nepal,3,32,29-Jun-2015,,Maheshwori Football Ground,,Yes,25-Apr-2015,,Central Development Region,Bagmati,Bhaktapur,Kathmandu Municipality ,6,27.6699,85.4361,,,Spontaneous,"Open ground (park, playground, sports ground, other)",,,Public/Government,No,Unknown,Yes,Tent,,Yes,<25%,Yes,,,Yes,International NGO,,Chuchi foundation (Taiwan)/TATA Company,,,Yes,Central Development Region,Bagmati,Bhaktapur,Kathmandu Municipality ,6,Bagmati,Bhaktapur,Kathmandu Municipality ,2,210,1200,11,53,90,288,74,516,21,32,53,106,147,237,389,677,74,148,684,0,3,7,3,0,< 10 mins,16/05/2015,Place of origin,No,House damaged/destroyed,,> 75%,No,Own,None,more than 75%,None,< 25%,more than 75%,more than 75%,CGIs,,None,,None,,On-site (<20 minutes),Water truck,,Water truck,,Municipality,Unknown,None,,Not so good (not hygienic),Yes,15,"Yes, next to each other/same Hand Washing Station",Provided / Installed,INGO,No,On-site,Yes,No,No Waste Disposal System,,No,Yes,Yes,"Yes, On-Site",Yes,Food Distribution/Donation,,"TATA company,India",No,Yes,No,Diarrhea,,None,,None,,Yes,Yes,,Off-site (< 30 minutes) ,,INGO,,Yes,"Peace Nepal,TPO",Yes,Off-site (>20 minutes) ,,>75%,>75%,Agriculture/Livestock,,70,No,No,No,,,,No,Yes,Yes,Police,,Yes,No,,"Yes, there is lighting but it is NOT adequate",Local leader,,No,,Other relief assistance,,Yes,
Nepal,3,34,29-Jun-2015,,Suryamadi,,Yes,25-Apr-2015,,Central Development Region,Bagmati,Bhaktapur,Kathmandu Municipality ,1,27.6734,85.4375,,,Spontaneous,Other,Planning road,,Public/Government,No,Unknown,Yes,Tent,,Yes,None,Yes,,,Yes,Other,Private Company,TATA company,,,Yes,Central Development Region,Bagmati,Bhaktapur,Kathmandu Municipality ,1,Bagmati,Bhaktapur,Kathmandu Municipality ,2,99,550,15,35,78,158,35,321,0,15,5,40,48,126,150,308,26,61,229,0,2,3,0,0,< 10 mins,12/5/15,Place of origin,No,House damaged/destroyed,,> 75%,No,Own,None,more than 75%,None,more than 75%,more than 75%,more than 75%,Plastic sheeting,,Mosquito nets,,Kitchen sets,,On-site (<20 minutes),None,,Other,Nearby local sources,,<5 ltr,None,,Not so good (not hygienic),Yes,4,"Yes, separate entrance/Hand Washing Station",Provided / Installed,ENPHO,No,On-site,Yes,No,Garbage pit,,No,Yes but no soap/water inside ,Yes,"Yes, On-Site",Yes,Food Distribution/Donation,,TATA company,No,Yes,Yes,Skin infections,,None,,None,,Yes,Yes,,On-site,TATA company,Government,,Yes,Art Of Living,Yes,On-site (<20 minutes),Old Vision,>75%,>75%,Agriculture/Livestock,,50,Yes,Yes,No,,,,No,No,Yes,Police,,Yes,No,,"Yes, there is lighting and it is adequate",Mobile Phone,,No,,Recovery plans,,No,Everyone is safe.
