country,round,Column1,survey_date,Column2,Column3,enum_sex,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,site_id,site_name,Column28,Column29,site_open,site_date_open,site_date_close,site_location,site_zone,site_district,site_municipality,Column30,site_latitude,site_longitude,Column31,Column32,site_class,site_type,Column33,Column34,site_date_close_exp,site_access,site_owner,site_shelter,Column35,smc_exist,smc_per_female,smc_community,Column36,Column37,sma_exist,sma_type,Column38,sma_name,Column39,Column40,regist_activity,origin_zone,origin_district,origin_municipality,Column41,Column42,Column43,Column44,Column45,n_family,n_total,n_infants_male,n_child_male,n_youth_male,n_adult_male,n_elder_male,n_male,n_infants_female,n_infants,n_child_female,n_child,n_youth_female,n_youth,n_adult_female,n_elder_female,n_elder,n_female,n_pregnant,n_pregnant_adult,n_pregnant_youth,n_lactating,n_pwd,n_child_sep,n_hoh_female,n_hoh_child,n_hoh_elder,n_min_ethnic,n_chronic_ill,site_dist_origin,site_idp_last,prev_displaced,return_area,return_prevent,Column46,per_sleep_site,Column47,prev_own,per_hh_outside,per_hh_indoors,per_hh_tents,Column48,per_hh_makeshift,Column49,Column50,per_hh_electricity,per_hh_safecook,nfi_a,nfi_b,nfi_c,water_location,water_source_np,water_source_p,Column51,water_treated,water_cons,water_remark,latrine_cond,n_latrine,latrine_gender,latrine_install,Column52,latrine_light,latrine_site,latrine_lock,bathing_gender,hyg_waste,hyg_open_def,hyg_station,hyg_evidence,food_access,food_market,food_source,Column53,Column54,Column55,food_sup_lac,food_sup_child,health_issue,health_issue_b,health_issue_c,Column56,Column57,Column58,Column59,Column60,Column61,health_psych,health_antenat,Column62,health_center_dist,Column63,health_provider,edu_access,edu_access_f,edu_access_i,edu_distance,Column64,Column65,Column66,per_sch_female,per_sch_male,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,job_main,job_main_other,per_hh_income,job_access,job_cattle_site,job_offer,job_offer_how,job_offer_to,job_abr,Column75,job_abr_in,job_abr_family,Column76,job_recruit,Column77,Column78,Column79,Column80,Column81,sec_provided,sec_reported,sec_provider,sec_issue,Column82,Column83,Column84,support_problem,Column85,n_space_child,n_space_female,Column86,gbv_report,sec_mens_seg,Column87,sec_min_discriminate,safe_male,site_unsafe_male,Column88,safe_child,site_unsafe_child,Column89,safe_female,site_unsafe_female,Column90,site_lighting,hyg_f_product,winter_move,Column91,Column92,Column93,winter_shelter,Column94,Column95,winter_a,Column96,winter_b,Column97,winter_c,Column98,Column99,Column100,Column101,Column102,info_src_female,nfo_src_male,info_complaint,Column103,info_main,info_free,Column104,<1500
Nepal,4,,27/10/15,,,,,male,,,,KI,,female,,,,KI,,male,,,,FGD,,female,,,,FGD,532,Melamchi Tar,Existed in previous rounds,,Yes,27/06/15,,Urban,Bagmati,Sindhupalchok,C-BAG-23-048 sindhupalchok,6,27.83066,85.57367,865.3377225,,Spontaneous,Other,Private land,No,Unknown,Yes,Private,Temporary shelter,,No,,,,,No,,,,,,No,Bagmati,Sindhupalchok,,6,,,,,90,464,0,14,63,162,6,245,4,4,4,18,58,121,130,23,29,219,3,0,3,20,4,0,7,0,0,19,15,< 10 mins,11/05/15,No,Place of origin,House damaged/destroyed,,>75%,No,Own,None,None,None,>75%,<25%,None,,>75%,None,CGIs,Electricity / Solar system,Plastic bed / Floor Mat / Matress,Off-site (<20 minutes),Surface water,Surface water,,No treatment,>15 liters,Odor/smell,Not so good (not hygienic),25,No,Already on site,,No,On-site,No,No,Garbage pit,No,None,No,"Yes, On-Site",Yes,Own cash,,,Yes,No,No,Diarrhea,Skin infections,None,None,0,0,0,Yes,Yes,Unknown,Yes,,off-site (< 30 mins),,Government,Yes,Yes,Yes,On site <20,Save The Children,On site <20,Government,Unknown,Unknown,,,,,,,Agriculture/Livestock,,Agriculture/Livestock,,20,No,Yes,No,,,No,,,Yes,Yes,No,,Agriculture,,Art / Craft,,No,No,,Alcohol/drug-related disturbance,None,Yes,Police,Assistance did not respond to the actual need,,1,0,Yes,Yes,Yes,Within their house,No,Yes,,,No,,,No,,,"Yes, there is lighting but it is NOT adequate",Yes,No,,No limitation,,No,Does not protect from cold,,Blanket,,Winter clothes,,Other,,In shelter where people sleep,Yes,,,Local leader,Local leader,Yes,Police,Other relief assistance,Unknown,,<1500
Nepal,4,,07/10/15,,,,,male,,,,,,female,,,,,,,,,,,,,,,,,505,Pekanas,Existed in previous rounds,Gumdel,Yes,07/06/15,,Rural,Janakpur,Ramechhap,Gumdel,,27.571626,86.375453,1545.049988,,Spontaneous,"Open ground (park, playground, sports ground, other)",,No,Unknown,"No, no vehicular access",Private,Makeshift,,No,,,,,No,,,,,,No,Janakpur,Ramechhap,,,,,,,23,129,2,7,13,34,5,61,1,3,8,15,11,24,39,9,14,68,3,3,0,4,2,0,2,0,6,2,3,< 30 mins,25/04/15,No,None (Stay here),House damaged/destroyed,,>75%,No,Own,None,None,None,<25%,>75%,None,,None,<25%,Blankets,Kitchen sets,Fire wood,Off-site (>20 minutes),Piped water (taps),Piped water (taps),,No treatment,5-10 liters,Suspended solids,Not so good (not hygienic),0,No,Provided,Self made,No,On-site,Yes,No,Burning,Yes,None,No,No,No,Own cultivated,,,No,No,No,Diarrhea,Measles,None,None,2,1,3,No,No,No,No,Too far,Off-site (1 - 2 hours),,Government,Yes,Yes,No,Off site <20,,,,<75%,<75%,Fees or costs,Lack of space in local schools,,Fees or costs,Lack of space in local schools,,Agriculture/Livestock,,Agriculture/Livestock,,10,No,Yes,No,,,No,,,No,Yes,No,,Livestock,,Agriculture,,No,No,,None,None,No,,None,,0,0,Yes,No,No,,No,No,Other,Farm,No,Latrine,,No,Latrine,,No lighting,No,No,,No limitation,,No,The shelter has holes and cracks,,Mattress / Bed,,Foam mat (floor),,Blanket,,In the open,No,,,Radio / News,Local leader,No,,Recovery plans,Yes,IDPs are living in a private land as their place of origin is prone to landslide. Not enough latrines on site. People are worried about their future  as there are no recovery plans for the IDPs.,1500 - 2500
Nepal,4,,04/09/15,,,,,male,Coordinator,,Site management,,,female,Site resident,,Site management,,,female,Site resident,,,,,,,,,,180,Mandre,Existed in previous rounds,,Yes,05/05/15,,Rural,Gandaki,Gorkha,Barpak,2,28.19506,84.72523,1353.938064,,Spontaneous,Other,Agricultural land,No,Unknown,Yes,Private,Temporary shelter,,No,,,,,Unknown,,,,,,No,Gandaki,Gorkha,Barpak,2,,,,,35,186,0,18,23,42,9,92,2,2,14,32,26,49,40,12,21,94,2,1,1,2,2,0,15,0,2,186,2,< 10 mins,25/04/15,No,Nearest Village,House damaged/destroyed,,>75%,Unknown,Own,None,None,None,>75%,<25%,None,,<25%,<25%,CGIs,Plastic bed / Floor Mat / Matress,Blankets,On-site (<20 minutes),Piped water (taps),Piped water (taps),,No treatment,10-15 liters,None,Not so good (not hygienic),12,No,Provided,Save the Children,No,On-site,No,No,Burning,No,Yes but no soap/water inside ,No,No,Yes,Food distribution,,,Yes,No,No,None,None,None,None,0,0,0,Yes,Don't know,Unknown,Yes,,Off-site (1 - 2 hours),,Government,Yes,Yes,No,On site <20,Unknown,,,>75%,>75%,Fees or costs,Lack of space in local schools,,Fees or costs,Lack of space in local schools,,Agriculture/Livestock,,Daily Wage laborer,,0,Yes,Yes,No,,,Yes,,"Saudi, Malaysia, Qatar, Dubai",Yes,Yes,Yes,In farm land of Barpak,Weaving / knitting,,Art / Craft,,Yes,No,Self organized,None,None,Yes,Police,Unknown,"People are interested to know about GBV, safe migration. They want to know more about countries, work.
1 women husband denying to make citizenship certificate because she is his 1st wife.",0,0,Yes,Unknown,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting but it is NOT adequate",Unknown,No,,Main access road,,No,Does not protect from cold,,CGIs,,Foam mat (floor),,Blanket,,In shelter separate for cooking,Don't know,,,Families & friends,Families & friends,Unknown,,Situation in areas of origin,Yes,"People want land for cultivation, they mention they are earning for someone's land. They said government should tell where they shall move because they are living in private land.",<1500
Nepal,4,,16/10/15,,,,,male,Site resident,,,,,female,Site resident,,,,,male,Coordinator,,,,,,,,,,517,Allgaun,Existed in previous rounds,,Yes,16/06/15,,Rural,Gandaki,Gorkha,Barpak,3,28.21012,84.73563,1581.321629,,Spontaneous,Other,Agricultural land,No,Unknown,"No, no vehicular access",Private,Temporary shelter,,No,,,,,Unknown,,,,,,No,Gandaki,Gorkha,Barpak,3,,,,,40,200,1,8,24,54,9,96,0,1,5,13,26,50,65,8,17,104,3,3,0,1,2,0,3,0,4,0,3,< 30 mins,28/04/15,No,None (Stay here),House damaged/destroyed,,>75%,Unknown,Own,None,None,None,>75%,<25%,None,,>75%,<50%,CGIs,Blankets,Fire wood,On-site (<20 minutes),Piped water (taps),Piped water (taps),,No treatment,10-15 liters,None,Not so good (not hygienic),5,No,Provided,"DUDBC - 2, OXFAM - 3",Unknown,On-site,Yes,No,Burning,No,Yes but no soap/water inside ,Yes,"Yes, On-Site",Yes,Food distribution,,,Unknown,No,No,Diarrhea,Measles,Jaundice,None,0,0,0,No,No,Unknown,Yes,,Off-site (1 - 2 hours),,Government,Yes,Yes,No,On site >20,Unknown,,,>75%,>75%,Fees or costs,Lack of space in local schools,,Fees or costs,Lack of space in local schools,,Agriculture/Livestock,,Agriculture/Livestock,,20,Yes,Yes,No,,,Yes,,"Saudi, Qatar, Malaysia",No,No,No,,Weaving / knitting,,Store / small business,,Yes,No,Police,None,None,Yes,Police,None,"Insufficient information about GBV, safe migration",0,0,Yes,Unknown,No,,Yes,Yes,,,Yes,,,Yes,,,"Yes, there is lighting but it is NOT adequate",No,No,,Main access road,,Don't know,,,Foam mat (floor),,Heater,,Winter clothes,,In shelter where people sleep,Yes,Improve animal shelter,,Families & friends,Radio / News,Unknown,,Situation in areas of origin,Yes,"How long to stay a live in other people's land, they wants government to send geogologist to confirm whether place of origin is safe or else. If not where to go. Landlord says he is looking for rent of land after monsoons.",1500 - 2500
Nepal,4,,30/08/15,,,,,male,Member,,Member of committee,,,male,President,,Member of committee,,,,,,,,,,,,,,38,Saraswati Vidyagriha,Existed in previous rounds,,Yes,30/04/15,,Urban,Bagmati,Bhaktapur,Bhaktapur Municipality,4,27.6756,85.4368,1334.73543,,Spontaneous,"Open ground (park, playground, sports ground, other)",,Yes,Unknown,Yes,Public/Government,Tent,,Yes,<25%,Yes,,,No,,,,,,Yes,Bagmati,Bhaktapur,Bhaktapur municipality,4,Bagmati,Sindhupalchok,,,111,527,5,7,91,153,15,271,7,12,8,15,15,106,165,61,76,256,1,1,0,12,1,0,10,0,0,6,1,< 10 mins,12/05/15,No,Place of origin,House damaged/destroyed,,>75%,No,Own,None,None,>75%,None,None,None,,<75%,<25%,CGIs,Blankets,None,Off-site (<20 minutes),Piped water (taps),Piped water (taps),,Chlorinated,10-15 liters,None,Not so good (not hygienic),11,"Yes, separate entrance/HWS",Provided,Unknown,Yes,On-site,Yes,No,Municipal Collection,No,None,Yes,"Yes, Off-site",Yes,Own cash,,,Yes,Yes,Yes,None,None,None,Some,0,0,0,Yes,No,No,Yes,,off-site (< 30 mins),,INGO,Yes,Yes,Yes,Off site <20,,On site <20,SMC,>75%,>75%,Fees or costs,None,,Fees or costs,None,,Agriculture/Livestock,,Daily Wage laborer,,50,No,No,No,,,No,,,No,Yes,No,,Art / Craft,,Driving,,No,No,,Alcohol/drug-related disturbance,None,Yes,Police,None,,0,0,Yes,Yes,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting but it is NOT adequate",Yes,No,,No limitation,,No,Does not protect from cold,,Blanket,,Mattress / Bed,,Nothing,,In the open,No,,,Families & friends,Radio / News,No,,Work opportunities,Yes,,<1500
Nepal,4,,05/10/15,,,,,male,,,,,,female,,,,,,,,,,,,,,,,,503,Jelana,Existed in previous rounds,,Yes,05/06/15,,Peri-Urban,Bagmati,Bhaktapur,Bhaktapur Municipality,2,27.674,85.421,1319.495245,,Spontaneous,Other,Agricultural land,No,Unknown,Yes,Private,Makeshift,,Yes,None,Yes,,,Yes,Local NGO,,Manabiya aastha nepal,,,Yes,Bagmati,Bhaktapur,Bhaktapur municipality,2,Bagmati,Bhaktapur,,,24,156,0,8,14,39,11,72,0,0,5,13,20,34,42,17,28,84,0,0,0,1,2,0,12,0,0,0,0,< 10 mins,25/04/15,No,Place of origin,House damaged/destroyed,,>75%,Unknown,Own,None,<25%,None,>75%,None,None,,>75%,<50%,Plastic bed / Floor Mat / Matress,Plastic bed / Floor Mat / Matress,Blankets,On-site (<20 minutes),Piped water (taps),Water truck,Municipality,Filtered,>15 liters,None,Good (Hygienic),5,"Yes, separate entrance/HWS",Provided,Manaviya Astha Nepal,No,On-site,Yes,No,Municipal Collection,No,Yes,Yes,"Yes, On-Site",Yes,Food distribution,TATA,,No,No,Yes,None,None,None,None,0,0,0,Yes,No,No,Yes,,off-site (< 30 mins),,Government,Yes,Yes,No,Off site <20,,,,>75%,>75%,Fees or costs,Distance to school,,Fees or costs,Distance to school,,Agriculture/Livestock,,Agriculture/Livestock,,90,No,Yes,No,,,No,,,No,Yes,No,,Weaving / knitting,,Store / small business,,No,No,,None,None,Yes,Police,None,,1,0,Yes,No,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting and it is adequate",Yes,No,,No limitation,,No,Does not protect from cold,,Mattress / Bed,,Blanket,,Food stock,,In shelter where people sleep,No,,,Mobile Phone,Mobile Phone,No,,Work opportunities,Yes,"Food provided by tata for 1 month, no bathrooms, need solar for loadshedding",<1500
Nepal,4,,13/10/15,,,,,male,President,,,All,,female,,,,"D,L",,,,,,,,,,,,,514,Gapali,Existed in previous rounds,,Yes,13/06/15,,Peri-Urban,Bagmati,Bhaktapur,Bhaktapur Municipality,14,27.66716,85.42522,1309.131919,,Spontaneous,"Collective Centre  (schools, offices, religious, hospital, other)",,Yes,Unknown,Yes,Private,Temporary shelter,,Yes,None,Yes,,,Yes,Individual/Private,,No specific name,,,Yes,Bagmati,Bhaktapur,Bhaktapur municipality,14,,,,,22,101,2,3,7,33,7,52,0,2,3,6,12,19,29,5,12,49,0,0,0,2,0,0,2,0,0,0,0,< 10 mins,12/05/15,No,Place of origin,House damaged/destroyed,,>75%,No,Own,None,None,<50%,<50%,None,None,,>75%,>75%,Kitchen sets,Tools,Plastic bed / Floor Mat / Matress,On-site (<20 minutes),Piped water (taps),Water truck,Municipality,No treatment,>15 liters,None,Good (Hygienic),4,No,Provided,Aastha Nepal,No,On-site,Yes,No,Municipal Collection,No,None,No,"Yes, Off-site",Yes,Own cash,,,No,No,No,Skin infections,Eye infection,None,None,0,0,0,No,No,No,No,Too expensive,Off-site (< 30 mins),,Government,Yes,Yes,No,Off site >20,,,,>75%,>75%,Fees or costs,Distance to school,,Fees or costs,Distance to school,,Craftsmen,,Daily Wage laborer,,100,No,No,No,,,No,,,No,No,No,,Weaving / knitting,,Art / Craft,,Yes,No,Self organized,None,None,Yes,Police,None,No remarkable comment,0,0,Yes,No,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting and it is adequate",No,No,,No limitation,,No,Does not protect from cold,,Mattress / Bed,,Tools,,Blanket,,In shelter where people sleep,No,,,Mobile Phone,Mobile Phone,No,,Work opportunities,No,"No lights in toilets 
No bathrooms 
no access to food",<1500
Nepal,4,,11/12/15,,,,,male,Leader,,,All,,female,Local,,,,,,,,,,,,,,,,600,Jana Sewa Sibir,Newly emerged,,Yes,11/08/15,,Peri-Urban,Bagmati,Bhaktapur,Bhaktapur Municipality,14,27.668625,85.426138,1312.48476,,Spontaneous,"Open ground (park, playground, sports ground, other)",,No,Unknown,Yes,Public/Government,Temporary shelter,,Yes,None,Yes,,,No,,,,,,Yes,Bagmati,Bhaktapur,Bhaktapur municipality,14,,,,,42,210,1,8,24,51,13,97,1,2,0,8,10,34,82,20,33,113,0,0,0,2,0,0,15,0,15,0,1,< 10 mins,25/04/15,No,Place of origin,House damaged/destroyed,,<75%,No,Own,None,None,<25%,<75%,None,Unknown,,<75%,None,Blankets,Plastic bed / Floor Mat / Matress,Support for livelihood,On-site (<20 minutes),Water truck,Water truck,Municipality,SODIS / Aqua Tabs,10-15 liters,None,Not so good (not hygienic),3,No,Provided,Local club,No,On-site,Yes,No,Burning,No,None,Yes,"Yes, On-Site",Yes,Food distribution,,,No,Yes,No,Skin infections,Common cold,None,None,0,0,0,No,No,No,Unknown,,None,,None,Yes,Yes,No,On site <20,Government,,,<75%,<75%,Fees or costs,None,,Fees or costs,None,,Daily Wage laborer,,Daily Wage laborer,,0,No,No,No,,,No,,,No,No,No Answer,,Art / Craft,,Store / small business,,Yes,Unknown,Police,None,None,Yes,Police,None,Lots of them have lost their citizenship,0,0,No,No,No,,No,No,Other,Fear of flood,Yes,,,Yes,,,"Yes, there is lighting but it is NOT adequate",No,No,,School,,No,Does not protect from cold,,Winter clothes,,Blanket,,Mattress / Bed,,In the open,No,,,Social Media,Radio / News,No,,Distribution,Yes,"Toilet, child care services (depressed children), lack of food, flood fear, cgis needed",<1500
Nepal,4,,15/12/15,,,,,male,,,,,,female,Secretary,,,,,,,,,,,,,,,,607,Libali,Newly emerged,Pundyabhumi,Yes,15/08/15,,Peri-Urban,Bagmati,Bhaktapur,Bhaktapur Municipality,2,27.66921,85.44234,1313.094367,,Spontaneous,"Open ground (park, playground, sports ground, other)",,No,Unknown,Yes,Public/Government,Temporary shelter,,Yes,<25%,Yes,,,No,,,,,,Yes,Bagmati,Bhaktapur,Bhaktapur municipality,2,Bagmati,,,,46,223,2,8,13,63,15,101,0,2,12,20,26,39,69,15,30,122,0,0,0,2,3,0,2,0,2,0,0,< 10 mins,20/07/15,Yes,Place of Habitual residence,House damaged/destroyed,,>75%,No,Own,None,None,None,>75%,None,None,,>75%,None,Cooking gas,Kitchen sets,None,On-site (<20 minutes),Water truck,Water truck,Municipality,Filtered,>15 liters,None,Good (Hygienic),10,No,Provided,Truck Entrepreneur Association,No,On-site,Yes,No,Municipal Collection,No,None,No,No,Yes,Own cash,,,No,Yes,Yes,None,None,None,None,0,3,3,No,No,No,Yes,,off-site (< 30 mins),,Government,Yes,Yes,No,Off site <20,,,,>75%,>75%,Fees or costs,None,,Fees or costs,None,,Craftsmen,,Craftsmen,,90,Yes,No,No,,,No,,,No,Yes,No,,Art / Craft,,Store / small business,,No,No,,None,None,Yes,VDC office,None,No remarkable issues,0,0,Yes,No,No,,No,Yes,,,No,Latrine,,No,Latrine,,No lighting,No,No,,No limitation,,No,Does not protect from cold,,Mattress / Bed,,Foam mat (floor),,Winter clothes,,In shelter where people sleep,No,,,Mobile Phone,Mobile Phone,Yes,Site management,Recovery plans,Yes,Acute water shortage in this site. Need immediate attention!,<1500
Nepal,4,,23/10/15,,,,,M,,,,,,male,,,,,,,,,,,,,,,,,526,Company Danda,Existed in previous rounds,,Yes,23/06/15,,Peri-Urban,Janakpur,Dolakha,Bhimeshwor Municipality,6,27.37507,86.04651,632.7724945,,Spontaneous,"Open ground (park, playground, sports ground, other)",,No,<2 months,Yes,Public/Government,Temporary shelter,,No,,,,,No,,,,,,No,Janakpur,Dolakha,Bhimeshwor municipality,6,,,,,21,99,2,6,13,28,3,52,0,2,2,8,18,31,26,1,4,47,2,2,0,6,0,0,0,0,1,18,0,< 30 mins,12/05/15,No,Place of origin,Fear of landslide/aftershock,,>75%,No,Own,None,None,None,>75%,None,None,,>75%,>75%,Cooking gas,Kitchen sets,None,On-site (<20 minutes),Friends / relatives / nearby community,Friends / relatives / nearby community,,No treatment,5-10 liters,None,Non usable,1,No,Provided,Samaritan Purse,No,Off-site,No,No,No System,Yes,None,Yes,"Yes, On-Site",Yes,Own cash,,,No,Yes,Yes,Diarrhea,None,None,None,0,0,0,Yes,No,No,Yes,,Off-site (1 - 2 hours),,"Government, Private practitioners",Yes,Yes,No,Off site <20,,,,<50%,<50%,Working,None,Housework,Working,None,Housework,Trade,,Trade,,80,Yes,Yes,No,,,No,,,No,Yes,No,,Weaving / knitting,,Store / small business,,No,No,,Alcohol/drug-related disturbance,None,Yes,Police,None,NA,0,0,Yes,Yes,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting but it is NOT adequate",Yes,Don't know,,No limitation,,No,Does not protect from cold,,Fuel,,Blanket,,Tools,,In shelter where people sleep,Yes,Improve animal shelter,,Radio / News,Radio / News,Yes,Police,Shelter,Yes,People are scared to go back to thier place of origin as it is monsoon and majority houses are near to Tamakoshi River which face risk of flood.,<1500
