country,round,Column1,survey_date,Column2,Column3,enum_sex,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,site_id,site_name,Column28,Column29,site_open,site_date_open,site_date_close,site_location,site_zone,site_district,site_municipality,Column30,site_latitude,site_longitude,Column31,Column32,site_class,site_type,Column33,Column34,site_date_close_exp,Column35,Column36,site_access,Column37,site_owner,site_shelter,Column38,smc_exist,smc_per_female,site_community,Column39,Column40,sma_exist,sma_type,Column41,sma_name,Column42,Column43,regist_activity,origin_zone,origin_district,origin_municipality,Column44,Column45,Column46,Column47,Column48,n_family,n_total,n_infants_male,n_child_male,n_youth_male,n_adult_male,n_elder_male,n_male,n_infants_female,n_infants,n_child_female,n_child,n_youth_female,n_youth,n_adult_female,n_adult,n_elder_female,n_elder,n_female,n_pregnant,n_pregnant_adult,n_pregnant_youth,n_lactating,n_pwd,n_child_sep,n_hoh_female,n_hoh_child,n_hoh_elder,n_min_ethnic,n_chronic_ill,site_dist_origin,site_idp_last,prev_displaced,return_area,Column49,return_prevent,Column50,per_sleep_site,Column51,prev_own,per_hh_outside,per_hh_indoors,per_hh_tents,Column52,per_hh_makeshift,Column53,Column54,per_hh_electricity,per_hh_safecook,nfi_a,Column55,nfi_b,Column56,nfi_c,Column57,water_location,Column58,water_source_np,Column59,water_source_p,Column60,Column61,water_treated,Column62,water_cons,water_remark,Column63,latrine_cond,n_latrine,latrine_gender,n_latrine_male,n_latrine_female,Column64,n_latrine_disable,Column65,latrine_install,Column66,latrine_site,latrine_time,Column67,bathing_gender,latrine_light,latrine_lock,Column68,Column69,hyg_evidence,Column70,hyg_waste,Column71,hyg_open_def,food_access,food_market,Column72,food_source,Column73,Column74,food_fuel,Column75,Column76,Column77,food_sup_lac,food_sup_child,health_issue,Column78,health_issue_b,Column79,health_issue_c,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89,health_psych,health_psych_rem,health_antenat,Column90,Column91,health_center_dist,Column92,health_provider,Column93,Column94,edu_access,edu_access_f,edu_access_i,edu_distance,Column95,Column96,Column97,per_sch_female,per_sch_male,Column98,Column99,Column100,Column101,Column102,Column103,Column104,Column105,Column106,Column107,Column108,Column109,Column110,Column111,Column112,Column113,job_main,job_main_other,n_hh_income,job_access,Column114,job_cattle_site,job_offer,job_offer_how,Column115,job_offer_to,job_abr,Column116,job_abr_in,job_abr_family,job_recruit,Column117,food_land,Column118,Column119,Column120,Column121,sec_provided,sec_reported,sec_provider,Column122,sec_issue,Column123,Column124,Column125,Column126,Column127,Column128,n_space_child,n_space_female,Column129,gbv_report,sec_mens_seg,Column130,sec_min_discriminate,safe_male,site_unsafe_male,Column131,safe_child,site_unsafe_child,Column132,safe_female,site_unsafe_female,Column133,site_lighting,hyg_f_product,Column134,Column135,Column136,Column137,Column138,Column139,Column140,Column141,Column142,Column143,Column144,Column145,Column146,Column147,Column148,Column149,Column150,Column151,Column152,Column153,Column154,Column155,Column156,Column157,Column158,Column159,Column160,Column161,Column162,Column163,Column164,Column165,Column166,Column167,Column168,Column169,support_problem,Column170,info_src_female,Column171,info_src_male,Column172,info_complaint,Column173,info_main,Column174,info_free,Column175,<1500
Nepal,6,,04/03/16,,,female,,male,,,,,,female,,,,,,,,,,,,,,,,,525,Pauwa,Existing site,Bhumlutaar,Yes,26/04/15,,Rural,Bagmati,Kavrepalanchok,Bhumlutar,7,27.38205,85.43201,715.6791027,,Spontaneous,"Open ground (park, playground, sports ground, other)",,No,Unknown,Not closing,,Yes,Yes,Public/Government,Temporary shelter (CGIs),,No,,,,,No,,,,,,No,Bagmati,Kavrepalanchok,,7,,,,,22,145,0,9,18,33,7,67,2,2,5,14,20,38,42,75,9,16,78,0,0,0,5,2,0,10,0,3,0,4,30 mins - 1 hour,14/05/15,No,Place of origin,,House damaged/destroyed,,>75%,No,>75%,None,None,None,>75%,None,None,,>75%,51% to 75%,CGIs,,Tools,,Support in reconstruction,,Off-site (Less than 20 minutes),Yes,Piped water supply,,Piped water supply,,,No treatment,,>15 liters,None,,Good (Hygienic),5,No,0,0,0,0,0,Built by displaced communities,,On-site,Both times,Yes,No,Yes,Yes,0,,,,Burning,,No,No,No,1-2 hours,Own cash,,,Yes,Collect personally,,No,No,No,None,,None,,None,,0,2,0,2,0,0,0,Yes,Yes,No,,Yes,,,Off-site (1-2 hours),,Government,,Yes,Yes,Yes,No,Off-site (More than 20 minutes),,,,25% to 50%,25% to 50%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Agriculture/Livestock,,50,Yes,Lower,Yes,No,,,,No,,,No,No,,Yes,Weaving/knitting,,Store/small business,,No,No,,,None,,None,,No,No,,0,0,Yes,No,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting and it is adequate",No,75,51%-75%,Yes,No,10000,"10,000-24,999",,,10000,"10,000-24,999","Buy clothes, blankets, etc.",,0,No winterization assistance,,,,,,,,,,,,,,,None,None,No,No,No,No,,,Assistance delivered to site not distributed to residents,,Authorities,,Social Media,,No,,Other relief assistance,,Yes,,<1500
Nepal,6,,27/02/16,,,male,,male,Member,,,Ki,,female,,,,Ki,,male,,,,Fgd,,female,,,,Fgd,521,Sikre,Existing site,,Yes,25/05/15,,Rural,Bagmati,Sindhupalchok,Attapur,8,27.68249,85.89162,2021.458181,,Spontaneous,Community forest,,No,Unknown,Not closing,,Yes,No,Public/Government,Temporary shelter (CGIs),,Yes,<25%,Yes,,,Yes,International NGO,,ACTED,,,Yes,Bagmati,Sindhupalchok,Attapur,8,Bagmati,Sindhupalchok,Jethal,7,146,462,7,44,65,102,29,247,20,27,20,64,44,109,95,197,36,65,215,3,3,0,30,13,3,3,0,0,467,12,<10 mins,27/05/15,No,None (Stay here),,House damaged/destroyed,,>75%,No,>75%,None,None,None,>75%,None,None,,>75%,25% to 50%,None,,None,,None,,Off-site (More than 20 minutes),Yes,Surface water,,Piped water supply,,,No treatment,,>15 liters,None,,Good (Hygienic),60,No,0,0,0,0,0,Provided,Christen Aid,On-site,Both times,Yes,No,No,Yes,0,,,,Garbage pit,,No,"Yes, Off-site",Yes,Less than 1 hour,Own cash,,,Yes,Collect personally,,No,No,No,None,,None,,None,,0,11,1,12,1,0,1,Yes,No,No,,Yes,,,Off-site (More than 2 hours),,Government,,No,Yes,Yes,No,Off-site (Less than 20 minutes),,,,>75%,>75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Agriculture/Livestock,,5,No,Lower,Yes,No,,,,No,,,No,No,,Yes,Agriculture,,Agriculture,,No,No,,,Alcohol/drug-related disturbance,,Psychological/Emotional abuse,,Yes,Unknown,School is very far from lover primary student,0,0,Yes,Unknown,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting and it is adequate",No,100,>75%,Yes,No,10000,"10,000-24,999",,,10000,"10,000-24,999","Buy clothes, blankets, etc.",,100,>75%,ACTED,Yes,Yes,Yes,,,,Yes,,,,,,On-site,,,,,,Yes,,,None,,Mobile phone,,Mobile phone,,No,,Shelter,,Yes,Dont want leave the site,1500 - 2500
Nepal,6,,26/02/16,,,male,,male,Member,,,Ki,,female,Treaserer,,,Ki,,male,President,,,Fgd,,female,Member,,,Fgd,496,Barahbise,Existing site,,Yes,27/05/15,,Urban,Bagmati,Sindhupalchok,Barabishe,8,27.78996,85.89909,877.2250671,,Spontaneous,"Collective centre  (schools, offices, religious, hospital, other)",,No,Unknown,Not closing,,Yes,No,Private,Makeshift/tarpaulin shelter,,Yes,25% to 50%,No,,,Yes,International NGO,,ACTED,,,Yes,Bagmati,Sindhupalchok,Barabishe,8,Bagmati,Sindhupalchok,Ramche,1,140,513,14,49,42,112,35,252,14,28,35,84,56,98,135,247,21,56,261,3,3,0,25,3,0,3,0,50,450,16,<10 mins,23/05/15,No,None (Stay here),,House damaged/destroyed,,>75%,No,>75%,None,None,<25%,<25%,51% to 75%,None,,>75%,25% to 50%,CGIs,,Kitchen sets,,Tools,,Off-site (More than 20 minutes),No,Surface water,,Piped water supply,,,No treatment,,>15 liters,None,,Good (Hygienic),6,No,0,0,0,0,0,Provided,Novel college and some oypther org.,On-site,Both times,Yes,No,No,Yes,0,,,,Garbage pit,,No,"Yes, Off-site",Yes,Less than 1 hour,Own cash,,,Yes,Collect personally,,No,Yes,Yes,Cough,,Cold,,Skin infections,,0,3,0,3,0,0,0,Yes,No,No,,Yes,,,Off-site (Less than 30 minutes),,Local clinic/medical practitioners,,Yes,Yes,Yes,No,Off-site (Less than 20 minutes),,,,>75%,>75%,None,,,None,,,None,,,None,,,Yes,Yes,Trade,,Trade,,60,No,Similar,No,No,,,,No,,,No,No,,No,Art/Craft,,Store/small business,,No,No,,,None,,None,,Yes,Unknown,,0,0,Yes,Yes,No,,No,Yes,,,No,Toilet,,No,Toilet,,"Yes, there is lighting and it is adequate",Yes,100,>75%,Yes,No,10000,"10,000-24,999",,,10000,"10,000-24,999","Buy clothes, blankets, etc.",,100,>75%,ACTED,Yes,Yes,Yes,,,,,,,,,,On-site,,,,,,Yes,,,None,,Mobile phone,,Mobile phone,,No,,Recovery plans,,No,Problem while distrobuting,<1500
Nepal,6,,22/02/16,,,male,,male,Chairman,,,,,female,SMC member,,,,,,,,,,,,,,,,180,Mandre,Existing site,,Yes,26/04/15,,Rural,Gandaki,Gorkha,Barpak,2,28.19506,84.72523,1353.938064,,Spontaneous,"Open ground (park, playground, sports ground, other)",,No,Unknown,Unknown,,Yes,No,Private,Temporary shelter (CGIs),,Yes,<25%,Yes,,,Yes,International NGO,,People in Need,,,Yes,Gandaki,Gorkha,Barpak,3,,,,,34,172,7,11,27,38,7,90,4,11,13,24,20,47,36,74,9,16,82,2,2,0,9,2,0,16,0,3,34,0,10-30 minutes,15/05/15,Yes,None (Stay here),,Fear of landslide/aftershock,,>75%,Unknown,>75%,None,<25%,None,>75%,None,None,,None,None,CGIs,,Support in reconstruction,,Cooking gas,,On-site,Yes,Piped water supply,,Piped water supply,,,No treatment,,<5 liters,None,,Good (Hygienic),20,No,0,0,0,0,0,Built by displaced communities,,On-site,Day time,Yes,No,No,No,0,,,,Burning,,No,No,Yes,1-2 hours,Own cash,,,Yes,Collect personally,,No,No,No,Cough,,Skin infections,,None,,0,0,0,0,0,0,0,Yes,No,Unknown,,Yes,,,Off-site (1-2 hours),,Government,,Yes,Yes,Yes,No,On-site (Less than 20 minutes),Government,,,>75%,>75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Agriculture/Livestock,,5,Yes,Lower,Yes,No,,,,No,,,No,No,,Yes,Weaving/knitting,,construction,,No,No,,,None,,None,,Yes,Unknown,,0,0,Yes,Unknown,No,,No,Yes,,,Yes,,,Yes,,,No lighting,Yes,90,>75%,Yes,No,10000,"10,000-24,999",,,10000,"10,000-24,999","Buy clothes, blankets, etc.",,90,>75%,"IOM, Care Nepal",,Yes,Yes,,Yes,,,,,,,,On-site,,,,,,Yes,,,Not enough assistance for all entitled,,Radio/Newspaper,,Radio/Newspaper,,Unknown,,Situation in areas of origin,,Yes,,<1500
Nepal,6,,23/02/16,,,male,,male,Advisor,,,,,female,SMC member,,,,,,,,,,,,,,,,502,RCB,Existing site,,Yes,26/04/15,,Rural,Gandaki,Gorkha,Barpak,4,28.20612,84.74176,1847.720068,,Spontaneous,"Open ground (park, playground, sports ground, other)",,No,Unknown,Not closing,,Yes,Yes,Public/Government,Temporary shelter (CGIs),,Yes,25% to 50%,Yes,,,Yes,International NGO,,People in Need,,,Yes,Gandaki,Gorkha,Barpak,5,,,,,43,257,4,9,32,56,13,114,11,15,37,46,30,62,54,110,11,24,143,1,1,0,2,1,0,4,0,0,256,0,10-30 minutes,15/06/15,Yes,None (Stay here),,Fear of landslide/aftershock,,>75%,No,>75%,None,<25%,None,>75%,None,None,,None,>75%,CGIs,,None,,None,,On-site,No,Piped water supply,,Piped water supply,,,Filtered,,<5 liters,None,,Not so good (not hygienic),4,No,0,0,0,0,0,Provided,"Care, DUDBC",On-site,Day time,No,No,No,No,3,No,No,No,Burning,,No,"Yes, On-Site",Yes,Less than 1 hour,Own cash,,,Yes,Collect personally,,No,No,No,Skin infections,,Cold,,None,,0,0,0,0,0,0,0,No,No,No,,Yes,,,Off-site (Less than 30 minutes),,Government,,Yes,Yes,Yes,No,Off-site (Less than 20 minutes),,,,>75%,>75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Daily wage laborer,,6,Yes,Lower,Yes,No,,,,No,,,No,Yes,Gulf countries,No,Agriculture,,Agriculture,,Yes,No,Police,,None,,None,,Yes,Unknown,,0,0,Yes,Unknown,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting but it is NOT adequate",Yes,100,>75%,Yes,Yes,10000,"10,000-24,999",7500,"Less than 10,000",17500,"10,000-24,999",Buy food,,100,>75%,"IOM, Care Nepal",,Yes,Yes,,,,,,,,,,On-site,,,,,,Yes,,,None,,Authorities,,Authorities,,Unknown,,For how long the site will remain active,,Yes,Will stay here until gov. Decision. 10 hhs need to be relocated within site due to constucting SHP in the same place where those 10 hhs were there.,1500 - 2500
Nepal,6,,22/02/16,,,male,,male,SMC member,,,,,male,SMC member,,,,,,,,,,,,,,,,517,Allgaun,Existing site,,Yes,26/04/15,,Rural,Gandaki,Gorkha,Barpak,3,28.21012,84.73563,1581.321629,,Spontaneous,"Open ground (park, playground, sports ground, other)",,No,Unknown,Not closing,,"No,  no vehicular access",No,Private,Temporary shelter (CGIs),,Yes,<25%,Yes,,,Yes,International NGO,,People in Need,,,Yes,Gandaki,Gorkha,Barpak,3,,,,,28,175,1,6,17,48,11,83,4,5,8,14,29,46,34,82,17,28,92,1,1,0,3,1,0,4,0,2,175,0,10-30 minutes,18/10/15,Yes,None (Stay here),,Fear of landslide/aftershock,,>75%,No,>75%,None,None,None,>75%,None,None,,None,51% to 75%,CGIs,,Support in reconstruction,,None,,On-site,Yes,Piped water supply,,Piped water supply,,,Filtered,,<5 liters,None,,Good (Hygienic),5,No,0,0,0,0,0,Provided,DUDBC,On-site,Day time,Unknown,No,No,Yes,2,No,No,No,Burning,,No,No,Yes,1-2 hours,Own cash,,,Yes,Collect personally,,No,No,No,Skin infections,,None,,None,,0,3,0,3,0,0,0,Yes,No,Unknown,,Yes,,,Off-site (1-2 hours),,Government,,Yes,Yes,Yes,No,On-site (Less than 20 minutes),DNA,,,>75%,>75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Agriculture/Livestock,,5,No,Lower,Yes,No,,,,No,,,No,Unknown,,Yes,Weaving/knitting,,construction,,No,No,,,None,,None,,Yes,Unknown,,0,0,Yes,Unknown,No,,No,Yes,,,Yes,,,Yes,,,No lighting,Yes,80,>75%,Yes,No,10000,"10,000-24,999",,,10000,"10,000-24,999","Buy clothes, blankets, etc.",,90,>75%,"IOM, Care Nepal",,Yes,,,Yes,,,,,,,,Off-site (Less than 1 hour),On-foot,,No,Yes,No,Yes,,,None,,Families & friends,,Mobile phone,,Unknown,,Situation in areas of origin,,Yes,"Stay here, training provided by care for shelter, planting cash crops and can not return to place of origin.",1500 - 2500
Nepal,6,,29/02/16,,,male,,male,,,Social worker,,,female,,,Social worker,,,,,,,,,,,,,,627,Rutuka,Existing site,,Yes,15/05/15,,Rural,Gandaki,Gorkha,Barpak,2,28.2013,84.73241,1567.9,,Spontaneous,"Open ground (park, playground, sports ground, other)",,No,Unknown,Unknown,,Yes,Yes,Private,Temporary shelter (CGIs),,No,,,,,Yes,International NGO,,People in Need,,,No,Gandaki,Gorkha,Barpak,2,,,,,25,157,1,5,15,43,11,75,4,5,8,13,26,41,30,73,14,25,82,2,2,0,2,4,0,3,0,8,157,4,10-30 minutes,18/10/15,No,None (Stay here),,Fear of landslide/aftershock,,>75%,No,>75%,None,None,None,>75%,<25%,None,,None,>75%,CGIs,,Support in reconstruction,,None,,On-site,Yes,Piped water supply,,Piped water supply,,,Boiled,,5-10 liters,Suspended solids,,Not so good (not hygienic),13,No,0,0,0,0,0,Provided,Save the children,On-site,Day time,No,No,No,No,5,No,No,No,Burning,,No,No,Yes,Less than 1 hour,Own cash,,,Yes,Collect personally,,No,No,No,None,,None,,None,,0,4,0,4,0,0,0,Yes,No,No,,Yes,,,On-site,Government,Government,,Yes,Yes,Yes,No,Off-site (More than 20 minutes),,,,>75%,>75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Agriculture/Livestock,,30,No,Similar,Yes,No,,,,Unknown,,,No,No,,Yes,Weaving/knitting,,construction,,Yes,No,Self organized,,None,,None,,Yes,Unknown,,0,0,Yes,Unknown,No,,No,Yes,,,Yes,,,No,Washing areas,,No lighting,Yes,100,>75%,Yes,No,10000,"10,000-24,999",,,10000,"10,000-24,999",Repair damaged houses,,100,>75%,"IOM, Care Nepal, SSICDC",,Yes,,,Yes,,,,,Yes,,,Off-site (Less than 1 hour),On-foot,,No,Yes,No,Yes,,,None,,Families & friends,,Mobile phone,,Unknown,,For how long the site will remain active,,Yes,None stay here until monsoon.,1500 - 2500
Nepal,6,,23/02/16,,,male,,male,SMC secretary,,,,,female,SMC member,,,,,,,,,,,,,,,,501,Chombar,Existing site,,Yes,14/05/15,,Rural,Gandaki,Gorkha,Gorkha,8,28.20207,84.73583,1733.113875,,Spontaneous,"Open ground (park, playground, sports ground, other)",,No,Unknown,Not closing,,Yes,Yes,Private,Tent,,Yes,>75%,Yes,,,Yes,International NGO,,People in Need,,,Yes,Gandaki,Gorkha,Barpak,1,Gandaki,Gorkha,Barpak,,44,236,7,4,44,57,7,119,9,16,11,15,29,73,55,112,13,20,117,1,1,0,4,1,0,5,0,4,235,0,30 mins - 1 hour,15/05/15,Yes,None (Stay here),,Fear of landslide/aftershock,,25% to 50%,No,>75%,None,None,>75%,<25%,None,None,,None,>75%,CGIs,,Support in reconstruction,,Water supply,,On-site,Yes,Piped water supply,,Piped water supply,,,No treatment,,<5 liters,None,,Not so good (not hygienic),4,"Yes, separate entrance/Hand Washing Station",2,2,0,0,2,Provided,Save the children,On-site,Day time,No,No,No,No,0,,,,Burning,,No,No,Yes,Less than 1 hour,Own cash,,,Yes,Collect personally,,No,No,No,None,,None,,None,,0,0,0,0,0,0,0,Yes,No,Unknown,,Yes,,,Off-site (Less than 30 minutes),,Government,,Yes,Yes,Yes,No,Off-site (More than 20 minutes),,,,>75%,>75%,None,,,None,,,None,,,None,,,Yes,Yes,Craftsmen,,Agriculture/Livestock,,50,No,Lower,No,No,,,,No,,,Yes,No,,Yes,Weaving/knitting,,Agriculture,,No,No,,,None,,None,,Yes,Unknown,,0,0,Yes,Unknown,No,,No,Yes,,,Yes,,,No,Washing areas,,No lighting,Yes,90,>75%,Yes,Yes,10000,"10,000-24,999",2000,"Less than 10,000",12000,"10,000-24,999","Buy clothes, blankets, etc.",,90,>75%,"IOM, Care Nepal",,Yes,,,,,,,,Yes,,,On-site,,,,,,Yes,,,None,,Families & friends,,Families & friends,,No,,None,,Yes,,1500 - 2500
Nepal,6,,23/02/16,,,female,,female,Committee Member,,Management,,,,,,,,,,,,,,,,,,,,620,Bramhayanipeeth 2,Existing site,,Yes,26/06/15,,Urban,Bagmati,Bhaktapur,Bhaktapur Municipality,1,27.6746833,85.4432667,1321.9,,Spontaneous,"Open ground (park, playground, sports ground, other)",,No,Unknown,Unknown,,Yes,Yes,Public/Government,Temporary shelter (CGIs),,Yes,25% to 50%,Yes,,,Yes,International NGO,,IOM,,,No,Bagmati,Bhaktapur,Bhaktapur Municipality,1,Bagmati,Bhaktapur,Bhaktapur Municipality,5,20,100,0,3,5,35,2,45,1,1,2,5,15,20,34,69,3,5,55,1,1,0,3,0,0,0,0,1,0,0,10-30 minutes,15/08/15,No,Place of origin,,House damaged/destroyed,,>75%,No,>75%,None,None,None,>75%,None,None,,>75%,>75%,Solar light,,None,,Water supply,,Off-site (Less than 20 minutes),No,Protected Well,,Piped water supply,,,No treatment,,>15 liters,None,,Not so good (not hygienic),2,No,0,0,0,0,0,Provided,ENPHO,On-site,Both times,No,No,Yes,No,0,,,,Garbage pit,,No,No,Yes,Less than 1 hour,Own cash,,,Yes,Collect personally,,No,No,No,Cough,,Cold,,None,,1,0,0,0,0,0,0,No,No,No,,Yes,,,Off-site (Less than 30 minutes),,Government,,Yes,Yes,Yes,No,Off-site (Less than 20 minutes),,,,>75%,>75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Agriculture/Livestock,,60,Yes,Lower,Yes,No,,,,No,,,No,No,,Yes,Other,Employment,Store/small business,,Yes,Yes,Self organized,,None,,None,,Yes,Yes,Self organised,0,0,Yes,Yes,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting and it is adequate",Yes,100,>75%,Yes,No,25000,"25,000 or more",,,25000,"25,000 or more","Buy clothes, blankets, etc.",,100,>75%,IOM,,,Yes,,,,,,,,,,On-site,,,,,,Yes,,,None,,Families & friends,,Families & friends,,Yes,SMC,Recovery plans,,Yes,"Facilities for debris removal, not enough water, access to income generating activities",<1500
Nepal,6,,23/02/16,,,female,,male,Coordinator,,Management,Overall,,,,,,,,,,,,,,,,,,,607,Libali,Existing site,,Yes,01/08/15,,Urban,Bagmati,Bhaktapur,Bhaktapur Municipality,2,27.66921,85.44234,1313.094367,,Spontaneous,"Open ground (park, playground, sports ground, other)",,No,Unknown,Unknown,,Yes,Yes,Public/Government,Temporary shelter (CGIs),,Yes,25% to 50%,Yes,,,Yes,International NGO,,IOM,,,Yes,Bagmati,Bhaktapur,Bhaktapur Municipality,2,Bagmati,Bhaktapur,Bhaktapur Municipality,1,42,251,3,12,29,68,10,122,0,3,4,16,44,73,71,139,10,20,129,1,1,0,3,3,0,5,0,3,0,1,10-30 minutes,01/08/15,No,Place of origin,,House damaged/destroyed,,>75%,No,>75%,None,None,None,>75%,None,None,,>75%,<25%,None,,None,,None,,On-site,No,Protected Well,,Water truck,,Self organised,No treatment,,>15 liters,Taste,,Not so good (not hygienic),10,"Yes, next to each other/same HWS",5,5,0,0,0,Provided,Khwopa Engineering college,On-site,Both times,Yes,No,No,Yes,0,,,,Garbage pit,,No,No,Yes,Less than 1 hour,Own cash,,,Yes,Collect personally,,No,No,No,None,,None,,None,,0,1,2,3,0,0,0,No,No,No,,Yes,,,Off-site (Less than 30 minutes),,Government,,Yes,Yes,Yes,No,Off-site (Less than 20 minutes),,,,>75%,>75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Agriculture/Livestock,,60,Yes,Lower,No,No,,,,No,,,No,No,,Yes,Store/small business,,Store/small business,,Yes,Yes,Self organized,,None,,None,,Yes,Yes,Self organised,0,0,Yes,Yes,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting and it is adequate",Yes,100,>75%,Yes,No,25000,"25,000 or more",,,25000,"25,000 or more","Buy clothes, blankets, etc.",,100,>75%,IOM,,,Yes,,,,,,,,,,On-site,,,,,,Yes,,,None,,Site management,,Site management,,Yes,SMC,Recovery plans,,Yes,"Not enough water, access to income generating activities,",<1500
