country,round,Column1,survey_date,Column2,enum_sex,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,site_id,site_name,Column27,Column28,site_open,site_date_open,site_date_close,site_location,site_zone,site_district,site_municipality,Column29,site_latitude,site_longitude,Column30,Column31,site_class,site_type,Column32,Column33,site_date_close_exp,Column34,Column35,site_access,Column36,site_owner,site_shelter,Column37,smc_exist,smc_per_female,site_community,Column38,Column39,sma_exist,sma_type,Column40,sma_name,Column41,Column42,regist_activity,origin_zone,origin_district,origin_municipality,Column43,Column44,Column45,Column46,Column47,n_family,n_total,n_infants_male,n_child_male,n_youth_male,n_adult_male,n_elder_male,n_male,n_infants_female,n_infants,n_child_female,n_child,n_youth_female,n_youth,n_adult_female,n_adult,n_elder_female,n_elder,n_female,n_pregnant,n_pregnant_adult,n_pregnant_youth,n_lactating,n_pwd,n_child_sep,n_hoh_female,n_hoh_child,n_hoh_elder,n_min_ethnic,n_chronic_ill,site_dist_origin,site_idp_last,prev_displaced,return_area,Column48,return_prevent,Column49,per_sleep_site,Column50,prev_own,per_hh_outside,per_hh_indoors,per_hh_tents,Column51,per_hh_makeshift,Column52,Column53,per_hh_electricity,per_hh_safecook,nfi_a,Column54,nfi_b,Column55,nfi_c,Column56,water_location,Column57,water_source_np,Column58,water_source_p,Column59,Column60,water_treated,Column61,water_cons,water_remark,Column62,latrine_cond,n_latrine,latrine_gender,n_latrine_male,n_latrine_female,Column63,n_latrine_disable,Column64,latrine_install,Column65,latrine_site,latrine_time,Column66,bathing_gender,latrine_light,latrine_lock,hyg_station,Column67,hyg_evidence,Column68,hyg_waste,Column69,hyg_open_def,food_access,food_market,Column70,food_source,Column71,Column72,food_fuel,Column73,Column74,Column75,food_sup_lac,food_sup_child,health_issue,Column76,health_issue_b,Column77,health_issue_c,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89,Column90,Column91,health_psych,health_psych_rem,health_antenat,Column92,Column93,health_center_dist,Column94,health_provider,Column95,Column96,edu_access,edu_access_f,edu_access_i,edu_distance,Column97,Column98,Column99,per_sch_female,per_sch_male,Column100,Column101,Column102,Column103,Column104,Column105,Column106,Column107,Column108,Column109,Column110,Column111,Column112,Column113,Column114,Column115,job_main,job_main_other,n_hh_income,job_access,Column116,job_cattle_site,job_offer,job_offer_how,Column117,job_offer_to,job_abr,Column118,job_abr_in,job_abr_family,job_recruit,Column119,food_land,Column120,Column121,Column122,Column123,sec_provided,sec_reported,sec_provider,Column124,sec_issue,Column125,Column126,Column127,Column128,Column129,Column130,n_space_child,n_space_female,Column131,gbv_report,sec_mens_seg,Column132,sec_min_discriminate,safe_male,site_unsafe_male,Column133,safe_child,site_unsafe_child,Column134,safe_female,site_unsafe_female,Column135,site_lighting,hyg_f_product,Column136,Column137,Column138,Column139,Column140,Column141,Column142,Column143,Column144,Column145,Column146,Column147,Column148,Column149,Column150,Column151,Column152,Column153,Column154,Column155,Column156,Column157,Column158,Column159,info_src_female,Column160,info_src_male,Column161,info_complaint,Column162,Column163,Column164,info_main,Column165,info_free,Column166,Column167,Column168,Column169,Column170,Column171,Column172,Column173,Column174,Column175
Nepal,7,,10/05/16,,Female,,Female,,,,,,,,,,,,,,,,,,,,,,,203,Hope Esparanza,Existed in R6,,Open,16/05/2015,,Urban,Bagmati,Kathmandu,Kathmandu Municipality ,6,27.7,85.3559,1331.992197,,Spontaneous,"Open ground (park, playground, sports ground, other)",,No,Don't know,Not closing,,Yes,Yes,Public/Government,Makeshift/tarpaulin shelter,,Yes,25% or less,Yes,,,Yes,International NGO,,IOM,,,Yes,Bagmati,Sindhupalchok,ArmaShingti,6,Bagmati,Sindhupalchok,Bhumachaur,7,90,333,4,8,40,89,19,160,4,8,9,17,44,84,105,194,11,30,173,0,0,0,10,6,6,11,0,5,333,1,Longer,17/04/16,No,Place of origin,,House damaged/destroyed,,51% to 75%,No,51% to 75%,None,None,None,None,More than 75%,None,,51% to 75%,51% to 75%,Mosquito nets,,Mosquito repellents,,Mosquito repellents,,On-site (More than 20 minutes),No,Hand pumps,,Hand pumps,,,Filtered,,11-15 liters,All of the above,,Good (Hygienic),4,"Yes, separate entrance/Hand Washing Station",2,2,0,0,0,Provided,Dwarika's,On-site,Both times,Yes,Yes,No,Yes,1,Yes,Yes,Yes,Burning,,No,"Yes, On-Site",Yes,1 hour or less,Food distribution/donation,,,Yes,Available for purchase from market,,No,No,No,Cold,,Cough,,None,,Mosquito coil,,0,6,0,6,0,0,0,0,0,No,No,No,,No,No pregnant woman,,Off-site (Less than 30 minutes),,Government,,Yes,Yes,Yes,Yes,Off-site (More than 20 minutes),,On-site (Less than 20 minutes),Volunteer,More than 75%,More than 75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Craftsmen,,100,No,Lower,No,No,,,,Yes,,Gulf countries,No,No,,No,Weaving/knitting,,Daily wage labour,,No,No,,,None,,None,,Yes,No,,1,0,Yes,Yes,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting and it is adequate",Yes,Yes,,,None,None,None,None,More than 75%,25% or less,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,SMC/Self-assistance,,Local leader,,Social Media,,No,,Yes,Don't know,Access to services,,Yes,"Need of mosquito coil, net, lack of good drinking water",<1500,0%,0%,0%,100%,0,0,0,90
Nepal,7,,12/05/16,,Female,,Male,SCM (vice precident),,,K1,,Female,IDP,,,FGD,,Male,SCM,,,K2,,Female,SCM,,,FGD,521,Sikre,Existed in R6,,Open,25/05/2015,,Rural,Bagmati,Sindhupalchok,Attarpur,8,27.68249,85.89162,2021.458181,,Spontaneous,"Open ground (park, playground, sports ground, other)",,No,Don't know,Unknown,,Yes,Yes,Public/Government,Temporary shelter (CGIs),,Yes,26% to 50%,Yes,,,Yes,International NGO,,ACTED,,,Yes,Bagmati,Sindhupalchok,Attarpur,8,,,,,143,518,5,13,41,187,2,248,4,9,11,24,49,90,186,373,20,22,270,4,4,0,20,2,0,6,0,5,518,2,11-30 minutes,16/05/16,No,None (Stay here),,Fear of landslide/aftershock,,More than 75%,No,More than 75%,None,None,None,More than 75%,None,None,,More than 75%,More than 75%,Construction material,,None,,None,,On-site (Less than 20 minutes),No,Spring/river,,Spring/river,,,No treatment,,More than 15 liters,None,,Good (Hygienic),143,No,0,0,0,0,0,Provided,Clean energy,On-site,Both times,Yes,Yes,No,Yes,0,,,,Garbage pit,,No,"Yes, On-Site",Yes,1 hour or less,Own cash,,,Yes,Collect personally,,No,No,Yes,Cough,,Cold,,None,,None,,5,0,1,1,3,0,3,0,0,Yes,Yes,Yes,PIN,Yes,,,Off-site (1-2 hours),,Local Clinic/med practitioners,,Yes,Yes,Yes,No,Off-site (Less than 20 minutes),,,,More than 75%,More than 75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Agriculture/Livestock,,60,Yes,Lower,Yes,No,,,,No,,,No,No,,Yes,Weaving/knitting,,Store/small business,,Yes,No,Self organized,,None,,None,,Yes,Unknown,,0,0,Yes,Yes,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting but it is NOT adequate",Yes,Yes,,,26% to 50%,51% to 75%,51% to 75%,51% to 75%,25% or less,26% to 50%,Yes,,Yes,,No,Overflow of drainage,Yes,,Yes,,Yes,,No,,,Radio/Newspaper,,Radio/Newspaper,,Unknown,,Yes,Don't know,Recovery plans,,Yes,IDPs are demanding for construction materials,1500 - 2500,0%,0%,100%,0%,0,0,143,0
Nepal,7,,17/05/16,,Male,,Male,Site member,,,,,Female,,,,,,,,,,,,,,,,,632,Bakha-2,Existed in R6,Bakha,Open,25/04/2015,,Urban,Bagmati,Lalitpur,Karyabinayak Municipality,9,27.6352,85.29568,1300,,Spontaneous,"Open ground (park, playground, sports ground, other)",,No,Don't know,Not closing,,Yes,Yes,Private,Temporary shelter (CGIs),,Yes,None,Yes,,,Yes,International NGO,,IOM,,,Yes,Bagmati,Lalitpur,Bakha,6,,,,,35,250,2,7,35,70,15,129,3,5,8,15,25,60,60,130,25,40,121,1,0,1,8,1,0,0,0,3,35,0,11-30 minutes,21/05/15,No,Place of origin,,House damaged/destroyed,,More than 75%,No,More than 75%,None,None,None,More than 75%,25% or less,None,,More than 75%,More than 75%,Mosquito nets,,Water filters,,None,,On-site (Less than 20 minutes),No,Unprotected Well,,Piped water supply,,,No treatment,,More than 15 liters,All of the above,,Not so good (not hygienic),4,"Yes, next to each other/same HWS",2,2,0,0,4,Built by displaced communities,,On-site,Both times,Yes,No,No,Yes,1,No,No,No,Municipal collection,,No,"Yes, On-Site",Yes,1 hour or less,Own cash,,,Yes,Collect personally,,No,No,No,Cough,,Cold,,None,,Mosquito nets,,0,1,0,1,0,0,0,0,0,No,No,No,,Yes,,,Off-site (Less than 30 minutes),,Local Clinic/med practitioners,,Yes,Yes,Yes,No,Off-site (Less than 20 minutes),,,,51% to 75%,51% to 75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Agriculture/Livestock,,100,Yes,Lower,No,No,,,,No,,,No,No,,Yes,Weaving/knitting,,Art/Craft,,Yes,No,Self organized,,None,,None,,Yes,No,Everyone would be careful.,0,0,Yes,Yes,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting and it is adequate",Yes,Yes,,,None,26% to 50%,26% to 50%,26% to 50%,25% or less,26% to 50%,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,SMC/Self-assistance,,Families & friends,,Radio/Newspaper,,No,,Yes,Don't know,Access to services,,No,"Needed Water filter, Toilet",<1500,0%,0%,80%,20%,0,0,28,7
Nepal,7,,18/05/16,,Male,,Male,,,,,,Male,,,,,,,,,,,,,,,,,633,Bakha,Existed in R6,Bakha,Open,25/04/2015,,Urban,Bagmati,Lalitpur,Karyabinayak Municipality,6,27.63586,85.29533,1300,,Spontaneous,"Open ground (park, playground, sports ground, other)",,No,Don't know,Not closing,,Yes,Yes,Private,Temporary shelter (CGIs),,No,,,,,Yes,International NGO,,IOM,,,Yes,Bagmati,Lalitpur,Bakha,9,Bagmati,Lalitpur,Bakha,6,35,250,1,2,6,115,2,126,1,2,4,6,2,8,114,229,3,5,124,0,0,0,5,0,0,6,0,1,35,0,10 minutes or less,02/05/15,No,Place of origin,,House damaged/destroyed,,More than 75%,No,51% to 75%,None,None,25% or less,More than 75%,None,None,,More than 75%,More than 75%,Mosquito nets,,Solar lamps,,Other,Umbrella for rainy season,Off-site (Less than 20 minutes),No,Piped water supply,,Piped water supply,,,No treatment,,More than 15 liters,None,,Good (Hygienic),6,"Yes, separate entrance/Hand Washing Station",3,3,0,0,0,Built by displaced communities,,On-site,Both times,Yes,No,Yes,Yes,0,,,,Burning,,No,No,Yes,1 hour or less,Own cash,,,Yes,Collect personally,,No,No,No,None,,None,,None,,Mosquito nets,,0,0,0,0,0,0,0,0,0,No,No,No,,No,No pregnent woman,,Off-site (Less than 30 minutes),,Local Clinic/med practitioners,,Yes,Yes,Yes,No,Off-site (Less than 20 minutes),,,,More than 75%,More than 75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Employed,,100,Yes,Lower,No,No,,,,No,,,No,No,,Yes,Candle making,,Technical works,,Yes,No,Self organized,,None,,None,,Yes,Yes,Everyone will be careful,0,0,Yes,Yes,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting and it is adequate",Unknown,Yes,,,None,25% or less,25% or less,25% or less,None,26% to 50%,Yes,,Yes,,No,No proper or sufficient drainage system at place,Yes,,Unknown,,Yes,,Yes,SMC/Self-assistance,,Families & friends,,Mobile phone,,No,,Yes,Don't know,Work opportunities,,Yes,"Water shortage, road problem during monsoon",<1500,0%,20%,80%,0%,0,7,28,0
Nepal,7,,12/05/16,,Female,,Male,IDP,,,K1,,Female,IDP,,,FGD,,Male,IDP,,,K2,,Female,IDP,,,FGD,496,Barahbise,Existed in R6,,Open,27/05/2015,,Peri-Urban,Bagmati,Sindhupalchok,Barahbishe,8,27.7899,85.89909,877.2250671,,Spontaneous,"Open ground (park, playground, sports ground, other)",,No,Don't know,Unknown,,Yes,Yes,Private,Temporary shelter (CGIs),,Yes,25% or less,No,,,Yes,International NGO,,ACTED,,,Yes,Bagmati,Sindhupalchok,Barabishe,9,Bagmati,Sindhupalchok,Merming,,38,142,2,3,21,45,3,74,2,4,2,5,18,39,36,81,10,13,68,2,2,0,6,1,0,2,0,3,120,0,10 minutes or less,15/05/16,No,Place of origin,,House damaged/destroyed,,More than 75%,No,More than 75%,None,None,25% or less,51% to 75%,25% or less,None,,More than 75%,25% or less,Cooking gas,,CGIs,,Mosquito nets,,On-site (Less than 20 minutes),Yes,Spring/river,,Spring/river,,,No treatment,,More than 15 liters,None,,Not so good (not hygienic),1,No,0,0,0,0,1,Provided,NGO/iNGO,On-site,Both times,Yes,No,No,Yes,0,,,,No waste disposal system,,No,"Yes, Off-site",Yes,1 hour or less,Own cash,,,No,,,No,No,No,Diarrhea,,None,,None,,Mosquito nets,,0,0,0,0,2,0,2,0,0,Yes,No,Yes,NGO/iNGO,Yes,,,Off-site (Less than 30 minutes),,Government,,No,Yes,Yes,No,Off-site (More than 20 minutes),,,,51% to 75%,More than 75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Agriculture/Livestock,,40,Yes,Lower,Yes,No,,,,No,,,No,No,,No,Weaving/knitting,,Store/small business,,Yes,No,Police,,None,,None,,Yes,Yes,"One of the pregnent IDP is victim of GBV from her husband, but she is scared to expose.",0,0,Yes,No,No,,No,Yes,,,No,Toilet,,No,Toilet,,No lighting,Yes,Yes,,,More than 75%,26% to 50%,26% to 50%,26% to 50%,25% or less,Unknown,No,Overflow of drainage,No,Rains make water in open water storage/well polluted and muddy,No,Overflow of drainage,Yes,,Unknown,,Yes,,No,,,Radio/Newspaper,,Radio/Newspaper,,Unknown,,Yes,Don't know,Recovery plans,,Unknown,"Water problem
As per IDP notice of eviction was not released by land owner but the local",<1500,0%,15%,70%,15%,0,5,27,6
Nepal,7,,10/05/16,,Male,,Female,Member,,Protection Committee,All,,Male,Member,,SMC,All,,Male,Member,,SMC,All,,,,,,,180,Mandre,Existed in R6,,Open,26/04/2015,,Rural,Gandaki,Gorkha,Barpak,2,28.19506,84.72523,1353.938064,,Spontaneous,"Open ground (park, playground, sports ground, other)",,No,Don't know,Not closing,,"No,  no vehicular access",No,Private,Temporary shelter (CGIs),,Yes,25% or less,Yes,,,Yes,International NGO,,People in Need,,,No,Gandaki,Gorkha,Barpak,2,,,,,20,103,3,6,17,26,5,57,2,5,7,13,10,27,21,47,6,11,46,1,1,0,8,0,0,2,0,4,103,0,11-30 minutes,15/05/15,Yes,Place of origin,,Fear of landslide/aftershock,,More than 75%,No,More than 75%,None,None,None,More than 75%,25% or less,None,,None,More than 75%,Tarpaulin,,Mosquito nets,,CGIs,,On-site (Less than 20 minutes),Yes,Piped water supply,,Piped water supply,,,Filtered,,6-10 liters,Odor/smell,,Not so good (not hygienic),4,No,0,0,0,0,0,Provided,NGO/iNGO,On-site,Day time,No,No,No,No,2,No,No,No,Burning,,No,No,Yes,1-2 hours,Own cash,,,Yes,Collect personally,,No,No,No,Other,Eye infection,Cough,,None,,None,,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,NGO/iNGO,Yes,,,Off-site (1-2 hours),,Government,,Yes,Yes,Yes,No,On-site (Less than 20 minutes),Government,,,More than 75%,More than 75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Agriculture/Livestock,,50,Yes,Lower,Yes,No,,,,Unknown,,,No,Unknown,,Yes,Candle making,,Store/small business,,No,No,,,None,,None,,Yes,Unknown,"Shelters do not protect household items, no light in communal space, no stone pathways within camp and on the way to camp site, IDPs have insufficient  information about GBV referral",0,0,Yes,Unknown,No,,No,Yes,,,Yes,,,No,Toilet,,No lighting,Unknown,"No,  no vehicular access",Muddy path to the site,,None,None,25% or less,51% to 75%,25% or less,25% or less,Yes,,Yes,,No,Maintenance required before monsoon,Yes,,Unknown,,Yes,,Yes,Armed Forces/Police,,Radio/Newspaper,,Radio/Newspaper,,Unknown,,Yes,Already done,Situation in areas of origin,,Yes,Only 20 hohs remained. Others have constructed the shelters in their own land. The camp site has one settlements and two clusters. These are the people who are not able to return and they do not have safer land to construct shelters. All IDPs hohs are sel,<1500,0%,0%,80%,20%,0,0,16,4
Nepal,7,,11/05/16,,Male,,Male,Member,,SMC,All,,Female,Secretary,,Protection Committee,All,,,,,,,,,,,,,502,RCB,Existed in R6,,Open,26/04/2015,,Rural,Gandaki,Gorkha,Barpak,4,28.20612,84.74176,1847.720068,,Spontaneous,"Open ground (park, playground, sports ground, other)",,No,Don't know,Not closing,,"No,  no vehicular access",No,Public/Government,Temporary shelter (CGIs),,Yes,26% to 50%,Yes,,,Yes,International NGO,,People in Need,,,No,Gandaki,Gorkha,Barpak,5,,,,,35,173,2,9,22,44,9,86,3,5,10,19,20,42,47,91,7,16,87,1,1,0,9,1,0,4,0,0,173,0,11-30 minutes,15/06/15,Yes,Place of origin,,Fear of landslide/aftershock,,More than 75%,No,More than 75%,None,25% or less,None,More than 75%,None,None,,More than 75%,More than 75%,CGIs,,Mosquito nets,,Tarpaulin,,On-site (Less than 20 minutes),No,Piped water supply,,Piped water supply,,,Filtered,,11-15 liters,None,,Good (Hygienic),4,No,0,0,0,0,0,Provided,DUDBC,On-site,Day time,No,No,No,Yes,2,Yes,No,No,Burning,,No,No,Yes,1 hour or less,Own cash,,,Yes,Collect personally,,No,No,No,Cough,,None,,None,,Mosquito nets,,0,0,0,0,0,0,0,0,0,Yes,No,No,,Yes,,,Off-site (Less than 30 minutes),,Government,,Yes,Yes,Yes,No,Off-site (Less than 20 minutes),,,,More than 75%,More than 75%,None,,,None,,,None,,,None,,,Yes,Yes,Daily wage laborer,,Daily wage laborer,,60,Yes,Lower,Yes,Yes,Family member/relative,,Adult male,Unknown,,,No,Unknown,,No,Livestock,,Livestock,,Yes,No,Police,,Alcohol/drug-related disturbance,,None,,Yes,Unknown,Few men found to be drunk from early morning. There is need of hygiene promotion activities as women and children looks dirty. IDPs have insufficient information about GBV referral,0,0,Yes,Unknown,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting and it is adequate",Unknown,"No,  no vehicular access",Muddy path to the site,,None,None,51% to 75%,More than 75%,25% or less,More than 75%,Yes,,Yes,,No,Maintenance required before monsoon,Yes,,Unknown,,Yes,,Yes,Armed Forces/Police,,Families & friends,,Radio/Newspaper,,Unknown,,Yes,Already done,Situation in areas of origin,,Yes,Most of them forget to complain to NRA about their challenges to reconstruct their house.,1500 - 2500,25%,0%,75%,0%,9,0,26,0
Nepal,7,,10/05/16,,Male,,Male,Chairperson,,Youth Committee,All,,Female,Member,,SMC,All,,,,,,,,,,,,,517,Allgaun,Existed in R6,,Open,26/04/2015,,Rural,Gandaki,Gorkha,Barpak,3,28.21012,84.73563,1581.321629,,Spontaneous,"Open ground (park, playground, sports ground, other)",,No,Don't know,Not closing,,"No,  no vehicular access",No,Private,Temporary shelter (CGIs),,Yes,26% to 50%,Yes,,,Yes,International NGO,,People in Need,,,No,Gandaki,Gorkha,Barpak,3,,,,,28,175,1,6,17,48,11,83,4,5,8,14,29,46,34,82,17,28,92,1,1,0,8,1,0,4,0,2,175,0,Half hour to 1 hour,18/10/15,Yes,None (Stay here),,Fear of landslide/aftershock,,More than 75%,No,More than 75%,None,None,None,More than 75%,None,None,,More than 75%,More than 75%,Tarpaulin,,CGIs,,Mosquito nets,,On-site (Less than 20 minutes),Yes,Piped water supply,,Piped water supply,,,Filtered,,6-10 liters,None,,Good (Hygienic),3,No,0,0,0,0,0,Provided,DUDBC,On-site,Day time,No,Yes,No,Yes,2,Yes,Yes,No,Burning,,No,No,Yes,1-2 hours,Own cash,,,Yes,Collect personally,,No,No,No,None,,None,,None,,Mosquito nets,,0,1,0,1,0,0,0,0,0,Yes,No,No,,Yes,,,Off-site (1-2 hours),,Government,,Yes,Yes,Yes,No,Off-site (More than 20 minutes),,,,More than 75%,More than 75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Agriculture/Livestock,,50,Yes,Lower,Yes,No,,,,Unknown,,,No,Unknown,,Yes,Store/small business,,Construction,,Yes,No,Self organized,,None,,None,,Yes,Unknown,,0,0,Yes,Unknown,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting but it is NOT adequate",Unknown,"No,  no vehicular access",Muddy path to the site,,None,None,More than 75%,More than 75%,25% or less,51% to 75%,Yes,,Yes,,Yes,,Yes,,Unknown,,Yes,,Yes,Armed Forces/Police,,Families & friends,,Families & friends,,No,,Yes,Already done,Situation in areas of origin,,Yes,,1500 - 2500,0%,0%,100%,0%,0,0,28,0
Nepal,7,,18/05/16,,Female,,Male,SMC,,,,,,,,,,,,,,,,,,,,,,503,Jelana,Existed in R6,,Open,25/04/2015,,Urban,Bagmati,Bhaktapur,Bhaktapur Municipality,2,27.674,85.421,1319.495245,,Spontaneous,"Open ground (park, playground, sports ground, other)",,No,Don't know,Not closing,,Yes,Yes,Private,Temporary shelter (CGIs),,Yes,None,Yes,,,Yes,International NGO,,IOM,,,Yes,Bagmati,Bhaktapur,Bhaktapur municipality,2,,,,,65,293,1,15,8,88,25,137,1,2,15,30,22,30,90,178,28,53,156,0,0,0,7,1,0,12,0,9,293,1,10 minutes or less,27/05/15,No,Place of origin,,House damaged/destroyed,,51% to 75%,No,More than 75%,None,None,None,More than 75%,None,None,,More than 75%,More than 75%,Tarpaulin,,Mosquito nets,,Sleeping beds,,On-site (More than 20 minutes),Yes,Water truck,,Water truck,,,Filtered,,11-15 liters,None,,Good (Hygienic),8,"Yes, separate entrance/Hand Washing Station",4,4,0,0,0,Provided,ENPHO,On-site,Both times,Yes,No,No,Yes,0,,,,Municipal collection,,No,"Yes, Off-site",Yes,1 hour or less,Own cash,,,Yes,Collect personally,,No,No,No,None,,None,,None,,Mosquito coil,,0,1,0,1,1,0,1,0,0,No,No,No,,Unknown,,,Off-site (1-2 hours),,Local Clinic/med practitioners,,No,Yes,Yes,No,Off-site (Less than 20 minutes),,,,More than 75%,More than 75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Agriculture/Livestock,,75,Yes,Lower,No,No,,,,No,,,No,No,,Yes,Weaving/knitting,,Technical works,,No,No,,,None,,None,,Yes,Yes,,0,0,Yes,Yes,No,,Yes,Yes,,,Yes,,,Yes,,,"Yes, there is lighting and it is adequate",Yes,Yes,,,25% or less,25% or less,25% or less,25% or less,25% or less,25% or less,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,SMC/Self-assistance,,Radio/Newspaper,,Radio/Newspaper,,No,,Yes,Don't know,Access to services,,Yes,"Water supply, mosquito, open area so its hard",<1500,0%,0%,100%,0%,0,0,65,0
Nepal,7,,17/05/16,,Female,,Female,Local,,,,,,,,,,,,,,,,,,,,,,607,Libali,Existed in R6,,Open,01/08/2015,,Urban,Bagmati,Bhaktapur,Bhaktapur Municipality,2,27.66921,85.44234,1313.094367,,Spontaneous,"Open ground (park, playground, sports ground, other)",,No,Don't know,Not closing,,Yes,Yes,Public/Government,Temporary shelter (CGIs),,No,,,,,Yes,International NGO,,IOM,,,No,Bagmati,Bhaktapur,Bhaktapur municipality,2,Bagmati,Bhaktapur,Bhaktapur municipality,7,42,214,0,3,10,84,5,102,1,1,4,7,12,22,80,164,15,20,112,1,1,0,2,3,0,3,0,12,214,1,10 minutes or less,11/02/16,No,Place of origin,,House damaged/destroyed,,51% to 75%,Yes,More than 75%,None,None,None,More than 75%,None,None,,More than 75%,More than 75%,Tarpaulin,,Mosquito nets,,None,,On-site (Less than 20 minutes),No,Water truck,,Water truck,,,No treatment,,11-15 liters,None,,Good (Hygienic),10,"Yes, separate entrance/Hand Washing Station",5,5,0,0,0,Provided,NRCS,On-site,Both times,Yes,Yes,No,Yes,0,,,,Garbage pit,,No,"Yes, On-Site",Yes,1 hour or less,Own cash,,,Yes,Collect personally,,No,No,No,None,,None,,None,,Mosquito coil,,0,2,1,3,0,0,0,0,0,No,No,No,,Unknown,,,Off-site (Less than 30 minutes),,Government,,Yes,Yes,Yes,No,Off-site (Less than 20 minutes),,,,More than 75%,More than 75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Agriculture/Livestock,,50,Yes,Similar,No,No,,,,Yes,,Gulf countries,No,No,,No,Weaving/knitting,,Store/small business,,No,No,,,None,,None,,Yes,Yes,,0,1,Yes,Yes,No,,Yes,Yes,,,Yes,,,Yes,,,"Yes, there is lighting but it is NOT adequate",Yes,Yes,,,None,26% to 50%,26% to 50%,26% to 50%,26% to 50%,26% to 50%,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Government,,Families & friends,,Families & friends,,No,,Yes,Don't know,Access to services,,Yes,"Need of mosquito net, tarp, improve drainage, health camp",<1500,0%,0%,100%,0%,0,0,42,0
