country,round,Column1,survey_date,Column2,Column3,enum_sex,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,site_id,site_name,Column28,Column29,site_open,site_date_open,site_date_close,site_location,site_zone,site_district,site_municipality,Column30,site_latitude,site_longitude,Column31,Column32,site_class,site_type,Column33,Column34,site_date_close_exp,Column35,Column36,site_access,Column37,site_owner,site_shelter,Column38,smc_exist,smc_per_female,site_community,Column39,Column40,sma_exist,sma_type,Column41,sma_name,Column42,Column43,regist_activity,origin_zone,origin_district,origin_municipality,Column44,Column45,Column46,Column47,Column48,n_family,n_total,n_infants_male,n_child_male,n_youth_male,n_adult_male,n_elder_male,n_male,n_infants_female,n_infants,n_child_female,n_child,n_youth_female,n_youth,n_adult_female,n_adult,n_elder_female,n_elder,n_female,n_pregnant,n_pregnant_adult,n_pregnant_youth,n_lactating,n_pwd,n_child_sep,n_hoh_female,n_hoh_child,n_hoh_elder,n_min_ethnic,n_chronic_ill,site_dist_origin,site_idp_last,prev_displaced,return_area,Column49,return_prevent,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,per_sleep_site,Column65,Column66,Column67,Column68,prev_own,per_hh_outside,per_hh_indoors,per_hh_tents,Column69,per_hh_makeshift,Column70,Column71,per_hh_eletricity,per_hh_safecook,nfi_a,Column72,nfi_b,Column73,nfi_c,Column74,water_location,Column75,water_source_np,Column76,water_source_p,Column77,Column78,water_treated,Column79,water_cons,water_remark,Column80,latrine_cond,n_latrine,latrine_gender,n_latrine_male,n_latrine_female,Column81,n_latrine_disable,Column82,latrine_install,Column83,latrine_site,latrine_time,Column84,bathing_gender,latrine_light,latrine_lock,hyg_station,Column85,hyg_evidence,Column86,hyg_waste,Column87,hyg_open_def,food_access,food_market,Column88,food_source,Column89,Column90,food_fuel,Column91,Column92,Column93,food_sup_lac,food_sup_child,health_issue,Column94,health_issue_b,Column95,health_issue_c,Column96,Column97,Column98,Column99,Column100,Column101,Column102,Column103,Column104,Column105,Column106,Column107,Column108,Column109,health_psych,health_psych_rem,health_antenat,Column110,Column111,health_center_dist,Column112,health_provider,Column113,Column114,edu_access,edu_access_f,edu_access_i,edu_distance,Column115,Column116,Column117,per_sch_female,per_sch_male,Column118,Column119,Column120,Column121,Column122,Column123,Column124,Column125,Column126,Column127,Column128,Column129,Column130,Column131,Column132,Column133,job_main,job_main_other,n_hh_income,job_access,Column134,job_cattle_site,job_offer,job_offer_how,Column135,job_offer_to,job_abr,Column136,job_abr_in,job_abr_family,job_recruit,Column137,food_land,Column138,Column139,Column140,Column141,sec_provided,sec_reported,sec_provider,Column142,sec_issue,Column143,Column144,Column145,Column146,Column147,Column148,n_space_child,n_space_female,Column149,gbv_report,sec_mens_seg,Column150,sec_min_discriminate,safe_male,site_unsafe_male,Column151,safe_child,site_unsafe_child,Column152,safe_female,site_unsafe_female,Column153,site_lighting,hyg_f_product,Column154,Column155,Column156,Column157,Column158,Column159,Column160,Column161,Column162,Column163,Column164,Column165,Column166,Column167,Column168,Column169,Column170,Column171,Column172,Column173,Column174,Column175,Column176,Column177,info_src_female,Column178,info_src_male,Column179,info_complaint,Column180,Column181,Column182,info_main,Column183,info_free,Column184,Column185,Column186,Column187,Column188,Column189,Column190,Column191,Column192,Column193,Column194,Column195,Column196
Nepal,8,,28/07/16,,,Male,,Female,,,,,,,,,,,,,,,,,,,,,,,34,Suryamadi,Existed in R7,Garudhkunda,Open,25/04/2015,,Urban,Bagmati,Bhaktapur,Bhaktapur municipality,3,27.6734,85.4375,1335,,Spontaneous,"Collective Centre  (schools, offices, religious, hospital, other)",,Yes,Don't know,Unknown,,Yes,Yes,Public/Government,Temporary Shelter (CGIs),,No,,,,,Yes,International Organization,,IOM,,,No,Bagmati,Bhaktapur,Bhaktapur municipality,1,,,,,21,123,0,6,13,32,10,61,0,0,4,10,18,31,35,67,5,15,62,0,0,0,1,0,0,0,0,0,0,1,<10 mins,25-Apr-15,No,Place of Habitual residence,,House damaged/destroyed   ,,Yes,60,Yes,No,Yes,No,No,No,No,No,No,,Resume livelihood at the place of origin/habitual residence,,> 75%,No,Government ownership,,Yes,> 75%,None,None,None,> 75%,None,None,,> 75%,> 75%,Water filter,,Solar lamp,,None,,Off-site (<20 minutes),No,Piped water supply,,Piped water supply,,,No treatment,,>15 liters,None,,Not so good (not hygienic),4,No,2,2,0,0,4,Provided,IOM,On-site,Both times,Yes,No,No,Yes,0,,,,Burning,,No,No,Yes,< 1 hour,Own Cash,,,Yes,Available for purchase from market,,No,No,No,Cough,,Cold,,None,,Mosquito net,,0,0,0,0,0,0,0,,,No,No,No,,No,No pregnant women,,On-site,Healthpost,Government,,Yes,Yes,Yes,No,Off-site (<20 minutes),,,,> 75%,> 75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Agriculture/Livestock,,75,Yes,Similar,No,No,,,,No,,,No,No,,Yes,Weaving/knitting,,Store/small business,,Yes,No,Self organized,,None,,None,,No,No,No,0,0,Yes,No,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting but it is NOT adequate",Yes,Yes,,,None,< 75%,< 50%,< 50%,None,< 75%,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,None,,Families & friends,,Mobile Phone,,No,,Yes,Don't know,Work opportunities,,Yes,,<1500,2100%,0%,0%,100%,0,0,0,21,0,21,21
Nepal,8,,01/08/16,,,Male,,Male,,,,,,Female,,,,,,Male,,,,,,,,,,,122,Lower gamcha,Existed in R7,,Open,17/05/2015,,Peri-Urban,Bagmati,Kathmandu,Kritipur municipality,7,27.6714,85.26553,1372.53109,,Spontaneous,"Open ground (park, playground, sports ground, other) ",,No,Don't know,Not closing,,Yes,Yes,Private,Temporary Shelter (CGIs),,No,,,,,Yes,International Organization,,IOM,,,Yes,Bagmati,Lalitpur,Kritipur municipality,7,,,,,21,97,2,1,2,34,5,44,1,3,1,2,7,9,40,74,4,9,53,0,0,0,3,0,0,2,0,0,0,0,<10 mins,25-Apr-15,No,Place of origin,,House damaged/destroyed   ,,Yes,2,Yes,Yes,No,No,No,No,No,No,No,,Resume livelihood at the place of origin/habitual residence,,> 75%,No,Other,No,No,> 75%,None,None,None,> 75%,None,None,,> 75%,> 75%,None,,None,,None,,Off-site (>20 minutes),No,Protected Well,,Protected Well,,,Filtered,,>15 liters,Suspended solids,,Not so good (not hygienic),10,"Yes, next to each other/same HWS",10,0,0,0,0,Provided,CID Numanti,Off-site,Both times,No,No,No,No,0,,,,Burning,,No,"Yes, offsite",Yes,< 1 hour,Own Cash,,,Yes,Available for purchase from market,,No,No,No,None,,None,,None,,Mosquito net,,0,0,0,0,0,0,0,,,No,No,No,,No,No pregnant women,,Off-site (<30 minutes),,Government,,Yes,Yes,Yes,No,Off-site (<20 minutes),,,,> 75%,> 75%,None,,,None,,,None,,,None,,,Yes,Yes,Trade,,Trade,,100,No,Lower,Yes,No,,,,Yes,,"Dubai, Qatar",Yes,Yes,Katar,Yes,Weaving/knitting,,Store/small business,,Yes,No,Self organized,,None,,None,,No,No,No,0,0,Yes,No,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting and it is adequate",Yes,"No,  no vehicular access",Muddy path to the site,,> 75%,< 50%,< 50%,< 50%,> 75%,> 75%,Yes,,No,Far from site,Yes,,Yes,,Yes,,Yes,,Yes,SMA,,Radio / News,,Radio / News,,No,,No,,Shelter,,Yes,Drinking water,<1500,2100%,0%,0%,100%,0,0,0,21,0,21,21
Nepal,8,,27/07/16,,,Female,,Male,Precident,,,,,Female,V.precident,,,,,Female,IDP,,,,,Male,Tressurer,,,,152,Lamoshangu,Existed in R7,,Open,25/05/2015,,Peri-Urban,Bagmati,Sindhupalchok,Mankha,1,27.75619,85.85563,776.0302365,,Spontaneous,"Open ground (park, playground, sports ground, other) ",,No,Don't know,Unknown,,Yes,Yes,Public/Government,Makeshift/tarpaulin shelter,,Yes,< 50%,Yes,,,No,,,,,,Yes,Bagmati,Sindhupalchok,Mamkha,1,Bagmati,Sindhupalchok,Ramche,5,60,370,2,8,34,109,12,165,2,4,9,17,54,88,125,234,15,27,205,3,3,0,17,2,0,6,0,3,275,3,30 mins - 1 hour,5-Jun-15,No,Place of origin,,House damaged/destroyed   ,,Yes,70,No,Yes,No,Yes,No,No,No,No,No,,Other,Forced to leave the site by chinese company,> 75%,No,Other,None,Unknown,> 75%,None,None,< 25%,< 25%,< 75%,None,,> 75%,< 50%,CGIs,,Mosquito net,,Cooking Gas,,On-site (<20 minutes),No,Spring/river,,Piped water supply,,,No treatment,,>15 liters,Suspended solids,,Not so good (not hygienic),31,No,0,0,0,0,0,Provided,Save the Children,On-site,Both times,Yes,No,No,Yes,8,Yes,Yes,Yes,Garbage pit,,No,"Yes, offsite",Yes,< 1 hour,Own Cash,,,Yes,Collect personally,,No,No,No,Diarrhea,,None,,None,,None,,2,0,0,0,0,0,0,,,No,Yes,Yes,PIN,Yes,,,Off-site (<30 minutes),,Government,,Yes,Yes,Yes,No,Off-site (<20 minutes),,,,> 75%,> 75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Agriculture/Livestock,,80,Yes,Lower,Yes,No,,,,No,,,No,No,,Yes,Weaving/knitting,,Store/small business,,Yes,Yes,Self organized,,Alcohol/drug-related disturbance,,None,,Yes,Yes,Now the children do not have access to play ground for recreational activities as it is being used by chinese company,0,0,Yes,Yes,No,,No,Yes,,,Yes,,,Yes,,,No lighting,Yes,Yes,,,> 75%,< 75%,< 50%,< 75%,< 75%,< 50%,Yes,,No,Muddy water,Yes,,Yes,,Yes,,Yes,,No,,,Radio / News,,Radio / News,,Unknown,,Yes,Already done,Work opportunities,,Yes,,<1500,6000%,0%,20%,20%,1,0,12,12,36,60,30
Nepal,8,,30/07/16,,,Male,,Male,,,,,,Female,,,,,,Female,,,,,,,,,,,180,Mandre,Existed in R7,,Open,26/04/2015,,Rural,Gandaki,Gorkha,Barpak,2,28.19506,84.72523,1353.938064,,Spontaneous,"Open ground (park, playground, sports ground, other) ",,No,Don't know,Unknown,,"No,  no vehicular access",No,Private,Temporary Shelter (CGIs),,No,,,,,No,,,,,,No,Gandaki,Gorkha,Barpak,2,,,,,26,153,3,18,11,30,11,73,2,5,22,40,16,27,35,65,5,16,80,1,1,0,11,0,0,6,0,4,153,0,30 mins - 1 hour,15-May-15,Yes,None (Stay here),,Fear of landslide/aftershock,,Yes,5,Yes,No,Yes,No,No,No,No,No,No,,Lack of access to livelihood at the site,,> 75%,No,Other,Not planned,No,> 75%,None,None,None,> 75%,None,None,,None,< 50%,CGIs,,Cooking Gas,,Mosquito net,,On-site (<20 minutes),No,Piped water supply,,Piped water supply,,,Filtered,,10-15 liters,Suspended solids,,Not so good (not hygienic),5,No,0,0,0,0,0,Provided,NGO,On-site,Day time,No,Yes,No,No,2,No,No,No,Burning,,No,No,No,1-2 hours,Own Cash,,,Yes,Collect personally,,No,No,No,None,,None,,None,,None,,0,0,0,0,0,0,0,,,Yes,No,No,,Yes,,,Off-site (1-2 hours),,Government,,Yes,Yes,Yes,No,On-site (>20 minutes),Government,,,> 75%,> 75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Agriculture/Livestock,,5,No,Lower,Yes,No,,,,No,,,No,No,,Yes,Agriculture,,Construction/daily labour,,No,No,,,None,,None,,Yes,Unknown,,0,0,Yes,Unknown,No,,No,Yes,,,Yes,,,Yes,,,No lighting,Yes,"No,  no vehicular access",Muddy path to the site,,None,None,< 25%,> 75%,> 75%,< 25%,Yes,,Yes,,Unknown,,Yes,,Yes,,Yes,,Yes,Government,,Radio / News,,Radio / News,,Unknown,,Yes,Already done,Situation in areas of origin,,Yes,,<1500,2600%,0%,0%,100%,0,0,0,26,0,0,13
Nepal,8,,01/08/16,,,Male,,Male,Comittee Member,,,,,,,,,,,,,,,,,,,,,,203,Hope Esparanza,Existed in R7,,Open,16/05/2015,,Urban,Bagmati,Kathmandu,Kathmandu Municipality,6,27.714628,85.359961,1331.992197,,Spontaneous,"Open ground (park, playground, sports ground, other) ",,No,Don't know,Not closing,,Yes,Yes,Public/Government,Makeshift/tarpaulin shelter,,No,,,,,Yes,Individual/Private,,Dwarika Foundation,,,Yes,Bagmati,Sindhupalchok,Tatopani,6,Bagmati,Sindhupalchok,Tatopani,7,72,372,3,9,44,110,15,181,6,9,12,21,41,85,116,226,16,31,191,1,1,0,9,4,12,1,12,1,0,1,Longer,21-Apr-16,No,Place of origin,,No livelihood   ,,Yes,28,Yes,Yes,No,No,No,No,No,No,No,,Resume livelihood at the place of origin/habitual residence,,> 75%,No,Other,None,No,> 75%,None,None,None,> 75%,None,None,,> 75%,> 75%,Other,Food items,None,,None,,On-site (<20 minutes),Yes,Hand pumps,,Hand pumps,,,Chlorinated,,10-15 liters,None,,Good (Hygienic),4,"Yes, separate entrance/HWS",2,2,0,0,0,Provided,Dwarika Foundation,On-site,Both times,No,Yes,No,Yes,0,,,,Municipal collection,,No,"Yes, On Site",Yes,< 1 hour,Food Distribution/Donation,,,No,,,No,No,No,Cough,,None,,None,,Mosquito net,,0,0,4,4,2,0,2,,,No,No,No,,Yes,,,Off-site (<30 minutes),,Local Clinic/med practitioners,,Yes,Yes,Yes,No,Off-site (<20 minutes),,,,> 75%,> 75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Daily Wage laborer,,40,No,Lower,No,No,,,,No,,,No,No,,No,Weaving/knitting,,Store/small business,,Yes,No,Self organized,,None,,None,,Yes,No,,1,1,Yes,No,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting and it is adequate",Yes,Yes,,,< 25%,< 50%,> 75%,> 75%,> 75%,> 75%,Yes,,Yes,,No,Poor drainage system,Yes,,Yes,,Yes,,No,,,Authorities,,Social Media,,No,,No,,Work opportunities,,Yes,Further purification of water required,<1500,7200%,0%,0%,100%,0,0,0,72,0,72,72
Nepal,8,,01/08/16,,,Male,,Female,,,,,,Female,,,,,,,,,,,,,,,,,206,Chuchepati,Existed in R7,,Open,25/04/2015,,Urban,Bagmati,Kathmandu,Kathmandu Municipality,6,27.7199,85.35266,1338.393075,,Spontaneous,"Open ground (park, playground, sports ground, other) ",,No,Don't know,Unknown,,Yes,Yes,Public/Government,Makeshift/tarpaulin shelter,,Yes,< 75%,Yes,,,Yes,International Organization,,IOM,,,Yes,Bagmati,Sindhupalchok,Sindhupalchowk,7,Bagmati,Kavrepalanchok,Kavre,5,330,1544,12,74,160,487,35,768,12,24,79,153,158,318,468,955,59,94,776,3,3,0,29,17,2,6,1,4,0,3,<10 mins,25-Apr-15,No,Place of Habitual residence,,House damaged/destroyed   ,,Yes,1424,Yes,No,Yes,No,No,No,No,No,No,,Resume livelihood at the place of origin/habitual residence,,> 75%,No,Other,None,No,> 75%,None,None,None,None,> 75%,None,,< 25%,< 25%,Water filter,,Other,Electricity,None,,Off-site (<20 minutes),Yes,Water truck,,Water truck,,Govt,No treatment,,10-15 liters,Suspended solids,,Not so good (not hygienic),10,"Yes, separate entrance/HWS",7,3,0,0,0,Provided,NCV,On-site,Both times,Yes,No,No,Yes,0,,,,Municipal collection,,Yes,No,Yes,< 1 hour,Own Cash,,,Yes,Collect personally,,No,No,No,Cough,,None,,None,,Mosquito net,,2,17,0,17,1,0,1,,,No,No,Yes,Japanese,Yes,,,Off-site (<30 minutes),,Government,,Yes,Yes,Yes,No,Off-site (<20 minutes),,,,> 75%,> 75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Daily Wage laborer,,75,No,Lower,No,No,,,,No,,,No,No,,No,Store/small business,,Store/small business,,Yes,No,Self organized,,None,,None,,Yes,No,,0,0,Yes,No,No,,No,Yes,,,Yes,,,Yes,,,No lighting,No,Yes,,,< 25%,< 25%,< 25%,< 25%,< 25%,< 50%,No,No proper wash facilities,Yes,,No,No drainage system at all,Yes,,Yes,,Yes,,Yes,SMA,,Families & friends,,Families & friends,,No,,No,,Shelter,,Yes,"Need of proper toilet, bathroom, drainage, and drinking water",<1500,33000%,0%,0%,0%,1,0,0,0,330,83,83
Nepal,8,,27/07/16,,,Female,,Male,,,,,,Male,,,,,,Female,,,,,,,,,,,209,Golmode,Existed in R7,,Open,21/05/2015,,Rural,Narayani,Makwanpur,Namtar,1,27.58762,85.08438,2433.552792,,Spontaneous,"Open ground (park, playground, sports ground, other) ",,No,Don't know,Not closing,,Yes,Yes,Public/Government,Temporary Shelter (CGIs),,No,,,,,No,,,,,,No,Narayani,Makwanpur,Namtar,1,,,,,44,216,3,14,25,59,4,105,1,4,17,31,30,55,57,116,6,10,111,2,2,0,8,0,0,6,0,0,216,0,1-3 hours,28-May-15,No,None (Stay here),,Fear of landslide/aftershock,,Yes,2,No,No,Yes,No,No,No,No,No,No,,Other,"They were from different vdc, so they were pushed to go back.",> 75%,No,Other,Not planned,Yes,> 75%,None,None,None,> 75%,None,None,,None,< 25%,CGIs,,Cooking Gas,,Tools,,On-site (<20 minutes),Yes,Piped water supply,,Piped water supply,,,Filtered,,>15 liters,Suspended solids,,Not so good (not hygienic),7,"Yes, next to each other/same HWS",4,3,0,0,2,Provided,Unicef,On-site,Day time,No,Yes,No,Yes,2,Yes,Yes,No,Burning,,No,No,No,1-2 hours,Own Cash,,,Yes,Collect personally,,No,No,No,Cold,,Cough,,None,,Mosquito net,,0,2,0,2,0,0,0,,,Yes,No,No,,Yes,,,Off-site (1-2 hours),,Government,,Yes,Yes,Yes,No,Off-site (>20 minutes),,,,> 75%,> 75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Agriculture/Livestock,,5,Yes,Lower,No,No,,,,No,,,No,No,,Yes,Livestock,,Construction/daily labour,,No,No,,,None,,None,,Yes,Unknown,In the begining they had reported to police with the case of theft and entry of unknown people inside camp site. But now such issues has stopped.,1,0,Yes,Unknown,No,,No,Yes,,,Yes,,,Yes,,,No lighting,Yes,Yes,,,< 50%,< 50%,< 50%,< 75%,> 75%,< 75%,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Armed Forces,,Families & friends,,Mobile Phone,,No,,Yes,Don't know,Recovery plans,,Yes,They wants agreement with NRA or authorities on relocation and building house in this site.,1500 - 2500,4400%,0%,0%,100%,0,0,0,44,0,0,11
Nepal,8,,30/07/16,,,Male,,Male,,,,,,Female,,,,,,Female,,,,,,,,,,,215,"Hatechaur, Manthali (Site-1)",Existed in R7,,Open,26/04/2015,,Urban,Janakpur,Ramechhap,Manthali Municipality,2,27.388317,86.058748,571.2021458,,Spontaneous,"Open ground (park, playground, sports ground, other) ",,No,Less than 1 month,Voluntary return to the place of origin,,Yes,No,Public/Government,Makeshift/tarpaulin shelter,,No,,,,,No,,,,,,No,Janakpur,Ramechhap,Manthali Municipality,2,,,,,21,106,4,4,13,29,2,52,2,6,8,12,8,21,30,59,6,8,54,0,0,0,5,1,0,6,0,3,98,1,<10 mins,13-May-15,No,Place of Habitual residence,,House damaged/destroyed   ,,Yes,15,Yes,No,Yes,No,No,No,No,No,No,,Resume livelihood at the place of origin/habitual residence,,> 75%,No,Other,No relocation planned,No,> 75%,None,None,None,< 25%,> 75%,None,,> 75%,< 50%,CGIs,,Tarpaulin,,None,,Off-site (<20 minutes),Yes,Piped water supply,,Piped water supply,,,No treatment,,>15 liters,None,,No toilets,0,,,,,,,,,,,,No,,,0,,,,No System,,Yes,No,Yes,< 1 hour,Own/Cultivated,,,Yes,Available for purchase from market,,No,No,No,Cold,,None,,None,,Mosquito net,,0,1,0,1,0,0,0,,,Yes,No,No,,Yes,,,Off-site (<30 minutes),,Government,,Yes,Yes,Yes,No,Off-site (<20 minutes),,,,> 75%,> 75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Agriculture/Livestock,,100,Yes,Lower,Yes,No,,,,No,,,No,No,,Yes,Store/small business,,Store/small business,,No,No,,,None,,None,,Yes,No,No remarkable issues,0,0,Yes,No,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting but it is NOT adequate",No,Yes,,,None,None,None,< 50%,> 75%,> 75%,Yes,,Yes,,No,No drainage system at all,Yes,,No,No food support,Yes,,Yes,Government,,Families & friends,,Radio / News,,No,,Yes,Already done,None,,Yes,IDPs are living close to their place of habitual residence and slowly moving back. The CGIs distributed have been used to roof the shelters. Still the walls are bamboos and tarps only.,<1500,2100%,0%,0%,20%,1,0,0,4,17,21,11
Nepal,8,,27/07/16,,,Male,,Male,,,,,,Male,,,,,,,,,,,,,,,,,225,Bulungkhani,Existed in R7,,Open,27/04/2015,,Rural,Janakpur,Dolakha,Bulung,9,27.79411,86.17941,1056.144843,,Spontaneous,"Open ground (park, playground, sports ground, other) ",,No,Don't know,Not closing,,Yes,No,Private,Temporary Shelter (CGIs),,Yes,< 50%,Yes,,,No,,,,,,No,Janakpur,Dolakha,Bulung,9,,,,,98,380,4,12,41,117,15,189,2,6,18,30,43,84,110,227,18,33,191,5,4,1,12,4,0,10,1,8,353,2,<30 mins,30-Apr-15,No,None (Stay here),,Fear of landslide/aftershock,,No,,,No,No,No,No,No,No,No,No,,,,> 75%,No,Other,Not planned,Yes,> 75%,None,None,None,< 75%,< 50%,None,,> 75%,None,CGIs,,Tarpaulin,,None,,Off-site (>20 minutes),Yes,Spring/river,,Piped water supply,,,No treatment,,10-15 liters,None,,Not so good (not hygienic),45,No,0,0,0,0,0,Provided,Plan International,On-site,Both times,Yes,No,No,Yes,5,Yes,No,No,No System,,No,No,No,2-6 hours,Own/Cultivated,,,Yes,Collect personally,,Yes,No,Yes,Diarrhea,,Cold,,Skin Infections,,None,,0,0,0,0,0,1,1,,,Yes,No,No,,Yes,,,Off-site (>2 hours),,Government,,No,Yes,Yes,No,Off-site (<20 minutes),,,,> 75%,> 75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Agriculture/Livestock,,100,Yes,Lower,Yes,No,,,,No,,,No,No,,Yes,Store/small business,,Store/small business,,No,No,,,None,,None,,Yes,No,No remarkable issues.,0,1,Yes,No,No,,No,Yes,,,Yes,,,No,Washing areas,,"Yes, there is lighting but it is NOT adequate",No,Yes,,,< 25%,None,None,< 75%,> 75%,> 75%,Yes,,Yes,,No,No drainage system at all,Yes,,No,No food support,Yes,,Yes,Government,,Families & friends,,Radio / News,,Yes,Site Management Committee,Yes,Less than 2 weeks,Work opportunities,,Yes,Site accessible even during the monsoon. No risk of  flood and landslides at site. IDPs living in poor shelter conditions. Requesting more CGIs to replace the old and leaking ones.,<1500,9800%,0%,0%,60%,0,0,0,59,39,98,0
Nepal,8,,28/07/16,,,Female,,Male,IDP,,,,,Female,IDP,,,,,Female,IDP,,,,,Male,IDP,,,,233,20 Kilo,Existed in R7,,Open,27/05/2015,,Peri-Urban,Bagmati,Sindhupalchok,Jethal,5,27.69958,85.89528,2029.992685,,Spontaneous,"Open ground (park, playground, sports ground, other) ",,No,Don't know,Not closing,,Yes,Yes,Public/Government,Temporary Shelter (CGIs),,No,,,,,No,,,,,,Yes,Bagmati,Sindhupalchok,Jethal,4,Bagmati,Sindhupalchok,Jethal,5,64,226,1,9,25,68,1,104,3,4,6,15,33,58,72,140,8,9,122,3,3,0,7,3,0,4,0,4,226,3,30 mins - 1 hour,15-Aug-15,No,None (Stay here),,Fear of landslide/aftershock,,No,,,No,No,No,No,No,No,No,No,,,,< 75%,No,Other,None,Yes,> 75%,None,None,None,> 75%,None,None,,> 75%,< 75%,Cooking Gas,,CGIs,,None,,On-site (>20 minutes),No,Piped water supply,,Piped water supply,,,No treatment,,>15 liters,None,,Good (Hygienic),64,No,0,0,0,0,0,Provided,Save the Children,On-site,Both times,Yes,No,No,Yes,15,Yes,Yes,Yes,Garbage pit,,No,"Yes, On Site",Yes,< 1 hour,Own Cash,,,Yes,Collect personally,,No,No,No,None,,None,,None,,None,,0,0,0,0,0,0,0,,,Yes,No,No,,Yes,,,Off-site (1-2 hours),,Government,,Yes,Yes,Yes,No,Off-site (>20 minutes),,,,> 75%,> 75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Agriculture/Livestock,,95,Yes,Lower,Yes,No,,,,No,,,No,No,,Yes,Agriculture,,Store/small business,,Yes,No,Self organized,,None,,None,,Yes,Yes,No child friendly space,0,0,Yes,Yes,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting but it is NOT adequate",No,Yes,,,> 75%,> 75%,< 75%,< 75%,> 75%,> 75%,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,No,,,Radio / News,,Radio / News,,Unknown,,Yes,Already done,Shelter,,Yes,"Save the children provided toilet materials to the VDC to distribute for IDP's. But IDP's didnot get the materials . Rather ,it was distributed non-distributed non-displaced people.",1500 - 2500,6400%,0%,0%,100%,0,0,0,64,0,64,48
