country,round,Column1,survey_date,Column2,Column3,enum_sex,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,site_id,site_name,Column28,Column29,site_open,site_date_open,site_date_close,site_location,site_zone,site_district,site_municipality,Column30,site_latitude,site_longitude,Column31,Column32,site_class,site_type,Column33,Column34,site_date_close_exp,Column35,Column36,site_access,Column37,site_owner,site_shelter,Column38,smc_exist,smc_per_female,site_community,Column39,Column40,sma_exist,sma_type,Column41,sma_name,Column42,Column43,regist_activity,origin_zone,origin_district,origin_municipality,Column44,Column45,Column46,Column47,Column48,n_family,n_total,n_infants_male,n_child_male,n_youth_male,n_adult_male,n_elder_male,n_male,n_infants_female,n_infants,n_child_female,n_child,n_youth_female,n_youth,n_adult_female,n_adult,n_elder_female,n_elder,n_female,n_pregnant,n_pregnant_adult,n_pregnant_youth,n_lactating,n_pwd,n_child_sep,n_hoh_female,n_hoh_child,n_hoh_elder,n_min_ethnic,n_chronic_ill,site_dist_origin,site_idp_last,prev_displaced,return_area,Column49,return_prevent,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,per_sleep_site,Column65,Column66,Column67,Column68,prev_own,per_hh_outside,per_hh_indoors,pe_hh_tents,Column69,per_hh_makeshift,Column70,Column71,per_hh_electricity,per_hh_safecook,nfi_a,Column72,nfi_b,Column73,nfi_c,Column74,water_location,Column75,water_source_np,Column76,water_source_p,Column77,Column78,water_treated,Column79,water_cons,water_remark,Column80,latrine_cond,n_latrine,latrine_gender,n_latrine_male,n_latrine_female,Column81,n_latrine_disable,Column82,latrine_install,Column83,latrine_site,latrine_time,Column84,bathing_gender,latrine_light,latrine_lock,hyg_station,Column85,hyg_evidence,Column86,hyg_waste,Column87,hyg_open_def,food_access,food_market,Column88,food_source,Column89,Column90,food_fuel,Column91,Column92,Column93,food_sup_lac,food_sup_child,health_issue,Column94,health_issue_b,Column95,health_issue_c,Column96,Column97,Column98,Column99,Column100,Column101,Column102,Column103,Column104,Column105,Column106,Column107,Column108,Column109,health_psych,health_psych_rem,health_antenat,Column110,Column111,health_center_dist,Column112,health_provider,Column113,Column114,edu_access,edu_access_f,edu_access_i,edu_distance,Column115,Column116,Column117,per_sch_female,per_sch_male,Column118,Column119,Column120,Column121,Column122,Column123,Column124,Column125,Column126,Column127,Column128,Column129,Column130,Column131,Column132,Column133,job_main,job_main_other,n_hh_income,job_access,Column134,job_cattle_site,job_offer,job_offer_how,Column135,job_offer_to,job_abr,Column136,job_abr_in,job_abr_family,job_recruit,Column137,food_land,Column138,Column139,Column140,Column141,sec_provided,sec_reported,sec_provider,Column142,sec_issue,Column143,Column144,Column145,Column146,Column147,Column148,n_space_child,n_space_female,Column149,gbv_report,sec_mens_seg,Column150,sec_min_discriminate,safe_male,site_unsafe_male,Column151,safe_child,site_unsafe_child,Column152,safe_female,site_unsafe_female,Column153,sight_lighting,hyg_f_product,winter_move,Column154,Column155,Column156,winter_shelter,Column157,Column158,winter_a,Column159,winter_b,Column160,winter_c,Column161,Column162,Column163,Column164,Column165,Column166,Column167,Column168,Column169,Column170,Column171,Column172,info_src_female,Column173,info_src_male,Column174,info_complaint,Column175,Column176,Column177,info_main,Column178,info_free,Column179,Column180,Column181,Column182,Column183,Column184,Column185,Column186,Column187,Column188,Column189,Column190,Column191,Column192,Column193,Column194,Column195,Column196,Column197,Column198,Column199,Column200,Column201,Column202,Column203,Column204,Column205
Nepal,9,,30/11/16,,,Male,,Male,,,,,,Male,,,,,,,,,,,,,,,,,34,Suryamadi,Existed in R7,,Open,25/04/2015,,Urban,Bagmati,Bhaktapur,Bhaktapur municipality,1,27.6734,85.4375,1335,,Spontaneous,"Open ground (park, playground, sports ground, other) ",,Yes,Don't know,Not closing,,Yes,No,Private,Temporary Shelter (CGIs),,Yes,None,Yes,,,Yes,International NGO,,IOM,,,No,Bagmati,Bhaktapur,Suryamadi,1,,,,,25,78,0,2,6,15,13,36,2,2,8,10,13,19,13,28,6,19,42,4,4,0,7,0,0,5,0,2,2,0,<10 mins,25/04/15,No,Don't know,,House damaged/destroyed   ,,Yes,40,No,Yes,No,Yes,No,No,No,No,No,,Lack of access to livelihood at the site,,> 75%,No,Other,No,No,> 75%,None,None,None,None,> 75%,None,,> 75%,> 75%,Blankets,,CGIs,,Cooking Gas,,On-site (<20 minutes),Yes,Hand pumps,,Hand pumps,,,No treatment,,5-10 liters,None,,Not so good (not hygienic),4,No,0,0,0,0,2,Built by displaced communities,,On-site,Both times,Yes,No,No,Yes,0,,,,Garbage pit,,No,No,Yes,< 1 hour,Own Cash,,,Yes,Available for purchase from market,,No,No,No,None,,None,,None,,Mosquito net,,0,1,8,9,0,0,0,,,No,No,No,,Yes,,,Off-site (<30 minutes),,Government,,Yes,Yes,Yes,No,Off-site (<20 minutes),,,,> 75%,> 75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Agriculture/Livestock,,60,Yes,Lower,Yes,No,,,,No,,,No,No,,Yes,Weaving/knitting,,Livestock,,Yes,Yes,Police,,None,,None,,Yes,No,,0,0,Yes,No,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting and it is adequate",Yes,No,,Other,None,No,Does not protect from cold,,Blanket,,Winter Clothes,,Food Stock,,In shelter separate for cooking,No,,,Yes,,Yes,,No,,,Radio / News,,Families & friends,,No,,Yes,Don't know,Access to services ,,No,"Water facilities
Construction materials",<1500,,0%,0%,100%,0%,0,0,25,0,25,25,1,1,1,0,0,0,0,0,0,3,34,Suryamadi,25,78
Nepal,9,,28/11/16,,,Male,,Male,,,,,,Female,,,,,,,,,,,,,,,,,122,Lower Gamcha,Existed in R7,,Open,17/05/2015,,Urban,Bagmati,Kathmandu,Kritipur municipality,7,27.6714,85.26553,1372.53109,,Spontaneous,"Collective Centre  (schools, offices, religious, hospital, other)",,No,Less than 1 month,Other,Owner of the land asking to leave..,Yes,Yes,Private,Temporary Shelter (CGIs),,No,,,,,Yes,International NGO,,IOM,,,No,Bagmati,Kathmandu,Kritipur,7,,,,,25,117,2,2,8,38,11,61,0,2,6,8,5,13,40,78,5,16,56,0,0,0,5,1,0,2,0,0,3,0,<10 mins,25/04/15,No,Place of origin,,House damaged/destroyed   ,,Yes,45,Yes,No,Yes,No,No,No,No,No,No,,Resume livelihood at the place of origin/habitual residence,,> 75%,No,Other,No,No,> 75%,None,< 25%,None,< 50%,< 50%,None,,> 75%,None,Blankets,,None,,None,,Off-site (>20 minutes),No,Spring/river,,Spring/river,,,No treatment,,10-15 liters,None,,Not so good (not hygienic),6,No,0,0,0,0,0,Built by displaced communities,,Off-site,Both times,No,No,Yes,No,0,,,,Burning,,Yes,No,Yes,< 1 hour,Own Cash,,,Yes,Collect personally,,No,No,No,Cough,,Cold,,None,,Mosquito net,,0,0,0,0,0,0,0,,,No,No,No,,Yes,,,Off-site (1-2 hours),,Local Clinic/med practitioners,,Yes,Yes,Yes,No,Off-site (<20 minutes),,,,> 75%,> 75%,None,,,None,,,None,,,None,,,Yes,Yes,Daily Wage laborer,,Daily Wage laborer,,60,No,Similar,Yes,No,,,,No,,,No,No,,No,Agriculture,,Construction,,No,No,,,None,,None,,No,No,,0,0,Yes,No,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting but it is NOT adequate",Yes,No,,Other,No,No,Does not protect from cold,,Foam mat (floor),,Blanket,,Nothing,,In shelter where people sleep,No,,,No,No food support,Yes,,Yes,Government,,Families & friends,,Families & friends,,No,,No,,Other relief assistance,,Yes,Long distance for drinking water.... (30mi ),<1500,,0%,0%,60%,40%,0,0,15,10,25,0,1,3,1,3,0,0,0,0,0,8,122,Lower Gamcha,25,117
Nepal,9,,02/12/16,,,Male,,Female,,,,ki,,Male,,,,ki,,Female,,,,fgd,,Male,,,,fgd,152,Lamoshangu,Existed in R7,,Open,25/05/2015,,Peri-Urban,Bagmati,Sindhupalchok,Mankha,1,27.75619,85.85563,776.0302365,,Spontaneous,"Collective Centre  (schools, offices, religious, hospital, other)",,No,Don't know,Unknown,,Yes,No,Private,Temporary Shelter (CGIs),,No,,,,,No,,,,,,No,Bagmati,Sindhupalchok,Mankha,1,,,,,30,134,2,6,16,31,2,57,2,4,4,10,25,41,42,73,4,6,77,4,3,1,15,2,0,4,0,20,55,15,30 mins - 1 hour,28/06/15,No,None (Stay here),,House damaged/destroyed   ,,Yes,12,No,No,No,Yes,No,No,No,No,No,,No Answer,,> 75%,No,Host community,,No,> 75%,None,None,< 25%,< 75%,< 25%,None,,> 75%,< 50%,Cooking Gas,,Kitchen sets,,Tools,,Off-site (>20 minutes),Yes,Surface Water,,Piped water supply,,,No treatment,,>15 liters,None,,Not so good (not hygienic),9,No,0,0,0,0,0,Provided,oxfam,On-site,Both times,Yes,No,No,Yes,2,Yes,Yes,Yes,Garbage pit,,No,"Yes, offsite",Yes,< 1 hour,Own Cash,,,Yes,Collect personally,,Yes,Yes,Yes,Cough,,Cold,,None,,Mosquito net,,0,2,0,2,0,0,0,,,Yes,No,No,,Yes,,,Off-site (1-2 hours),,Government,,No,Yes,Yes,No,Off-site (>20 minutes),,,,> 75%,> 75%,None,,,None,,,None,,,None,,,Yes,Yes,Daily Wage laborer,,Daily Wage laborer,,10,Yes,Similar,Yes,Yes,Family member/relative,,Men,No,,,No,No,,Yes,Art/Craft,,Store/small business,,No,No,,,Theft,,None,,Yes,Yes,,0,0,Yes,No,No,,No,Yes,,,No,Toilet,,No,Toilet,,No lighting,Yes,No,,Other,non,No,Does not protect from cold,,Foam mat (floor),,Blanket,,Winter footwear,,In shelter where people sleep,Yes,Improve animal shelter,,Yes,,Yes,,Yes,Other NGO/iNGO,,Radio / News,,Radio / News,,No,,Yes,Already done,Shelter,,Yes,no where to go because land belongs to hydro power company ..,<1500,,0%,0%,100%,0%,0,0,30,0,30,15,1,1,1,3,0,0,0,0,0,6,152,Lamoshangu,30,134
Nepal,9,,30/11/16,,,Male,,Male,Host community,,,All,,Female,IDP,,,All,,,,,,,,,,,,,180,Mandre,Existed in R7,,Open,26/04/2015,,Rural,Gandaki,Gorkha,Barpak,2,28.19506,84.72523,1353.938064,6,Spontaneous,"Open ground (park, playground, sports ground, other) ",,No,Don't know,Not closing,,"No,  no vehicular access",No,Private,Temporary Shelter (CGIs),,No,,,,,No,,,,,,Yes,Gandaki,Gorkha,Barpak,2,,,,,25,131,1,12,16,34,7,70,0,1,10,22,15,31,30,64,6,13,61,2,2,0,3,1,0,2,0,3,133,0,30 mins - 1 hour,30/04/15,Yes,Place of origin,,Fear of landslide/aftershock,,No,,,No,No,No,No,No,No,No,No,,,,> 75%,Unknown,Other,No,Unknown,> 75%,None,None,None,> 75%,< 25%,None,,> 75%,> 75%,None,,None,,None,,On-site (<20 minutes),No,Piped water supply,,Piped water supply,,,Filtered,,10-15 liters,None,,Not so good (not hygienic),4,No,0,0,0,0,0,Provided,Save The Children,On-site,Day time,Unknown,Yes,No,No,1,Yes,No,No,Burning,,No,No,No,1-2 hours,Own Cash,,,Yes,Collect personally,,Yes,No,No,Cold,,None,,None,,Mosquito net,,0,1,0,1,0,0,0,,,Yes,No,No,,Yes,,,Off-site (1-2 hours),,Government,,Yes,Yes,Yes,No,Off-site (>20 minutes),,,,> 75%,> 75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Agriculture/Livestock,,0,No,Lower,No,No,,,,Unknown,,,No,No,,Yes,Weaving/knitting,,Construction,,Yes,No,Self organized,,None,,None,,Yes,Unknown,,0,0,Yes,Unknown,No,,Yes,Yes,,,Yes,,,Yes,,,No lighting,Unknown,No,,Other,None,No,Does not protect from cold,,Winter Clothes,,Mattress/Bed,,Nothing,,In shelter where people sleep,No,,,No,No food support,Yes,,No,,,Families & friends,,Families & friends,,Yes,Local authorities,Yes,Already done,Work opportunities,,Yes,"All 25 HHs have recived 50k grant, But they are unsure when and where to reconstruct. The major problem is accessibility of trail to their origin, which was destroyed by landslide. They are paying rent Rs.150 per month, So they are not affordable for that",<1500,,0%,0%,100%,0%,0,0,25,0,25,25,1,1,3,3,0,0,0,0,0,8,180,Mandre,25,131
Nepal,9,,28/11/16,,,Female,,Male,,,,,,Female,,,,,,,,,,,,,,,,,203,Hope Esparanza,Existed in R7,,Open,16/05/2015,,Urban,Bagmati,Kathmandu,Kathmandu Municipality,6,27.714628,85.359961,1331.992197,,Spontaneous,"Open ground (park, playground, sports ground, other) ",,No,Don't know,Not closing,,Yes,Yes,Private,Temporary Shelter (CGIs),,No,,,,,Yes,Local NGO,,Dwarika's Foundation,,,No,Bagmati,Sindhupalchok,,6,Bagmati,Sindhupalchok,,7,20,88,0,3,17,18,2,40,0,0,3,6,17,34,24,42,4,6,48,1,1,0,3,3,1,4,1,3,4,0,Longer,25/04/15,No,Place of origin,,No livelihood   ,,Yes,150,Yes,Yes,No,No,No,No,No,No,No,,Resume livelihood at the place of origin/habitual residence,,> 75%,Yes,Other,Place of origin,Unknown,> 75%,None,None,None,> 75%,None,None,,> 75%,< 25%,Blankets,,Kitchen sets,,Fire wood,,On-site (<20 minutes),Yes,Protected Well,,Protected Well,,,Chlorinated,,5-10 liters,None,,Not so good (not hygienic),4,No,2,2,0,0,0,Provided,Dwarika,On-site,Both times,No,Yes,Yes,Yes,0,,,,Municipal collection,,No,"Yes, On Site",Yes,< 1 hour,Food Distribution/Donation,,Dwarika's Foundation,No,,,Yes,No,No,None,,None,,None,,Mosquito net,,0,0,0,0,0,0,0,,,Yes,No,No,,Yes,,,Off-site (<30 minutes),,Local Clinic/med practitioners,,Yes,Yes,Yes,Yes,Off-site (<20 minutes),,On-site (<20 minutes),",,,,",> 75%,None,None,,,None,,,None,,,None,,,Yes,Yes,Daily Wage laborer,,Daily Wage laborer,,50,No,Lower,No,No,,,,No,,,No,No,,No,Weaving/knitting,,Livestock,,Yes,No,Self organized,,None,,None,,Yes,No,,1,1,Yes,No,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting and it is adequate",Yes,No,,Other,None,No,Does not protect from cold,,Foam mat (floor),,Blanket,,Nothing,,In shelter where people sleep,No,,,Yes,,Yes,,Yes,SMA,,Families & friends,,Families & friends,,No,,No,,Other relief assistance,,Yes,After 16 days back to origin...,<1500,,0%,0%,100%,0%,0,0,20,0,20,5,1,1,1,0,0,0,0,0,0,3,203,Hope Esparanza,20,88
Nepal,9,,28/11/16,,,Female,,Male,,,,,,Male,,,,,,,,,,,,,,,,,206,Chuchepati,Existed in R7,,Open,25/04/2015,,Urban,Bagmati,Kathmandu,Kathmandu Municipality,6,27.7199,85.35266,1338.393075,,Spontaneous,"Open ground (park, playground, sports ground, other) ",,No,Don't know,Not closing,,Yes,Yes,Private,Makeshift/tarpaulin shelter,,No,,,,,Yes,International NGO,,IOM,,,No,Bagmati,Sindhupalchok,Sindhupalchok,,Bagmati,Sindhupalchok,,,340,1207,0,17,221,340,0,578,0,0,68,85,85,306,442,782,34,34,629,7,7,0,150,18,0,60,0,50,5,3,Longer,25/04/15,No,Place of Habitual residence,,No livelihood   ,,Yes,300,Yes,No,Yes,No,No,No,No,No,No,,Resume livelihood at the place of origin/habitual residence,,< 75%,No,Purchased by IDPs,,No,< 25%,None,None,None,None,> 75%,None,,None,< 25%,Blankets,,None,,None,,Off-site (<20 minutes),Yes,Other,Panitank,Other,Panitank,,No treatment,,5-10 liters,None,,Not so good (not hygienic),2,No,0,0,0,0,8,Provided,UNICEF,On-site,Day time,No,No,No,No,0,,,,No System,,Yes,No,Yes,< 1 hour,Own Cash,,,No,,,No,No,No,Cough,,Diarrhea,,None,,Mosquito net,,0,0,0,0,0,0,0,,,No,No,No,,Yes,,,Off-site (<30 minutes),,Local Clinic/med practitioners,,Yes,Yes,Yes,No,On-site (<20 minutes),UNICEF,,,> 75%,> 75%,None,,,None,,,None,,,None,,,Yes,Yes,Daily Wage laborer,,Daily Wage laborer,,60,No,Lower,No,No,,,,No,,,No,No,,No,Store/small business,,Store/small business,,Yes,Yes,Police,,Alcohol/drug-related disturbance,,None,,Yes,Yes,,0,0,Yes,No,No,,No,Yes,,,Yes,,,Yes,,,No lighting,No,No,,Other,No,No,Does not protect from cold,,Foam mat (floor),,Blanket,,Winter Clothes,,In shelter where people sleep,No,,,No,No food support,Yes,,Yes,Other NGO/iNGO,,Families & friends,,Families & friends,,Yes,Police,No,,Recovery plans,,Yes,"Toilet, Drinking water not usable .
No light.",<1500,,0%,0%,100%,0%,0,0,340,0,0,85,5,1,5,0,0,0,0,0,0,11,206,Chuchepati,340,1207
Nepal,9,,28/11/16,,,Male,,Female,IDP,,,All,,Male,Member,,SMC,All,,,,,,,,,,,,,209,Golmode,Existed in R7,,Open,21/05/2015,,Rural,Narayani,Makwanpur,Namtar,1,27.58762,85.08438,2433.552792,,Spontaneous,"Open ground (park, playground, sports ground, other) ",,No,Don't know,Not closing,,Yes,Yes,Public/Government,Temporary Shelter (CGIs),,Yes,< 25%,Yes,,,No,,,,,,Yes,Narayani,Makwanpur,Namtar,1,,,,,44,248,0,7,26,68,11,112,2,2,15,22,53,79,55,123,11,22,136,1,1,0,2,1,0,4,0,10,248,5,2-3 hours,25/05/15,Yes,None (Stay here),,Fear of landslide/aftershock,,Yes,3,Yes,Yes,No,No,No,No,No,No,No,,Resume livelihood at the place of origin/habitual residence,,> 75%,No,Government ownership,,Unknown,> 75%,None,None,None,> 75%,None,None,,None,> 75%,Other,PE-Foam,None,,None,,On-site (<20 minutes),No,Piped water supply,,Piped water supply,,,Filtered,,>15 liters,None,,Not so good (not hygienic),14,No,0,0,0,0,0,Provided,Unicef+Enpho,On-site,Day time,No,No,No,Yes,4,Yes,Yes,No,Burning,,No,No,Yes,2-6 hours,Own Cash,,,Yes,Collect personally,,No,No,No,Cold,,Cough,,None,,Mosquito net,,0,1,0,1,0,0,0,,,Yes,No,No,,Yes,,,Off-site (>2 hours),,Government,,Yes,Yes,Yes,No,Off-site (>20 minutes),,,,> 75%,> 75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Agriculture/Livestock,,0,Yes,Lower,Yes,No,,,,Unknown,,,No,No,,Yes,Construction/daily labour,,Construction,,Yes,No,Self organized,,None,,None,,Yes,Unknown,,0,0,Yes,Unknown,No,,No,Yes,,,Yes,,,Yes,,,No lighting,Yes,No,,Other,No,No,Does not protect from cold,,Foam mat (floor),,Nothing,,Nothing,,In shelter where people sleep,No,,,Yes,,Yes,,Yes,Armed Forces,,Families & friends,,Families & friends,,Yes,Local authorities,Yes,Don't know,Situation in areas of origin,,Yes,"All hohs living in camp name is mentioned in beneficiary list, however have not signed the contract. IOM provided cooking stove unused, SMC not functional, IG related support requested, most of the shelters were locked even in the evening, detail demograp",1500 - 2500,,0%,0%,100%,0%,0,0,44,0,0,44,1,1,1,0,0,0,0,0,0,3,209,Golmode,44,248
Nepal,9,,29/11/16,,,Male,,Female,,,,,,Male,,,,,,,,,,,,,,,,,225,Bulungkhani,,,Open,27/04/2015,,Rural,Janakpur,Dolakha,Bulung,9,27.79411,86.17941,1056.144843,,Spontaneous,"Open ground (park, playground, sports ground, other) ",,No,Don't know,Not closing,,Yes,No,Private,Temporary Shelter (CGIs),,Yes,< 50%,Yes,,,No,,,,,,No,Janakpur,Dolakha,Bulung,9,,,,,98,380,4,12,41,117,15,189,2,6,18,30,43,84,110,227,18,33,191,3,2,1,13,4,0,10,1,8,353,2,<10 mins,30/04/15,No,None (Stay here),,Fear of landslide/aftershock,,,,,No,No,No,No,No,No,No,No,,,,> 75%,No,,,,> 75%,None,None,None,> 75%,None,None,,> 75%,None,CGIs,,Blankets,,Tarpaulin,,On-site (<20 minutes),Yes,Piped water supply,,Piped water supply,,,Filtered,,10-15 liters,None,,Not so good (not hygienic),45,No,0,0,0,0,0,Provided,Plan International,On-site,Both times,Yes,No,No,Yes,5,Yes,No,No,No System,,No,No,No,2-6 hours,Own/Cultivated,,,Yes,Collect personally,,Yes,No,No,Cough,,Cold,,None,,None,,0,0,0,0,0,0,0,,,Yes,No,No,,Yes,,,Off-site (>2 hours),,Government,,No,Yes,Yes,No,Off-site (<20 minutes),,,,> 75%,> 75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Agriculture/Livestock,,100,Yes,Lower,Yes,No,,,,No,,,No,No,,Yes,Store/small business,,Store/small business,,No,No,,,None,,None,,Yes,Yes,No remarkable issues,0,1,Yes,No,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting but it is NOT adequate",No,No,,Other,Will not limit any,No,Does not protect from cold,,Winter Clothes,,Mattress/Bed,,Foam mat (floor),,In shelter where people sleep,Yes,Improve animal shelter,,Yes,,Yes,,No,,,Families & friends,,Radio / News,,Yes,Site management comittee,Yes,Already done,Other,Livelihood Trainings,Yes,None,<1500,,25%,0%,75%,0%,25,0,74,0,98,0,3,1,1,0,0,0,0,0,0,5,225,Bulungkhani,98,380
Nepal,9,,04/12/16,,,Female,,Female,,,,,,Female,,,,,,Male,,,,,,Male,,,,,233,20 Kilo,,,Open,27/05/2015,,Rural,Bagmati,Sindhupalchok,Jethal,5,27.69958,85.89528,2029.992685,,Spontaneous,"Open ground (park, playground, sports ground, other) ",,No,Don't know,Not closing,,Yes,No,Public/Government,Temporary Shelter (CGIs),,Yes,< 25%,Yes,,,No,,,,,,No,Bagmati,Sindhupalchok,Jaithal,5,Bagmati,,,,60,204,6,6,18,45,21,96,3,9,9,15,24,42,48,93,24,45,108,1,1,0,7,4,0,8,0,1,201,7,30 mins - 1 hour,05/11/15,Unknown,None (Stay here),,House damaged/destroyed   ,,No,,,No,No,No,No,No,No,No,No,,,,> 75%,Unknown,Host community,,No,> 75%,None,None,None,> 75%,None,None,,< 50%,< 25%,Kitchen sets,,CGIs,,Cooking Gas,,Off-site (>20 minutes),Unknown,Piped water supply,,Piped water supply,,,No treatment,,>15 liters,None,,Not so good (not hygienic),60,No,0,0,0,0,0,Provided,Save The Children,On-site,Both times,Yes,No,No,No,0,,,,Burning,,No,No,Yes,< 1 hour,Own Cash,,,No,,,Yes,Yes,Yes,Diarrhea,,Cough,,Cold,,Mosquito net,,0,2,0,2,0,2,2,,,No,No,No,,Yes,,,Off-site (<30 minutes),,Government,,No,Yes,Yes,No,Off-site (>20 minutes),,,,< 50%,< 50%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Agriculture/Livestock,,2,Yes,Similar,Yes,No,,,,No,,,Yes,Yes,Open Area,Yes,Art/Craft,,Livestock,,No,No,,,None,,None,,Unknown,No,Nothing,0,0,Yes,No,No,,No,Yes,,,Yes,,,Yes,,,No lighting,Yes,No,,School,,No,Does not protect from cold,,Foam mat (floor),,Blanket,,Winter footwear,,In shelter where people sleep,Yes,Improve animal shelter,,Yes,,Yes,,Yes,SMA,,Radio / News,,Families & friends,,No,,Yes,Already done,Shelter,,No,,1500 - 2500,,0%,0%,100%,0%,0,0,60,0,30,15,3,1,1,0,0,0,0,0,0,5,233,20 Kilo,60,204
Nepal,9,,30/11/16,,,Male,,Male,,,,,,Male,,,,,,Female,,,,,,Female,,,,,236,Simbutar,,,Open,30/04/2015,,Urban,Bagmati,Nuwakot,Bidur Municipality,9,27.92837,85.15141,565.4108754,,Spontaneous,"Open ground (park, playground, sports ground, other) ",,No,Don't know,Not closing,,Yes,Yes,Public/Government,Temporary Shelter (CGIs),,No,,,,,No,,,,,,Yes,Bagmati,Rasuwa,Haku,,Bagmati,Nuwakot,Lachyang,,116,531,6,29,82,116,6,239,6,12,58,87,76,158,140,256,12,18,292,8,8,0,25,7,1,7,1,6,500,10,Longer,15/09/15,Yes,Don't know,,Lack of access,,Yes,750,Yes,Yes,No,No,No,No,No,No,No,,Construct/repair shelter at the place of origin/habitual residence,,> 75%,Yes,Other,Only IDPs from Haku vdc are being relocated to government owned land.,No,> 75%,None,None,< 25%,> 75%,None,None,,> 75%,< 25%,Fire wood,,None,,None,,On-site (<20 minutes),Yes,Piped water supply,,Piped water supply,,,No treatment,,10-15 liters,Suspended solids,,Good (Hygienic),33,No,0,0,0,0,0,Provided,IOM,On-site,Both times,Yes,No,No,Yes,0,,,,Burning,,No,No,Yes,< 1 hour,Own Cash,,,No,,,Yes,Yes,Yes,Cold,,Cough,,None,,Mosquito coil,,1,0,2,2,1,0,1,,,Yes,Yes,No,,Yes,,,Off-site (1-2 hours),,Government,,Yes,Yes,Yes,No,Off-site (<20 minutes),,,,> 75%,> 75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Daily Wage laborer,,90,Yes,Lower,No,No,,,,Yes,,Gulf countries,No,No,,Yes,Store/small business,,Construction,,Yes,Yes,Self organized,,None,,None,,Yes,Yes,Indirect conflicts with host community regarding the resources at times. Some members from host community have threatned IDPs to move from there.,1,0,Yes,Yes,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting but it is NOT adequate",Yes,No,,Other,None,Yes,,,Blanket,,Mattress/Bed,,Winter Clothes,,In shelter where people sleep,No,,,Yes,,Yes,,No,,,Families & friends,,Authorities,,No,,Yes,Already done,Work opportunities,,Yes,Most IDPs need permanent relocation land. Or they want livelihood mechanism.,<1500,,0%,20%,20%,60%,0,23,23,70,116,29,5,5,1,3,0,0,0,0,0,14,236,Simbutar,116,531
