country,round,site_region,site_province,site_district,n_family,n_total,site_type,,,,site_id
Nigeria,1,ADAMAWA,DEMSA,DEMSA,20,264,HC,2014,1 - Insurgency,AD,1
Nigeria,1,ADAMAWA,DEMSA,DONG,20,300,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,DEMSA,KPASHAM,20,223,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,DEMSA,NASSARAWO DEMSA,35,365,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,FUFORE,FARANG,92,1390,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,FUFORE,FUFORE,190,1778,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,FUFORE,GURIN,136,1374,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,FUFORE,MAYO INE,96,1552,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,FUFORE,PARIYA,22,397,C,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,FUFORE,PARIYA,60,494,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,FUFORE,RIBADU,210,2180,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,FUFORE,UKI TUKI,56,617,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,FUFORE,WURO BOKKI,178,2058,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,GANYE,GANYE I,60,1692,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,GANYE,GANYE II,118,3673,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,GANYE,GURUM,60,832,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,GANYE,JAGGU,23,330,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,GANYE,SANGASUMI,112,4980,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,GANYE,TIMDORE,18,171,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,GANYE,YEBBI,40,657,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,GIRE 1,DAKRI,22,161,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,GIRE 1,DAMARE,35,371,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,GIRE 1,DAMARE,450,4953,C,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,GIRE 1,GEREI I,32,165,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,GIRE 1,GEREI I,229,1626,C,2014,1 - Insurgency,BO,
Nigeria,1,ADAMAWA,GIRE 1,GIREI  II,25,168,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,GIRE 1,GERENG,31,215,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,GIRE 1,JERA BAKARI,25,159,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,GIRE 1,JERA BONYO,34,341,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,GIRE 1,MODIRE/ VINIKILANG,327,2986,C,2014,1 - Insurgency,BO,
