site_id,site_name,,round,survey_template,site_latitude,site_longitude,site_region,site_province,site_district,country,survey_date,site_access,site_area,regist_activity,site_cmc,sma_exist,sma_type,sma_name,support_list,site_class,site_type,site_shelter,site_owner,site_date_open,site_date_close_exp,site_date_close,origin_region,origin_province,origin_district,site_hazard,n_family,n_total ,n_infants_male,n_child_male,n_youth_male,n_adult_male,n_elder_male,n_infants_female,n_child_female,n_youth_female,n_adult_female,n_elder_female,n_pregnant,n_lactating,per_hh_outside,per_hh_tentsmakeshift,per_hh_makeshift,per_hh_indoors,per_hh_electricity,per_hh_safecook,per_hh_private,latrine_light,site_debris,site_repair,water_location,water_source_np,water_source_p,water_potable,water_avg,water_complaint,water_remark,n_latrine,latrine_gender,latrine_condition,bathing_gender,hyg_waste,n_garbage,garbage_problem,hyg_drainage,food_access,food_freq,food_sup_lac,food_sup_child,health_screen,health_issue,health_issue_b,health_issue_c,health_medicine,health_location,health_provider,health_referral,edu_access,edu_distance,per_sch,n_hh_income,job_cattle_site,sec_provided,security_provider,health_psych,n_space_child,n_space_female,info_src
AD_S001,NYSC Damare Camp,NULL,2,Full Survey,9.38615,12.447567,Adamawa,Gireri,Damare,Nigeria,2/15/2015,Yes,,Yes,Yes,Yes,Government,"NEMA, SEMA & RC",Yes,Planned,Collective Centre,Government building,Public/Government,8/1/2014,Unknown,,Borno,Gwoza,Whole Community,None,1030,6176,0,386,1353,1145,28,0,369,1038,1841,16,276,90,None,<50%,<25%,<50%,<50%,<25%,None,Yes,No,No,On-site (<20 minutes),Other,Other,Yes,10-15 liters,No,,26,Yes,Good,Yes,Garbage pit,8,No,No,Yes,Once a week,No,No,No,Cough,Colds,Fever,Yes,On-site (< 3 km),Government,Yes,Yes,<1Km,<50%,31,No,Yes,Police,NULL,4,,Families & friends
AD_S002,Deeper Life Camp Ground,NULL,2,Full Survey,9.3000333,12.317283,Adamawa,Yola South,Namtari,Nigeria,2/15/2015,Yes,,Yes,Yes,No,Religious Entity,Deeper Life Church,Yes,Spontaneous,Camp,Bunk houses,Private,10/6/2014,Unknown,,Adamawa,Madagali,Whole Community,None,111,716,26,85,110,117,6,31,80,109,149,3,12,33,<25%,None,None,<50%,<25%,None,None,No,No,No,On-site (<20 minutes),Other,Other,Yes,>15 liters,No,,6,Yes,Not so good,Yes,Burning,,Yes,No,Yes,Everyday,No,No,NULL,Colds,Malaria,Fever,Yes,On-site (< 3 km),None,No,Yes,<1Km,<50%,,No,No,Other,NULL,7,,Families & friends
AD_S003,Malkohi Camp,NULL,2,Full Survey,9.1964333,12.3837,Adamawa,Yola South,Namtari,Nigeria,2/15/2015,Yes,,Yes,Yes,Yes,Government,"NEMA, SEMA & RC",Yes,Planned,Collective Centre,Government building,Public/Government,9/29/2014,Unknown,,Adamawa,Michika/Madagali,Whole Community,None,191,1545,32,73,300,157,4,53,128,407,386,5,18,132,None,<50%,<50%,<50%,<25%,<25%,None,Yes,No,No,On-site (>20 minutes),Hand pumps,Hand pumps,Yes,10-15 liters,No,,17,Yes,Not so good,Yes,Garbage pit,7,No,No,Yes,Everyday,No,No,No,Diarrhea,Malaria,Fever,Yes,On-site (< 3 km),Government,Yes,Yes,<1Km,<75%,8,No,Yes,Police,NULL,7,,Families & friends
AD_S004,Malkohi Village ,NULL,2,Full Survey,9.1925,12.377067,Adamawa,Yola South,Namtari,Nigeria,2/15/2015,Yes,,No,No,No,Individual/Private,,Yes,Spontaneous,Camp,Self-made tents,Private,9/23/2014,Unknown,,Borno,Gwoza,Whole Community,None,65,276,12,13,26,60,3,16,8,46,92,0,6,18,None,>75%,None,None,<25%,<25%,<25%,No,No,No,Off-site (<20 minutes),Other,Other,Yes,<10 liters,No,,3,Yes,Not so good,Yes,Burning,,No,No,No,Irregular,No,No,No,Colds,Fever,Diarrhea,No,On-site (> 3 km),Government,No,No,<1Km,<25%,,No,No,,NULL,,,Radio / News
AD_S005,Eyn Church Vinikilang,NULL,2,Full Survey,9.3014667,12.47455,Adamawa,Gireri ,Vinikilang,Nigeria,2/15/2015,Yes,,Yes,Yes,No,Religious Entity,EYN Church Council,Yes,Spontaneous,Collective Centre,Other,Private,,NULL,,Borno,Gwoza,Whole Community,None,421,2926,243,282,400,282,0,81,248,449,921,20,81,199,<25%,<50%,None,<50%,<25%,<25%,None,No,No,No,On-site (>20 minutes),Other,Other,Yes,10-15 liters,No,,22,Yes,Not so good,Yes,Burning,6,Yes,No,Yes,Everyday,No,No,No,Cough,Fever,Malaria,No,Off-site (< 3 km),Self-organized,No,No,<1Km,<25%,6,No,Yes,Religious leaders,NULL,7,,Families & friends
AD_S006,Daware Village,NULL,2,Full Survey,9.4129833,12.587983,Adamawa,Fufore,Pariya,Nigeria,1/27/2015,Yes,1000,Yes,Yes,No,Individual/Private,"NEMA,FBO",Yes,Spontaneous,Camp,Self-made tents,Private,3/7/2014,Unknown,,Borno,Gwoza,Whole Community,NULL,208,962,0,143,138,168,15,0,199,138,156,5,15,28,<25%,>75%,None,<25%,None,<25%,<50%,No,No,Yes,Off-site (<20 minutes),Other,Other,Yes,10-15 liters,No,,,No,Non usable,No,None,,No,No,No,Irregular,No,No,No,Cough,Colds,Malaria,No,On-site (< 3 km),Government,No,No,<1Km,<25%,10,Yes,No,Community leaders,NULL,,,Families & friends
AD_S007,Lamido Lawal Pri School,NULL,2,Full Survey,9.3625,12.54145,Adamawa,Gireri ,Gireri 1,Nigeria,2/15/2015,Yes,,Yes,Yes,No,Individual/Private,IDPs Camp Committe,Yes,Spontaneous,Transitional Centre,School,Public/Government,10/29/2014,Unknown,,Borno  ,Askira UBA,Whole Community,None,252,2201,54,151,238,763,17,120,118,225,502,13,41,64,<25%,<50%,<25%,<75%,<25%,<25%,None,No,No,No,Off-site (>20 minutes),Tankers,Tankers,Yes,<10 liters,No,,8,Yes,Not so good,Yes,Burning,,Yes,No,No,Irregular,No,No,No,Cough,Colds,Fever,Yes,On-site (< 3 km),Government,Yes,Yes,<1Km,<25%,15,No,Yes,Police,NULL,3,,Families & friends
AD_S008,St Theresas Cathedral,NULL,2,Full Survey,9.2734,12.444467,Adamawa,Yola North,Luggere,Nigeria,2/15/2015,Yes,,Yes,Yes,No,Religious Entity,,Yes,Spontaneous,Collective Centre,School,Private,9/23/2014,Unknown,,Adamawa,Michika,Michika II,None,422,2140,37,89,216,417,9,71,130,421,724,26,110,157,<25%,None,None,<50%,<50%,<25%,None,No,No,No,On-site (>20 minutes),Other,Other,Yes,10-15 liters,No,,12,Yes,Not so good,Yes,Garbage pit,3,No,Yes,Yes,Twice a week,No,No,No,Colds,Malaria,Fever,Yes,On-site (< 3 km),Self-organized,No,Yes,<1Km,<25%,,No,Yes,Self organized,NULL,3,,Families & friends
AD_S009,Runde Killa,NULL,2,Full Survey,9.1999167,12.3868,Adamawa,Yola South,Namtari,Nigeria,2/15/2015,Yes,,Yes,No,No,Individual/Private,,Yes,Spontaneous,Camp,Self-made tents,Private,9/22/2014,Unknown,,Adamawa,Michika,Whole Community,None,48,208,3,6,37,50,0,3,16,32,59,2,5,8,None,<75%,None,<25%,None,<25%,<50%,No,No,No,Off-site (<20 minutes),Other,Other,Yes,10-15 liters,No,,,No,Non usable,No,Burning,,No,No,No,Irregular,No,No,No,Diarrhea,Malaria,Fever,No,Off-site (> 3 km),Government,No,Yes,<1Km,<25%,,No,No,,NULL,,,Families & friends
AD_S010,Kawawan Wapa,NULL,2,Full Survey,9.288233,12.320083,Adamawa,Yola South,Namtari,Nigeria,2/15/2015,Yes,515,Yes,Yes,No,Individual/Private,,Yes,Spontaneous,Collective Centre,Government building,Public/Government,9/22/2014,Unknown,,Adamawa,Michika,Whole Community,None,286,1536,33,83,201,324,9,63,125,386,305,7,22,115,<25%,None,None,<75%,<25%,<50%,<50%,No,No,No,On-site (>20 minutes),Other,Other,Yes,<10 liters,No,,6,Yes,Not so good,Yes,Burning,,Yes,Yes,No,Irregular,No,No,No,Colds,Malaria,Fever,Yes,On-site (< 3 km),Other,No,Yes,<1Km,<50%,6,No,Yes,Military,NULL,2,,Families & friends
