country,,,,,,,,survey_date,round,,site_id,site_name,site_cardinal,site_region,site_province,site_district,,,,,site_longitude,site_latitude,sma_exist,,smc_community,,,,sma_exist,,sma_name,sma_type,,,,regist_activity,,,,support_wash,,support_health,,support_shelter,,support_food,,support_protect,,support_edu,,support_live,,site_class,site_type,,,,,site_access,site_area,site_owner,,,,,,,,,,,,,n_family,,n_infants_male,n_infants_female,n_child_male,n_child_female,n_youth_male,n_youth_female,n_adult_male,n_adult_female,n_elder_male,n_elder_female,n_infants,n_child,n_youth,n_adult,n_elder,n_male,n_female,n_total,n_pregnant,n_lactating,n_pwd,,,n_child_sep,n_child_unacc,n_orphan,n_hoh_female,n_hoh_male,n_hoh_child,n_chronic_ill,,,pre_displaced,,,,,,,,,,per_hh_no_shelter,per_hh_tents,per_hh_makeshift,per_hh_indoors,per_hh_electricity,per_hh_safe_cooking,per_hh_private,per_hh_nets,nfi_a,nfi_b,nfi_c,nfi_other,site_repair,,water_location,,,,water_operational,,water_source_np,,water_source_p,,water_cons,,water_potable,,water_remark,,water_complaint,,latrine_cond,,n_latrine,latrine_gender,,bathing_gender,,latrine_lock,,hyg_waste,,n_garbage,garbage_problem,,hyg_station,,hyg_evidence,,hyg_promotion,,hyg_open_def,,hyg_drainage,food_access,,food_market,,food_freq,,food_source,,health_screen,,food_sup_lac,,food_sup_child,,,,,,health_medicine,,health_center,,health_location,,health_provider,,edu_access,,edu_location,,edu_distance,,per_sch,,,job_access,,n_hh_income,,,,,sec_provided,,,,sec_provider,,,,,,sec_tradition,,sec_child_issue,,,,n_space_child,n_space_female,,,,,unsafe_female,unsafe_male,unsafe_child,,,,,site_lighting,,,,,,job_abr,,job_abr_in,,,,
Nigeria,4/22/15 17:05,4/22/15 13:04,4/22/15 13:24,22-Apr-15,359535057819817,621300278117471,359535057819817,13-Mar-15,3,male, AD_S017,Yola Central Mosque,north_east,adamawa,Yola south,Mbamoi,,,,,12.477907,9.207294,no,,,,,,no,,,,,,,no,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,spontaneous,camp,,4-Oct-14,less than 2 months,22-Apr-15,yes,0,public,government building,,north_east,adamawa,michika,Moda/Dlaka,north_east,adamawa,michika,Michika,none,,516,by_gender_and_age_group,,,,,,,,,,,303,682,802,1028,423,1286,1952,3238,15,6,0,0,7,5,3,7,6,7,8,0,3-Oct-14,22-Apr-15,yes,,place of origin,,accessibility,,north_east,adamawa,michika,Michika,2__less_than_25_percent,2__less_than_25_percent,1__none,1__none,2__less_than_25_percent,1__none,2__less_than_25_percent,2__less_than_25_percent,2__blankets,3__mosquito_nets,10__soap,,yes,,1__onsite_less_than_20,,yes,,2__operational_50_less,,3__piped_water_supply,,3__piped_water_supply,,2__less_than_10_liters,,yes,,2__taste,,yes,,not_so_good,,5,yes,,yes,,yes,,3__burning,,0,yes,,yes,,yes,,yes,,yes,,yes,yes_onsite,,unknown,,8__unknown,,2__distribution,,yes,,yes,,yes,,3__malaria,6__fever,15__cough,,yes,,yes,,1__on-site_less_than_3_km,,7__local_clinic,,yes,,1__onsite,,2__less_than_2_km,,2__less_than_25_percent,3__farming,,yes,,2,yes,,yes,,yes,,yes,,2__police,,2__friction_with_host_community,,,,1__early_forced_marriage,,2__child_emotional_abuse,,4__some_specific_groups_are_excl,,2,1,yes,,yes,,no,no,no,2__good,,2__good,,not_adequate,,6__mobile_phone,,9__situation_in_areas_of_origin,,no,,,yes,yes,,516
Nigeria,4/22/15 14:40,4/22/15 12:43,4/22/15 14:37,22-Apr-15,351612060609275,621300277460794,351612060609275,13-Mar-15,3,male,AD _S009,Runde Killa,north_east,adamawa,Yola south,Namtari,,,,,12.389598,9.20465,no,,,,,,no,,,,,,,unknown,,unknown,,unknown,,unknown,,unknown,,unknown,,unknown,,unknown,,unknown,,planned,transitional centre,,20-Sep-15,unknown,22-Apr-15,yes,0,public,community centre,,north_east,adamawa,michika,Michika I,north_east,adamawa,madagali,Gulak,none,None,39,by_both_gender_and_age_group,9,9,16,25,21,27,22,39,9,16,18,40,48,61,25,76,116,192,8,4,0,0,6,0,3,7,3,4,2,0,20-Sep-15,22-Apr-15,yes,,place of origin,,house damaged,,north_east,adamawa,michika,Michika1,2__less_than_25_percent,2__less_than_25_percent,1__none,1__none,2__less_than_25_percent,2__less_than_25_percent,1__none,3__less_than_50_percent,2__blankets,3__mosquito_nets,10__soap,,yes,,6__unknown,,yes,,2__operational_50_less,,2__handpumps,,2__handpumps,,2__less_than_10_liters,,unknown,,2__taste,,no,,unknown,,8,yes,,no answer,,no,,3__burning,,3,no,,none,,no,,no,,no,,yes,yes_onsite,,unknown,,3__once_a_week,,3__host_community_donation,,no,,no,,no,,3__malaria,6__fever,15__cough,,yes,,yes,,1__on-site_less_than_3_km,,8__unknown,,yes,,2__offsite,,1__less_than_1_km,,1__none,3__farming,,unknown,,,yes,,no,,no,,no,,10__none,,9__none,,,,7__none,,none,,4__some_specific_groups_are_excl,,0,0,no,,no,,yes,yes,yes,2__good,,2__good,,not_adequate,,6__mobile_phone,,9__situation_in_areas_of_origin,,no,,,no,unknown,,0
Nigeria,4/22/15 15:31,4/21/15 16:37,4/22/15 9:13,21-Apr-15,351612060609275,621300277460794,351612060609275,12-Mar-15,3,male,AD_S001,Nysc camp,north_east,adamawa,Girei,Damare,,,,,12.44759,93.18142,yes,,yes,,,,yes,,Nema/Sema,government,,,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,planned,camp,,24-Aug-14,unknown,21-Apr-15,yes,0,public,government building,,north_east,adamawa,michika,Michika,north_east,borno,bama,Goshe,none,,965,by_gender_and_age_group,,,,,,,,,,,45,1184,1496,2187,515,2356,3071,5427,35,45,17,12,515,315,279,486,566,395,145,17,24-Aug-14,12-Mar-15,yes,,place of origin,,house damaged,,north_east,adamawa,michika,Michika,2__less_than_25_percent,4__less_than_75_percent,1__none,5__more_than_75_percent,1__none,3__less_than_50_percent,1__none,5__more_than_75_percent,2__blankets,11__bucket,12__hygiene_kits,,yes,,1__onsite_less_than_20,,yes,,1__operational_50_more,,10__water_truck,,3__piped_water_supply,,4__more_than_15_liters,,yes,,5__none,,no,,not_so_good,,152,yes,,yes,,no,,3__burning,,80,yes,,none,,no,,no answer,,yes,,yes,yes_onsite,,yes,,1__everyday,,2__distribution,,yes,,yes,,no,,3__malaria,2__diarrhea,15__cough,,yes,,yes,,1__on-site_less_than_3_km,,government,,yes,,1__onsite,,1__less_than_1_km,,5__more_than_75_percent,5__petty_trade,,yes,,276,no,,yes,,yes,,no,,3__military,,9__none,,,,7__none,,none,,16__none,,5,0,yes,,no,,no,no,no,1__excellent,,1__excellent,,not_adequate,,6__mobile_phone,,9__situation_in_areas_of_origin,,no,,,yes,yes,,965
Nigeria,4/22/15 14:19,4/22/15 10:30,4/22/15 13:13,22-Apr-15,359535057820435,,359535057820435,27-Jan-15,3,female,AD_S002,Deeper life camp ground,north_east,adamawa,Yola south,Namtari,,,,,9.3006,12.3159,no,,,,,,no,,,,,,,yes,,yes,FBO AND INDIVIDUALS) IRC,yes,,yes,,yes,,yes,,yes,,yes,,yes,,spontaneous,camp,,6-Sep-14,unknown,27-Sep-14,yes,0,private,other,Church,north_east,adamawa,michika,Viboka,north_east,adamawa,madagali,N/A,none,,98,by_gender_and_age_group,,,,,,,,,,,63,142,166,213,88,267,405,672,23,16,0,0,5,5,10,8,7,8,10,0,27-Sep-14,19-Dec-14,yes,,place of origin,,house damaged,,north_east,adamawa,madagali,N/A,2__less_than_25_percent,1__none,1__none,2__less_than_25_percent,1__none,2__less_than_25_percent,1__none,2__less_than_25_percent,2__blankets,12__hygiene_kits,8__other,,yes,,1__onsite_less_than_20,,yes,,3__not_operational,,3__piped_water_supply,,2__handpumps,,2__less_than_10_liters,,yes,,2__taste,,yes,,not_so_good,,8,yes,,yes,,no,,3__burning,,2,yes,,none,,yes,,yes,,yes,,yes,yes_onsite,,yes,,8__unknown,,2__distribution,,yes,,yes,,yes,,3__malaria,6__fever,15__cough,,yes,,yes,,6__mobile_clinic,,2__ngo,,no,,3__none,,3__less_than_5_km,,3__less_than_50_percent,5__petty_trade,,no,,,yes,,no,,yes,,yes,,2__police,,3__friction_among_site_residents,,,,1__early_forced_marriage,,2__child_emotional_abuse,,4__some_specific_groups_are_excl,,1,0,yes,,yes,,no,no,no,2__good,,2__good,,not_adequate,,6__mobile_phone,,9__situation_in_areas_of_origin,,no,,,no,yes,,98
Nigeria,4/22/15 14:30,4/22/15 10:30,4/22/15 13:05,22-Apr-15,359535057940761,,359535057940761,13-Mar-15,3,female,AD_S003,MALKOHI CAMP,north_east,adamawa,Yola south,Namtari,,,,,12.315931,9.30064,yes,,yes,,,,yes,,AD SEMA,government,,,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,spontaneous,camp,,3-Nov-14,unknown,22-Apr-15,yes,0,public,school,,north_east,adamawa,michika,MICHIKA 2,north_east,adamawa,madagali,,none,,143,by_gender_and_age_group,,,,,,,,,,,108,244,286,367,151,459,697,1156,18,132,0,0,20,18,18,0,28,28,0,3,8-Sep-14,9-Sep-14,yes,,place of origin,,house damaged,,north_east,adamawa,michika,MICHIKA 2,2__less_than_25_percent,2__less_than_25_percent,1__none,1__none,1__none,6__unknown,6__unknown,2__less_than_25_percent,2__blankets,12__hygiene_kits,10__soap,,yes,,1__onsite_less_than_20,,yes,,2__operational_50_less,,3__piped_water_supply,,2__handpumps,,2__less_than_10_liters,,yes,,2__taste,,yes,,1__good,,10,yes,,yes,,yes,,3__burning,,0,yes,,yes,,yes,,yes,,yes,,no,yes_onsite,,no,,1__everyday,,2__distribution,,yes,,yes,,yes,,3__malaria,6__fever,other,,yes,,yes,,1__on-site_less_than_3_km,,government,,yes,,1__onsite,,1__less_than_1_km,,4__less_than_75_percent,3__farming,,no,,,no,,no,,yes,,yes,,3__military,,1__alcohol_drug_related_disturba,,,,1__early_forced_marriage,,2__child_emotional_abuse,,4__some_specific_groups_are_excl,,2,1,no,,yes,,no,no,no,1__excellent,,1__excellent,,not_adequate,,1__families_friends,,9__situation_in_areas_of_origin,,no,,,no,yes,,143
Nigeria,4/22/15 14:50,4/22/15 10:37,4/22/15 14:49,22-Apr-15,355798053606216,,355798053606216,13-Mar-15,3,male,AD_S004,Malkohi village,north_east,adamawa,Yola south,Namatari,,,,,9.115712,12.225807,no,,,,,,no,,,,,,,no,,yes,,yes,,yes,,yes,,yes,,yes,,no,,yes,,spontaneous,collective settlement,,7-Jul-14,unknown,22-Apr-15,yes,0,ancestral,self made tents,,north_east,borno,gwoza,Gwoza,north_east,borno,gwoza,Whole community,none,,76,by_gender_and_age_group,,,,,,,,,,,28,63,74,93,39,118,179,297,21,8,0,0,10,7,3,12,14,12,13,0,15-Sep-14,22-Apr-15,yes,,place of origin,,no answer,,north_east,borno,gwoza,Gwoza,3__less_than_50_percent,3__less_than_50_percent,6__unknown,6__unknown,2__less_than_25_percent,2__less_than_25_percent,2__less_than_25_percent,6__unknown,2__blankets,3__mosquito_nets,10__soap,,yes,,1__onsite_less_than_20,,yes,,1__operational_50_more,,6__protected_well,,1unknown,,2__less_than_10_liters,,unknown,,2__taste,,no,,not_so_good,,3,no,,no,,no,,3__burning,,2,unknown,,4__yes_no_soap_water,,yes,,no,,yes,,no,yes_onsite,,unknown,,8__unknown,,2__distribution,,yes,,yes,,yes,,3__malaria,6__fever,15__cough,,yes,,yes,,6__mobile_clinic,,2__ngo,,no,,2__offsite,,4__less_than_10_km,,3__less_than_50_percent,3__farming,,no,,,no,,no,,no,,no,,1__self_organized,,9__none,,,,7__none,,2__child_emotional_abuse,,4__some_specific_groups_are_excl,,0,0,no,,no,,no,no,no,2__good,,2__good,,3__no_lighting,,6__mobile_phone,,9__situation_in_areas_of_origin,,no,,,no,no,,76
Nigeria,4/22/15 15:55,4/21/15 17:01,4/22/15 15:53,21-Apr-15,351612060615355,621300088125550,351612060615355,12-Mar-15,3,male,AD_S005,EYN Church,north_east,adamawa,Girei,Vinikilang,,,,,12.47508,13.01531,yes,,yes,,,,yes,,IRC,government,,,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,no,,yes,,planned,collective settlement,,8-Apr-14,unknown,21-Apr-15,yes,700,private,other,Church,north_east,adamawa,michika,Baza,north_east,borno,gwoza,Ngoshe,none,N/A,370,by_gender_and_age_group,,,,,,,,,,,24,340,730,1052,463,995,1614,2609,20,17,10,1,463,197,215,67,50,40,75,15,4-Aug-14,23-Mar-15,yes,,place of origin,,house damaged,,north_east,adamawa,michika,Baza,2__less_than_25_percent,3__less_than_50_percent,3__less_than_50_percent,3__less_than_50_percent,2__less_than_25_percent,3__less_than_50_percent,1__none,4__less_than_75_percent,3__mosquito_nets,10__soap,11__bucket,Hygiene kit and mats,yes,,1__onsite_less_than_20,,no,,2__operational_50_less,,9__spring,,10__water_truck,,3__less_than_15_liters,,yes,,5__none,,no,,not_so_good,,7,yes,,yes,,no,,3__burning,,5,yes,,none,,no,,no,,yes,,yes,yes_onsite,,yes,,6__irregular,,2__distribution,,no,,yes,,no,,3__malaria,2__diarrhea,15__cough,,yes,,yes,,1__on-site_less_than_3_km,,government,,no,,3__none,,6__unknown,,1__none,5__petty_trade,,yes,,6,no,,no,,yes,,no,,1__self_organized,,9__none,,,,7__none,,none,,16__none,,1,0,yes,,no,,no,no,no,1__excellent,,1__excellent,,not_adequate,,6__mobile_phone,,7__other_relief_assistance,,no,,,yes,yes,,370
Nigeria,4/22/15 15:34,4/21/15 17:10,4/22/15 15:34,21-Apr-15,359535057820435,,359535057820435,13-Mar-15,3,male,AD_S007,Lamido Lawal Pri School,north_east,adamawa,Girei,GIREI 1,,,,,12.54159,13.62362,yes,,yes,,,,yes,,NEMA,government,,,,yes,,yes,,yes,,yes,,yes,,unknown,,yes,,yes,,no,,planned,collective settlement,,29-Aug-14,unknown,21-Apr-15,yes,500,public,school,,north_east,borno,askira/uba,LASA,north_east,adamawa,michika,WURO PATOGI,none,,460,by_gender_and_age_group,,,,,,,,,,,35,378,987,878,223,957,1544,2501,16,35,6,2,223,0,5,52,366,475,20,5,29-Aug-14,13-Mar-15,yes,,place of origin,,house damaged,,north_east,borno,askira/uba,WURO POTOJI,2__less_than_25_percent,2__less_than_25_percent,1__none,4__less_than_75_percent,1__none,1__none,1__none,3__less_than_50_percent,10__soap,2__blankets,12__hygiene_kits,,yes,,1__onsite_less_than_20,,yes,,1__operational_50_more,,10__water_truck,,3__piped_water_supply,,4__more_than_15_liters,,yes,,5__none,,no,,not_so_good,,6,yes,,yes,,no,,3__burning,,6,yes,,none,,no,,yes,,no,,no,yes_onsite,,yes,,1__everyday,,2__distribution,,yes,,yes,,no,,3__malaria,15__cough,2__diarrhea,,yes,,yes,,1__on-site_less_than_3_km,,government,,yes,,1__onsite,,1__less_than_1_km,,5__more_than_75_percent,5__petty_trade,,yes,,25,no,,no,,yes,,no,,1__self_organized,,9__none,,,,7__none,,none,,16__none,,2,0,yes,,no,,no,no,no,1__excellent,,1__excellent,,1__adequate,,1__families_friends,,9__situation_in_areas_of_origin,,no,,,yes,yes,,460
Nigeria,4/22/15 14:30,4/22/15 13:31,4/22/15 14:03,22-Apr-15,359535057940761,,359535057940761,18-Mar-15,3,male,AD_S008,St THERESA CATHERAL,north_east,adamawa,Yola north,Luggere,,,,,9.16404,12.26668,no,,,,,,no,,,,,,,unknown,,unknown,,yes,,yes,,yes,,yes,,yes,,no,,yes,,spontaneous,collective settlement,,23-Sep-15,unknown,22-Apr-15,yes,350,private,community centre,,north_east,adamawa,madagali,GULAK,north_east,adamawa,michika,MICHIKA 1,none,,403,by_gender_and_age_group,,,,,,,,,,,105,213,612,1111,23,740,1324,2064,106,150,10,0,16,20,3,10,10,5,25,3,7-Sep-14,22-Apr-15,yes,,place of origin,,house damaged,,north_east,adamawa,madagali,GULAK,2__less_than_25_percent,1__none,1__none,3__less_than_50_percent,2__less_than_25_percent,3__less_than_50_percent,2__less_than_25_percent,2__less_than_25_percent,10__soap,3__mosquito_nets,2__blankets,,yes,,2__onsite_more_than_20,,unknown,,unknown,,10__water_truck,,10__water_truck,,2__less_than_10_liters,,yes,,5__none,,unknown,,not_so_good,,20,yes,,yes,,yes,,2__garbage_pit,,3,unknown,,none,,no,,yes,,unknown,,yes,yes_onsite,,yes,,1__everyday,,3__host_community_donation,,unknown,,unknown,,unknown,,3__malaria,6__fever,15__cough,,yes,,yes,,1__on-site_less_than_3_km,,4__other,CHURCH,yes,,1__onsite,,1__less_than_1_km,,3__less_than_50_percent,3__farming,,unknown,,,no,,no,,yes,,yes,,7__religious_leaders,,6__crime,,,,7__none,,5__unknown,,10__assistance_did_not_respond_t,,0,0,yes,,no,,yes,unknown,yes,2__good,,unknown,,not_adequate,,6__mobile_phone,,6__safety_and_security,,no,,,no,yes,,2060
Nigeria,4/22/15 14:25,4/22/15 11:31,4/22/15 14:24,22-Apr-15,359535057819817,621300278117471,359535057819817,12-Mar-15,3,female,AD_S010,Nyako Housing Estate,north_east,adamawa,Yola south,Namtari,,,,,12.3196,9.28812,no,,,,,,no,,,,,,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,no,,planned,camp,,3-Sep-14,unknown,22-Apr-15,yes,0,public,government building,,north_east,adamawa,michika,Michika 1,north_east,adamawa,madagali,Madagali,none,,226,by_gender_and_age_group,,,,,,,,,,,116,261,306,393,161,491,746,1237,13,9,0,0,7,5,8,10,9,7,5,0,3-Sep-14,21-Dec-14,yes,,place of origin,,house damaged,,north_east,adamawa,michika,Michika 1,2__less_than_25_percent,2__less_than_25_percent,1__none,2__less_than_25_percent,1__none,2__less_than_25_percent,6__unknown,3__less_than_50_percent,2__blankets,12__hygiene_kits,8__other,N/A,yes,,1__onsite_less_than_20,,yes,,2__operational_50_less,,3__piped_water_supply,,2__handpumps,,2__less_than_10_liters,,yes,,2__taste,Not Available,yes,,not_so_good,,10,yes,,yes,,yes,,1__no_waste_disposal_system,,2,yes,,none,,yes,,yes,,yes,,yes,yes_onsite,,no,,8__unknown,,2__distribution,,yes,,yes,,yes,,3__malaria,6__fever,15__cough,,yes,,yes,,6__mobile_clinic,,2__ngo,,no,,3__none,,3__less_than_5_km,,3__less_than_50_percent,5__petty_trade,,yes,,0,yes,,no,,yes,,yes,,2__police,,3__friction_among_site_residents,,,,1__early_forced_marriage,,2__child_emotional_abuse,,4__some_specific_groups_are_excl,,0,0,yes,,yes,,no,no,no,2__good,,2__good,,not_adequate,,6__mobile_phone,,9__situation_in_areas_of_origin,,no,,,no,yes,,226
