country,round,site_id,site_name,site_region,site_province,site_district,,site_longitude,site_latitude,sma_exist,sma_type,regist_activity,support_wash,support_health,support_shelter,support_food,support_protect,support_edu,support_live,site_class,site_type,site_owner,site_shelter,n_family,n_infants_male,n_infants_female,n_child_male,n_child_female,n_youth_male,n_youth_female,n_adult_male,n_adult_female,n_elder_male,n_elder_female,n_total,n_pregnant,n_lactating,n_pwd,,n_elder,n_child_unacc,n_child_sep,n_orphan,n_hoh_female,n_hoh_male,n_hoh_child,,,,,,,,,pre_displaced,,,,,,per_hh_no_shelter,per_hh_tents,per_hh_makeshift,per_hh_indoors,per_hh_electricity,per_hh_safe_cooking,per_hh_private,per_hh_nets,nfi_a,nfi_b,nfi_c,water_location,water_operational,,water_source_np,water_source_p,water_avg,water_potable,water_remark,water_complaint,latrine_cond,n_latrine,latrine_gender,bathing_gender,latrine_lock,hyg_waste,n_garbage,garbage_problem,hyg_station,hyg_evidence,hyg_promotion,hyg_open_def,hyg_drainage,food_access,food_market,food_freq,food_source,health_screen,food_sup_lac,food_sup_child,,,,health_medicine,health_center,health_location,health_provider,edu_access,edu_location,edu_distance,per_sch,,n_hh_income,job_access,,,sec_provided,,sec_provider,sec_issue,sec_gbv,sec_phys_violence,sec_child_issue,,n_space_child,n_space_female,,,unsafe_female,unsafe_male,unsafe_child,,,site_lighting,job_abr,job_abr_in,job_abr_prom,,,,
Nigeria,7,AD_S001,NYSC CAMP ADAMAWA,ADAMAWA,GIREI,DAMARE,FORMAL,9.38615,12.447567,NEMA,Government,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Spontaneous,Camp,Public/Government,Government building,286,50,40,164,120,378,299,383,400,10,20,1864,31,120,20,4,30,70,0,0,50,100,70,BORNO,GWOZA,GAVVA / AGAPALWA,BORNO,BAMA,,8/24/2014,11/1/2015,Yes,BORNO,GWOZA,GAVVA / AGAPALWA,Place of origin,Lack of safety,None,<25%,None,>75%,<50%,None,>75%,>75%,Mosquito nets,Kitchen sets,Hygiene kits,On-site (<10 mn),>50 %,No,Piped water supply,Piped water supply,>15 ltr,Yes,None,No,Good (Hygienic),68,Yes,Yes,Yes,Garbage pit,2,No,Yes but no soap/water inside,No,No,Yes,Yes,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,Cough,Malaria,Fever,Yes,Yes,On-site (<3 km),INGO,Yes,On-site,<1 km,>75%,Collecting firewood,80,Yes,No,Yes,Yes,Yes,Military,Alcohol/drug-related disturbance,None,Early/forced marriage,Child physical & emotional abuse,None,3,0,Yes,Yes,No,No,No,Good,Good,No lighting,Yes,Nigeria,Education,Mobile phone,Situation in areas of origin,Yes,1471
Nigeria,7,AD_S002,DEEPER LIFE CAMP GROUND,ADAMAWA,YOLA SOUTH,NAMTARI,FORMAL,9.3000333,12.317283,Church,Religious entity,Yes,Yes,No,Yes,No,Yes,No,No,Spontaneous,Collective Settlement/Centre,Private Building,Community center,54,11,15,12,10,31,35,42,80,5,6,247,13,33,4,1,11,4,0,0,1,1,3,ADAMAWA,MADAGALI,,BORNO,GWOZA,,,,Yes,ADAMAWA,MADAGALI,,Place of origin,Lack of safety,None,None,<25%,Unknown,>75%,<75%,None,>75%,Mosquito nets,Hygiene kits,Bucket/Jerry Can,On-site (<10 mn),<50 %,No,Piped water supply,Piped water supply,Unknown,Yes,Other,Unknown,Not so good (Not hygienic),0,No,Yes,No,Burning,0,No,Yes but no soap/water inside,No,No,Yes,No,"Yes, on site",No,Irregular,Cultivated,Yes,Yes,Yes,Malaria,Cough,Fever,Yes,Yes,Mobile clinic,NGO,No,Off-site,>10 km,<50%,Farming,30,Yes,Yes,Yes,Yes,Yes,Self organized,Theft,Unknown,None,None,None,1,1,No,Yes,No,No,No,Good,Good,"Yes, there is lighting and it is adequate",No,N/A,,Site Management,Situation in areas of origin,No,1459
Nigeria,7,AD_S003,MALKOHI CAMP,ADAMAWA,YOLA SOUTH,NAMTARI,FORMAL,9.195833,12.384056,NEMA,Government,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Spontaneous,Camp,Public/Government,Tents,227,171,167,148,148,84,60,306,262,16,16,1378,49,393,0,0,32,0,0,0,0,0,0,BORNO,KALA BALGE,,BORNO,GWOZA,,Nov-14,10/15/2015,Yes,BORNO,KALA BALGE,,Place of origin,Unknown,None,<75%,None,<75%,>75%,>75%,None,None,Bucket/Jerry Can,Blankets/Mats,Kitchen sets,On-site (<10 mn),>50 %,Yes,Piped water supply,Piped water supply,>15 ltr,Yes,None,No,Good (Hygienic),0,No,No,Yes,Garbage pit,1,Yes,Yes,Yes,Yes,No,No,"Yes, on site",No,Everyday,Distribution,No,Yes,No,Cough,Malaria,Diarrhea,Yes,Yes,On-site (<3 km),INGO,Yes,On-site,<1 km,<50%,Farming,0,Yes,No,Yes,Yes,Yes,Military,None,None,None,None,None,2,5,No,No,No,No,No,Good,Good,"Yes, there is lighting and it is adequate",No,N/A,,Authorities,Safety and Security,No,1457
Nigeria,7,AD_S004,MALKOHI VILLAGE,ADAMAWA,YOLA SOUTH,NAMTARI,INFORMAL,9.1925,12.377067,IDRISA ABDULLAHI,Individual/Private,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Spontaneous,Collective Settlement/Centre,Public/Government,School,215,105,102,93,89,58,52,165,172,10,9,855,15,250,2,0,19,0,20,10,20,0,0,BORNO,GWOZA,HAMBAGDA/ LIMAN KARA/ NEW SETTLE,ADAMAWA,MADAGALI,GULAK,6/3/2014,10/2/2015,Yes,BORNO,GWOZA,HAMBAGDA/ LIMAN KARA/ NEW SETTLE,Place of origin,Lack of safety,None,None,>75%,None,<50%,>75%,>75%,>75%,Other,Blankets/Mats,Bucket/Jerry Can,On-site (<10 mn),100%,Yes,Hand pumps,Hand pumps,>15 ltr,Yes,Suspended solids,Yes,Not so good (Not hygienic),17,No,No,Yes,Garbage pit,2,Yes,Yes but no soap/water inside,No,Yes,Yes,Yes,"Yes, on site",No,Everyday,Distribution,Yes,No,No,Malaria,Diarrhea,Fever,Yes,Yes,Off-site (<3 km),Government,Yes,Off-site,<2 km,<25%,Farming,19,Yes,No,Yes,Yes,No,Self organized,None,None,None,Child separated from their care givers (or just child separation),None,0,0,Yes,No,No,No,No,Excellent,Excellent,No lighting,No,N/A,,Local Leader,Situation in areas of origin,No,1461
Nigeria,7,AD_S005,EYN CHURCH VINIKILANG,ADAMAWA,GIREI,MODIRE/ VINIKILANG,INFORMAL,9.3014667,12.47455,,,Yes,Yes,Yes,No,No,No,No,No,Spontaneous,Collective Settlement/Centre,Private Building,Self-made tents,13,1,0,1,2,2,3,4,19,0,2,34,5,3,0,0,2,0,0,0,7,0,2,ADAMAWA,MICHIKA,,BORNO,GWOZA,NGOSHE,04/27/2015,09/27/2015,Yes,ADAMAWA,MICHIKA,,Place of origin,House damaged/destroyed,<75%,<25%,<75%,None,<50%,<75%,None,<75%,Plastic sheeting,Blankets/Mats,Bucket/Jerry Can,Off-site (<10 mn),<50 %,No,Spring,Piped water supply,>15 ltr,Yes,None,Yes,Not so good (Not hygienic),0,No,No,No,Burning,1,No,Yes but no soap/water inside,No,No,Yes,No,"Yes, on site",Yes,Irregular,Distribution,No,No,No,Fever,Malaria,Cough,Yes,Yes,Off-site (<3 km),NGO,No,Unknown,Unknown,<25%,Agro-pastoralism,8,Yes,No,Yes,No,No,None,None,None,None,None,Not enough assistance for all entitled,0,0,Yes,No,No,No,No,Good,Good,No lighting,No,N/A,,Mobile phone,Situation in areas of origin,Yes,1469
Nigeria,7,AD_S006,DAWARE CAMP,ADAMAWA,FUFORE,PARIYA,INFORMAL,9.418483,12.597283,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Spontaneous,Camp,Public/Government,Bunk houses,221,25,15,63,76,379,461,298,479,9,8,1813,48,87,2,0,17,4,34,53,38,59,11,BORNO,GWOZA,HAMBAGDA/ LIMAN KARA/ NEW SETTLE,BORNO,GWOZA,GWOZA WAKANE / BULABULIN,6/30/2014,10/9/2015,Yes,BORNO,GWOZA,GWOZA WAKANE / BULABULIN,Place of origin,House damaged/destroyed,<25%,<25%,<75%,<75%,<25%,<50%,<75%,>75%,Plastic sheeting,Blankets/Mats,Kitchen sets,On-site (<10 mn),<50 %,Yes,Piped water supply,Piped water supply,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),7,Yes,Yes,Yes,Burning,0,Yes,Yes but no soap/water inside,No,No,Yes,No,"Yes, on site",Yes,Irregular,Distribution,No,No,No,Diarrhea,Malaria,Fever,No,Yes,Off-site (<3 km),None,Yes,On-site,<2 km,<50%,Farming,25,Yes,No,Yes,Yes,Yes,Community Leaders,None,None,None,None,Not enough assistance for all entitled,0,0,No,No,No,No,No,Good,Good,No lighting,No,N/A,,Radio/news,Situation in areas of origin,Yes,1464
Nigeria,7,AD_S008,ST THERESAS CATHEDRAL,ADAMAWA,YOLA NORTH,LUGGERE,FORMAL,9.2734,12.444467,NEMA,Government,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Spontaneous,Collective Settlement/Centre,Private Building,Community center,63,35,42,71,86,65,76,76,99,22,32,604,3,96,0,0,54,4,9,15,19,23,7,ADAMAWA,MADAGALI,GULAK,ADAMAWA,MICHIKA,MICHIKA  II,9/9/2014,3/9/2015,Yes,ADAMAWA,MADAGALI,GULAK,Place of origin,Accessibility,None,<25%,<25%,<75%,<50%,<50%,<50%,<50%,Plastic sheeting,Blankets/Mats,Mosquito nets,On-site (<10 mn),<50 %,Yes,Hand pumps,Hand pumps,<5 ltr,No,Taste,Yes,Not so good (Not hygienic),6,Yes,Yes,Yes,Burning,7,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,Malaria,Fever,Cough,Yes,Yes,Mobile clinic,NGO,Yes,On-site,<1 km,<25%,Farming,38,Yes,Yes,Yes,Yes,Yes,Self organized,Theft,Sexual abuse,Early/forced marriage,Child separated from their care givers (or just child separation),Fighting between recipients at distribution points,3,1,Yes,Yes,No,No,No,Good,Good,"Yes, there is lighting and it is adequate",No,N/A,,Mobile phone,Situation in areas of origin,Yes,1458
Nigeria,7,AD_S019,FUFORE CAMP,ADAMAWA,FUFORE,FUFORE,FORMAL,9.208083,12.67745,NEMA,Government,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Spontaneous,Collective Settlement/Centre,Public/Government,School,254,15,11,53,67,379,284,497,546,7,6,1865,84,57,5,0,13,42,47,14,88,127,35,BORNO,BAMA,,BORNO,BAMA,KUMSHE /NDUGUNO,8/19/2015,11/17/2015,Yes,BORNO,BAMA,,Place of origin,House damaged/destroyed,None,<75%,<50%,<50%,<25%,<50%,<75%,>75%,Blankets/Mats,Kitchen sets,Plastic sheeting,On-site (<10 mn),>50 %,Yes,None,Piped water supply,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),6,Yes,Yes,Yes,Burning,0,No,Yes but no soap/water inside,No,Yes,Yes,No,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,No,Diarrhea,Cough,Malaria,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<25%,Petty trade,21,Yes,No,Yes,Yes,Yes,Military,None,Unknown,Unknown,None,Unknown,0,0,No,Yes,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,,Authorities,Situation in areas of origin,Yes,1468
Nigeria,7,AD_S021,GUDE CAMP,ADAMAWA,MUBI SOUTH,GUDE,INFORMAL,10.197026,13.307469,NIGERIAN RED CROSS,INGO,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Spontaneous,Transitional Centre,Public/Government,Tents,15,3,4,5,6,14,8,7,13,1,0,61,1,8,0,1,1,1,0,9,1,0,0,BORNO,DAMBOA,DAMBOA,,,,,11/8/2015,Yes,BORNO,DAMBOA,DAMBOA,Place of origin,House damaged/destroyed,<25%,>75%,None,None,<25%,>75%,None,>75%,Bucket/Jerry Can,Hygiene kits,Kitchen sets,On-site (<10 mn),100%,Yes,Piped water supply,Piped water supply,10 - 15 ltr,Yes,None,No,Good (Hygienic),0,Yes,Yes,Yes,Garbage pit,0,No,Yes,Yes,Yes,Yes,Yes,"Yes, off site",Yes,Everyday,Distribution,No,No,No,Fever,Skin disease,Malnutrition,Yes,Yes,On-site (<3 km),NGO,No,None,Unknown,None,None,0,No,Yes,No,Yes,No,Military,None,None,None,None,None,1,1,No,Yes,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,,Site Management,Safety and Security,No,1463
Nigeria,7,AD_S022,LABOUR HOUSE,ADAMAWA,YOLA NORTH,GWADABAWA,INFORMAL,12.28064,9.1581,,,No,Yes,No,No,Yes,Yes,Yes,No,Spontaneous,Collective Settlement/Centre,Public/Government,Government building,27,3,4,4,6,15,13,22,49,2,2,120,3,9,0,0,1,0,0,0,0,0,0,ADAMAWA,MADAGALI,GULAK,ADAMAWA,MICHIKA,MICHIKA  II,9/17/2014,10/23/2015,Yes,ADAMAWA,MADAGALI,MADAGALI,Place of origin,Lack of safety,None,<25%,<50%,<50%,None,None,None,None,Plastic sheeting,Blankets/Mats,Mosquito nets,On-site (<10 mn),<50 %,No,Piped water supply,Piped water supply,Unknown,Yes,None,No,Not so good (Not hygienic),2,No,No,No,Burning,1,Yes,Yes but no soap/water inside,No,No,Yes,No,"Yes, off site",Yes,Irregular,Distribution,No,No,No,Malaria,Cough,Fever,No,Yes,Off-site (<3 km),Unknown,Yes,On-site,<1 km,<50%,None,8,No,No,No,Yes,No,Self organized,None,None,None,None,None,3,1,No,No,No,No,No,Good,Good,No lighting,No,N/A,,Site Management,Shelter,No,1465
