country,round,survey_date,site_region,site_province,site_district,site_id,site_name,,site_longitude,site_latitude,site_class,site_type,,site_date_open,,site_date_close,site_access,site_area,site_owner,site_shelter,smc_exist,smc_community,,,sma_exist,sma_type,,,regist_activity,,support_wash,support_health,support_shelter,support_food,support_protect,support_edu,support_live,,,,,,,n_family,n_total,n_infants_male,n_infants_female,n_infants,n_child_male,n_child_female,n_child,n_youth_male,n_youth_female,n_youth,n_adult_male,n_adult_female,n_adult,n_elder_male,n_elder_female,n_elder,n_pregnant,n_lactating,n_pwd,,,n_child_unacc,n_child_sep,n_orphan,n_hoh_female,n_hoh_male,n_hoh_child,,,,,,,,,per_hh_no_shelter,per_hh_tents,per_hh_makeshift,per_hh_indoors,per_hh_electricity,per_hh_safe_cooking,per_hh_private,per_hh_nets,nfi_a,nfi_b,nfi_c,water_location,water_operational,,water_source_np,water_source_p,water_avg,water_potable,water_remark,water_complaint,latrine_cond,n_latrine,latrine_gender,bathing_gender,latrine_lock,hyg_waste,n_garbage,garbage_problem,hyg_station,hyg_evidence,hyg_promotion,hyg_open_def,hyg_drainage,food_access,food_market,food_freq,food_source,health_screen,food_sup_lac,food_sup_child,,,,health_medicine,health_center,,,edu_access,edu_location,edu_distance,per_sch,,n_hh_income,job_access,,,sec_provided,,sec_provider,sec_tradition,,,,,n_space_child,n_space_female,,,unsafe_female,unsafe_male,unsafe_child,,,site_lighting,job_abr,job_abr_in,job_abr_prom,,,,
Nigeria,9,3/5/2016,ADAMAWA,GIREI,DAMARE,AD_S001,NYSC CAMP ADAMAWA,FORMAL,12.26852,9.1909,Spontaneous,Camp,NULL,8/24/14,Unknown,NULL,Yes,NULL,Public/Government,Government building,Yes,Yes,NULL,NULL,Yes,Government,NEMA,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,GWOZA,NGOSHE,ADAMAWA,MADAGALI,GULAK,612,1946,10,12,22,166,151,317,394,391,785,332,433,765,31,26,57,43,146,0,0,57,43,10,3,27,47,9,8/28/2014,03/30/2016,Yes,BORNO,GWOZA,NGOSHE,Place of origin,Lack of safety,None,<25%,None,>75%,<50%,>75%,<25%,>75%,Blankets/Mats,Bucket/Jerry Can,Soap,On-site (<10 mn),>50 %,Yes,Piped water supply,Piped water supply,>15 ltr,Yes,None,No,Good (Hygienic),125,Yes,Yes,Yes,Garbage pit,71,No,Yes,Yes,Yes,No,Yes,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,Malaria,Fever,Cough,Yes,Yes,On-site (<3 km),Government,Yes,Off-site,<1 km,>75%,Farming,53,Yes,Yes,Yes,Yes,No,Military,None,None,None,None,None,2,2,Yes,No,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Mobile phone,Situation in areas of origin,Yes,1642
Nigeria,9,3/12/2016,ADAMAWA,YOLA SOUTH,NAMTARI,AD_S003,MALKOHI CAMP,FORMAL,12.38523,9.19523,Spontaneous,Camp,NULL,11/9/14,Unknown,NULL,Yes,NULL,Public/Government,Government building,No,N/A,NULL,NULL,Yes,Government,NEMA / SEMA,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,GWOZA,NULL,BORNO,BAMA,NULL,271,1224,78,95,173,62,82,144,216,184,400,218,248,466,12,29,41,50,205,0,0,41,6,68,0,37,212,22,9/11/2014,NULL,Yes,BORNO,GWOZA,NULL,Place of origin,House damaged/destroyed,None,<25%,None,>75%,>75%,None,<25%,>75%,Blankets/Mats,Mosquito nets,Hygiene kits,On-site (<10 mn),<50 %,Yes,None,Piped water supply,10 - 15 ltr,Yes,None,No,Good (Hygienic),36,Yes,Yes,Yes,Garbage pit,0,No,Yes,Yes,Unknown,No,Yes,"Yes, on site",No,Everyday,Distribution,Yes,Yes,Yes,Malaria,Cough,Fever,Yes,Yes,Mobile clinic,Government,Yes,On-site,<1 km,<50%,Farming,0,Yes,No,Yes,Yes,Yes,Military,Theft,None,None,None,None,6,0,No,Yes,No,No,No,Good,Good,"Yes, there is lighting and it is adequate",No,N/A,NULL,Mobile phone,Situation in areas of origin,Yes,1637
Nigeria,9,3/9/2016,ADAMAWA,YOLA SOUTH,NAMTARI,AD_S004,MALKOHI VILLAGE ,INFORMAL,12.37603,9.19288,Spontaneous,Camp,NULL,9/20/14,Unknown,NULL,Yes,NULL,Public/Government,Self-made tents,Yes,Yes,NULL,NULL,No,NULL,NULL,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,GWOZA,GWOZA TOWN GADAMAYO,BORNO,BAMA,BUDUWA / BULA CHIRABE,310,1009,30,37,67,37,48,85,165,236,401,213,211,424,15,17,32,35,87,9,1,32,17,3,8,26,267,17,3/6/2014,12/12/2015,Yes,ADAMAWA,YOLA SOUTH,NAMTARI,Place of origin,No livelihood,None,<75%,>75%,None,None,<75%,<75%,>75%,Blankets/Mats,Hygiene kits,Bucket/Jerry Can,On-site (<10 mn),<50 %,No,Hand pumps,Hand pumps,10 - 15 ltr,No,Odor/smell,Yes,Not so good (Not hygienic),16,Yes,Yes,Yes,Garbage pit,0,No,Yes but no soap/water inside,Yes,Yes,No,No,"Yes, on site",Yes,Once a week,Distribution,No,No,No,Malaria,Malnutrition,Fever,Yes,Yes,On-site (<3 km),NGO,Yes,On-site,<1 km,<50%,Farming,0,Yes,Yes,Yes,Yes,No,Military,None,None,None,None,None,6,0,No,No,No,No,No,Good,Good,No lighting,Yes,Nigeria,Better living conditions,Mobile phone,Situation in areas of origin,Yes,1644
Nigeria,9,3/4/2016,ADAMAWA,FUFORE,PARIYA,AD_S006,DAWARE CAMP,INFORMAL,12.35503,9.25677,Spontaneous,Camp,NULL,11/2/14,Unknown,NULL,Yes,NULL,Public/Government,Self-made tents,Yes,Yes,NULL,NULL,No,NULL,NULL,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,GWOZA,GWOZA TOWN GADAMAYO,BORNO,GWOZA,GWOZA WAKANE / BULABULIN,308,1525,52,51,103,110,107,217,307,326,633,254,290,544,18,10,28,27,135,3,0,28,4,34,1,27,37,14,6/30/2014,11/30/2015,Yes,BORNO,GWOZA,GWOZA TOWN GADAMAYO,Place of origin,House damaged/destroyed,None,<25%,>75%,<50%,<25%,<75%,>75%,>75%,Plastic sheeting,Blankets/Mats,Bucket/Jerry Can,On-site (<10 mn),>50 %,Yes,Piped water supply,Piped water supply,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),4,Yes,Yes,Yes,Burning,2,Yes,Yes but no soap/water inside,Yes,Yes,Yes,Yes,"Yes, on site",Yes,Irregular,Distribution,Yes,No,Yes,Malaria,Cough,Fever,Yes,Yes,On-site (>3 km),Government,Yes,On-site,<2 km,<75%,Farming,37,Yes,Yes,Yes,Yes,Yes,Community Leaders,Theft,None,None,None,Not enough assistance for all entitled,2,1,No,Yes,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Mobile phone,Situation in areas of origin,Yes,1648
Nigeria,9,3/12/2016,ADAMAWA,YOLA NORTH,LUGGERE,AD_S008,ST THERESAS CATHEDRAL,FORMAL,12.44467,9.2734,Spontaneous,Collective Settlement/Centre,NULL,NULL,Unknown,NULL,Yes,NULL,Private Building,Community center,Yes,Yes,NULL,NULL,No,NULL,NULL,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,ADAMAWA,MICHIKA,NULL,ADAMAWA,MADAGALI,NULL,141,465,17,26,43,32,40,72,43,55,98,116,132,248,1,3,4,8,46,0,0,4,6,32,0,21,126,46,8/8/2014,NULL,Yes,ADAMAWA,YOLA NORTH,LUGGERE,Place of origin,House damaged/destroyed,None,<25%,<25%,<75%,<50%,>75%,<75%,>75%,Blankets/Mats,Blankets/Mats,Kitchen sets,On-site (<10 mn),>50 %,Yes,Piped water supply,Piped water supply,10 - 15 ltr,No,Taste,Yes,Not so good (Not hygienic),0,Yes,Yes,Yes,Garbage pit,0,No,Yes,Yes,Yes,No,Yes,"Yes, on site",Yes,Irregular,Distribution,No,No,No,Malaria,Malnutrition,Fever,Yes,Yes,Mobile clinic,INGO,Yes,On-site,<1 km,<50%,Farming,25,Yes,No,Yes,Yes,No,Military,None,None,None,None,None,4,0,Yes,No,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",Yes,Nigeria,Better living conditions,Mobile phone,Situation in areas of origin,Yes,1638
Nigeria,9,3/12/2016,ADAMAWA,FUFORE,FUFORE,AD_S019,FUFORE CAMP,FORMAL,12.4065,9.12486,Spontaneous,Camp,NULL,8/5/15,Unknown,NULL,Yes,NULL,Public/Government,School,Yes,Yes,NULL,NULL,Yes,Government,RAMADAN,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,BAMA,BUDUWA / BULA CHIRABE,BORNO,NGALA,NULL,759,2939,87,102,189,236,207,443,504,519,1023,487,682,1169,62,53,115,21,30,0,0,115,40,0,0,15,0,0,8/15/2015,12/19/2015,Yes,BORNO,BAMA,BUDUWA / BULA CHIRABE,Place of origin,House damaged/destroyed,None,<50%,<75%,<25%,<25%,<25%,<75%,>75%,Plastic sheeting,Blankets/Mats,Hygiene kits,On-site (<10 mn),>50 %,Yes,Piped water supply,Piped water supply,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),36,Yes,Yes,Yes,Burning,0,Yes,Yes but no soap/water inside,Yes,Yes,Yes,Yes,"Yes, on site",No,Everyday,Distribution,Yes,Yes,Yes,Diarrhea,Malaria,Cough,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<75%,Petty trade,83,Yes,No,Yes,Yes,Yes,Local Authorities,Friction anmong site residents,None,None,None,Not enough assistance for all entitled,1,1,Yes,Yes,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",Yes,Nigeria,Better living conditions,Authorities,Safety and Security,Yes,1640
Nigeria,9,3/11/2016,ADAMAWA,MUBI SOUTH,GUDE,AD_S021,GUDE CAMP,INFORMAL,13.30746,10.19702,Spontaneous,Transitional Centre,NULL,6/5/15,Unknown,NULL,Yes,NULL,Public/Government,Government building,Yes,Yes,NULL,NULL,Yes,INGO,IRC,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,BORNO,GWOZA,NULL,ADAMAWA,MADAGALI,NULL,49,245,6,7,13,17,19,36,28,35,63,47,59,106,10,17,27,12,23,1,0,27,0,0,0,1,2,0,01/16/2015,NULL,Yes,BORNO,GWOZA,NULL,Place of origin,House damaged/destroyed,None,>75%,<25%,None,None,<50%,None,>75%,Kitchen sets,Hygiene kits,Soap,On-site (<10 mn),>50%,No,Piped water supply,Piped water supply,5 - 10 ltr,Yes,None,No,Good (Hygienic),12,Yes,Yes,Yes,Garbage pit,15,No,Yes but no soap/water inside,No,No,No,Yes,"Yes, on site",Yes,Irregular,Distribution,Yes,Yes,Yes,None,None,None,Yes,Yes,On-site (<3 km),NGO,No,None,Unknown,None,None,0,No,No,No,Yes,Yes,Military,Friction anmong site residents,None,None,None,Not enough assistance for all entitled,0,0,No,No,No,No,No,Good,Good,No lighting,No,N/A,NULL,Authorities,Situation in areas of origin,No,1646
Nigeria,9,3/12/2016,ADAMAWA,YOLA NORTH,LUGGERE,AD_S022,LABOUR HOUSE,INFORMAL,12.28064,9.1581,Spontaneous,Collective Settlement/Centre,NULL,9/17/14,Unknown,NULL,Yes,NULL,Public/Government,Government building,Yes,Yes,NULL,NULL,Yes,Government,SEMA/NEMA,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,ADAMAWA,MADAGALI,GULAK,ADAMAWA,MICHIKA,MICHIKA  I,52,174,8,13,21,17,15,32,22,25,47,30,35,65,2,7,9,8,21,0,0,9,2,14,0,6,44,2,12/8/2014,8/12/2014,No,ADAMAWA,MADAGALI,GULAK,Place of origin,House damaged/destroyed,None,<25%,<25%,<75%,<50%,>75%,<75%,>75%,Blankets/Mats,Bucket/Jerry Can,Kitchen sets,On-site (<10 mn),<50 %,Yes,Piped water supply,Piped water supply,10 - 15 ltr,Yes,None,No,Good (Hygienic),1,Yes,Yes,Yes,Garbage pit,0,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, on site",Yes,Irregular,Distribution,No,No,No,Malaria,Malnutrition,Fever,Yes,Yes,Mobile clinic,INGO,Yes,On-site,<1 km,<50%,Farming,0,No,No,Yes,Yes,No,Self organized,None,None,None,Children involved in WFCL (forced labor/forced begging),Fighting between recipients at distribution points,2,0,Yes,No,No,No,No,Good,Good,No lighting,Yes,Nigeria,Better living conditions,Mobile phone,Situation in areas of origin,Yes,1639
Nigeria,9,3/12/2016,ADAMAWA,MADAGALI,MADAGALI,AD_S023,OLD MARKET,INFORMAL,13.63052,10.88889,Spontaneous,Collective Settlement/Centre,NULL,5/2/16,Unknown,NULL,Yes,NULL,Public/Government,Government building,Yes,Yes,NULL,NULL,No,NULL,NULL,,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,BORNO,GWOZA,GWOZA WAKANE / BULABULIN,BORNO,BAMA,KUMSHE /NDUGUNO,206,1304,15,19,34,55,56,111,279,157,436,301,407,708,9,6,15,45,63,5,3,15,9,6,7,10,7,6,5/2/2016,10/2/2016,Yes,BORNO,GWOZA,GWOZA WAKANE / BULABULIN,Place of origin,Accessibility,<25%,None,<25%,<75%,<50%,None,<25%,<25%,Kitchen sets,Blankets/Mats,Hygiene kits,Off-site (<10 mn),<50 %,Yes,Hand pumps,Hand pumps,5 - 10 ltr,No,Taste,Yes,Not so good (Not hygienic),10,Yes,Yes,No,Burning,2,Yes,Yes but no soap/water inside,Yes,Yes,Yes,No,"Yes, off site",Yes,Irregular,Host community donation,Unknown,Unknown,Unknown,Diarrhea,Fever,Malaria,No,Yes,Off-site (<3 km),Local clinic,Yes,On-site,<1 km,<50%,Farming,54,Yes,No,No,Yes,Yes,Self organized,Alcohol/drug-related disturbance,Domestic violence,None,Intentional physical violence,Assistance did not respond to the actual need,2,1,No,No,No,No,No,Good,Poor,"Yes, there is lighting but it is NOT adequate",Yes,Nigeria,Better living conditions,Radio/news,Situation in areas of origin,Yes,1641
Nigeria,9,3/6/2016,ADAMAWA,MICHIKA,MINKISI/ WURO NGIKI,AD_S024,MISSION BIBLE SCHOOL,INFORMAL,13.234413,10.3815,Spontaneous,Collective Settlement/Centre,NULL,2/20/16,Unknown,NULL,Yes,NULL,Private Building,School,No,N/A,NULL,NULL,Yes,Religious entity,N/A,,No,No,Yes,No,Yes,Yes,No,Yes,No,ADAMAWA,MADAGALI,BABEL,ADAMAWA,MADAGALI,DUHU/ SHUWA,24,85,2,3,5,8,8,16,12,11,23,18,18,36,2,3,5,1,7,0,0,0,7,0,0,0,0,0,02/20/2016,NULL,Yes,ADAMAWA,MADAGALI,BABEL,Place of origin,Lack of safety,None,None,None,>75%,None,>75%,None,<50%,Blankets/Mats,Soap,Hygiene kits,On-site (<10 mn),Unkown,Unknown,Unprotected well,Unprotected well,Unknown,No,Taste,Yes,Not so good (Not hygienic),0,No,No,No,Burning,0,Yes,Yes but no soap/water inside,No,No,Yes,No,"Yes, on site",Yes,Irregular,Host community donation,Unknown,Unknown,No,Malnutrition,Malaria,Cough,No,Yes,On-site (>3 km),Unknown,Yes,On-site,<1 km,<50%,Unknown,0,No,No,No,No,No,None,None,None,Forced family separations,Child separated from their care givers (or just child separation),None,0,0,No,Yes,No,No,No,Good,Good,No lighting,No,N/A,NULL,Authorities,Safety and Security,Yes,1643
