country,round,survey_date,,site_region,,site_province,,site_district,site_id,site_name,site_longitude,site_latitude,site_class,site_type,,,site_date_open,,,site_access,site_area,site_owner,site_shelter,smc_exist,smc_community,,,sma_exist,sma_type,,,regist_activity,,support_wash,health_support,support_shelter,support_food,support_protect,support_edu,support_live,,,,,,,n_family,n_total,n_infants_male,n_infants_female,n_infants,n_child_male,n_child_female,n_child,n_youth_male,n_youth_female,n_youth,n_adult_male,n_adult_female,n_adult,n_elder_male,n_elder_female,n_elder,n_pregnant,n_lactating,n_pwd,,,n_child_unacc,n_child_sep,n_orphan,n_hoh_female,n_hoh_male,n_hoh_child,,,,,,,,,per_hh_no_shelter,per_hh_tents,per_hh_makeshift,per_hh_indoors,per_hh_electricity,per_hh_safe_cooking,per_hh_private,per_hh_nets,nfi_a,nfi_b,nfi_c,water_location,water_operational,,water_source_np,water_source_p,water_avg,water_potable,water_problem,water_remark,latrine_cond,n_latrine,latrine_gender,bathing_gender,latrine_lock,hyg_waste,n_garbage,garbage_problem,hyg_station,hyg_evidence,,hyg_open_def,hyg_drainage,food_access,food_market,food_freq,food_source,,food_sup_child,food_sup_lac,,,,,,,health_medicine,health_center,health_location,health_provider,edu_access,edu_location,edu_distance,per_sch,,n_hh_income,job_access,,,sec_provided,,sec_provider,sec_issue,sec_gbv,,sec_child_issue,,n_space_child,n_space_female,,,unsafe_female,unsafe_male,unsafe_child,,,site_lighting,job_abr,job_abr_in,,,,,
Nigeria,15,2/2/2017,AD,ADAMAWA,AD04,GIREI,AD0402,DAMARE,AD_S001,NYSC CAMP ADAMAWA,12.44748,9.31849,Spontaneous,Camp,Camps/Camp-like setting,NULL,9/8/2014,Unknown,NULL,Yes,NULL,Public/Government,Government building,Yes,Yes,,,Yes,Government,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,GWOZA,GWOZA TOWN GADAMAYO,BORNO,DAMBOA,NULL,412,2113,52,51,103,148,218,366,484,304,788,455,312,767,43,46,89,4,151,2,7,89,47,2,4,13,7,2,9/8/2014,NULL,Yes,BORNO,GWOZA,GWOZA TOWN GADAMAYO,Place of origin,House damaged/destroyed,None,None,None,>75%,>75%,>75%,<75%,<75%,Blankets/Mats,Kitchen sets,Bucket/Jerry Can,On-site (<10 mn),100%,Yes,Piped water supply,Piped water supply,10 - 15 ltr,Yes,None,No,Good (Hygienic),125,Yes,Yes,Yes,Garbage pit,71,No,Yes,Yes,Yes,No,Yes,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,Yes,Yes,Yes,Malaria,Fever,Cough,Yes,Yes,On-site (<3 km),INGO,Yes,On-site,<2 km,<75%,Petty trade,0,Yes,Yes,Yes,Yes,No,Military,None,None,None,None,None,0,0,Yes,Yes,No,No,No,Good,Good,"Yes, there is lighting and it is adequate",No,N/A,NULL,Site Management,Situation in areas of origin,No,7866
Nigeria,15,2/2/2017,AD,ADAMAWA,AD21,YOLA SOUTH,AD2104,NAMTARI,AD_S003,MALKOHI CAMP,12.38553,9.19624,Spontaneous,Camp,Camps/Camp-like setting,NULL,11/10/2014,Unknown,NULL,Yes,NULL,Public/Government,Government building,Yes,Yes,,,Yes,Government,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,GWOZA,NULL,NULL,NULL,NULL,266,1329,60,66,126,68,80,148,115,210,325,280,386,666,34,30,64,30,147,0,0,64,21,0,0,0,0,0,11/11/2014,NULL,No,BORNO,GWOZA,GWOZA TOWN GADAMAYO,Place of origin,Lack of safety,None,<25%,<50%,<50%,<75%,<75%,<25%,<75%,Hygiene kits,Soap,Blankets/Mats,On-site (<10 mn),>50 %,Yes,Piped water supply,Piped water supply,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),64,Yes,Yes,Yes,Garbage pit,6,No,Yes,No,No,Yes,No,"Yes, on site",Yes,Irregular,Distribution,No,No,No,No,No,No,Malaria,Cough,Fever,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<75%,Farming,50,Yes,No,Yes,Yes,No,Military,None,None,None,None,None,0,0,Yes,Yes,No,No,No,Good,Good,"Yes, there is lighting and it is adequate",No,N/A,NULL,Mobile phone,Safety and Security,No,7756
Nigeria,15,2/2/2017,AD,ADAMAWA,AD21,YOLA SOUTH,AD2104,NAMTARI,AD_S004,MALKOHI VILLAGE ,12.37614,9.19288,Spontaneous,Camp,Camps/Camp-like setting,NULL,11/10/2014,Unknown,NULL,Yes,NULL,Public/Government,Self-made tents,No,N/A,,,No,NULL,,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,GWOZA,PULKA/BOKKO,NULL,NULL,NULL,392,2030,38,59,97,262,261,523,330,276,606,410,366,776,13,15,28,15,130,0,0,28,1,0,0,0,0,0,9/11/2014,2/4/2015,No,BORNO,GWOZA,PULKA/BOKKO,Place of origin,Lack of safety,None,None,<75%,<50%,<25%,<50%,<50%,<75%,Mosquito nets,Blankets/Mats,Soap,On-site (<10 mn),>50 %,Yes,Hand pumps,Hand pumps,5 - 10 ltr,Yes,None,No,Not so good (Not hygienic),7,Yes,Yes,Yes,Burning,0,No,Yes but no soap/water inside,No,No,Yes,No,"Yes, on site",Yes,Irregular,Cash,No,No,No,No,No,No,Malaria,Cough,Fever,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<2 km,<25%,Farming,310,Yes,Yes,Yes,Yes,No,Self organized,None,None,None,None,None,0,0,No,Yes,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Mobile phone,Safety and Security,No,7778
Nigeria,15,2/2/2017,AD,ADAMAWA,AD04,GIREI,AD0408,MODIRE/ VINIKILANG,AD_S005,EYN CHURCH VINIKILANG,12.47385,9.30332,Spontaneous,Camp,Camps/Camp-like setting,NULL,NULL,Unknown,NULL,Yes,NULL,Private Building,Tents,No,N/A,,,No,NULL,,,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,BORNO,GWOZA,NULL,BORNO,CHIBOK,NULL,21,84,2,4,6,4,6,10,12,14,26,18,20,38,2,2,4,2,8,0,0,4,0,0,0,1,1,0,NULL,NULL,No,BORNO,GWOZA,GWOZA TOWN GADAMAYO,Place of origin,House damaged/destroyed,None,>75%,<25%,None,None,<25%,None,<50%,Blankets/Mats,Mosquito nets,Kitchen sets,On-site (<10 mn),100%,Yes,Hand pumps,Hand pumps,10 - 15 ltr,Yes,None,No,Non usable,0,No,No,No,No waste disposal system,0,Yes,Yes but no soap/water inside,No,No,Yes,No,"Yes, off site",Yes,Irregular,Cash,No,No,No,No,No,No,Fever,Malaria,Cough,No,Yes,Off-site (>3 km),Government,Yes,Off-site,<2 km,<25%,Daily labourer,0,Yes,Yes,Yes,Yes,No,Local Authorities,None,None,None,None,Interference in distribution of aid,0,0,Yes,No,No,No,No,Excellent,Good,No lighting,No,N/A,NULL,Families/Friends,Other relief assistance,No,7746
Nigeria,15,2/2/2017,AD,ADAMAWA,AD02,FUFORE,AD0207,PARIYA,AD_S006,DAWARE CAMP,12.59737,9.41843,Spontaneous,Collective Settlement/Centre,Camps/Camp-like setting,NULL,06/21/2014,Unknown,NULL,Yes,NULL,Public/Government,Bunk houses,Yes,Yes,,,No,NULL,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,GWOZA,GWOZA WAKANE / BULABULIN,BORNO,GWOZA,GWOZA TOWN GADAMAYO,362,1734,25,31,56,187,191,378,282,318,600,401,281,682,8,10,18,13,114,2,0,18,5,72,0,63,0,0,06/30/2014,5/2/2017,Yes,BORNO,GWOZA,GWOZA WAKANE / BULABULIN,Place of origin,House damaged/destroyed,None,None,<75%,<50%,<25%,<25%,<25%,>75%,Blankets/Mats,Mosquito nets,Plastic sheeting,On-site (<10 mn),<50 %,Yes,Piped water supply,Piped water supply,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),42,Yes,Yes,Yes,Burning,6,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, on site",Yes,Irregular,Cash,Yes,No,No,Yes,Yes,No,Malaria,Fever,Diarrhea,Yes,Yes,On-site (<3 km),NGO,Yes,On-site,<1 km,<75%,Farming,47,Yes,Yes,Yes,Yes,Yes,Police,Friction anmong site residents,None,None,None,Fighting between recipients at distribution points,1,0,Yes,Yes,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Mobile phone,Situation in areas of origin,No,7974
Nigeria,15,2/7/2017,AD,ADAMAWA,AD20,YOLA NORTH,AD2008,LUGGERE,AD_S008,ST THERESAS CATHEDRAL,12.44666,9.27306,Spontaneous,Collective Settlement/Centre,Camps/Camp-like setting,NULL,9/6/2014,Unknown,NULL,Yes,NULL,Private Building,Tents,Yes,Yes,,,Yes,Religious entity,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ADAMAWA,MADAGALI,GULAK,ADAMAWA,MICHIKA,NULL,144,688,7,11,18,68,36,104,75,89,164,139,199,338,11,53,64,13,27,3,0,64,0,0,0,0,0,0,9/6/2014,06/13/2014,Yes,ADAMAWA,MADAGALI,GULAK,Place of origin,No livelihood,None,None,None,>75%,<75%,<50%,None,<75%,Soap,Blankets/Mats,Kitchen sets,On-site (<10 mn),>50 %,Yes,Piped water supply,Piped water supply,10 - 15 ltr,Yes,None,No,Good (Hygienic),30,Yes,Yes,Yes,Burning,0,Yes,Yes,Yes,Yes,No,Yes,"Yes, on site",Yes,Irregular,Cash,Yes,Yes,Yes,No,No,No,Malaria,Cough,Malnutrition,Yes,Yes,On-site (<3 km),INGO,Yes,On-site,<1 km,<50%,Farming,30,Yes,No,Yes,Yes,No,Religious Leaders,None,None,None,None,None,0,0,Yes,No,No,No,No,Good,Good,"Yes, there is lighting and it is adequate",No,N/A,NULL,Mobile phone,Situation in areas of origin,No,7808
Nigeria,15,2/3/2017,AD,ADAMAWA,AD18,SONG,AD1808,SONG GARI,AD_S018,SHAGARI QUARTERS CAMP,12.6131,9.80547,Spontaneous,Collective Settlement/Centre,Camps/Camp-like setting,NULL,10/4/2014,Unknown,NULL,Yes,NULL,Public/Government,Government building,Yes,Yes,,,No,NULL,,,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,ADAMAWA,MICHIKA,NULL,ADAMAWA,MADAGALI,MADAGALI,67,118,9,10,19,11,14,25,11,11,22,18,31,49,2,1,3,2,20,0,0,3,0,4,0,3,8,4,10/11/2014,11/12/2016,Yes,ADAMAWA,MICHIKA,NULL,Place of origin,House damaged/destroyed,None,None,None,>75%,<50%,<25%,None,<25%,Blankets/Mats,Bucket/Jerry Can,Mosquito nets,On-site (<10 mn),<50 %,No,Hand pumps,Hand pumps,>15 ltr,Yes,None,No,Not so good (Not hygienic),10,No,No,Yes,Garbage pit,1,Yes,Yes but no soap/water inside,No,No,No,No,"Yes, on site",No,Irregular,Host community donation,No,No,No,No,No,No,Fever,Malaria,Cough,No,Yes,Off-site (<3 km),Local clinic,Yes,Off-site,<2 km,<25%,Farming,12,Yes,Yes,Yes,No,No,None,None,None,None,None,Assistance did not respond to the actual need,1,0,No,No,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Mobile phone,Situation in areas of origin,No,8067
Nigeria,15,2/7/2017,AD,ADAMAWA,AD02,FUFORE,AD0203,FUFORE,AD_S019,FUFORE CAMP,12.67762,9.20809,Spontaneous,Collective Settlement/Centre,Camps/Camp-like setting,NULL,11/6/2015,Unknown,NULL,Yes,NULL,Private Building,School,Yes,Yes,,,Yes,Government,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,BAMA,NULL,BORNO,NGALA,NGALA WARD,346,1726,21,33,54,239,268,507,212,281,493,392,262,654,11,7,18,31,103,2,0,18,12,34,0,58,0,0,10/8/2015,12/19/2015,Yes,BORNO,BAMA,NULL,Place of origin,Lack of safety,None,<25%,<75%,<50%,None,<25%,<25%,<75%,Blankets/Mats,Soap,Bucket/Jerry Can,On-site (<10 mn),>50 %,Yes,Hand pumps,Piped water supply,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),65,Yes,Yes,Yes,Burning,16,No,Yes,Yes,Yes,Yes,Yes,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,Yes,Yes,Yes,Diarrhea,Fever,Cough,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<50%,Petty trade,32,Yes,No,No,Yes,Yes,Military,Friction anmong site residents,None,None,None,Fighting between recipients at distribution points,1,0,Yes,Yes,No,No,No,Good,Good,No lighting,Yes,Nigeria,Better living conditions,Site Management,Situation in areas of origin,No,7975
Nigeria,15,2/6/2017,AD,ADAMAWA,AD21,YOLA SOUTH,AD2101,ADARAWO,AD_S027,DOKKITILLA WUROCHEKKE,12.51681,9.201719,Spontaneous,Collective Settlement/Centre,Camps/Camp-like setting,NULL,NULL,Unknown,NULL,Yes,NULL,Private Building,Host family house,No,N/A,,,No,NULL,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,ADAMAWA,MADAGALI,HYAMBULA,NULL,NULL,NULL,14,69,3,5,8,5,8,13,13,10,23,10,15,25,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NULL,NULL,No,ADAMAWA,MADAGALI,HYAMBULA,Place of origin,Lack of safety,None,None,None,>75%,<75%,<25%,<25%,<25%,Soap,Kitchen sets,Blankets/Mats,On-site (<10 mn),>50 %,Yes,Unprotected well,Piped water supply,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),0,No,No,Yes,Burning,1,No,Yes,No,No,No,No,"Yes, on site",Yes,Irregular,Cash,Yes,No,No,No,No,No,Cough,Malaria,Fever,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<50%,Farming,0,No,Yes,Yes,Yes,No,Self organized,None,None,None,None,None,0,0,No,No,No,No,No,Good,Good,"Yes, there is lighting and it is adequate",No,N/A,NULL,Mobile phone,Safety and Security,No,6371
Nigeria,15,1/31/2017,AD,ADAMAWA,AD21,YOLA SOUTH,AD2105,NGURORE,AD_S029,SABON DEAL NGURORE,12.25119,9.28886,Spontaneous,Camp,Camps/Camp-like setting,NULL,09/15/2015,Unknown,NULL,Yes,NULL,Private Building,Host family house,No,N/A,,,No,NULL,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ADAMAWA,MADAGALI,GULAK,BORNO,GWOZA,BITA / IZGE,122,610,7,9,16,20,27,47,107,155,262,122,158,280,2,3,5,13,21,0,0,5,0,0,0,0,0,0,08/22/2014,12/15/2016,No,ADAMAWA,MADAGALI,GULAK,Place of origin,Lack of safety,None,None,<50%,<75%,<25%,<75%,None,<25%,Mosquito nets,Blankets/Mats,Bucket/Jerry Can,On-site (<10 mn),>50 %,Yes,Water truck,Hand pumps,5 - 10 ltr,Yes,None,No,Not so good (Not hygienic),0,No,No,No,No waste disposal system,0,Yes,Yes,No,No,Yes,No,"Yes, on site",Yes,Irregular,Cash,No,No,No,No,No,No,Cough,Malnutrition,Fever,No,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<50%,Farming,180,Yes,Yes,Yes,Yes,No,Local Authorities,None,None,None,None,None,0,0,No,No,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Radio/news,Safety and Security,No,6343
