country,round,survey_date,,site_region,,site_province,,site_district,site_id,site_name,,site_longitude,site_latitude,site_class,site_type,,,site_date_open,,,site_access,site_area,site_owner,site_shelter,smc_exist,smc_community,,,sma_exist,sma_type,,,regist_activity,,support_wash,health_support,support_shelter,support_food,support_protect,support_edu,support_live,,,,,,,,,n_family,n_total,n_infants_male,n_infants_female,n_infants,n_child_male,n_child_female,n_child,n_youth_male,n_youth_female,n_youth,n_adult_male,n_adult_female,n_adult,n_elder_male,n_elder_female,n_elder,n_pregnant,n_lactating,n_pwd,,n_child_unacc,n_child_sep,n_orphan,n_hoh_female,n_hoh_male,n_hoh_child,,,,,,,,,,,,,,,per_hh_no_shelter,per_hh_tents,per_hh_makeshift,per_hh_indoors,per_hh_electricity,per_hh_safe_cooking,per_hh_private,per_hh_nets,nfi_a,nfi_b,nfi_c,water_location,water_operational,,,water_source_np,water_source_p,water_avg,water_potable,water_problem,water_remark,latrine_cond,n_latrine,latrine_gender,bathing_gender,latrine_lock,hyg_waste,n_garbage,garbage_problem,hyg_station,hyg_evidence,,hyg_open_def,hyg_drainage,food_access,food_market,food_freq,food_source,,food_sup_child,food_sup_lac,,,,,,,health_medicine,health_center,health_location,health_provider,edu_access,edu_location,edu_distance,per_sch,,,,,,,,,,,,,,,,,,,,,,,,,,n_hh_income,job_access,,,sec_provided,,sec_provider,sec_issue,sec_gbv,,sec_child_issue,,n_space_child,n_space_female,,,unsafe_female,unsafe_male,unsafe_child,,,site_lighting,job_abr,job_abr_in,job_abr_prom,,,,,,,,,
Nigeria,16,4/10/2017,AD,ADAMAWA,AD04,GIREI,AD0402,DAMARE,AD_S001,NYSC CAMP ADAMAWA,FORMAL,12.44748,9.31849,Spontaneous,Camp,Camps/Camp-like setting,,9/8/2014,Unknown,NULL,Yes,NULL,Public/Government,Government building,Yes,Yes,,,Yes,Government,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Insurgency ,NULL,BORNO,GWOZA,GWOZA TOWN GADAMAYO,BORNO,DAMBOA,AJIGN (A),412,2081,52,51,103,148,218,366,484,304,788,423,312,735,43,46,89,7,151,2,89,39,2,4,2,1,1,0,1,1,0,7,9/8/2015,,No,,BORNO,GWOZA,GWOZA TOWN GADAMAYO,Place of origin,Lack of safety,None,None,None,>75%,<50%,<50%,<25%,<75%,Blankets/Mats,Kitchen sets,Bucket/Jerry Can,On-site (<10 mn),100%,Yes,No,Piped water supply,Piped water supply,10 - 15 ltr,Yes,None,No,Good (Hygienic),125,Yes,Yes,Yes,Garbage pit,71,No,Yes,Yes,Yes,No,Yes,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,Yes,Yes,Yes,Malaria,Fever,Cough,Yes,Yes,On-site (<3 km),INGO,Yes,On-site,<2 km,<75%,304,40,52,92,40,87,127,46,39,85,Lack of school supplies,Disease/Illness,Work at the house,NULL,Yes,7,Yes,Yes,No damage,No,Yes,N/A,N/A,N/A,Daily labourer,0,No,Yes,Yes,Yes,No,Military,None,None,None,None,None,0,0,No,No,No,No,No,Excellent,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Radio,NULL,"Friends, neighbors and family",NULL,<50%,Evening,Information about needs in the community,Safety and Security,No
Nigeria,16,4/7/2017,AD,ADAMAWA,AD21,YOLA SOUTH,AD2104,NAMTARI,AD_S003,MALKOHI CAMP,FORMAL,12.38553,9.19624,Spontaneous,Camp,Camps/Camp-like setting,,11/10/2014,Unknown,NULL,Yes,NULL,Public/Government,Tents,No,N/A,,,Yes,Government,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Insurgency ,NULL,BORNO,GWOZA,GWOZA TOWN GADAMAYO,NULL,NULL,NULL,240,1200,20,19,39,190,200,390,280,280,560,76,126,202,4,5,9,12,59,0,9,0,0,0,0,0,5,0,0,0,0,0,11/11/2014,,Yes,Three times,BORNO,GWOZA,GWOZA TOWN GADAMAYO,Place of origin,Lack of safety,None,<25%,<50%,<75%,>75%,None,>75%,<50%,Soap,Hygiene kits,Blankets/Mats,On-site (<10 mn),>50 %,Yes,No,Piped water supply,Piped water supply,5 - 10 ltr,Yes,None,No,Not so good (Not hygienic),64,Yes,Yes,Yes,Garbage pit,6,Yes,Yes,No,Yes,Yes,No,"Yes, on site",Yes,Irregular,Distribution,No,No,No,No,No,No,Fever,Malaria,Diarrhea,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,>75%,639,159,185,344,93,79,172,68,55,123,Lack of teachers,Lack of teachers,Work at the house,NULL,No,NULL,Yes,Yes,No damage,Yes,N/A,Yes,N/A,N/A,Daily labourer,200,Yes,Yes,Yes,Yes,No,Military,None,None,None,None,None,0,0,No,No,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Radio,NULL,Military official,NULL,<25%,Morning,Information about needs in the community,Safety and Security,No
Nigeria,16,4/8/2017,AD,ADAMAWA,AD21,YOLA SOUTH,AD2104,NAMTARI,AD_S004,MALKOHI VILLAGE ,INFORMAL,12.37614,9.19288,Spontaneous,Camp,Camps/Camp-like setting,,11/10/2014,Unknown,NULL,Yes,NULL,Public/Government,Self-made tents,No,N/A,,,No,NULL,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Insurgency ,NULL,BORNO,GWOZA,PULKA/BOKKO,NULL,NULL,NULL,270,1300,20,23,43,130,93,223,210,250,460,274,280,554,10,10,20,15,143,0,20,0,0,6,0,0,0,0,0,0,0,0,11/10/2014,2/4/2015,Yes,Three times,BORNO,GWOZA,PULKA/BOKKO,Place of origin,Lack of safety,None,<25%,<75%,<25%,<25%,<50%,<25%,<75%,Mosquito nets,Blankets/Mats,Soap,On-site (<10 mn),>50 %,Yes,No,Hand pumps,Hand pumps,5 - 10 ltr,Yes,None,No,Not so good (Not hygienic),30,Yes,Yes,Yes,Burning,2,Yes,Yes but no soap/water inside,No,No,Yes,No,"Yes, on site",Yes,Irregular,Cash,No,No,No,No,No,No,Malaria,Fever,Diarrhea,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,>75%,650,83,97,180,150,100,250,100,110,210,Lack of school supplies,Work at the house,Work in the fields,NULL,Yes,20,Yes,Yes,No damage,No,Yes,N/A,N/A,N/A,Daily labourer,210,Yes,Yes,Yes,Yes,No,Self organized,None,None,None,None,None,0,0,No,No,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Radio,NULL,"Friends, neighbors and family",NULL,<25%,Morning,Information about needs in the community,Safety and Security,No
Nigeria,16,4/7/2017,AD,ADAMAWA,AD04,GIREI,AD0408,MODIRE/ VINIKILANG,AD_S005,EYN CHURCH VINIKILANG,INFORMAL,12.47385,9.30332,Spontaneous,Camp,Camps/Camp-like setting,,NULL,Unknown,NULL,Yes,NULL,Private Building,Tents,No,N/A,,,No,NULL,,,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Insurgency ,NULL,BORNO,GWOZA,GWOZA TOWN GADAMAYO,BORNO,CHIBOK,NULL,21,84,2,4,6,4,6,10,12,14,26,18,20,38,2,2,4,2,7,0,4,0,0,0,0,1,1,1,1,0,0,0,,,No,,BORNO,GWOZA,GWOZA TOWN GADAMAYO,Place of origin,House damaged/destroyed,None,>75%,<25%,None,None,<25%,None,<50%,Blankets/Mats,Mosquito nets,Kitchen sets,On-site (<10 mn),100%,Yes,No,Hand pumps,Hand pumps,10 - 15 ltr,Yes,None,No,Good (Hygienic),6,No,No,No,No waste disposal system,0,Yes,Yes but no soap/water inside,No,No,Yes,No,"Yes, off site",Yes,Irregular,Cash,No,No,No,No,No,No,Malaria,Fever,Cough,No,Yes,Off-site (<3 km),Government,Yes,Off-site,<5 km,<25%,0,0,0,0,0,0,0,0,0,0,Fees or costs,Lack of school supplies,Distance to the school (too far),NULL,No,NULL,No,Yes,No damage,No,N/A,N/A,N/A,N/A,Daily labourer,2,Yes,Yes,No,Yes,No,Local Authorities,None,None,None,None,None,0,0,No,No,No,No,No,Good,Good,No lighting,No,N/A,NULL,Radio,NULL,"Friends, neighbors and family",NULL,<25%,Evening,Information about your  experience,Other relief assistance,No
Nigeria,16,4/8/2017,AD,ADAMAWA,AD02,FUFORE,AD0207,PARIYA,AD_S006,DAWARE CAMP,INFORMAL,12.59737,9.41843,Spontaneous,Camp,Camps/Camp-like setting,,6/21/2014,Unknown,NULL,Yes,NULL,Public/Government,Bunk houses,Yes,Yes,,,No,NULL,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Insurgency ,NULL,BORNO,GWOZA,GWOZA WAKANE / BULABULIN,BORNO,GWOZA,GUDUF NAGADIYO,371,1756,12,12,24,63,49,112,597,411,1008,369,187,556,30,26,56,11,58,0,56,0,21,0,18,0,0,0,0,0,0,0,6/21/2014,2/27/2017,Yes,Four times,BORNO,GWOZA,GWOZA WAKANE / BULABULIN,Place of origin,Lack of safety,None,None,<75%,<50%,<25%,<25%,<25%,<75%,Soap,Hygiene kits,Bucket/Jerry Can,On-site (<10 mn),100%,Yes,No,Piped water supply,Piped water supply,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),42,Yes,Yes,Yes,Burning,6,Yes,Yes,Yes,Yes,Yes,No,"Yes, on site",Yes,Irregular,Cash,Yes,No,No,Yes,Yes,No,Cough,Fever,Diarrhea,Yes,Yes,On-site (<3 km),NGO,Yes,On-site,<2 km,<25%,1088,35,44,79,195,287,482,216,310,526,Fees or costs,Lack of school supplies,Distance to the school (too far),NULL,Yes,2,No,Yes,No damage,No,Yes,N/A,N/A,N/A,Farming,17,Yes,Yes,Yes,Yes,Yes,Community Leaders,Friction anmong site residents,None,None,None,Fighting between recipients at distribution points,1,0,Yes,Yes,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Radio,NULL,Local leader/Community leader,NULL,<25%,Morning,Information about needs in the community,Situation in areas of origin,Yes
Nigeria,16,4/6/2017,AD,ADAMAWA,AD20,YOLA NORTH,AD2008,LUGGERE,AD_S008,ST THERESAS' CATHEDRAL,INFORMAL,12.44666,9.27306,Spontaneous,Collective Settlement/Centre,Camps/Camp-like setting,,9/6/2014,Unknown,NULL,Yes,NULL,Private Building,Tents,Yes,Yes,,,Yes,Religious entity,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Insurgency ,NULL,ADAMAWA,MADAGALI,NULL,ADAMAWA,MADAGALI,GULAK,144,688,7,11,18,68,36,104,75,89,164,139,199,338,11,53,64,13,87,3,64,0,0,0,0,0,0,0,0,0,0,0,9/6/2014,6/13/2015,No,,ADAMAWA,MADAGALI,K/WURO NGAYANDI,Place of origin,House damaged/destroyed,None,>75%,<25%,<50%,<75%,<50%,None,<75%,Kitchen sets,Soap,Blankets/Mats,On-site (<10 mn),100%,Yes,No,Piped water supply,Piped water supply,10 - 15 ltr,Yes,None,No,Good (Hygienic),30,No,No,No,Burning,3,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, on site",Yes,Irregular,Cash,Yes,Yes,Yes,Yes,No,No,Malaria,Cough,Malnutrition,Yes,Yes,On-site (<3 km),INGO,Yes,On-site,<1 km,>75%,110,15,15,30,22,14,36,17,18,35,Lack of school supplies,Work in the fields,Work at the house,NULL,Yes,5,Yes,Yes,No damage,No,Yes,N/A,N/A,N/A,Farming,30,Yes,Yes,Yes,Yes,No,Religious Leaders,None,None,None,None,None,0,0,Yes,No,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Radio,NULL,Religious leader,NULL,<25%,Evening,Information about needs in the community,Safety and Security,No
Nigeria,16,4/7/2017,AD,ADAMAWA,AD18,SONG,AD1808,SONG GARI,AD_S018,SHAGARI QUARTERS CAMP,INFORMAL,12.6131,9.80547,Spontaneous,Collective Settlement/Centre,Camps/Camp-like setting,,10/4/2014,Unknown,NULL,Yes,NULL,Public/Government,Government building,No,N/A,,,No,NULL,,,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Insurgency ,NULL,ADAMAWA,MICHIKA,GARTA / GHUNCHI,ADAMAWA,MADAGALI,MADAGALI,61,98,8,8,16,10,14,24,11,10,21,17,18,35,2,0,2,2,18,0,2,0,3,0,2,5,3,0,1,0,0,0,10/11/2014,11/12/2016,Yes,Two times,ADAMAWA,MICHIKA,GARTA / GHUNCHI,Place of origin,Basic infrastructures damaged/flooded,None,None,None,>75%,<50%,<25%,None,<25%,Blankets/Mats,Kitchen sets,Bucket/Jerry Can,On-site (<10 mn),<50 %,No,No,Hand pumps,Hand pumps,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),10,No,No,Yes,Garbage pit,1,Yes,Yes,No,No,No,Yes,"Yes, on site",No,Irregular,Host community donation,No,No,No,No,No,No,Fever,Cough,Malaria,No,Yes,Off-site (<3 km),Government,Yes,On-site,<1 km,<25%,35,7,7,14,5,7,12,5,3,8,Fees or costs,Work in the fields,Work at the house,NULL,Yes,2,No,Yes,Slightly damaged,No,Yes,N/A,N/A,N/A,Farming,9,Yes,Yes,Yes,No,No,None,None,None,None,None,Assistance did not respond to the actual need,1,0,No,No,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Radio,NULL,Local leader/Community leader,NULL,<25%,Morning,Information about needs in the community,Distribution,No
Nigeria,16,4/6/2017,AD,ADAMAWA,AD02,FUFORE,AD0203,FUFORE,AD_S019,FUFORE CAMP,FORMAL,12.67762,9.20809,Spontaneous,Collective Settlement/Centre,Camps/Camp-like setting,,11/6/2015,Unknown,NULL,Yes,NULL,Private Building,School,Yes,Yes,,,Yes,Government,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Insurgency ,NULL,BORNO,BAMA,NULL,BORNO,NGALA,NGALA WARD,475,1776,42,34,76,287,276,563,253,256,509,255,305,560,24,44,68,10,118,2,68,25,33,7,107,5,0,0,0,0,2,0,11/6/2015,4/4/2017,Yes,Two times,BORNO,BAMA,,Place of origin,Lack of safety,None,<25%,<75%,<50%,None,<25%,<25%,>75%,Kitchen sets,Blankets/Mats,Hygiene kits,On-site (<10 mn),>50 %,Yes,No,Piped water supply,Piped water supply,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),165,Yes,Yes,Yes,Garbage pit,65,Yes,Yes,Yes,Yes,Yes,No,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,Yes,Yes,Yes,Diarrhea,Fever,Cough,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<50%,859,192,178,370,111,97,208,135,146,281,Lack of school supplies,Lack of teachers,Work at the house,NULL,Yes,2,Yes,Yes,No damage,Yes,N/A,Yes,N/A,N/A,Petty trade,31,Yes,No,No,Yes,Yes,Military,Friction anmong site residents,None,None,None,Fighting between recipients at distribution points,0,0,Yes,Yes,No,No,No,Good,Good,No lighting,Yes,Nigeria,Better living conditions,Radio,NULL,Government official,NULL,<25%,Morning,Information about needs in the community,Situation in areas of origin,Yes
Nigeria,16,4/3/2017,AD,ADAMAWA,AD15,MUBI SOUTH,AD1504,GUDE,AD_S021,GUDE CAMP,INFORMAL,13.29535,10.26481,Transitional centre,Camp,Camps/Camp-like setting,,NULL,Unknown,NULL,Yes,NULL,Private Building,Host family house,Yes,No,,,No,NULL,,,No,No,No,Yes,Yes,No,Yes,No,Yes,Insurgency ,NULL,BORNO,GWOZA,NULL,ADAMAWA,MADAGALI,NULL,14,22,1,1,2,3,2,5,2,3,5,2,8,10,0,0,0,1,4,0,0,0,0,0,2,0,2,0,0,0,1,0,,,No,,BORNO,GWOZA,,Place of origin,Lack of safety,None,None,None,>75%,None,<25%,None,<25%,Mosquito nets,Blankets/Mats,Soap,Off-site (>10 mn),>50 %,Yes,No,Water truck,Water truck,10 - 15 ltr,No,Suspended solids,Yes,Not so good (Not hygienic),6,Yes,Yes,Yes,Burning,3,No,Yes but no soap/water inside,Yes,No,No,No,"Yes, off site",Yes,Irregular,Distribution,No,No,No,No,No,No,Diarrhea,Malaria,Fever,Yes,Yes,On-site (<3 km),NGO,Yes,Off-site,<2 km,None,8,1,2,3,1,1,2,2,1,3,Fees or costs,Lack of school supplies,Distance to the school (too far),NULL,Yes,1,Yes,Yes,No damage,No,N/A,N/A,N/A,N/A,Daily labourer,4,Yes,No,Yes,Yes,No,Self organized,None,Domestic violence,Early/forced marriage,None,Assistance did not respond to the actual need,0,0,No,No,Yes,Yes,Yes,Good,Good,No lighting,Yes,Nigeria,Better living conditions,Telephone voice call,NULL,Aid worker,NULL,<25%,Morning,Information about needs in the community,Distribution,Yes
Nigeria,16,4/11/2017,AD,ADAMAWA,AD21,YOLA SOUTH,AD2101,ADARAWO,AD_S027,DOKKITILLA WUROCHEKKE,INFORMAL,12.51681,9.201719,Spontaneous,Collective Settlement/Centre,Camps/Camp-like setting,,NULL,Unknown,NULL,Yes,NULL,Private Building,Host family house,No,N/A,,,No,NULL,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Insurgency ,NULL,ADAMAWA,MADAGALI,HYAMBULA,NULL,NULL,NULL,14,69,3,5,8,8,5,13,13,10,23,10,15,25,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,No,,ADAMAWA,MADAGALI,HYAMBULA,Place of origin,Lack of safety,None,None,None,>75%,<75%,<25%,<25%,<25%,Soap,Kitchen sets,Blankets/Mats,On-site (<10 mn),>50 %,Yes,Yes,Hand pumps,Piped water supply,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),0,No,No,No,Burning,1,Yes,Yes,No,No,Yes,No,"Yes, on site",Yes,Irregular,Cash,No,No,No,No,No,No,Cough,Malaria,Fever,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<50%,33,5,5,10,6,5,11,7,5,12,Fees or costs,Work at the house,Lack of teachers,NULL,Yes,2,No,Yes,No damage,No,Yes,N/A,N/A,N/A,Daily labourer,0,Yes,Yes,Yes,Yes,No,Self organized,None,None,None,None,None,0,0,No,Yes,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Radio,NULL,Local leader/Community leader,NULL,<25%,Morning,Information about needs in the community,Safety and Security,No
