country,round,survey_date,,site_region,,site_province,,site_district,site_id,site_name,,site_longitude,site_latitude,site_class,site_type,,,site_date_open,,,site_access,site_area,site_owner,site_shelter,smc_exist,smc_community,,,sma_exist,sma_type,,,regist_activity,,support_wash,health_support,support_shelter,support_food,support_protect,support_edu,support_live,,,,,,,,,n_family,n_total,n_infants_male,n_infants_female,n_infants,n_child_male,n_child_female,n_child,n_youth_male,n_youth_female,n_youth,n_adult_male,n_adult_female,n_adult,n_elder_male,n_elder_female,n_elder,n_pregnant,n_lactating,n_pwd,,n_child_unacc,n_child_sep,n_orphan,n_hoh_female,n_hoh_male,n_hoh_child,,,,,,,,,,,,,,,per_hh_no_shelter,per_hh_tents,per_hh_makeshift,per_hh_indoors,per_hh_electricity,per_hh_safe_cooking,per_hh_private,per_hh_nets,nfi_a,nfi_b,nfi_c,water_location,water_operational,,,water_source_np,water_source_p,water_avg,water_potable,water_problem,water_remark,latrine_cond,n_latrine,latrine_gender,bathing_gender,latrine_lock,hyg_waste,n_garbage,garbage_problem,hyg_station,hyg_evidence,,hyg_open_def,hyg_drainage,food_access,food_market,food_freq,food_source,,food_sup_child,food_sup_lac,,,,,,,health_medicine,health_center,health_location,health_provider,edu_access,edu_location,edu_distance,per_sch,,,,,,,,,,,,,,,,,,,,,,,,,,n_hh_income,job_access,,,sec_provided,,sec_provider,sec_issue,sec_gbv,,sec_child_issue,,n_space_child,n_space_female,,,unsafe_female,unsafe_male,unsafe_child,,,site_lighting,job_abr,job_abr_in,job_abr_prom,,,,,,,,,,,,,,,,,,
Nigeria,17,5/11/2017,GM,GOMBE,GM01,AKKO,GM0101,AKKO,HC0001,WURO-DOLE,NULL,10.83124,10.34444,Host Communities,Host Communities,Host Communities,NULL,12/08/14,Unknown,NULL,Yes,NULL,Private Building,Host family house,No,N/A,,,No,NULL,,,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Insurgency ,NULL,BORNO,DAMBOA,NGUDA / WUYARAM,NULL,NULL,NULL,21,119,4,2,6,8,11,19,19,23,42,30,19,49,1,2,3,3,7,0,3,1,2,0,0,0,0,0,0,0,0,0,41926,NULL,No,NULL,BORNO,DAMBOA,NULL,Place of origin,House damaged/destroyed,None,None,None,>75%,<75%,>75%,None,<75%,Blankets/Mats,Kitchen sets,Hygiene kits,On-site (>10 mn),<50 %,No,Yes,Unprotected well,Water truck,5 - 10 ltr,Yes,None,No,Not so good (Not hygienic),4,No,No,No,Burning,0,Yes,Yes but no soap/water inside,No,No,No,No,"Yes, on site",Yes,Irregular,Cultivated,No,No,No,No,No,No,Malaria,Fever,Cough,Yes,Yes,On-site (>3 km),Local clinic,Yes,Off-site,<5 km,<50%,45,8,6,14,4,8,12,12,7,19,Fees or costs,Lack of school supplies,Work at the house,NULL,Yes,13,No,Yes,No damage,No,Yes,N/A,N/A,N/A,Farming,0,Yes,Yes,Yes,Yes,No,Local Authorities,None,None,None,None,Not enough assistance for all entitled,0,0,Yes,No,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Radio,NULL,Local leader/Community leader,NULL,<75%,Morning,Information about needs in the community,Other relief assistance,No,2. Kanuri,NULL,1.Hausa,NULL,1.Hausa,NULL,Yes,1.Hausa,NULL
Nigeria,17,5/18/2017,GM,GOMBE,GM01,AKKO,GM0102,GARKO,HC0012,TUMFURE,NULL,11.0957,10.29408,Host Communities,Host Communities,Host Communities,NULL,09/09/14,Unknown,NULL,Yes,NULL,Private Building,Host family house,No,N/A,,,No,NULL,,,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Insurgency ,NULL,BORNO,DAMBOA,DAMBOA,NULL,NULL,NULL,14,109,2,3,5,13,11,24,22,24,46,10,21,31,2,1,3,4,9,0,3,2,3,0,0,2,0,0,0,0,0,0,41922,NULL,No,NULL,BORNO,DAMBOA,DAMBOA,Place of origin,House damaged/destroyed,None,None,None,>75%,<75%,>75%,<75%,>75%,Blankets/Mats,Kitchen sets,Hygiene kits,Off-site (<10 mn),<50 %,No,No,Water truck,Water truck,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),6,No,No,No,Burning,2,No,Yes but no soap/water inside,No,No,No,No,"Yes, on site",Yes,Irregular,Cultivated,No,No,No,No,No,No,Fever,Wound infection,Skin disease,Yes,Yes,On-site (<3 km),Local clinic,Yes,On-site,<2 km,<75%,42,3,5,8,8,10,18,7,9,16,Fees or costs,Lack of school supplies,Work in the fields,NULL,Yes,12,Yes,Yes,No damage,No,Yes,N/A,N/A,N/A,Farming,6,Yes,Yes,Yes,Yes,No,Self organized,None,None,None,None,Not enough assistance for all entitled,0,0,Yes,No,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Telephone voice call,NULL,Religious leader,NULL,<50%,Evening,Information about needs in the community,Situation in areas of origin,No,1.Hausa,NULL,9. English,NULL,1.Hausa,NULL,Yes,1.Hausa,NULL
Nigeria,17,5/18/2017,GM,GOMBE,GM01,AKKO,GM0102,GARKO,HC0013,WURO BIRIJI,NULL,11.16043,10.25162,Host Communities,Host Communities,Host Communities,NULL,16/09/14,Unknown,NULL,Yes,NULL,Private Building,Host family house,No,N/A,,,No,NULL,,,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Insurgency ,NULL,BORNO,DAMBOA,DAMBOA,YOBE,GUJBA,GUJBA,47,281,13,24,37,26,29,55,34,42,76,49,46,95,6,12,18,16,28,0,18,1,3,0,2,0,0,0,0,0,0,0,41907,41935,No,NULL,BORNO,DAMBOA,DAMBOA,Place of origin,House damaged/destroyed,None,None,None,>75%,<75%,>75%,<25%,>75%,Blankets/Mats,Kitchen sets,Hygiene kits,On-site (<10 mn),<50 %,No,No,Water truck,Water truck,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),15,No,No,No,Burning,2,Yes,Yes but no soap/water inside,No,No,No,No,"Yes, off site",No,Irregular,Cultivated,No,No,No,No,No,No,Malaria,Fever,Cough,Yes,Yes,Off-site (<3 km),Local clinic,Yes,Off-site,<5 km,<50%,107,16,19,35,11,14,25,21,26,47,Fees or costs,Lack of school supplies,Work at the house,NULL,Yes,14,Yes,Yes,No damage,No,Yes,N/A,N/A,N/A,Farming,12,Yes,Yes,Yes,Yes,No,Self organized,None,None,None,None,Not enough assistance for all entitled,0,0,Yes,No,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Telephone voice call,NULL,Religious leader,NULL,<75%,Evening,Information about needs in the community,Situation in areas of origin,No,1.Hausa,NULL,7. Fulani,NULL,1.Hausa,NULL,Yes,1.Hausa,NULL
Nigeria,17,5/11/2017,GM,GOMBE,GM01,AKKO,GM0101,AKKO,HC0002,LAWANTI,NULL,10.92752,10.30335,Host Communities,Host Communities,Host Communities,NULL,12/09/14,Unknown,NULL,Yes,NULL,Private Building,Host family house,No,N/A,,,No,NULL,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Insurgency ,NULL,BORNO,DAMBOA,AJIGN (A),YOBE,POTISKUM,NULL,34,182,6,5,11,11,18,29,22,25,47,38,48,86,5,4,9,0,12,0,9,1,2,0,3,0,0,0,0,0,0,0,41922,41955,No,NULL,BORNO,DAMBOA,AJIGN (A),Place of origin,House damaged/destroyed,None,None,None,>75%,<75%,>75%,>75%,<75%,Blankets/Mats,Kitchen sets,Hygiene kits,On-site (<10 mn),<50 %,No,Yes,Unprotected well,Protected well,5 - 10 ltr,Yes,None,No,Not so good (Not hygienic),38,No,No,No,Garbage pit,0,No,Yes but no soap/water inside,No,No,Yes,No,"Yes, on site",Yes,Irregular,Cultivated,No,No,No,No,No,No,Malaria,Fever,Cough,Yes,Yes,On-site (<3 km),Local clinic,Yes,On-site,<2 km,<75%,52,3,5,8,10,10,20,14,10,24,Fees or costs,Lack of school supplies,Work at the house,NULL,Yes,10,Yes,Yes,Slightly damaged,No,Yes,N/A,N/A,N/A,Farming,0,Yes,Yes,Yes,Yes,No,Self organized,None,None,None,None,Not enough assistance for all entitled,0,0,Yes,No,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Radio,NULL,Local leader/Community leader,NULL,<75%,Morning,Information about needs in the community,Other relief assistance,No,6. Marghi,NULL,1.Hausa,NULL,1.Hausa,NULL,Yes,1.Hausa,NULL
Nigeria,17,5/16/2017,GM,GOMBE,GM01,AKKO,GM0102,GARKO,HC0003,ARAWA/KUNDULUM,NULL,11.17858,10.32096,Host Communities,Host Communities,Host Communities,NULL,07/08/14,Unknown,NULL,Yes,NULL,Private Building,Host family house,No,N/A,,,No,NULL,,,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Insurgency ,NULL,YOBE,GUJBA,NULL,BORNO,BAMA,NULL,116,463,12,15,27,36,54,90,68,81,149,97,90,187,4,6,10,13,14,0,10,14,3,10,0,0,0,0,0,0,0,0,41888,41956,No,NULL,YOBE,GUJBA,NULL,Place of origin,House damaged/destroyed,None,None,None,>75%,>75%,>75%,<75%,<50%,Blankets/Mats,Soap,Kitchen sets,On-site (>10 mn),>50 %,No,Yes,Unprotected well,Water truck,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),54,No,No,No,Burning,0,Yes,Yes but no soap/water inside,No,No,No,No,"Yes, off site",Yes,Irregular,Cultivated,No,No,No,No,No,No,Malaria,Fever,Malnutrition,Yes,Yes,On-site (<3 km),Local clinic,Yes,On-site,<2 km,<75%,194,40,20,60,23,31,54,30,50,80,Fees or costs,Lack of school supplies,Work at the house,NULL,Yes,23,Yes,Yes,No damage,No,Yes,N/A,N/A,N/A,Farming,25,Yes,Yes,Yes,Yes,No,Self organized,None,None,None,None,Not enough assistance for all entitled,0,0,Yes,No,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Telephone voice call,NULL,Religious leader,NULL,<75%,Evening,Information about needs in the community,Situation in areas of origin,No,6. Marghi,NULL,7. Fulani,NULL,1.Hausa,NULL,Yes,1.Hausa,NULL
Nigeria,17,5/16/2017,GM,GOMBE,GM01,AKKO,GM0102,GARKO,HC0014,WURO-SHIE,NULL,11.15909,10.26055,Host Communities,Host Communities,Host Communities,NULL,15/09/14,Unknown,NULL,Yes,NULL,Private Building,Host family house,No,N/A,,,No,NULL,,,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Insurgency ,NULL,BORNO,DAMBOA,AJIGN (A),YOBE,GEIDAM,HAUSARI,122,743,18,20,38,35,49,84,58,63,121,314,120,434,27,39,66,32,46,0,66,0,5,3,7,0,0,0,0,0,0,0,41899,41907,No,NULL,BORNO,DAMBOA,AJIGN (A),Place of origin,House damaged/destroyed,None,None,None,>75%,<75%,>75%,<75%,>75%,Blankets/Mats,Kitchen sets,Soap,On-site (<10 mn),>50 %,Yes,Yes,Ponds/canals,Hand pumps,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),56,No,No,No,Burning,3,No,Yes but no soap/water inside,No,No,No,No,"Yes, off site",No,Irregular,Cultivated,No,No,No,No,No,No,Malaria,Fever,Cough,Yes,Yes,Off-site (>3 km),Local clinic,Yes,On-site,<1 km,<75%,182,30,10,40,22,28,50,32,60,92,Fees or costs,Lack of school supplies,Work at the house,NULL,Yes,28,Yes,Yes,No damage,No,Yes,N/A,N/A,N/A,Farming,17,Yes,Yes,Yes,Yes,No,Self organized,None,None,None,None,Not enough assistance for all entitled,0,0,Yes,No,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Telephone voice call,NULL,Religious leader,NULL,<75%,Evening,Information about needs in the community,Situation in areas of origin,No,6. Marghi,NULL,7. Fulani,NULL,1.Hausa,NULL,Yes,1.Hausa,NULL
Nigeria,17,5/16/2017,GM,GOMBE,GM01,AKKO,GM0102,GARKO,HC0008,GONNA/DUNDADO,NULL,11.11351,10.18573,Host Communities,Host Communities,Host Communities,NULL,10/10/14,Unknown,NULL,Yes,NULL,Private Building,Host family house,No,N/A,,,No,NULL,,,No,No,No,No,Yes,Yes,Yes,No,Yes,Insurgency ,NULL,BORNO,DAMBOA,GUMSURI/MISAKURBUDU,YOBE,GUJBA,GUJBA,34,153,5,7,12,17,23,40,19,22,41,21,28,49,4,7,11,4,16,0,11,3,1,0,4,0,0,0,0,0,0,0,41896,41932,No,NULL,BORNO,DAMBOA,GUMSURI/MISAKURBUDU,Place of origin,House damaged/destroyed,None,None,None,>75%,<50%,>75%,<75%,>75%,Mosquito nets,Kitchen sets,Blankets/Mats,Off-site (>10 mn),<50 %,No,No,Lake/dam,Lake/dam,>15 ltr,No,Odor/smell,Yes,Not so good (Not hygienic),5,No,No,No,Burning,0,No,Yes but no soap/water inside,No,No,Yes,No,"Yes, on site",No,Irregular,Cultivated,No,No,No,No,No,No,Malaria,Fever,Cough,Yes,Yes,Off-site (<3 km),Local clinic,Yes,Off-site,<5 km,<75%,69,8,4,12,13,18,31,10,16,26,Fees or costs,Work at the house,Fear of violence,NULL,Yes,12,Yes,Yes,Slightly damaged,No,Yes,N/A,N/A,N/A,Farming,17,Yes,Yes,Yes,Yes,No,Self organized,None,None,None,None,Not enough assistance for all entitled,0,0,Yes,No,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Telephone voice call,NULL,Religious leader,NULL,<75%,Evening,Information about needs in the community,Situation in areas of origin,No,2. Kanuri,NULL,7. Fulani,NULL,1.Hausa,NULL,Yes,1.Hausa,NULL
Nigeria,17,5/17/2017,GM,GOMBE,GM01,AKKO,GM0102,GARKO,HC0005,BARUNDI,NULL,11.18323,10.26682,Host Communities,Host Communities,Host Communities,NULL,15/09/14,Unknown,NULL,Yes,NULL,Private Building,Host family house,No,N/A,,,No,NULL,,,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Insurgency ,NULL,BORNO,DAMBOA,AJIGN (B),BORNO,KUKAWA,KUKAWA,136,672,12,19,31,41,48,89,102,107,209,140,178,318,13,12,25,14,38,0,25,3,4,0,7,0,0,0,0,0,0,0,41853,41966,No,NULL,BORNO,DAMBOA,AJIGN (B),Place of origin,House damaged/destroyed,None,None,None,>75%,<75%,<75%,<75%,>75%,Blankets/Mats,Kitchen sets,Soap,On-site (<10 mn),>50 %,No,No,Water truck,Water truck,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),42,No,No,No,Burning,0,No,Yes but no soap/water inside,No,No,No,No,"Yes, on site",Yes,Irregular,Cultivated,No,No,No,No,No,No,Malaria,Fever,Cough,Yes,Yes,Off-site (<3 km),Local clinic,Yes,Off-site,<2 km,<75%,244,20,30,50,30,50,80,37,77,114,Fees or costs,Lack of school supplies,Work at the house,NULL,Yes,22,Yes,Yes,Slightly damaged,No,Yes,N/A,N/A,N/A,Farming,27,Yes,Yes,Yes,Yes,No,Self organized,None,None,None,None,Not enough assistance for all entitled,0,0,Yes,No,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Telephone voice call,NULL,Religious leader,NULL,<75%,Evening,Information about needs in the community,Situation in areas of origin,No,2. Kanuri,NULL,7. Fulani,NULL,1.Hausa,NULL,Yes,1.Hausa,NULL
Nigeria,17,5/11/2017,GM,GOMBE,GM01,AKKO,GM0104,KASHERE,HC0017,KASHERE,NULL,11.0134,9.95636,Host Communities,Host Communities,Host Communities,NULL,08/09/14,Unknown,NULL,Yes,NULL,Private Building,Host family house,No,N/A,,,No,NULL,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Insurgency ,NULL,BORNO,DAMBOA,AJIGN (A),NULL,NULL,NULL,21,117,3,1,4,6,7,13,17,17,34,34,29,63,1,2,3,2,8,0,3,2,0,3,2,0,0,0,0,2,0,0,41894,41967,No,NULL,BORNO,ASKIRA / UBA,NULL,Place of origin,House damaged/destroyed,None,None,None,>75%,<75%,>75%,>75%,<75%,Blankets/Mats,Kitchen sets,Hygiene kits,On-site (>10 mn),<50 %,Yes,Yes,Piped water supply,Hand pumps,>15 ltr,Yes,None,No,Not so good (Not hygienic),13,No,No,No,Burning,0,Yes,Yes but no soap/water inside,No,No,Yes,No,"Yes, on site",Yes,Irregular,Cultivated,No,No,No,No,No,No,Malaria,Fever,Cough,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<2 km,<75%,31,4,3,7,6,6,12,8,4,12,Fees or costs,Lack of school supplies,Work at the house,NULL,Yes,8,Yes,Yes,No damage,Yes,N/A,Yes,N/A,N/A,Farming,5,No,Yes,Yes,No,No,Self organized,None,None,None,None,Not enough assistance for all entitled,0,0,Yes,Yes,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Word of Mouth,NULL,"Friends, neighbors and family",NULL,<25%,Morning,Information about needs in the community,Situation in areas of origin,Yes,6. Marghi,NULL,1.Hausa,NULL,1.Hausa,NULL,Yes,1.Hausa,NULL
Nigeria,17,5/15/2017,GM,GOMBE,GM01,AKKO,GM0102,GARKO,HC0015,ZIRIN GAZA,NULL,11.17735,10.2609711,Host Communities,Host Communities,Host Communities,NULL,08/07/14,Unknown,NULL,Yes,NULL,Private Building,Host family house,No,N/A,,,No,NULL,,,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Insurgency ,NULL,BORNO,DAMBOA,AJIGN (A),YOBE,GUJBA,GUJBA,77,315,4,7,11,24,37,61,37,42,79,74,81,155,3,6,9,6,12,0,9,6,1,3,2,0,0,0,0,0,0,0,41829,41924,No,NULL,BORNO,DAMBOA,AJIGN (A),Place of origin,House damaged/destroyed,None,None,None,>75%,>75%,<25%,>75%,<25%,Blankets/Mats,Kitchen sets,Bucket/Jerry Can,On-site (>10 mn),>50 %,No,No,Water truck,Water truck,>15 ltr,Yes,None,No,Not so good (Not hygienic),34,No,No,Yes,Burning,0,No,Yes but no soap/water inside,No,No,No,No,"Yes, on site",Yes,Irregular,Cultivated,No,No,No,No,No,No,Fever,Cough,Malaria,Yes,Yes,Off-site (<3 km),Government,Yes,On-site,<2 km,<75%,109,13,11,24,18,21,39,15,31,46,Fees or costs,Lack of school supplies,Work at the house,NULL,Yes,25,Yes,Yes,No damage,No,Yes,N/A,N/A,N/A,Farming,32,Yes,Yes,Yes,No,No,Self organized,None,None,None,None,Not enough assistance for all entitled,0,0,Yes,No,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Radio,NULL,Local leader/Community leader,NULL,<75%,Evening,Information about needs in the community,Other relief assistance,No,6. Marghi,NULL,7. Fulani,NULL,1.Hausa,NULL,Yes,1.Hausa,NULL
