country,round,survey_date,site_region,site_province,site_district,site_id,site_name,,site_longitude,site_latitude,site_class,site_type,,site_date_open,,site_date_close,site_access,site_area,site_owner,site_shelter,smc_exist,smc_community,,,sma_exist,sma_type,,,regist_activity,,support_wash,support_health,support_shelter,support_food,support_protect,support_edu,support_live,,,,,,,n_family,n_total,n_infants_male,n_infants_female,n_infants,n_child_male,n_child_female,n_child,n_youth_male,n_youth_female,n_youth,n_adult_male,n_adult_female,n_adult,n_elder_male,n_elder_female,n_elder,n_pregnant,n_lactating,n_pwd,,,n_child_unacc,n_child_sep,n_orphan,n_hoh_female,n_hoh_male,n_hoh_child,,,,,,,,,per_hh_no_shelter,per_hh_tents,per_hh_makeshift,per_hh_indoors,per_hh_electricity,per_hh_safe_cooking,per_hh_private,per_hh_nets,nfi_a,nfi_b,nfi_c,water_location,water_operational,,water_source_np,water_source_p,water_avg,water_potable,water_remark,water_complaint,latrine_cond,n_latrine,latrine_gender,bathing_gender,latrine_lock,hyg_waste,n_garbage,garbage_problem,hyg_station,hyg_evidence,hyg_promotion,hyg_open_def,hyg_drainage,food_access,food_market,food_freq,food_source,health_screen,food_sup_child,food_sup_lac,,,,health_medicine,,,health_medicine,health_center,,,edu_access,edu_location,edu_distance,per_sch,,n_hh_income,job_access,,,sec_provided,,sec_provider,sec_tradition,,,,,n_space_child,n_space_female,,,unsafe_female,unsafe_male,unsafe_child,,,site_lighting,job_abr,job_abr_in,job_abr_prom,,,,
Nigeria,11,07/20/2016,ADAMAWA,FUFORE,FUFORE,AD_S019,FUFORE CAMP,FORMAL,12.67745,9.208083,Spontaneous,Camp,,8/5/2014,Unknown,,Yes,,Public/Government,School,Yes,Yes,,,Yes,Government,"NEMA,SEM,IRC,ICRC",9057670015,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,BAMA,BUDUWA / BULA CHIRABE,BORNO,NGALA,GAMBORU 'B',658,2672,83,56,139,339,400,739,352,363,715,382,645,1027,30,22,52,97,311,4,2,52,43,17,23,15,0,0,12/8/2015,12/19/2015,Yes,BORNO,BAMA,BUDUWA / BULA CHIRABE,Place of origin,House damaged/destroyed,None,<75%,<50%,<75%,<25%,<50%,<50%,>75%,Hygiene kits,Kitchen sets,Blankets/Mats,On-site (<10 mn),>50 %,Yes,Hand pumps,Piped water supply,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),96,Yes,Yes,Yes,Garbage pit,50,No,Yes but no soap/water inside,Yes,Yes,Yes,Yes,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,Yes,Yes,Yes,Malaria,Diarrhea,Cough,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<75%,Farming,128,Yes,No,Yes,Yes,Yes,Military,Friction anmong site residents,Unknown,Unknown,None,Fighting between recipients at distribution points,2,1,Yes,Yes,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",Yes,Nigeria,Better living conditions,Site Management,Situation in areas of origin,No,1868
Nigeria,11,07/20/2016,ADAMAWA,FUFORE,FUFORE,AD_S031,WURO AHI,INFORMAL,12.66209,9.217,Spontaneous,Collective Settlement/Centre,,10/1/2015,Unknown,,Yes,,Public/Government,Government building,Yes,Yes,,,No,,,,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,ADAMAWA,MADAGALI,HYAMBULA,ADAMAWA,MADAGALI,GULAK,29,154,1,1,2,14,19,33,18,30,48,35,36,71,0,0,0,5,16,0,0,0,0,5,0,3,0,0,01/15/2015,09/21/2015,Yes,ADAMAWA,MADAGALI,HYAMBULA,Place of origin,House damaged/destroyed,None,None,None,>75%,None,None,<75%,>75%,Kitchen sets,Hygiene kits,Soap,On-site (<10 mn),>50 %,Yes,Piped water supply,Piped water supply,5 - 10 ltr,Yes,None,No,Not so good (Not hygienic),8,Yes,Yes,Yes,Burning,0,Yes,Yes but no soap/water inside,Yes,Yes,Yes,No,"Yes, on site",Yes,Irregular,Cash,No,No,No,No,No,No,Malaria,Fever,Cough,No,Yes,On-site (<3 km),Government,Yes,Off-site,<1 km,<75%,Farming,1,Yes,No,Yes,No,Yes,None,Theft,Unknown,Unknown,None,Fighting between recipients at distribution points,1,0,Yes,No,No,No,No,Good,Good,No lighting,Yes,Nigeria,Better living conditions,Mobile phone,Safety and Security,Yes,1864
Nigeria,11,07/19/2016,ADAMAWA,FUFORE,PARIYA,AD_S033,ANGUWAN MUMUYAWA,INFORMAL,12.5971,9.4212,Spontaneous,Camp,,06/30/2014,Unknown,,Yes,,Private Building,Bunk houses,Yes,Yes,,,No,,,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,BORNO,GWOZA,GWOZA WAKANE / BULABULIN,BORNO,GWOZA,JOHODE/CHIKIDE/KUGHUM,59,367,2,3,5,28,35,63,61,72,133,76,86,162,1,3,4,6,8,2,0,4,0,3,0,7,0,0,07/19/2014,2/2/2016,Yes,BORNO,GWOZA,GWOZA WAKANE / BULABULIN,Place of origin,House damaged/destroyed,None,None,>75%,None,None,<25%,<75%,>75%,Bucket/Jerry Can,Kitchen sets,Soap,On-site (<10 mn),>50 %,Yes,Hand pumps,Hand pumps,5 - 10 ltr,Yes,None,No,Not so good (Not hygienic),1,No,No,Yes,No waste disposal system,0,Yes,Yes but no soap/water inside,Yes,No,Yes,Yes,No,No,Never,Cultivated,Yes,No,No,No,No,No,Malaria,Cough,Diarrhea,No,Yes,On-site (<3 km),NGO,Yes,On-site,<1 km,<50%,Farming,4,Yes,No,Yes,Yes,No,Community Leaders,None,Unknown,Unknown,None,Fighting between recipients at distribution points,0,0,Yes,No,No,No,No,Good,Good,No lighting,Yes,Nigeria,Better living conditions,Local Leader,Situation in areas of origin,Yes,1867
Nigeria,11,07/19/2016,ADAMAWA,FUFORE,PARIYA,AD_S006,DAWARE CAMP,INFORMAL,12.597283,9.418483,Spontaneous,Camp,,11/2/2014,Unknown,,Yes,,Public/Government,Self-made tents,Yes,Yes,,,No,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,GWOZA,GWOZA WAKANE / BULABULIN,BORNO,GWOZA,GWOZA TOWN GADAMAYO,252,1169,52,51,103,83,72,155,246,255,501,180,206,386,17,7,24,19,178,1,0,24,4,34,1,27,37,14,06/30/2014,11/30/2015,Yes,BORNO,,,Place of origin,House damaged/destroyed,None,None,>75%,>75%,<25%,<75%,>75%,>75%,Plastic sheeting,Soap,Blankets/Mats,On-site (<10 mn),>50 %,Yes,Piped water supply,Piped water supply,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),4,Yes,Yes,Yes,Burning,2,Yes,Yes but no soap/water inside,Yes,Yes,Yes,No,"Yes, on site",Yes,Irregular,Distribution,Yes,No,No,No,No,No,Malaria,Fever,Cough,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<75%,Farming,35,Yes,Yes,Yes,Yes,No,Community Leaders,None,Unknown,None,None,Fighting between recipients at distribution points,1,0,Yes,Yes,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",Yes,Nigeria,Better living conditions,Mobile phone,Situation in areas of origin,Yes,1865
Nigeria,11,07/20/2016,ADAMAWA,GIREI,DAMARE,AD_S001,NYSC CAMP ADAMAWA,FORMAL,12.447567,9.38615,Spontaneous,Camp,,8/9/2014,Unknown,,Yes,,Public/Government,Government building,No,N/A,,,No,,,,No,No,No,Yes,Yes,No,No,Yes,No,ADAMAWA,MADAGALI,HYAMBULA,BORNO,GWOZA,BITA / IZGE,118,3104,16,37,53,120,328,448,410,481,891,556,875,1431,110,171,281,20,150,0,0,281,0,2,0,0,1,0,08/28/2014,05/17/2016,No,BORNO,GWOZA,NGOSHE,Place of origin,House damaged/destroyed,None,<75%,<25%,>75%,<25%,<75%,None,<50%,Blankets/Mats,Kitchen sets,Plastic sheeting,On-site (<10 mn),>50 %,Yes,Hand pumps,Hand pumps,10 - 15 ltr,Yes,None,No,Good (Hygienic),125,Yes,Yes,Yes,Garbage pit,71,No,Yes but no soap/water inside,No,No,No,No,"Yes, on site",Yes,Irregular,Cash,No,No,No,No,No,No,Malaria,Fever,Cough,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<75%,Farming,53,Yes,Yes,Yes,Yes,No,Military,None,None,None,None,None,0,0,No,No,No,No,No,Excellent,Excellent,"Yes, there is lighting but it is NOT adequate",No,N/A,N/A,Families/Friends,Situation in areas of origin,Yes,1855
Nigeria,11,07/30/2016,ADAMAWA,GIREI,GIREI  II,AD_S037,CHEKAMIDERI,INFORMAL,12.33437,7.22408,Spontaneous,Collective Settlement/Centre,,8/7/2014,Unknown,,Yes,,Public/Government,Community center,No,N/A,,,No,,,,Yes,No,Yes,Yes,Yes,No,No,Yes,No,ADAMAWA,MADAGALI,HYAMBULA,BORNO,GWOZA,BITA / IZGE,18,162,6,7,13,20,28,48,18,31,49,21,25,46,2,4,6,5,27,1,0,6,0,0,0,0,5,2,8/7/2014,10/15/2015,No,ADAMAWA,MADAGALI,HYAMBULA,Place of origin,House damaged/destroyed,<25%,<75%,<25%,<25%,<25%,<75%,None,<50%,Plastic sheeting,Kitchen sets,Mosquito nets,On-site (<10 mn),>50 %,Yes,Hand pumps,Hand pumps,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),0,No,No,No,Garbage pit,0,No,Yes but no soap/water inside,No,No,No,No,"Yes, on site",Yes,Irregular,Cash,No,No,No,No,No,No,Malaria,Fever,Cough,No,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<75%,Farming,0,Yes,Yes,Yes,No,No,None,None,None,None,None,None,0,0,Yes,Unknown,No,No,No,Excellent,Excellent,"Yes, there is lighting but it is NOT adequate",No,N/A,N/A,Families/Friends,Safety and Security,No,1869
Nigeria,11,07/26/2016,ADAMAWA,GIREI,GIREI  II,AD_S038,LOWCOST QUARTERS,INFORMAL,12.3316,9.22071,Spontaneous,Collective Settlement/Centre,,4/10/2014,Unknown,,Yes,,Public/Government,Government building,No,N/A,,,No,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ADAMAWA,MADAGALI,HYAMBULA,,,,5,42,1,2,3,8,10,18,4,6,10,3,7,10,0,1,1,2,6,0,0,1,0,0,0,2,0,0,4/10/2014,10/3/2015,No,ADAMAWA,MADAGALI,HYAMBULA,Place of origin,House damaged/destroyed,None,None,None,>75%,<25%,<50%,None,<50%,Plastic sheeting,Kitchen sets,Blankets/Mats,On-site (>10 mn),<50 %,Yes,Hand pumps,Hand pumps,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),0,No,No,Yes,Garbage pit,0,Yes,Yes but no soap/water inside,No,No,No,No,"Yes, on site",Yes,Irregular,Cash,No,No,No,No,No,No,Cough,Fever,Malaria,No,Yes,On-site (<3 km),Government,Yes,On-site,<2 km,None,Farming,0,Yes,Yes,Yes,No,No,None,None,None,None,None,Non-affected groups are given humanitarian assistance,0,0,No,No,No,No,No,Excellent,Excellent,"Yes, there is lighting and it is adequate",No,N/A,N/A,Families/Friends,Safety and Security,No,1870
Nigeria,11,07/26/2016,ADAMAWA,GIREI,GIREI I,AD_S036,ANGUWAN ABUJA,INFORMAL,12.33286,9.2151,Spontaneous,Collective Settlement/Centre,,5/7/2016,Unknown,,Yes,,Ancestral,Community center,No,N/A,,,No,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ADAMAWA,MADAGALI,HYAMBULA,ADAMAWA,MADAGALI,WAGGA,7,67,3,10,13,10,7,17,11,8,19,4,9,13,3,2,5,4,16,0,0,5,0,0,0,0,3,0,5/9/2014,,No,ADAMAWA,MADAGALI,HYAMBULA,Place of origin,House damaged/destroyed,None,None,None,>75%,<25%,<75%,None,<50%,Plastic sheeting,Kitchen sets,Mosquito nets,On-site (<10 mn),<50 %,Unknown,Hand pumps,Hand pumps,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),0,Yes,Yes,Yes,Garbage pit,0,No,Yes but no soap/water inside,No,No,Yes,No,"Yes, on site",Yes,Irregular,Cash,No,No,No,No,No,No,Fever,Malaria,Cough,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<50%,Farming,0,No,Yes,Yes,No,No,None,None,None,None,None,None,0,0,Yes,No,No,No,No,Excellent,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,N/A,Families/Friends,Other relief assistance,No,1871
Nigeria,11,07/26/2016,ADAMAWA,GIREI,GIREI I,AD_S034,NANA VILLA,INFORMAL,12.51312,9.3521,Spontaneous,Collective Settlement/Centre,,08/28/2014,Unknown,,Yes,,Public/Government,Community center,No,N/A,,,No,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ADAMAWA,MADAGALI,GULAK,BORNO,GWOZA,GWOZA TOWN GADAMAYO,13,64,3,4,7,6,7,13,10,12,22,6,12,18,2,2,4,0,9,0,0,4,0,0,0,2,3,0,08/28/2014,4/11/2014,No,ADAMAWA,MADAGALI,GULAK,Place of origin,Lack of food,None,None,<25%,<75%,None,None,None,None,Kitchen sets,Blankets/Mats,Plastic sheeting,On-site (<10 mn),<50 %,Yes,Hand pumps,Hand pumps,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),0,No,No,No,Garbage pit,0,No,Yes but no soap/water inside,No,No,No,No,"Yes, on site",Yes,Irregular,Cash,No,No,No,No,No,No,Malaria,Fever,Cough,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<75%,Farming,2,Yes,Yes,Yes,No,No,None,None,None,None,None,None,0,0,Yes,No,No,No,No,Excellent,Good,No lighting,No,N/A,N/A,Families/Friends,Safety and Security,No,1874
Nigeria,11,07/30/2016,ADAMAWA,GIREI,GIREI I,AD_S032,SENGERE DUTSE,INFORMAL,12.31017,9.20366,Spontaneous,Collective Settlement/Centre,,08/21/2014,Unknown,,Yes,,Private Building,Community center,No,N/A,,,No,,,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,ADAMAWA,MADAGALI,MADAGALI,BORNO,GWOZA,GWOZA TOWN GADAMAYO,21,83,1,3,4,11,14,25,3,5,8,14,28,42,2,2,4,3,9,2,0,4,0,0,0,3,5,0,08/21/2014,07/20/2016,No,ADAMAWA,MADAGALI,MADAGALI,Place of origin,House damaged/destroyed,None,None,<25%,>75%,None,<50%,None,None,Kitchen sets,Plastic sheeting,Mosquito nets,On-site (<10 mn),<50 %,Yes,Hand pumps,Hand pumps,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),0,No,No,Yes,Garbage pit,0,Yes,Yes but no soap/water inside,No,No,Yes,No,"Yes, on site",Yes,Irregular,Cash,No,No,No,No,No,No,Malaria,Fever,Cough,No,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<75%,Farming,0,Yes,Yes,Yes,No,No,None,None,None,None,None,None,0,0,No,No,No,No,No,Good,Good,No lighting,No,N/A,N/A,Families/Friends,Situation in areas of origin,No,1872
