country,round,survey_date,,site_region,,site_province,,site_district,site_id,site_name,,site_longitude,site_latitude,site_class,site_type,,site_date_open,,site_date_close,site_access,site_area,site_owner,site_shelter,smc_exist,smc_community,,,sma_exist,sma_type,,,regist_activity,,support_wash,health_support,support_shelter,support_food,support_protect,support_edu,support_live,,,,,,,n_family,n_total,n_infants_male,n_infants_female,n_infants,n_child_male,n_child_female,n_child,n_youth_male,n_youth_female,n_youth,n_adult_male,n_adult_female,n_adult,n_elder_male,n_elder_female,n_elder,n_pregnant,n_lactating,n_pwd,,,n_child_unacc,n_child_sep,n_orphan,n_hoh_female,n_hoh_male,n_hoh_child,,,,,,,,,per_hh_no_shelter,per_hh_tents,per_hh_makeshift,per_hh_indoors,per_hh_electricity,per_hh_safe_cooking,per_hh_private,per_hh_nets,nfi_a,nfi_b,nfi_c,water_location,water_operational,,water_source_np,water_source_p,water_avg,water_potable,water_problem,water_remark,latrine_cond,n_latrine,latrine_gender,bathing_gender,latrine_lock,hyg_waste,n_garbage,garbage_problem,hyg_station,hyg_evidence,,hyg_open_def,hyg_drainage,food_access,food_market,food_freq,food_source,,food_sup_child,food_sup_lac,,,,,,,health_medicine,health_center,health_location,health_provider,edu_access,edu_location,edu_distance,per_sch,,n_hh_income,job_access,,,sec_provided,,sec_provider,sec_issue,sec_gbv,,sec_child_issue,,n_space_child,n_space_female,,,unsafe_female,unsafe_male,unsafe_child,,,site_lighting,job_abr,job_abr_in,job_abr_prom,,,,
Nigeria,12,09/26/2016,AD,ADAMAWA,AD04,GIREI,AD0402,DAMARE,AD_S001,NYSC CAMP ADAMAWA,FORMAL,12.44757,9.38615,Spontaneous,Camp,NULL,9/8/2014,Unknown,NULL,Yes,NULL,Public/Government,Government building,No,N/A,NULL,NULL,Yes,Government,NEMA,806538481,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,GWOZA,NGOSHE,ADAMAWA,MADAGALI,MADAGALI,549,2847,129,209,338,234,110,344,529,494,1023,314,508,822,170,150,320,0,338,0,0,320,0,0,0,0,0,0,08/28/2014,05/17/2016,Yes,BORNO,GWOZA,NGOSHE,Place of origin,House damaged/destroyed,None,None,None,>75%,<50%,>75%,>75%,>75%,Hygiene kits,Blankets/Mats,Mosquito nets,On-site (<10 mn),>50 %,Yes,Hand pumps,Hand pumps,5 - 10 ltr,Yes,None,No,Good (Hygienic),125,Yes,Yes,Yes,Garbage pit,71,No,Yes but no soap/water inside,No,No,No,No,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,No,No,No,Malaria,Fever,Cough,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<75%,Farming,53,Yes,No,Yes,Yes,No,Military,None,None,None,None,Not enough assistance for all entitled,2,0,Yes,No,Yes,Yes,Yes,Good,Good,"Yes, there is lighting but it is NOT adequate",Yes,Nigeria,Better living conditions,Local Leader,Shelter,No,2023
Nigeria,12,09/28/2016,AD,ADAMAWA,AD21,YOLA SOUTH,AD2104,NAMTARI,AD_S003,MALKOHI CAMP,FORMAL,12.38406,9.19583,Spontaneous,Camp,NULL,9/11/2014,Unknown,NULL,Yes,NULL,Public/Government,Government building,Yes,No,NULL,NULL,Yes,Government,NEMA ,8039416617,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,BORNO,GWOZA,GWOZA TOWN GADAMAYO,BORNO,BAMA,LAWANTI / MALAM / MASTARI / ABBA,331,1657,10,15,25,190,170,360,80,74,154,523,590,1113,3,2,5,10,250,0,0,5,0,0,10,5,3,0,9/11/2014,2/4/2015,No,BORNO,MOBBAR,DAMASAK,Place of origin,Lack of safety,None,None,>75%,<75%,<50%,<75%,None,<50%,Blankets/Mats,Kitchen sets,Mosquito nets,On-site (<10 mn),>50 %,Yes,Hand pumps,Hand pumps,5 - 10 ltr,Yes,None,No,Good (Hygienic),36,No,No,No,Garbage pit,0,No,Yes but no soap/water inside,No,No,Yes,No,"Yes, on site",Yes,Twice a week,Distribution,No,No,No,No,No,No,Malaria,Fever,Malnutrition,Yes,Yes,Mobile clinic,Government,Yes,On-site,<1 km,<75%,Farming,0,Yes,No,Yes,Yes,No,Military,None,None,None,None,None,0,0,No,No,No,No,No,Good,Good,"Yes, there is lighting and it is adequate",No,N/A,NULL,Radio/news,Safety and Security,Yes,1995
Nigeria,12,09/28/2016,AD,ADAMAWA,AD21,YOLA SOUTH,AD2104,NAMTARI,AD_S004,MALKOHI VILLAGE ,INFORMAL,12.37707,9.19751,Spontaneous,Camp,NULL,09/20/2014,Unknown,NULL,Yes,NULL,Public/Government,Self-made tents,Yes,Yes,NULL,NULL,Yes,INGO,NA,NA,Yes,Yes,No,No,No,No,No,No,No,BORNO,GWOZA,GWOZA TOWN GADAMAYO,NULL,NULL,NULL,312,1551,27,54,81,140,172,312,285,307,592,193,266,459,56,51,107,6,101,0,0,107,0,0,0,0,0,0,3/6/2014,12/12/2015,No,BORNO,GWOZA,GWOZA TOWN GADAMAYO,Place of origin,Lack of safety,None,>75%,<75%,None,None,<50%,<25%,<50%,Blankets/Mats,Kitchen sets,Mosquito nets,On-site (<10 mn),<50 %,No,Hand pumps,Hand pumps,5 - 10 ltr,Yes,None,No,Not so good (Not hygienic),18,No,No,Yes,Garbage pit,18,No,Yes but no soap/water inside,No,No,Yes,No,"Yes, on site",Yes,Irregular,Distribution,No,No,No,No,No,No,Malaria,Fever,Malnutrition,No,Yes,Mobile clinic,INGO,Yes,On-site,<1 km,<75%,Farming,3,Unknown,No,Yes,Yes,No,Military,None,None,None,None,Not enough assistance for all entitled,0,0,No,No,No,No,No,Good,Good,No lighting,No,N/A,NULL,Radio/news,Safety and Security,No,1976
Nigeria,12,09/26/2016,AD,ADAMAWA,AD04,GIREI,AD0402,DAMARE,AD_S005,EYN CHURCH VINIKILANG,INFORMAL,12.28434,9.18183,Spontaneous,Camp,NULL,04/27/2015,Unknown,NULL,Yes,NULL,Private Building,Self-made tents,No,N/A,NULL,NULL,No,NULL,NA,NULL,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,BORNO,GWOZA,NGOSHE,ADAMAWA,MADAGALI,MADAGALI,18,50,0,0,0,7,8,15,9,14,23,3,7,10,1,1,2,2,0,0,0,2,0,0,0,4,8,0,04/27/2015,07/27/2016,Yes,BORNO,GWOZA,NGOSHE,Place of origin,House damaged/destroyed,None,<75%,None,None,None,<75%,None,>75%,Blankets/Mats,Hygiene kits,Mosquito nets,On-site (<10 mn),<50 %,Yes,Hand pumps,Hand pumps,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),0,No,No,No,Burning,0,No,Yes but no soap/water inside,No,No,No,No,"Yes, on site",Yes,Once a month,Cash,No,No,No,No,No,No,Malaria,Fever,Fever,No,No,None,None,Yes,On-site,<1 km,<75%,Farming,1,No,Yes,Yes,Yes,No,Community Leaders,None,None,None,None,None,0,0,Yes,No,No,No,No,Good,Good,No lighting,No,N/A,NULL,Mobile phone,Situation in areas of origin,Yes,1971
Nigeria,12,09/22/2016,AD,ADAMAWA,AD02,FUFORE,AD0207,PARIYA,AD_S006,DAWARE CAMP,INFORMAL,12.59728,9.41848,Spontaneous,Collective Settlement/Centre,NULL,06/21/2014,Unknown,NULL,Yes,NULL,Public/Government,School,Yes,Yes,NULL,NULL,No,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,GWOZA,GWOZA TOWN GADAMAYO,BORNO,GWOZA,GWOZA WAKANE / BULABULIN,252,1169,52,51,103,83,72,155,246,255,501,180,206,386,17,7,24,27,152,1,0,24,4,34,1,27,37,14,06/30/2014,11/30/2015,Yes,BORNO,GWOZA,GWOZA TOWN GADAMAYO,Place of origin,House damaged/destroyed,None,None,>75%,>75%,None,<25%,<75%,>75%,Plastic sheeting,Hygiene kits,Soap,On-site (<10 mn),>50 %,Yes,Piped water supply,Piped water supply,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),4,Yes,Yes,Yes,Burning,0,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, on site",Yes,Irregular,Distribution,Yes,No,No,No,No,No,Malaria,Fever,Diarrhea,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<75%,Farming,35,Yes,No,Yes,Yes,No,Community Leaders,None,Unknown,None,None,Fighting between recipients at distribution points,1,0,Yes,Unknown,No,No,No,Good,Good,No lighting,Yes,Nigeria,Better living conditions,Radio/news,Shelter,Yes,2000
Nigeria,12,09/28/2016,AD,ADAMAWA,AD20,YOLA NORTH,AD2008,LUGGERE,AD_S008,ST THERESAS CATHEDRAL,FORMAL,12.4447,9.2734,Spontaneous,Collective Settlement/Centre,NULL,6/11/2014,Unknown,NULL,Yes,NULL,Private Building,Community center,Yes,Yes,NULL,NULL,Yes,Religious entity,GENESIS,9085835346,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ADAMAWA,MADAGALI,MADAGALI,ADAMAWA,MICHIKA,MICHIKA  I,96,681,6,5,11,78,57,135,62,52,114,139,215,354,14,53,67,11,122,1,0,67,0,0,0,0,0,0,8/8/2014,1/1/2015,Yes,ADAMAWA,MADAGALI,MADAGALI,Place of origin,Basic infrastructures damaged/flooded,None,<25%,None,>75%,>75%,<50%,<75%,<75%,Blankets/Mats,Mosquito nets,Kitchen sets,On-site (<10 mn),100%,Yes,Piped water supply,Hand pumps,<5 ltr,Yes,None,No,Good (Hygienic),30,Yes,Yes,Yes,Garbage pit,18,No,Yes,Yes,Yes,Yes,Yes,"Yes, on site",Yes,Irregular,Distribution,Yes,No,No,Yes,No,No,Malaria,Cough,Fever,Yes,Yes,Mobile clinic,INGO,Yes,On-site,<1 km,<75%,Farming,51,Yes,No,Yes,Yes,No,Religious Leaders,None,None,None,None,None,0,0,Yes,No,No,No,No,Good,Good,"Yes, there is lighting and it is adequate",Yes,Nigeria,Better living conditions,Site Management,Other relief assistance,No,2009
Nigeria,12,09/27/2016,AD,ADAMAWA,AD18,SONG,AD1808,SONG GARI,AD_S018,SHAGARI QUARTERS CAMP,INFORMAL,12.6131,9.80547,Spontaneous,Collective Settlement/Centre,NULL,4/10/2014,Unknown,NULL,Yes,NULL,Public/Government,Government building,No,N/A,NULL,NULL,No,NULL,NULL,NULL,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,ADAMAWA,MICHIKA,GARTA / GHUNCHI,ADAMAWA,MADAGALI,GULAK,64,123,8,11,19,11,14,25,6,10,16,19,25,44,9,10,19,5,19,0,0,19,0,4,6,17,9,4,10/10/2014,7/7/2016,Yes,ADAMAWA,MICHIKA,GARTA / GHUNCHI,Place of origin,House damaged/destroyed,None,None,None,>75%,<50%,None,None,<25%,Mosquito nets,Hygiene kits,Mosquito nets,On-site (>10 mn),<50 %,No,Hand pumps,Hand pumps,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),10,No,No,Unknown,Garbage pit,1,Yes,Yes but no soap/water inside,No,No,No,No,"Yes, on site",Yes,Irregular,Host community donation,No,No,No,No,No,No,Malaria,Fever,Diarrhea,No,No,None,None,Yes,Off-site,<5 km,<50%,Farming,12,No,No,Yes,No,No,None,None,None,None,None,Assistance was physically inadequate for most vulnerable,1,0,No,No,Yes,Yes,Yes,Good,Good,"Yes, there is lighting and it is adequate",No,N/A,NULL,Mobile phone,Other relief assistance,No,1980
Nigeria,12,09/29/2016,AD,ADAMAWA,AD02,FUFORE,AD0203,FUFORE,AD_S019,FUFORE CAMP,FORMAL,12.67745,9.20803,Spontaneous,Collective Settlement/Centre,NULL,08/15/2014,Unknown,NULL,Yes,NULL,Public/Government,School,Yes,Yes,NULL,NULL,Yes,Government,"SEMA,ADSEMA,IRC,ICRC",8035627114,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,BAMA,NULL,BORNO,NGALA,GAMBORU 'B',565,2299,89,62,151,311,345,656,298,309,607,310,525,835,29,21,50,135,257,4,0,50,43,17,23,15,0,0,12/8/2015,12/19/2015,Yes,BORNO,BAMA,NULL,Place of origin,House damaged/destroyed,None,<75%,<25%,<50%,None,<25%,<25%,>75%,Hygiene kits,Blankets/Mats,Plastic sheeting,On-site (<10 mn),>50 %,Yes,Hand pumps,Piped water supply,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),96,Yes,Yes,Yes,Garbage pit,50,No,None,Yes,Yes,No,Yes,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,No,No,No,Malaria,Diarrhea,Cough,Yes,Yes,On-site (<3 km),NGO,Yes,On-site,<1 km,<75%,Petty trade,97,Yes,No,No,Yes,Yes,Military,Friction anmong site residents,Unknown,Unknown,None,Fighting between recipients at distribution points,2,1,Yes,Yes,No,No,No,Good,Good,No lighting,Yes,Nigeria,Better living conditions,Site Management,Other relief assistance,No,1993
Nigeria,12,09/28/2016,AD,ADAMAWA,AD20,YOLA NORTH,AD2004,GWADABAWA,AD_S022,LABOUR HOUSE,INFORMAL,12.2806,9.1581,Spontaneous,Collective Settlement/Centre,NULL,09/17/2014,Unknown,NULL,Yes,NULL,Public/Government,Government building,Yes,Yes,NULL,NULL,Yes,INGO,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ADAMAWA,YOLA NORTH,GWADABAWA,ADAMAWA,YOLA NORTH,GWADABAWA,30,160,4,10,14,12,14,26,10,5,15,49,50,99,2,4,6,3,23,2,0,6,0,0,0,0,0,0,10/17/2014,10/23/2015,Yes,ADAMAWA,MADAGALI,MADAGALI,Place of origin,Basic infrastructures damaged/flooded,None,None,<25%,>75%,<75%,<25%,None,<50%,Mosquito nets,Kitchen sets,Plastic sheeting,On-site (<10 mn),>50 %,Yes,Hand pumps,Hand pumps,<5 ltr,Yes,None,No,Not so good (Not hygienic),3,Yes,Yes,Yes,No waste disposal system,0,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, on site",Yes,Irregular,Cash,Yes,No,No,Unknown,Unknown,Unknown,Malaria,Cough,Fever,Yes,Yes,Off-site (<3 km),Local clinic,Yes,On-site,<1 km,<50%,Farming,10,Yes,No,Yes,Yes,No,Military,None,None,None,None,None,0,0,Yes,No,No,No,No,Good,Good,"Yes, there is lighting and it is adequate",Yes,Nigeria,Better living conditions,Site Management,Other relief assistance,No,1982
Nigeria,12,09/27/2016,AD,ADAMAWA,AD21,YOLA SOUTH,AD2101,ADARAWO,AD_S027,DOKKITILA WUROKHERE ,INFORMAL,12.51412,9.20916,Spontaneous,Collective Settlement/Centre,NULL,08/16/2016,Unknown,NULL,Yes,NULL,Private Building,Bunk houses,No,N/A,NULL,NULL,No,NULL,NULL,NULL,No,No,No,No,Yes,No,Yes,Yes,No,ADAMAWA,MADAGALI,MADAGALI,ADAMAWA,MICHIKA,MICHIKA  I,19,83,3,4,7,16,11,27,12,13,25,11,12,23,0,1,1,3,17,0,0,1,3,0,0,1,0,0,08/19/2016,NULL,Yes,ADAMAWA,MADAGALI,MADAGALI,Place of origin,Lack of safety,None,<25%,<75%,<25%,None,<50%,None,<50%,Blankets/Mats,Mosquito nets,Kitchen sets,Off-site (<10 mn),>50 %,No,Hand pumps,Hand pumps,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),0,No,No,No,Garbage pit,0,No,Yes but no soap/water inside,No,No,Yes,No,"Yes, off site",Yes,Irregular,Host community donation,No,No,No,No,No,No,Malaria,Fever,Cough,No,No,None,None,Yes,On-site,<1 km,<50%,Farming,0,Yes,No,Yes,Yes,No,Local Authorities,None,None,None,None,None,0,0,No,Unknown,No,No,No,Good,Good,No lighting,No,N/A,NULL,Radio/news,Safety and Security,No,2002
