country,round,site_region,site_province,site_district,site_id,site_name,site_longitude,site_latitude,,site_type,,site_date_open,,,site_date_close,site_access,site_area,site_owner,site_shelter,smc_exist,smc_community,,,sma_exist,sma_type,sma_name,,regist_activity,,support_wash,support_health,support_shelter,support_food,support_protection,support_edu,support_live,,,,,,,n_family,n_total,n_infants_male,n_infants_female,n_infants,n_child_male,n_child_female,n_child,n_youth_male,n_youth_female,n_youth,n_adult_male,n_adult_female,n_adult,n_elder_male,n_elder_female,n_elder,n_pregnant,n_lactating,n_pwd,,,n_child_unacc,n_child_sep,n_orphan,n_hoh_female,n_hoh_male,n_hoh_child,,,pre_displaced,,,,,,per_hh_no_shelter,per_hh_tents,per_hh_makeshift,per_hh_indoors,per_hh_electricity,per_hh_safe_cooking,per_hh_private,per_hh_nets,nfi_a,nfi_b,nfi_c,water_location,water_operational,,water_source_np,water_source_p,water_avg,water_potable,water_remark,water_complaint,latrine_cond,n_latrine,latrine_gender,bathing_gender,latrine_lock,hyg_waste,n_garbage,garbage_problem,hyg_station,hyg_evidence,hyg_promotion,hyg_open_def,hyg_drainage,food_access,food_market,food_freq,food_source,health_screen,food_sup_lac,food_sup_child,,,,health_medicine,health_center,health_location,,edu_access,edu_location,edu_distance,per_sch,,n_hh_income,,,,sec_provided,,sec_provider,sec_issue,,sec_tradition,sec_child_issues,,n_space_child,n_space_female,,,unsafe_female,unsafe_male,unsafe_child,,,site_lighting,job_abr,job_abr_in,,,,
Nigeria,5,ADAMAWA,FUFORE,FUFORE,,FUFORE CAMP,9.2585,12.40333,Planned,Collective Settlement/Centre,NULL,8/8/15,Open,Unknown,NULL,Yes,NULL,Public/Government,School,Yes,Yes,,,Yes,Government,,,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,BORNO,GUBIO,NULL,BORNO,BAMA,NULL,420,2034,18,21,39,47,75,122,477,411,888,374,422,796,173,16,189,0,167,0,0,289,11,0,13,18,13,0,10/10/15,NULL,No,BORNO,GUBIO,NULL,Place of origin,Lack of safety,<75%,<25%,None,<25%,None,None,None,>75%,Blankets/Mats,Mosquito nets,Hygiene kits,On-site (<10 mn),Not operational,No,Piped water supply,Piped water supply,>15 ltr,Yes,None,No,Not so good (Not hygienic),0,No,No,Yes,No waste disposal system,0,No,Yes but no soap/water inside,No,No,No,No,"Yes, on site",No,Everyday,Distribution,No,No,No,Fever,Fever,Fever,Yes,Yes,On-site (<3 km),NGO,No,None,Unknown,None,Agro-pastoralism,0,No,No,No,Yes,No,Military,Theft,None,None,Child separated from their care givers (or just child separation),Not enough assistance for all entitled,0,0,Yes,No,No,No,No,Good,Good,No lighting,No,N/A,NULL,Site Management,Safety and Security,Yes
Nigeria,5,ADAMAWA,FUFORE,PARIYA,,DAWARE VILLAGE,12.35503,9.25677,Spontaneous,Camp,NULL,6/21/14,Open,Unknown,NULL,Yes,NULL,Unknown,Self-made tents,No,N/A,,,No,NULL,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,GWOZA,GWOZA TOWN GADAMAYO,ADAMAWA,MADAGALI,MADAGALI,198,1585,25,15,40,63,76,139,329,411,740,285,364,649,9,8,17,13,36,2,0,17,29,67,0,0,0,5,6/30/14,6/15/15,Yes,BORNO,GWOZA,GWOZA TOWN GADAMAYO,Place of origin,House damaged/destroyed,<25%,<25%,None,>75%,>75%,<25%,<50%,>75%,Plastic sheeting,Blankets/Mats,Kitchen sets,On-site (<10 mn),>50 %,Yes,Piped water supply,Piped water supply,10 - 15 ltr,Yes,Taste,Yes,Not so good (Not hygienic),0,No,No,Yes,Burning,1,Yes,Yes but no soap/water inside,Yes,Yes,Unknown,No,"Yes, on site",Unknown,Irregular,Distribution,No,No,No,Diarrhea,Malaria,Cough,Yes,Yes,On-site (>3 km),Local clinic,Yes,Off-site,<2 km,<75%,Farming,35,Yes,Yes,Yes,Yes,Yes,Community Leaders,None,None,Unknown,None,Not enough assistance for all entitled,0,0,No,No,No,No,No,Good,Good,No lighting,No,N/A,NULL,Mobile phone,Situation in areas of origin,Yes
Nigeria,5,ADAMAWA,GIREI,DAMARE,,NYSC CAMP,12.25264,9.17734,Spontaneous,Collective Settlement/Centre,NULL,8/28/14,Open,Unknown,NULL,Yes,NULL,Public/Government,Government building,Yes,Yes,,,Yes,Government,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,GWOZA,NGOSHE,ADAMAWA,MADAGALI,DUHU/ SHUWA,317,1762,5,7,12,215,360,575,161,225,386,284,498,782,2,5,7,0,0,0,0,7,0,0,0,0,0,0,8/28/14,3/23/15,Yes,BORNO,GWOZA,NGOSHE,Place of origin,Lack of safety,None,<50%,>75%,<25%,<75%,<50%,None,>75%,Blankets/Mats,Bucket/Jerry Can,Soap,On-site (<10 mn),<50 %,Unknown,Water truck,Piped water supply,>15 ltr,Yes,None,No,Good (Hygienic),125,Yes,Yes,Yes,Garbage pit,76,No,Yes,No,No,No,Yes,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,Malaria,Cough,Fever,Yes,Yes,Mobile clinic,Government,Yes,Off-site,<1 km,>75%,Petty trade,25,Yes,No,Yes,Yes,No,Military,None,None,None,None,None,3,1,Yes,No,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Mobile phone,Situation in areas of origin,Yes
Nigeria,5,ADAMAWA,GIREI,MODIRE/ VINIKILANG,,EYN CHURCH,12.28483,9.18399,Spontaneous,Collective Settlement/Centre,NULL,4/27/15,Open,Unknown,NULL,Yes,NULL,Private Building,Self-made tents,Yes,Yes,,,No,NULL,,,Yes,Yes,No,No,No,No,No,No,No,BORNO,GWOZA,PULKA/BOKKO,ADAMAWA,MICHIKA,MICHIKA  I,12,90,2,3,5,17,20,37,8,10,18,14,16,30,0,0,0,1,4,0,0,0,0,3,0,4,2,1,4/27/15,4/27/15,Yes,BORNO,GWOZA,PULKA/BOKKO,Place of origin,House damaged/destroyed,<25%,<25%,<75%,None,None,>75%,None,>75%,Plastic sheeting,Blankets/Mats,Hygiene kits,Off-site (>10 mn),<50 %,No,Hand pumps,Piped water supply,>15 ltr,Yes,None,No,Not so good (Not hygienic),1,No,No,No,Burning,0,No,Yes but no soap/water inside,No,No,Yes,No,No,Yes,Never,Cash,No,No,No,Malaria,Fever,Cough,No,No,None,None,No,None,Unknown,<25%,Farming,2,No,No,Yes,Yes,No,Self organized,None,None,None,None,None,0,0,Yes,No,No,No,No,Good,Good,No lighting,No,N/A,NULL,Mobile phone,Situation in areas of origin,Yes
Nigeria,5,ADAMAWA,MICHIKA,MICHIKA  I,,ZABADARI PRIMARY SCH MICHIKA,NULL,NULL,Planned,Collective Settlement/Centre,NULL,8/1/15,Open,Unknown,NULL,Yes,NULL,Public/Government,School,Yes,No,,,Yes,Local NGO,,,Yes,Yes,No,Unknown,No,Unknown,Yes,No,No,ADAMAWA,MICHIKA,NULL,NULL,NULL,NULL,125,902,25,42,67,52,73,125,97,223,320,50,310,360,23,7,30,82,67,0,0,30,0,0,0,170,10,0,NULL,NULL,Yes,ADAMAWA,MICHIKA,NULL,Place of origin,Lack of safety,<25%,None,None,>75%,None,None,None,<25%,Plastic sheeting,Blankets/Mats,Mosquito nets,Off-site (<10 mn),>50 %,No,None,Hand pumps,<5 ltr,Yes,None,No,Not so good (Not hygienic),0,No,No,No,No waste disposal system,0,No,Yes but no soap/water inside,No,No,Yes,No,"Yes, on site",No,Everyday,Distribution,No,No,No,Malaria,Fever,Malnutrition,Yes,Yes,On-site (<3 km),Government,No,None,Unknown,None,Agro-pastoralism,0,No,No,No,Yes,No,Military,Theft,None,None,None,Not enough assistance for all entitled,0,0,Unknown,Unknown,No,No,No,Good,Good,No lighting,No,N/A,NULL,Site Management,Safety and Security,Yes
Nigeria,5,ADAMAWA,YOLA NORTH,LUGGERE,,ST THERESA,12.192,9.9288,Planned,Collective Settlement/Centre,NULL,8/7/15,Open,Unknown,NULL,Yes,700,Private Building,Host family house,No,N/A,,,No,NULL,,,No,No,No,No,No,No,No,No,No,BORNO,GWOZA,NULL,ADAMAWA,MADAGALI,GULAK,272,1809,73,82,155,63,120,183,421,386,807,273,271,544,61,59,120,103,13,2,2,24,215,62,51,11,211,40,9/29/14,5/5/15,Yes,BORNO,GWOZA,NULL,Place of origin,House damaged/destroyed,<25%,<50%,<50%,<25%,<50%,>75%,Unknown,<25%,Blankets/Mats,Mosquito nets,Hygiene kits,On-site (<10 mn),>50 %,No,Piped water supply,Piped water supply,>15 ltr,Yes,None,No,Not so good (Not hygienic),10,Yes,Yes,Yes,No waste disposal system,0,Yes,Yes,No,No,Unknown,No,"Yes, on site",Yes,Irregular,Distribution,Yes,No,No,Malaria,Fever,Cough,Yes,Yes,On-site (<3 km),Other,No,None,Unknown,None,Petty trade,1,Yes,No,No,Yes,Yes,Unknown,None,Unknown,Unknown,Missing children,Unknown,1,2,No,No,No,No,No,Excellent,Excellent,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Mobile phone,Situation in areas of origin,Yes
Nigeria,5,ADAMAWA,YOLA SOUTH,NAMTARI,,MALKOHI VILLAGE,9.19288,12.37603,Spontaneous,Collective Settlement/Centre,NULL,8/20/15,Open,Unknown,NULL,Yes,NULL,Private Building,Tents,Yes,Yes,,,Yes,Unknown,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ADAMAWA,MADAGALI,GULAK,BORNO,GUBIO,KINGOWA,128,384,8,10,18,37,59,96,67,77,144,59,67,126,0,0,0,3,10,2,0,0,0,1,2,3,1,2,8/20/15,8/21/15,Yes,ADAMAWA,MICHIKA,MICHIKA  II,Place of origin,House damaged/destroyed,None,None,<25%,>75%,<25%,<25%,<25%,None,Blankets/Mats,Mosquito nets,Kitchen sets,On-site (<10 mn),>50 %,No,Piped water supply,Hand pumps,<5 ltr,Yes,Taste,Yes,Good (Hygienic),0,Yes,Yes,No,Garbage pit,0,No,Yes but no soap/water inside,No,No,Yes,No,"Yes, on site",Yes,Everyday,Cash,Yes,Yes,Yes,Malaria,Cough,Fever,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<25%,Petty trade,0,Yes,Yes,Yes,Yes,Yes,Military,Crime,None,Unknown,None,None,0,0,Yes,No,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Site Management,Situation in areas of origin,Yes
Nigeria,5,ADAMAWA,YOLA SOUTH,NAMTARI,,DEEPER LIFE,12.31593,9.30064,Spontaneous,Collective Settlement/Centre,NULL,8/21/14,Open,Unknown,NULL,Yes,NULL,Private Building,Other,Yes,Yes,,,Yes,Religious entity,,,No,No,No,No,Yes,Yes,Yes,Yes,No,ADAMAWA,MAYO - BELWA,NULL,ADAMAWA,MADAGALI,NULL,45,197,3,10,13,20,32,52,45,50,95,10,25,35,1,1,2,8,7,2,0,2,4,6,3,4,4,3,NULL,NULL,No,NULL,NULL,NULL,Place of origin,Lack of food,<25%,<25%,None,>75%,<50%,<50%,<50%,<50%,Mosquito nets,Kitchen sets,Bucket/Jerry Can,On-site (<10 mn),>50 %,Unknown,Hand pumps,Hand pumps,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),6,Yes,Yes,Yes,Garbage pit,0,No,Yes but no soap/water inside,No,No,No,No,No,No,Unknown,Other,No,No,No,Diarrhea,Cough,Malnutrition,No,Yes,On-site (<3 km),None,Yes,None,<2 km,<50%,Pastoralism,0,Yes,No,Yes,Yes,No,Self organized,None,Unknown,Unknown,None,None,3,2,No,Yes,No,No,No,Excellent,Excellent,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Radio/news,Situation in areas of origin,No
Nigeria,5,ADAMAWA,YOLA SOUTH,NAMTARI,,MAIKOHI CAMP,9.19657,12.38582,Planned,Camp,NULL,9/21/14,Open,Unknown,NULL,Yes,NULL,Public/Government,School,No,N/A,,,No,NULL,,,No,No,No,No,No,No,No,No,No,BORNO,GWOZA,GWOZA TOWN GADAMAYO,ADAMAWA,MADAGALI,MADAGALI,217,940,10,11,21,150,167,317,100,170,270,171,159,330,0,2,2,3,10,2,0,0,0,1,2,8,0,1,9/21/14,12/20/14,Yes,ADAMAWA,MADAGALI,MADAGALI,Place of origin,Lack of safety,None,None,<25%,<75%,<25%,<25%,None,None,Blankets/Mats,Mosquito nets,Hygiene kits,On-site (<10 mn),100%,No,Hand pumps,Hand pumps,<5 ltr,Yes,Taste,Yes,Good (Hygienic),20,Yes,Yes,No,Garbage pit,0,No,Yes but no soap/water inside,No,No,Yes,No,"Yes, on site",Yes,Everyday,Cultivated,No,No,No,Malaria,Fever,Cough,Yes,Yes,On-site (<3 km),Local clinic,Yes,On-site,<1 km,<50%,Unknown,0,Yes,Yes,Yes,Yes,Yes,Military,None,None,None,None,Unknown,0,0,No,No,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Mobile phone,Situation in areas of origin,Yes
Nigeria,5,ADAMAWA,YOLA SOUTH,NAMTARI,,RUMDE KILLA,9.20465,12.38959,Planned,Collective Settlement/Centre,NULL,8/21/15,Open,Unknown,NULL,Yes,NULL,Public/Government,Community center,No,N/A,,,Yes,Government,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ADAMAWA,MADAGALI,GULAK,BORNO,GUBIO,NULL,53,216,0,10,10,21,39,60,51,52,103,20,22,42,0,1,1,8,7,2,0,1,4,6,3,4,4,3,NULL,NULL,No,NULL,NULL,NULL,Place of origin,Lack of food,<25%,<25%,None,<75%,Unknown,<50%,<50%,<50%,Mosquito nets,Kitchen sets,Bucket/Jerry Can,On-site (<10 mn),<50 %,No,Hand pumps,Hand pumps,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),10,Yes,Yes,Yes,Garbage pit,0,Yes,Yes but no soap/water inside,No,No,No,No,No,Yes,Never,Other,No,No,No,Diarrhea,Cough,Malnutrition,No,Yes,On-site (<3 km),None,Yes,Off-site,<2 km,<50%,Pastoralism,0,Yes,No,Yes,Yes,No,Self organized,None,Unknown,Unknown,None,None,0,0,No,Yes,No,No,No,Good,Good,"Yes, there is lighting and it is adequate",Unknown,N/A,NULL,Radio/news,Situation in areas of origin,No
