country,survey_date,round,site_region,site_province,site_district,site_id,site_name,,site_longitude,site_latitude,site_class,site_type,site_date_open,,,site_date_close,site_access,site_area,site_owner,site_shelter,smc_exist,smc_community,,,sma_exist,sma_type,sma_name,,regist_activity,,support_wash,support_health,support_shelter,support_food,support_protect,support_edu,support_live,,,,,,,n_family,n_total,n_infants_male,n_infants_female,n_child_male,n_child_female,n_youth_male,n_youth_female,n_adult_male,n_adult_female,n_elder_male,n_elder_female,n_pregnant,n_lactating,n_pwd,,n_elder,n_child_unacc,n_child_sep,n_orphan,n_hoh_female,n_hoh_male,n_hoh_child,,,pre_displaced,,,,,,per_hh_no_shelter,per_hh_tents,per_hh_makeshift,per_hh_indoors,per_hh_electricity,per_hh_safe_cooking,per_hh_private,per_hh_nets,nfi_a,nfi_b,nfi_c,water_location,water_operational,,water_source_np,water_source_p,water_avg,water_potable,water_remark,water_complaint,latrine_cond,n_latrine,latrine_gender,bathing_gender,latrine_lock,hyg_waste,n_garbage,garbage_problem,hyg_station,hyg_evidence,hyg_promotion,hyg_open_def,hyg_drainage,food_access,food_market,food_freq,food_source,health_screen,food_sup_lac,food_sup_child,,,,health_medicine,health_center,health_location,health_provider,edu_access,edu_location,edu_distance,per_sch,,n_hh_income,job_access,,,sec_provided,,sec_provider,sec_issue,sec_gbv,sec_phys_violence,sec_child_issue,,n_space_child,n_space_female,,,unsafe_female,unsafe_male,unsafe_child,,,site_lighting,job_abr,job_abr_in,job_abr_prom,,,,
Nigeria,9/7/15,6,ADAMAWA,GIREI,DAMARE,AD_S001,NYSC CAMP DAMARE,FORMAL,9.38615,12.447567,Spontaneous,Camp,8/28/15,Open,Unknown,NULL,Yes,1600,Public/Government,Government building,Yes,Yes,NULL,NULL,Yes,Government,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,GWOZA,NGOSHE,ADAMAWA,MICHIKA,MICHIKA  I,317,2231,155,107,122,85,449,408,421,454,10,20,127,469,0,0,17,116,0,0,0,0,0,8/28/14,8/24/15,Yes,BORNO,GWOZA,NGOSHE,Place of origin,Lack of safety,None,<50%,None,<75%,>75%,None,None,>75%,Hygiene kits,Soap,Blankets/Mats,On-site (<10 mn),>50 %,Yes,Water truck,Piped water supply,>15 ltr,Yes,None,No,Good (Hygienic),56,Yes,Yes,Yes,Garbage pit,76,No,Yes,Yes,Yes,No,Yes,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,Malaria,Cough,Diarrhea,Yes,Yes,On-site (<3 km),INGO,Yes,Off-site,<1 km,>75%,Petty trade,43,Yes,No,No,Yes,No,Military,None,None,None,None,None,3,1,Yes,No,No,No,No,Excellent,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Mobile phone,Situation in areas of origin,Yes,1401
Nigeria,9/11/15,6,ADAMAWA,YOLA SOUTH,NAMTARI,AD_S002,DEEPER LIFE CAMP,FORMAL,9.3000333,12.317283,Spontaneous,Collective Settlement/Centre,NULL,Open,Unknown,NULL,Yes,NULL,Private Building,Community center,Unknown,N/A,NULL,NULL,Yes,Religious entity,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ADAMAWA,MICHIKA,MICHIKA  I,ADAMAWA,MADAGALI,GULAK,100,235,1,2,5,12,20,25,57,95,6,12,3,27,2,3,18,2,10,1,1,4,9,10/11/14,11/26/14,Yes,ADAMAWA,NULL,NULL,Place of origin,House damaged/destroyed,None,<25%,<25%,<50%,Unknown,<25%,<50%,>75%,Blankets/Mats,Mosquito nets,Bucket/Jerry Can,On-site (>10 mn),>50 %,Yes,Piped water supply,Hand pumps,5 - 10 ltr,No,Taste,Yes,Not so good (Not hygienic),18,Yes,Yes,Yes,Garbage pit,25,Yes,Yes but no soap/water inside,Yes,Yes,Yes,Yes,"Yes, on site",No,Twice a week,Distribution,Yes,No,No,Malaria,Malnutrition,Malaria,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<25%,Fishing,10,Yes,No,Yes,Yes,Yes,Police,Friction with host community,Domestic violence,Forced family separations,Sexual violence,Lack of documentation,0,0,Yes,Yes,Yes,Yes,No,Excellent,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Mobile phone,Situation in areas of origin,Yes,1396
Nigeria,10/22/15,6,ADAMAWA,YOLA SOUTH,NAMTARI,AD_S003,MALKOHI CAMP,FORMAL,9.195833,12.384056,Spontaneous,Camp,NULL,Open,Unknown,NULL,Yes,NULL,Public/Government,Tents,Yes,Yes,NULL,NULL,Yes,Government,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,KALA BALGE,KALA,BORNO,GWOZA,GWOZA TOWN GADAMAYO,181,1049,85,80,48,33,194,162,220,209,10,8,49,93,0,0,18,0,0,0,0,0,0,NULL,10/15/15,Yes,BORNO,KALA BALGE,KALA,Place of origin,Unknown,None,<75%,Unknown,<75%,>75%,>75%,Unknown,>75%,Bucket/Jerry Can,Blankets/Mats,Kitchen sets,On-site (<10 mn),>50 %,Yes,Piped water supply,Piped water supply,>15 ltr,Yes,None,No,Good (Hygienic),14,Unknown,Unknown,Yes,Garbage pit,1,Unknown,Yes,Yes,Yes,No,No,"Yes, on site",Unknown,Everyday,Distribution,Unknown,Yes,Yes,Fever,Malaria,Diarrhea,Yes,Yes,On-site (<3 km),INGO,Yes,On-site,<1 km,Unknown,Farming,0,Yes,No,Unknown,Yes,Yes,Military,None,None,None,None,None,2,5,No,No,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Authorities,Unknown,No,1429
Nigeria,9/7/15,6,ADAMAWA,YOLA SOUTH,NAMTARI,AD_S004,MALKOHI VILLAGE,INFORMAL,9.1925,12.377067,Spontaneous,Collective Settlement/Centre,9/20/14,Open,Unknown,NULL,Yes,NULL,Public/Government,School,Yes,No,NULL,NULL,Yes,None,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ADAMAWA,MICHIKA,MICHIKA  I,NULL,NULL,NULL,192,738,17,28,61,64,125,128,145,155,8,7,6,45,2,0,15,0,0,0,12,15,4,10/26/14,12/11/14,Yes,ADAMAWA,MICHIKA,MICHIKA  I,Place of origin,Lack of food,None,None,>75%,None,None,<75%,<50%,>75%,Blankets/Mats,Kitchen sets,Soap,On-site (<10 mn),<50 %,Yes,Hand pumps,Hand pumps,5 - 10 ltr,No,Taste,Yes,Good (Hygienic),12,Yes,Yes,Yes,Garbage pit,15,Yes,Yes,Yes,No,Yes,Yes,"Yes, on site",Yes,Irregular,Host community donation,No,No,No,Malaria,Fever,Fever,No,Yes,On-site (>3 km),Government,Yes,On-site,<2 km,<50%,Petty trade,15,Yes,Yes,Yes,Yes,Yes,Self organized,Friction anmong site residents,Sexual abuse,Early/forced marriage,Sexual violence,Not enough assistance for all entitled,2,1,Yes,Yes,No,No,No,Excellent,Good,"Yes, there is lighting and it is adequate",Yes,Nigeria,Better living conditions,Mobile phone,Situation in areas of origin,Yes,1395
Nigeria,9/7/15,6,ADAMAWA,GIREI,MODIRE/ VINIKILANG,AD_S005,EYN CHURCH,INFORMAL,9.3014667,12.47455,Spontaneous,Collective Settlement/Centre,4/27/15,Open,Unknown,NULL,Yes,NULL,Private Building,Self-made tents,Yes,Yes,NULL,NULL,Yes,Religious entity,,,Yes,Yes,No,No,No,No,No,No,No,BORNO,GWOZA,NGOSHE,ADAMAWA,MICHIKA,MICHIKA  II,13,34,1,0,1,2,2,3,4,19,0,2,5,1,0,0,2,0,0,2,8,3,0,4/27/15,8/15/15,Yes,ADAMAWA,MICHIKA,MICHIKA  I,Place of origin,House damaged/destroyed,None,<25%,<75%,None,None,>75%,None,>75%,Plastic sheeting,Blankets/Mats,Hygiene kits,Off-site (>10 mn),<50 %,Unknown,Hand pumps,Piped water supply,Unknown,Yes,None,No,Not so good (Not hygienic),0,No,No,No,Burning,0,No,Yes but no soap/water inside,No,No,Yes,No,"Yes, on site",Yes,Irregular,Cash,No,No,No,Malaria,RTI,Cough,No,No,None,None,No,None,Unknown,None,Farming,2,No,No,Yes,Yes,No,Self organized,None,None,None,None,None,0,0,Yes,No,No,No,No,Good,Good,No lighting,No,N/A,NULL,Mobile phone,Situation in areas of origin,Yes,1391
Nigeria,9/10/15,6,ADAMAWA,FUFORE,PARIYA,AD_S006,DAWARE,INFORMAL,9.418483,12.597283,Spontaneous,Camp,11/2/14,Open,Unknown,NULL,Yes,NULL,Public/Government,Bunk houses,Yes,Yes,NULL,NULL,Yes,Government,,,Yes,No,Yes,No,Yes,Yes,No,Yes,No,BORNO,GWOZA,GWOZA WAKANE / BULABULIN,BORNO,GWOZA,DURE / WALA / WARABE,287,1802,40,58,163,216,313,430,222,321,21,18,58,158,10,1,39,4,34,0,21,15,7,2/13/14,4/9/15,Yes,BORNO,GWOZA,HAMBAGDA/ LIMAN KARA/ NEW SETTLE,Place of origin,No livelihood,None,None,<75%,<50%,<50%,<25%,<50%,<75%,Blankets/Mats,Mosquito nets,Kitchen sets,On-site (<10 mn),<50 %,Yes,Piped water supply,Piped water supply,10 - 15 ltr,No,Suspended solids,Yes,Not so good (Not hygienic),18,Yes,No,Yes,Burning,0,Yes,Yes but no soap/water inside,No,No,Yes,No,"Yes, off site",Yes,Irregular,Distribution,No,No,No,Malaria,Fever,Cough,No,No,Unknown,Unknown,No,Off-site,<2 km,<25%,None,0,No,Yes,Yes,No,Unknown,None,None,None,None,None,Unknown,0,0,Yes,Unknown,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Radio/news,Shelter,Yes,1407
Nigeria,9/10/15,6,ADAMAWA,YOLA NORTH,LUGGERE,AD_S008,ST. THERESA,FORMAL,9.2734,12.444467,Spontaneous,Collective Settlement/Centre,NULL,Open,Unknown,NULL,Yes,NULL,Private Building,Community center,Yes,Yes,NULL,NULL,Yes,Religious entity,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ADAMAWA,MADAGALI,K/WURO NGAYANDI,ADAMAWA,MICHIKA,MICHIKA  I,83,420,34,46,49,51,40,37,38,101,11,13,18,80,NULL,1,24,NULL,NULL,NULL,2,1,1,02/29/2015,11/2/15,Yes,ADAMAWA,MADAGALI,K/WURO NGAYANDI,Place of origin,House damaged/destroyed,None,<25%,None,>75%,<75%,<75%,None,<75%,Blankets/Mats,Mosquito nets,Bucket/Jerry Can,On-site (<10 mn),>50 %,No,Ponds/canals,Ponds/canals,Unknown,No,Suspended solids,Yes,Not so good (Not hygienic),8,No,No,No,Burning,0,Yes,Yes but no soap/water inside,No,No,Yes,No,"Yes, on site",Yes,Irregular,Host community donation,Yes,Yes,Yes,Malaria,Fever,Cough,Yes,Yes,On-site (<3 km),NGO,Yes,On-site,<2 km,<50%,Petty trade,3,No,Yes,Yes,Yes,Yes,Local Authorities,None,None,Unknown,None,Not enough assistance for all entitled,0,0,Yes,No,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Local Leader,Situation in areas of origin,No,1392
Nigeria,9/8/15,6,ADAMAWA,FUFORE,FUFORE,AD_S019,FUFORE CAMP,FORMAL,9.208083,12.67745,Spontaneous,Collective Settlement/Centre,NULL,Open,Unknown,NULL,Yes,NULL,Public/Government,School,Yes,Yes,NULL,NULL,Yes,Government,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,NGALA,OLD GAMBORU 'A',BORNO,BAMA,WULBARI/NDINE/CHACHILE,157,1097,52,56,158,171,103,120,183,121,77,56,40,108,2,0,133,37,51,10,0,0,0,7/8/15,10/9/15,Yes,BORNO,NGALA,OLD GAMBORU 'A',Place of origin,Lack of safety,None,<75%,None,<25%,None,<25%,None,<25%,Plastic sheeting,Kitchen sets,Blankets/Mats,On-site (<10 mn),<50 %,Yes,Unprotected well,Protected well,5 - 10 ltr,Yes,Taste,No,Good (Hygienic),14,No,No,No,No waste disposal system,5,No,Yes,Yes,No,Yes,Yes,"Yes, on site",No,Everyday,Distribution,Yes,No,Yes,Fever,Diarrhea,Malaria,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<25%,Collecting firewood,21,No,Yes,No,Yes,No,Military,None,None,None,Missing children,Unknown,0,0,No,No,No,No,No,Good,Good,"Yes, there is lighting and it is adequate",No,N/A,NULL,Radio/news,Distribution,No,1393
Nigeria,9/8/15,6,ADAMAWA,MUBI SOUTH,GUDE,AD_S021,GUDE CAMP,INFORMAL,10.197026,13.307469,Spontaneous,Transitional Centre,6/5/15,Open,Unknown,NULL,Yes,NULL,Public/Government,Tents,Yes,Yes,NULL,NULL,Yes,Armed Forces,,,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,BORNO,GWOZA,GWOZA TOWN GADAMAYO,ADAMAWA,MADAGALI,WAGGA,55,180,6,2,7,6,37,25,46,44,6,1,6,9,2,0,7,2,2,4,9,3,4,9/5/15,9/8/15,Yes,BORNO,GWOZA,GWOZA TOWN GADAMAYO,Place of origin,Lack of safety,None,<25%,None,>75%,None,None,None,>75%,Kitchen sets,Soap,Hygiene kits,On-site (<10 mn),100%,Yes,Hand pumps,Hand pumps,>15 ltr,Yes,None,No,Good (Hygienic),0,Yes,Yes,Yes,No waste disposal system,0,Yes,Yes,Yes,Yes,Yes,No,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,No,Fever,Cough,Wound infection,Yes,Yes,On-site (<3 km),INGO,No,None,Unknown,None,None,0,No,No,No,Yes,Yes,Military,None,None,None,None,None,1,0,No,No,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Site Management,Safety and Security,No,1390
Nigeria,10/3/15,6,BAUCHI,TAFAWA BALEWA,"KARDAM ""B""",BA_S001,GJSS BOTO,INFORMAL,9.72168,9.2301,Spontaneous,Collective Settlement/Centre,9/15/15,Open,Unknown,NULL,Yes,NULL,Public/Government,School,Yes,Yes,NULL,NULL,Yes,None,,,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,PLATEAU,MANGU,LANGAI,NULL,NULL,NULL,525,3923,89,114,198,294,461,727,726,1024,110,180,40,205,9,2,290,0,0,4,0,0,0,9/15/15,10/13/15,No,PLATEAU,MANGU,LANGAI,Place of origin,Lack of safety,None,None,None,>75%,None,<25%,None,<50%,Kitchen sets,Soap,Bucket/Jerry Can,On-site (<10 mn),>50 %,Yes,Unprotected well,Other,10 - 15 ltr,No,Taste,Yes,Good (Hygienic),16,Yes,Yes,Yes,Garbage pit,0,No,Yes but no soap/water inside,No,Yes,No,No,"Yes, on site",Yes,Everyday,Distribution,Unknown,No,No,Fever,Diarrhea,Cough,No,Yes,On-site (<3 km),NGO,No,Off-site,<1 km,None,Agro-pastoralism,4,No,No,Yes,Yes,Yes,Military,None,None,None,None,None,0,0,Yes,Yes,No,No,No,Excellent,Excellent,No lighting,No,N/A,NULL,Mobile phone,Situation in areas of origin,Yes,1389
