country,round,site_id,survey_date,site_region,site_province,site_district,site_name,,site_longitude,site_latitude,site_class,site_type,,site_date_open,,site_date_close,site_access,site_area,site_owner,site_shelter,smc_exist,smc_community,,,sma_exist,sma_type,,,regist_activity,,support_wash,support_health,support_shelter,support_food,support_protect,support_edu,support_live,,,,,,,n_family,n_total,n_infants_male,n_infants_female,n_infants,n_child_male,n_child_female,n_child,n_youth_male,n_youth_female,n_youth,n_adult_male,n_adult_female,n_adult,n_elder_male,n_elder_female,n_elder,n_pregnant,n_lactating,n_pwd,,,n_child_unacc,n_child_sep,n_orphan,n_hoh_female,n_hoh_male,n_hoh_child,,,,,,,,,per_hh_no_shelter,per_hh_tents,per_hh_makeshift,per_hh_indoors,per_hh_electricity,per_hh_safe_cooking,per_hh_private,per_hh_nets,nfi_a,nfi_b,nfi_c,water_location,water_operational,,water_source_np,water_source_p,water_avg,water_potable,water_remark,water_complaint,latrine_cond,n_latrine,latrine_gender,bathing_gender,latrine_lock,hyg_waste,n_garbage,garbage_problem,hyg_station,hyg_evidence,hyg_promotion,hyg_open_def,hyg_drainage,food_access,food_market,food_freq,food_source,health_screen,food_sup_lac,food_sup_child,,,,health_medicine,health_center,,,edu_access,edu_location,edu_distance,per_sch,,n_hh_income,job_access,,,sec_provided,,sec_provider,sec_tradition,,,,,n_space_child,n_space_female,,,unsafe_female,unsafe_male,unsafe_child,,,site_lighting,job_abr,job_abr_in,job_abr_prom,,,,
Nigeria,10,AD_S001,5/28/2016,ADAMAWA,GIREI,DAMARE,NYSC CAMP ADAMAWA,FORMAL,12.26852,9.1909,Spontaneous,Camp,,08/24/2014,Unknown,,Yes,,Public/Government,Government building,Yes,Yes,,,Yes,Government,NEMA,8036040674,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,GWOZA,NGOSHE,ADAMAWA,MADAGALI,GULAK,715,2914,36,47,83,329,283,612,537,506,1043,462,657,1119,34,23,57,79,153,0,0,57,58,10,1,27,47,9,08/28/2014,05/17/2016,No,BORNO,GWOZA,NGOSHE,Place of origin,Lack of safety,None,<25%,None,>75%,<50%,>75%,<25%,>75%,Blankets/Mats,Bucket/Jerry Can,Soap,On-site (<10 mn),>50 %,Yes,Piped water supply,Piped water supply,>15 ltr,Yes,None,No,Good (Hygienic),125,Yes,Yes,Yes,Garbage pit,71,No,Yes,Yes,Yes,No,Yes,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,Malaria,Fever,Cough,Yes,Yes,On-site (<3 km),Government,Yes,Off-site,<1 km,>75%,Farming,53,Yes,Yes,Yes,Yes,Yes,Military,Theft,None,None,None,Fighting between recipients at distribution points,2,2,Yes,No,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",Yes,Nigeria,Education,Radio/news,Situation in areas of origin,Yes,1743
Nigeria,10,AD_S003,5/23/2016,ADAMAWA,YOLA SOUTH,NAMTARI,MALKOHI CAMP,FORMAL,12.38523,9.19523,#REF!,Camp,,9/11/2014,Unknown,,Yes,,Public/Government,Government building,Yes,No,,,Yes,Government,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,GWOZA,,BORNO,GWOZA,,354,1232,16,22,38,108,163,271,216,180,396,204,269,473,18,36,54,47,108,0,0,54,2,0,0,41,22,2,11/9/2014,12/1/2015,Yes,BORNO,GWOZA,,Place of origin,House damaged/destroyed,None,<50%,None,>75%,<50%,>75%,None,>75%,Blankets/Mats,Mosquito nets,Hygiene kits,On-site (<10 mn),<50 %,Yes,Unprotected well,Piped water supply,>15 ltr,Yes,None,No,Good (Hygienic),40,Yes,Yes,Yes,Garbage pit,6,No,Yes,Yes,Yes,No,No,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,Fever,Malnutrition,Malaria,Yes,Yes,Mobile clinic,Government,Yes,On-site,<1 km,<50%,Petty trade,0,Yes,No,Yes,Yes,Yes,Military,Theft,None,None,None,Assistance did not respond to the actual need,6,2,Yes,Yes,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",Yes,Nigeria,Better living conditions,Mobile phone,Situation in areas of origin,Yes,1739
Nigeria,10,AD_S004,5/23/2016,ADAMAWA,YOLA SOUTH,NAMTARI,MALKOHI VILLAGE ,INFORMAL,12.37603,9.19288,Spontaneous,Camp,,09/20/2014,Unknown,,Yes,,#REF!,Self-made tents,Yes,Yes,,,Yes,Government,,,No,No,No,No,No,No,No,No,No,BORNO,GWOZA,,BORNO,BAMA,,269,1036,14,22,36,72,56,128,212,283,495,118,246,364,8,5,13,19,76,2,1,13,2,0,0,21,246,2,6/3/2014,12/12/2015,Yes,BORNO,GWOZA,GWOZA TOWN GADAMAYO,Place of origin,House damaged/destroyed,None,>75%,>75%,None,None,>75%,None,>75%,Blankets/Mats,Mosquito nets,Kitchen sets,On-site (<10 mn),Unkown,No,Hand pumps,Hand pumps,5 - 10 ltr,No,Odor/smell,Yes,Good (Hygienic),36,No,No,No,Garbage pit,42,No,Yes,Yes,Yes,No,Yes,"Yes, on site",Yes,Irregular,Distribution,No,No,No,Malaria,Malnutrition,Cough,Yes,Yes,Mobile clinic,INGO,Yes,Off-site,<1 km,>75%,Farming,6,Yes,No,Yes,Yes,No,Military,None,None,None,None,Assistance was physically inadequate for most vulnerable,3,0,Yes,Yes,No,No,No,Good,Good,No lighting,Yes,Nigeria,Better living conditions,Mobile phone,Situation in areas of origin,Yes,1740
Nigeria,10,AD_S006,5/23/2016,ADAMAWA,FUFORE,PARIYA,DAWARE CAMP,INFORMAL,12.35503,9.25677,Spontaneous,Camp,,2/11/2014,Unknown,,Yes,,Public/Government,Self-made tents,Yes,No,,,Yes,None,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,GWOZA,GWOZA TOWN GADAMAYO,BORNO,GWOZA,GWOZA WAKANE / BULABULIN,308,1529,54,53,107,110,107,217,307,326,633,254,290,544,18,10,28,25,37,3,0,28,4,34,1,27,37,14,06/30/2014,11/30/2015,Yes,BORNO,GWOZA,GWOZA TOWN GADAMAYO,Place of origin,House damaged/destroyed,None,<25%,>75%,<50%,<25%,>75%,>75%,>75%,Plastic sheeting,Soap,Blankets/Mats,On-site (<10 mn),>50 %,Yes,Piped water supply,Piped water supply,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),4,Yes,Yes,Yes,Burning,2,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, on site",Yes,Irregular,Distribution,Yes,No,Yes,Malaria,Cough,Fever,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<75%,Collecting firewood,35,Yes,Yes,Yes,Yes,No,Community Leaders,None,Unknown,None,None,Fighting between recipients at distribution points,2,1,No,No,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,,Mobile phone,Situation in areas of origin,Yes,1741
Nigeria,10,AD_S008,5/23/2016,ADAMAWA,YOLA NORTH,LUGGERE,ST THERESAS CATHEDRAL,FORMAL,12.44467,9.2734,Spontaneous,Collective Settlement/Centre,,6/11/2014,Unknown,,Yes,,Private Building,Community center,Yes,Yes,,,Yes,Religious entity,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ADAMAWA,MADAGALI,GULAK,ADAMAWA,GIREI,,150,762,18,24,42,68,66,134,106,112,218,102,242,344,16,8,24,23,94,0,0,24,0,0,8,30,117,3,8/8/2014,01/27/2015,Yes,ADAMAWA,MADAGALI,GULAK,Place of origin,Lack of safety,None,<25%,None,>75%,<75%,>75%,<75%,>75%,Blankets/Mats,Mosquito nets,Kitchen sets,On-site (<10 mn),<50 %,Yes,Piped water supply,Piped water supply,>15 ltr,Yes,None,No,Not so good (Not hygienic),6,Yes,Yes,Yes,Garbage pit,18,No,Yes,Yes,Yes,Yes,Yes,"Yes, on site",Yes,Irregular,Distribution,No,No,No,Fever,Cough,Malaria,Yes,Yes,On-site (<3 km),INGO,Yes,On-site,<1 km,>75%,Petty trade,25,Yes,No,No,Yes,No,Religious Leaders,None,None,None,None,Fighting between recipients at distribution points,3,0,Yes,Yes,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",Yes,Nigeria,Better living conditions,Radio/news,Situation in areas of origin,Yes,1790
Nigeria,10,AD_S019,5/26/2016,ADAMAWA,FUFORE,FUFORE,FUFORE CAMP,FORMAL,12.4065,9.12486,Spontaneous,Camp,,5/8/2015,Unknown,,Yes,,Public/Government,School,Yes,Yes,,,Yes,Government,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,BAMA,BUDUWA / BULA CHIRABE,BORNO,NGALA,,759,2939,87,102,189,236,207,443,504,519,1023,487,682,1169,62,53,115,50,308,0,0,115,40,0,0,15,0,0,08/15/2015,12/19/2015,Yes,BORNO,BAMA,BUDUWA / BULA CHIRABE,Place of origin,House damaged/destroyed,None,>75%,<50%,<75%,<25%,<25%,<75%,>75%,Plastic sheeting,Blankets/Mats,Soap,On-site (<10 mn),>50 %,Yes,Piped water supply,Piped water supply,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),36,Yes,Yes,Yes,Burning,2,No,Yes,Yes,Yes,Yes,No,"Yes, on site",No,Everyday,Distribution,Yes,Yes,Yes,Diarrhea,Fever,Cough,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<75%,Petty trade,39,Yes,No,Yes,Yes,No,Local Authorities,None,Unknown,None,None,None,1,1,Yes,Yes,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",Yes,Nigeria,Better living conditions,Mobile phone,Safety and Security,Yes,1742
Nigeria,10,AD_S021,5/24/2016,ADAMAWA,MUBI SOUTH,GUDE,BURNT BRICK CAMP,INFORMAL,13.30746,10.19702,Spontaneous,Transitional Centre,,#REF!,Unknown,,Yes,,Public/Government,Government building,Yes,Yes,,,Yes,Local NGO,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,BORNO,DAMBOA,MULGWAI / KOPCHI,BORNO,DAMBOA,MULGWAI / KOPCHI,14,89,4,6,10,12,15,27,13,13,26,8,5,13,7,6,13,2,13,0,0,13,4,0,4,7,0,0,01/16/2016,,Yes,BORNO,DAMBOA,MULGWAI / KOPCHI,Place of origin,House damaged/destroyed,None,>75%,None,<50%,<25%,>75%,None,>75%,Hygiene kits,Soap,Blankets/Mats,On-site (<10 mn),1,Yes,Water truck,Piped water supply,10 - 15 ltr,Yes,None,No,Good (Hygienic),12,Yes,Yes,Yes,Garbage pit,15,No,Yes,Yes,Yes,No,Yes,"Yes, on site",No,Irregular,Distribution,Yes,Yes,Yes,Malnutrition,None,None,Yes,Yes,On-site (<3 km),INGO,No,None,Unknown,None,Petty trade,0,No,Yes,No,Yes,No,Military,None,None,None,None,Not enough assistance for all entitled,0,0,No,No,No,No,No,Excellent,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,,Authorities,Situation in areas of origin,No,1736
Nigeria,10,AD_S022,5/23/2016,ADAMAWA,YOLA NORTH,GWADABAWA,LABOUR HOUSE,INFORMAL,12.28064,9.1581,Spontaneous,Collective Settlement/Centre,,#REF!,Unknown,,Yes,,Public/Government,Government building,Yes,Yes,,,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ADAMAWA,MADAGALI,GULAK,ADAMAWA,MICHIKA,MICHIKA  I,51,235,5,13,18,11,8,19,32,41,73,48,75,123,0,2,2,17,25,0,0,2,0,0,0,7,44,0,8/12/2014,12/8/2014,Yes,ADAMAWA,MADAGALI,GULAK,Place of origin,Lack of safety,None,<25%,<25%,>75%,<50%,>75%,<75%,>75%,Plastic sheeting,Blankets/Mats,Mosquito nets,On-site (<10 mn),<50 %,Yes,Piped water supply,Piped water supply,10 - 15 ltr,Yes,None,No,Good (Hygienic),8,Yes,Yes,Yes,Garbage pit,1,Yes,Yes,Yes,Yes,No,Yes,"Yes, on site",Yes,Irregular,Distribution,No,No,No,Malaria,Cough,Fever,Yes,Yes,Mobile clinic,Government,Yes,On-site,<1 km,<50%,Pastoralism,2,No,No,Yes,Yes,No,Self organized,None,None,None,None,None,2,0,Yes,No,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",Yes,Nigeria,Better living conditions,Mobile phone,Situation in areas of origin,Yes,1750
Nigeria,10,AD_S023,5/30/2016,ADAMAWA,MADAGALI,MADAGALI,OLD MARKET,INFORMAL,13.63052,10.88889,Spontaneous,Collective Settlement/Centre,,5/2/2016,Unknown,,Yes,,Public/Government,Government building,Yes,Yes,,,No,,,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,GWOZA,GWOZA TOWN GADAMAYO,BORNO,BAMA,,92,552,7,12,19,48,62,110,79,58,137,103,171,274,10,2,12,23,95,3,0,12,3,5,2,7,9,5,2/5/2016,2/10/2016,Yes,BORNO,GWOZA,GWOZA TOWN GADAMAYO,Place of origin,House damaged/destroyed,None,<25%,<25%,<75%,<50%,>75%,<75%,<50%,Hygiene kits,Blankets/Mats,Soap,Off-site (<10 mn),>50 %,Yes,Hand pumps,Hand pumps,5 - 10 ltr,Yes,None,No,Not so good (Not hygienic),8,Yes,Yes,No,Burning,2,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, off site",Yes,Irregular,Host community donation,Unknown,Unknown,Unknown,Cough,Diarrhea,Wound infection,No,Yes,Off-site (<3 km),Local clinic,Yes,Off-site,<1 km,<50%,Farming,32,Yes,Unknown,Yes,Yes,Yes,Self organized,Friction with host community,Unknown,Other forms of exploitation (forced labor/forced begging),Child separated from their care givers (or just child separation),Assistance was physically inadequate for most vulnerable,2,2,No,Unknown,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",Yes,Nigeria,Better living conditions,Radio/news,Situation in areas of origin,No,1738
Nigeria,10,BN_S001,5/27/2016,BENUE,MAKURDI,AGAN,TOLL GATE,INFORMAL,8.56962,7.81014,Spontaneous,Collective Settlement/Centre,,6/2/2015,Unknown,,Yes,,Public/Government,Government building,No,N/A,,,No,,,,No,No,No,No,Yes,No,No,No,No,BENUE,GUMA,UVIR,,,,7,38,0,0,0,1,2,3,5,9,14,8,8,16,2,3,5,0,1,0,0,5,0,0,0,0,0,0,10/6/2014,10/4/2015,No,BENUE,GUMA,KAAMBE,Place of origin,Lack of safety,None,None,None,>75%,None,None,None,<75%,Blankets/Mats,Mosquito nets,Kitchen sets,Off-site (<10 mn),>50 %,No,Hand pumps,Hand pumps,Unknown,Yes,None,No,Non usable,0,No,No,No,Burning,0,Yes,Yes,No,No,Yes,No,No,Yes,Never,Cultivated,No,No,No,Diarrhea,Fever,Malaria,No,Yes,Off-site (<3 km),Government,Yes,On-site,<1 km,<25%,Farming,2,Yes,No,Yes,No,No,None,None,None,None,None,None,0,0,No,No,Yes,Yes,Yes,Good,Good,No lighting,No,N/A,,Mobile phone,Safety and Security,No,1700
