country,round,survey_date,,site_region,,site_province,,site_district,site_id,site_name,,site_longitude,site_latitude,site_class,site_type,,,site_date_open,,,site_access,site_area,site_owner,site_shelter,smc_exist,smc_community,,,sma_exist,sma_type,,,regist_activity,,support_wash,health_support,support_shelter,support_food,support_protect,support_edu,support_live,,,,,,,,,n_family,n_total,n_infants_male,n_infants_female,n_infants,n_child_male,n_child_female,n_child,n_youth_male,n_youth_female,n_youth,n_adult_male,n_adult_female,n_adult,n_elder_male,n_elder_female,n_elder,n_pregnant,n_lactating,n_pwd,,n_child_unacc,n_child_sep,n_orphan,n_hoh_female,n_hoh_male,n_hoh_child,,,,,,,,,,,,,,,per_hh_no_shelter,per_hh_tents,per_hh_makeshift,per_hh_indoors,per_hh_electricity,per_hh_safe_cooking,per_hh_private,per_hh_nets,nfi_a,nfi_b,nfi_c,,,,,,,,,,water_source_np,water_source_p,water_avg,water_potable,water_problem,water_remark,latrine_cond,n_latrine,latrine_gender,bathing_gender,latrine_lock,hyg_waste,n_garbage,garbage_problem,hyg_station,hyg_evidence,,hyg_open_def,hyg_drainage,food_access,food_market,food_freq,food_source,,food_sup_child,food_sup_lac,,,,,,,health_medicine,health_center,health_location,health_provider,edu_access,edu_location,edu_distance,per_sch,,,,,,,,,,,,,,,,,,,,,,,,,,n_hh_income,job_access,,,sec_provided,,sec_provider,sec_issue,sec_gbv,,sec_child_issue,,n_space_child,n_space_female,,,unsafe_female,unsafe_male,unsafe_child,,,site_lighting,job_abr,job_abr_in,job_abr_prom,,,,,,,,,,,,,,,,,,,,,,
Nigeria,18,6/24/2017,AD,ADAMAWA,AD21,YOLA SOUTH,AD2104,NAMTARI,AD_S003,MALKOHI CAMP,FORMAL,12.38553,9.19624,Spontaneous,Camp,Camps/Camp-like setting,NULL,9/8/2014,Unknown,NULL,Yes,NULL,Public/Government,Host family house,No,N/A,,,Yes,Government,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Insurgency ,NULL,BORNO,GWOZA,GWOZA TOWN GADAMAYO,NULL,NULL,NULL,287,1417,35,30,65,194,301,495,253,240,493,111,244,355,4,5,9,35,145,6,9,0,0,0,35,0,0,0,0,0,1,0,41866,41914,No,NULL,BORNO,GWOZA,NULL,Place of origin,Lack of safety,None,<25%,>75%,None,<50%,<25%,<25%,<25%,Mosquito nets,Blankets/Mats,Kitchen sets,Yes,Roofing sheets,Block/bricks,Nails,NA,On-site (<10 mn),>50 %,Yes,No,Hand pumps,Hand pumps,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),40,Yes,Yes,Yes,Burning,6,No,Yes but no soap/water inside,No,No,No,No,"Yes, on site",Yes,Once a month,Distribution,No,No,No,No,No,No,Fever,Malaria,Cough,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,>75%,710,130,100,230,120,125,245,120,115,235,Fees or costs,Work at the house,Lack of teachers,NULL,Yes,10,Yes,Yes,No damage,No,Yes,N/A,N/A,N/A,Farming,200,Yes,Yes,Yes,Yes,No,Military,None,None,None,None,None,0,0,No,No,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,14368,AD2104-072,Radio,NULL,Military official,NULL,<25%,Morning,Information about needs in the community,Through direct Conversation,Safety and Security,No,1.Hausa,NULL,2. Kanuri,NULL,1.Hausa,NULL,Yes,1.Hausa,NULL,"THERE IS A NEED FOR REPAIR OF TOILET, MOST OF THE TOILETS ARE FILLED UP"
Nigeria,18,6/24/2017,AD,ADAMAWA,AD21,YOLA SOUTH,AD2104,NAMTARI,AD_S004,MALKOHI VILLAGE ,INFORMAL,12.37614,9.19288,Spontaneous,Camp,Camps/Camp-like setting,NULL,8/6/2014,Unknown,NULL,Yes,NULL,Public/Government,Self-made/makeshift shelter,No,N/A,,,No,None,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Insurgency ,NULL,BORNO,GWOZA,NULL,NULL,NULL,NULL,287,1360,23,20,43,142,103,245,215,259,474,284,280,564,20,14,34,30,46,5,34,0,NULL,15,15,9,0,0,3,0,0,0,41857,NULL,Yes,Four times,BORNO,GWOZA,NULL,Place of origin,Lack of safety,None,<25%,>75%,None,None,<50%,None,<25%,Blankets/Mats,Mosquito nets,Kitchen sets,Yes,Tarpaulin,Nails,Tools,NA,On-site (<10 mn),<50 %,Yes,No,Hand pumps,Hand pumps,5 - 10 ltr,Yes,None,No,Not so good (Not hygienic),110,Yes,Yes,Yes,Burning,2,Yes,Yes but no soap/water inside,No,No,No,No,"Yes, on site",Yes,Irregular,Cash,No,No,No,No,No,No,Malaria,Fever,Cough,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,>75%,690,130,100,230,120,105,225,120,115,235,Fees or costs,Work in the fields,Work at the house,NULL,Yes,35,Yes,Yes,No damage,No,Yes,N/A,N/A,N/A,Daily labourer,26,Yes,Yes,Yes,Yes,No,Self organized,None,None,None,None,None,0,0,No,No,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,14361,AD2104-071,Radio,NULL,Local leader/Community leader,NULL,<25%,Morning,Information about needs in the community,Through direct Conversation,Safety and Security,No,1.Hausa,NULL,4. Waha,NULL,1.Hausa,NULL,Yes,1.Hausa,NULL,NULL
Nigeria,18,6/24/2017,AD,ADAMAWA,AD04,GIREI,AD0408,MODIRE/ VINIKILANG,AD_S005,EYN CHURCH VINIKILANG,INFORMAL,12.47378,9.30329,Spontaneous,Camp,Camps/Camp-like setting,NULL,NULL,Unknown,NULL,Yes,NULL,Public/Government,Emergency shelter,No,N/A,,,No,None,,,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Insurgency ,NULL,BORNO,GWOZA,NULL,BORNO,CHIBOK,NULL,24,104,2,1,3,5,12,17,18,17,35,27,17,44,3,2,5,2,8,8,5,0,0,0,0,3,2,1,1,1,0,0,NULL,NULL,No,NULL,BORNO,GWOZA,NULL,Place of origin,House damaged/destroyed,None,>75%,<25%,None,None,<25%,None,<50%,Blankets/Mats,Mosquito nets,Kitchen sets,Yes,Block/bricks,Timber/wood,Nails,NA,On-site (<10 mn),>50 %,No,No,Protected well,Protected well,10 - 15 ltr,Yes,None,No,Good (Hygienic),6,No,No,No,No waste disposal system,0,Yes,Yes,No,No,Yes,No,"Yes, off site",Yes,Irregular,Cash,No,No,No,No,No,No,Malaria,Fever,Cough,No,Yes,Off-site (<3 km),Government,Yes,Off-site,<5 km,<25%,34,5,3,8,7,7,14,7,5,12,Fees or costs,Lack of school supplies,Distance to the school (too far),NULL,No,NULL,No,No,No damage,No,Yes,N/A,N/A,N/A,Daily labourer,2,Yes,Yes,No,Yes,No,Local Authorities,None,None,None,None,None,0,0,Yes,No,No,No,No,Excellent,Good,No lighting,No,N/A,NULL,14321,AD0408-044,Radio,NULL,"Friends, neighbors and family",NULL,<25%,Evening,Information about your  experience,Through direct Conversation,Other relief assistance,No,1.Hausa,NULL,2. Kanuri,NULL,1.Hausa,NULL,Yes,1.Hausa,NULL,NULL
Nigeria,18,6/22/2017,AD,ADAMAWA,AD02,FUFORE,AD0207,PARIYA,AD_S006,DAWARE CAMP,INFORMAL,12.59728,9.4185,Spontaneous,Camp,Camps/Camp-like setting,NULL,9/23/2014,Unknown,NULL,Yes,NULL,Public/Government,Self-made/makeshift shelter,Yes,Yes,,,No,None,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Insurgency ,NULL,BORNO,GWOZA,GWOZA WAKANE / BULABULIN,BORNO,GWOZA,GUDUF NAGADIYO,375,1783,13,14,27,67,56,123,631,427,1058,364,155,519,32,24,56,5,47,0,56,0,0,0,0,0,0,0,0,0,0,0,41905,42773,Yes,Four times,BORNO,GWOZA,GWOZA WAKANE / BULABULIN,Place of origin,Lack of safety,None,None,<75%,<50%,<25%,<25%,<25%,<50%,Blankets/Mats,Kitchen sets,Mosquito nets,Yes,Tools,Thatches,Block/bricks,NA,On-site (<10 mn),<50 %,Yes,Yes,Protected well,Hand pumps,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),40,Yes,Yes,Yes,Burning,0,Yes,Yes,Yes,No,Yes,No,"Yes, on site",Yes,Irregular,Cash,Yes,No,No,No,No,No,Malaria,Fever,Diarrhea,Yes,Yes,On-site (<3 km),NGO,Yes,On-site,<2 km,<50%,1161,46,57,103,225,362,587,202,269,471,Fees or costs,Lack of school supplies,Lack of teachers,NULL,Yes,2,Yes,Yes,No damage,No,Yes,N/A,N/A,N/A,Farming,1267,Yes,Yes,Yes,Yes,Yes,Self organized,Friction anmong site residents,None,None,None,Fighting between recipients at distribution points,0,0,Yes,Yes,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,14395,AD0207-021,Radio,NULL,Local leader/Community leader,NULL,<50%,Morning,Information about needs in the community,Through direct Conversation,Situation in areas of origin,Yes,1.Hausa,NULL,2. Kanuri,NULL,1.Hausa,NULL,Yes,1.Hausa,NULL,NULL
Nigeria,18,6/19/2017,AD,ADAMAWA,AD20,YOLA NORTH,AD2008,LUGGERE,AD_S008,ST THERESAS CATHEDRAL,INFORMAL,12.44666,9.27306,Spontaneous,Collective Settlement/Centre,Camps/Camp-like setting,NULL,9/6/2014,Unknown,NULL,Yes,NULL,Private Building,Emergency shelter,Yes,Yes,,,Yes,Religious entity,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Insurgency ,NULL,ADAMAWA,MADAGALI,NULL,ADAMAWA,MADAGALI,WAGGA,144,692,8,14,22,68,36,104,75,89,164,139,199,338,11,53,64,6,30,1,64,0,0,0,1,2,0,2,0,1,0,3,41888,42168,No,NULL,ADAMAWA,MADAGALI,NULL,Place of origin,Accessibility,None,>75%,None,<25%,<25%,<50%,None,<25%,Blankets/Mats,Kitchen sets,Soap,No,NULL,NULL,NULL,NA,On-site (<10 mn),>50 %,No,No,Piped water supply,Piped water supply,10 - 15 ltr,Yes,None,No,Good (Hygienic),30,Yes,Yes,Yes,Burning,3,No,Yes,Yes,Yes,No,No,"Yes, on site",No,Everyday,Distribution,Yes,Yes,Yes,Yes,Yes,Yes,Malaria,Cough,Fever,Yes,Yes,On-site (<3 km),INGO,Yes,On-site,<1 km,<75%,229,22,43,65,50,40,90,39,35,74,Fees or costs,Work at the house,Work in the fields,NULL,No,NULL,No,No,No damage,No,Yes,N/A,N/A,N/A,Petty trade,30,Yes,No,Yes,Yes,No,Religious Leaders,None,None,None,None,None,0,0,Yes,Yes,No,No,No,Good,Good,"Yes, there is lighting and it is adequate",No,N/A,NULL,14401,AD2008-024,Word of Mouth,NULL,"Friends, neighbors and family",NULL,<50%,Morning,Information about needs in the community,Through direct Conversation,Other relief assistance,No,1.Hausa,NULL,1.Hausa,NULL,1.Hausa,NULL,Yes,1.Hausa,NULL,NULL
Nigeria,18,6/28/2017,AD,ADAMAWA,AD18,SONG,AD1808,SONG GARI,AD_S018,SHAGARI QUARTERS CAMP,INFORMAL,12.6131,9.80547,Spontaneous,Collective Settlement/Centre,Camps/Camp-like setting,NULL,10/4/2014,Unknown,NULL,Yes,NULL,Public/Government,Government building,No,N/A,,,No,None,,,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Insurgency ,NULL,ADAMAWA,MICHIKA,GARTA / GHUNCHI,ADAMAWA,MADAGALI,MADAGALI,63,104,8,8,16,10,14,24,14,10,24,19,18,37,2,1,3,2,18,0,3,0,3,0,2,5,3,0,1,0,0,0,41916,42686,Yes,Two times,ADAMAWA,MICHIKA,GARTA / GHUNCHI,Place of origin,Basic infrastructures damaged/flooded,None,None,None,>75%,<50%,<25%,None,<25%,Blankets/Mats,Kitchen sets,Bucket/Jerry Can,No,NULL,NULL,NULL,NA,On-site (<10 mn),<50 %,Yes,Yes,Unprotected well,Hand pumps,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),10,No,No,Yes,Garbage pit,1,Yes,Yes but no soap/water inside,No,No,No,No,"Yes, on site",No,Irregular,Host community donation,No,No,No,No,No,No,Fever,Cough,Malaria,No,Yes,Off-site (<3 km),Government,Yes,On-site,<1 km,<25%,34,7,7,14,5,7,12,5,3,8,Fees or costs,Work at the house,Work in the fields,NULL,Yes,4,No,Yes,Slightly damaged,No,Yes,N/A,N/A,N/A,Farming,8,Yes,Yes,Yes,No,No,None,None,None,None,None,Assistance was physically inadequate for most vulnerable,1,0,No,No,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,14720,AD1808-018,Radio,NULL,Local leader/Community leader,NULL,<25%,Morning,Information about needs in the community,Through direct Conversation,Other relief assistance,No,6. Marghi,NULL,5. Bura,NULL,1.Hausa,NULL,Yes,1.Hausa,NULL,NULL
Nigeria,18,6/22/2017,AD,ADAMAWA,AD02,FUFORE,AD0203,FUFORE,AD_S019,FUFORE CAMP,FORMAL,12.67751,9.20771,Spontaneous,Collective Settlement/Centre,Camps/Camp-like setting,NULL,11/6/2015,Unknown,NULL,Yes,NULL,Private Building,School,Yes,Yes,,,Yes,Government,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Insurgency ,NULL,BORNO,BAMA,NULL,BORNO,NGALA,NGALA WARD,456,1648,43,36,79,283,270,553,240,242,482,210,256,466,24,44,68,3,97,0,68,0,11,0,58,0,0,0,0,0,0,0,42314,42829,Yes,Two times,BORNO,BAMA,NULL,Place of origin,Lack of safety,None,None,>75%,<25%,<25%,<25%,<25%,>75%,Blankets/Mats,Hygiene kits,Blankets/Mats,No,NULL,NULL,NULL,NA,On-site (<10 mn),>50 %,Yes,No,Piped water supply,Piped water supply,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),67,Yes,Yes,Yes,Garbage pit,35,Yes,Yes,Yes,Yes,Yes,No,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,Yes,Yes,Yes,Malaria,Fever,Cough,Yes,Yes,On-site (<3 km),NGO,Yes,On-site,<1 km,<50%,1017,262,273,535,111,105,216,131,135,266,Fees or costs,Lack of school supplies,Lack of teachers,NULL,Yes,2,Yes,Yes,No damage,Yes,N/A,Yes,N/A,N/A,Petty trade,51,Yes,Yes,Yes,Yes,Yes,Military,Friction anmong site residents,None,None,None,Fighting between recipients at distribution points,1,1,Yes,Yes,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,14387,AD0203-026,Radio,NULL,Government official,NULL,<25%,Morning,Information about needs in the community,Through direct Conversation,Situation in areas of origin,Yes,1.Hausa,NULL,2. Kanuri,NULL,1.Hausa,NULL,Yes,1.Hausa,NULL,NULL
Nigeria,18,6/24/2017,AD,ADAMAWA,AD15,MUBI SOUTH,AD1504,GUDE,AD_S021,MUBI BURNT BRICKS FACTORY,INFORMAL,13.29533,10.26471,For Relocation,Camp,Camps/Camp-like setting,NULL,5/14/2015,Unknown,NULL,Yes,NULL,Private Building,Emergency shelter,No,N/A,,,Yes,Local NGO,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Insurgency ,NULL,BORNO,NGALA,GAMBORU 'B',BORNO,GWOZA,NULL,84,177,4,6,10,16,7,23,5,8,13,85,41,126,5,0,5,2,10,0,5,2,0,0,4,5,3,2,0,1,2,0,42169,42910,No,NULL,BORNO,NGALA,GAMBORU 'B',Place of origin,Lack of safety,None,>75%,None,<25%,<25%,<25%,None,None,Mosquito nets,Kitchen sets,Hygiene kits,Yes,Tarpaulin,Timber/wood,Nails,NA,On-site (<10 mn),>50 %,No,No,Water truck,Water truck,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),6,Yes,Yes,Yes,Burning,3,Yes,Yes,Yes,No,No,No,"Yes, on site",Yes,Everyday,Distribution,Yes,No,No,No,No,No,Skin disease,Malaria,Cough,Yes,Yes,On-site (<3 km),NGO,Yes,Off-site,<1 km,None,26,4,9,13,2,3,5,6,2,8,Fees or costs,Lack of school supplies,Lack of teachers,NULL,No,NULL,Yes,Yes,No damage,No,Yes,N/A,N/A,N/A,Daily labourer,4,Yes,Yes,Yes,Yes,No,Military,None,None,None,None,None,0,0,No,No,No,Yes,Yes,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,14383,AD1504-015,Telephone voice call,NULL,Aid worker,NULL,None,NULL,Information about needs in the community,Through direct Conversation,Situation in areas of origin,No,1.Hausa,NULL,2. Kanuri,NULL,1.Hausa,NULL,Yes,1.Hausa,NULL,NULL
Nigeria,18,6/26/2017,AD,ADAMAWA,AD21,YOLA SOUTH,AD2101,ADARAWO,AD_S027,DOKKITILLA WUROCHEKKE,INFORMAL,12.51337,9.20922,Spontaneous,Collective Settlement/Centre,Camps/Camp-like setting,NULL,6/10/2016,Unknown,NULL,Yes,NULL,Private Building,Host family house,No,N/A,,,No,None,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Insurgency ,NULL,ADAMAWA,MADAGALI,HYAMBULA,NULL,NULL,NULL,15,73,3,5,8,5,8,13,14,10,24,15,10,25,2,1,3,5,11,0,3,0,0,0,0,2,0,0,0,0,0,0,42531,42549,No,NULL,ADAMAWA,MADAGALI,HYAMBULA,Place of origin,Lack of safety,None,None,None,>75%,<50%,<25%,<50%,<25%,Mosquito nets,Hygiene kits,Kitchen sets,No,NULL,NULL,NULL,NA,On-site (<10 mn),>50 %,Yes,No,Hand pumps,Hand pumps,5 - 10 ltr,Yes,None,No,Not so good (Not hygienic),0,No,No,No,Burning,0,No,Yes but no soap/water inside,No,No,No,No,"Yes, on site",Yes,Irregular,Cash,No,No,No,No,No,No,Malaria,Fever,Diarrhea,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<2 km,<75%,25,5,4,9,3,3,6,7,3,10,Fees or costs,Work in the fields,Work at the house,NULL,Yes,20,Yes,Yes,No damage,No,Yes,N/A,N/A,N/A,Farming,0,Yes,Yes,Yes,Yes,No,Self organized,None,None,None,None,None,0,0,No,No,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,14286,AD2101-021,Radio,NULL,Local leader/Community leader,NULL,<25%,Morning,Information about needs in the community,Through direct Conversation,Safety and Security,No,1.Hausa,NULL,6. Marghi,NULL,1.Hausa,NULL,Yes,1.Hausa,NULL,IDPS IN NEED OF FOOD AND NFI
Nigeria,18,6/21/2017,AD,ADAMAWA,AD20,YOLA NORTH,AD2005,JAMBUTU,AD_S028,HULLERE,INFORMAL,12.40907,9.29787,Spontaneous,Collective Settlement/Centre,Camps/Camp-like setting,NULL,8/13/2014,Unknown,NULL,Yes,NULL,Private Building,Bunk houses,No,N/A,,,No,None,,,Yes,No,No,No,Yes,No,Yes,No,No,Insurgency ,NULL,BORNO,GWOZA,GUDUF NAGADIYO,ADAMAWA,MICHIKA,NULL,6,31,0,2,2,1,5,6,11,0,11,6,6,12,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,41864,NULL,No,NULL,ADAMAWA,YOLA NORTH,JAMBUTU,"None, stay here",Accessibility,None,None,<25%,>75%,None,None,None,None,Blankets/Mats,Mosquito nets,Kitchen sets,Yes,Tarpaulin,Roofing sheets,Tools,NA,Off-site (<10 mn),>50 %,No,Yes,Lake/dam,Water truck,5 - 10 ltr,Yes,None,No,Not so good (Not hygienic),0,No,No,No,Burning,0,No,Yes but no soap/water inside,No,No,Yes,No,"Yes, off site",Yes,Irregular,Cash,No,No,No,No,No,No,Malaria,Fever,Cough,No,Yes,Off-site (<3 km),Government,Yes,Off-site,<2 km,<50%,14,3,0,3,0,9,9,0,2,2,Fees or costs,Lack of school supplies,Distance to the school (too far),NULL,No,NULL,No,Yes,No damage,No,Yes,N/A,N/A,N/A,Petty trade,0,No,No,No,Yes,No,Self organized,None,None,None,None,Assistance did not respond to the actual need,0,0,Yes,No,No,No,No,Good,Good,No lighting,No,N/A,NULL,14277,AD2005-026,Word of Mouth,NULL,"Friends, neighbors and family",NULL,<25%,Morning,Information about needs in the community,Through direct Conversation,Distribution,No,1.Hausa,NULL,1.Hausa,NULL,1.Hausa,NULL,Yes,1.Hausa,NULL,NULL
